time          aoa    pajarito    aecp     antig  baron    bbb    bhyb    boa    couenne    dicopt    juniper  knitro    lindo     minotaurbb    minotaurqg    sbb    scip    shot        best        worst
0.0             0           0       0         0      0      0       0      0          0         0          0       0        0              0             0      0       0       0           0            0
0.110010      145          29      10        60     77     13       3     12         26        52          3      65       51             79            99      0      71      77         187            0
0.210020      165          47      21        71     88     22       5     24         32        83         12      85       65             98           119     57      89     141         219            0
0.310030      182          69      35        78    104     37      12     33         36       105         19     103       76            108           137     85     108     162         233            1
0.410040      194          77      48        83    110     48      19     38         37       117         22     111       84            113           149    111     116     174         242            1
0.510050      204          86      67        88    122     53      25     43         40       124         23     117       91            121           159    120     125     188         251            1
0.610060      213          97      84        93    126     59      29     47         42       138         24     127       94            126           163    123     129     194         258            2
0.710070      222         105      91        96    130     68      34     51         47       144         24     129       98            136           168    132     132     201         266            3
0.810080      230         110      98        97    134     71      40     51         49       151         25     133      101            139           175    137     138     206         270            3
0.910090      230         114     104       100    137     75      44     53         49       155         27     138      104            142           178    140     144     210         274            4
1.010100      236         118     106       101    142     78      46     55         50       158         28     141      106            143           183    146     146     213         276            4
1.110110      238         126     113       106    148     80      49     56         50       161         29     142      107            145           184    149     152     217         279            4
1.210120      245         129     121       110    154     85      53     58         51       161         30     143      107            149           185    151     156     220         282            4
1.310130      248         133     124       111    160     96      53     61         51       162         33     145      109            151           187    154     161     224         284            5
1.410140      252         135     130       111    162    102      58     64         51       164         36     147      110            158           189    156     162     229         289            5
1.510150      253         135     132       113    163    105      59     65         52       165         41     147      111            162           192    156     165     231         290            6
1.610160      256         138     138       113    167    108      62     66         53       166         42     150      111            164           193    156     169     232         290            6
1.710170      257         140     140       113    167    110      63     66         53       167         42     153      112            164           194    156     172     234         293            6
1.810180      258         141     145       113    169    110      67     66         54       171         44     156      112            166           197    156     177     235         295            6
1.910190      258         142     147       116    174    110      69     67         55       174         46     158      113            168           198    158     181     236         296            6
2.010200      260         146     149       117    174    111      71     68         55       177         46     160      114            169           199    160     183     238         298            6
2.110210      260         148     151       119    177    111      73     69         56       182         48     161      115            170           200    162     186     238         298            6
2.210220      260         148     154       119    180    116      73     71         58       184         49     162      116            174           203    163     187     243         298            6
2.310230      262         148     154       120    181    116      74     73         58       188         51     162      116            176           204    164     188     244         300            6
2.410240      263         149     155       121    183    119      76     75         58       188         52     162      117            177           204    164     190     246         301            6
2.510250      265         150     157       121    185    122      78     75         59       189         52     163      118            177           205    165     190     248         303            7
2.610260      265         151     160       123    185    124      78     78         59       190         53     165      118            178           205    166     192     262         305            8
2.710270      266         152     162       123    187    124      81     80         60       190         53     166      119            178           206    166     194     262         306            8
2.810280      267         153     163       123    188    125      82     80         60       193         53     167      119            180           207    167     194     264         307            8
2.910290      270         153     164       123    188    125      84     82         61       194         53     168      119            182           207    167     194     265         308            8
3.010300      270         155     164       124    188    127      86     82         61       196         56     169      119            182           208    168     194     265         308            8
3.110310      271         156     165       124    190    127      89     83         61       198         57     171      119            186           208    170     194     266         309            9
3.210320      272         156     165       127    192    128      89     85         61       198         59     172      119            187           209    171     197     266         309            9
3.310330      272         156     165       127    192    129      90     87         61       198         61     172      119            189           210    171     197     267         310            9
3.410340      273         156     165       128    195    129      91     89         61       199         65     173      120            189           212    171     197     272         310            9
3.510350      273         157     166       128    196    130      93     91         62       199         68     174      120            191           213    171     199     285         311            9
3.610360      274         159     167       129    198    131      93     92         62       200         69     175      122            193           214    173     200     287         313            9
3.710370      274         159     169       129    199    131      93     93         62       201         70     175      122            195           215    174     201     288         314            9
3.810380      274         159     170       129    199    134      93     95         62       201         72     175      122            195           219    174     201     288         315           10
3.910390      274         159     172       129    200    134      95     95         62       202         72     176      123            196           219    174     202     289         315           10
4.010400      276         159     173       129    201    135      95     97         62       203         74     177      123            196           221    174     202     289         315           10
4.110410      277         159     175       130    201    136      95     97         62       203         76     177      123            196           221    175     202     291         316           10
4.210420      278         161     177       130    201    136      97     99         62       203         77     177      123            196           222    175     203     291         316           10
4.310430      279         161     177       131    202    136      97    100         62       204         77     177      123            198           223    175     203     291         316           10
4.410440      279         163     177       131    203    137     100    101         62       204         80     177      123            198           224    175     203     291         316           10
4.510450      279         163     177       131    204    138     103    101         62       206         81     177      123            198           225    175     203     293         317           10
4.610460      279         163     181       131    206    139     107    103         62       208         83     178      124            198           226    175     204     293         317           11
