time          aoa    pajarito    aecp     antig  baron    bbb    bhyb    boa    couenne    dicopt    juniper  knitro    lindo     minotaurbb    minotaurqg    sbb    scip    shot        best        worst
0.0             0           0       0         0      0      0       0      0          0         0          0       0        0              0             0      0       0       0           0            0
0.110010       79          14       2        27     45      6       1      1          6        33          1      34       22             40            63      0      27      41          83            0
0.210020       89          28       6        34     53      9       3      1          9        54          4      46       28             51            76     29      41      70          96            0
0.310030       97          44      17        40     63     11       7      2         12        66          7      49       31             56            86     43      52      83         105            0
0.410040      101          51      21        43     67     16      10      5         13        75          9      50       32             59            88     53      57      94         112            0
0.510050      105          58      27        45     72     18      12      7         14        80         10      52       36             61            91     55      65     105         119            0
0.610060      110          64      34        49     75     24      14      9         14        85         11      55       37             63            91     55      68     110         125            1
0.710070      114          66      36        51     79     30      15     12         16        87         11      56       40             68            93     55      71     117         133            2
0.810080      120          66      41        52     81     32      18     12         18        89         11      60       42             70            98     55      74     120         136            2
0.910090      120          67      44        55     83     33      21     14         18        91         12      63       42             73           100     55      80     123         139            3
1.010100      126          69      45        56     86     34      21     15         19        92         13      63       43             73           100     58      81     126         141            3
1.110110      128          71      51        57     88     34      22     15         19        95         14      64       43             74           100     60      85     130         144            3
1.210120      132          72      54        60     91     35      25     17         19        95         15      65       43             76           101     60      86     132         147            3
1.310130      134          73      55        61     93     35      25     19         19        96         18      66       44             78           101     63      91     136         149            3
1.410140      138          74      57        61     94     35      28     22         19        97         18      66       44             79           102     65      91     141         154            3
1.510150      139          74      57        63     94     37      29     23         20        97         20      66       44             79           104     65      93     143         155            4
1.610160      140          76      61        63     95     39      30     23         21        98         20      67       44             80           105     65      96     144         155            4
1.710170      141          78      63        63     95     39      31     23         21        98         20      68       45             80           106     65      98     144         157            4
1.810180      142          79      67        63     95     39      34     23         21       101         21      68       45             81           106     65     101     145         159            4
1.910190      142          79      68        66     96     39      35     24         22       104         22      68       46             82           107     67     104     146         160            4
2.010200      143          83      70        67     96     39      37     25         22       106         22      69       47             82           108     68     106     147         161            4
2.110210      143          85      70        68     98     39      39     26         23       109         24      69       47             83           109     70     108     147         161            4
2.210220      143          85      72        68    100     40      39     27         23       111         25      69       47             85           112     71     109     151         161            4
2.310230      145          85      72        69    100     40      40     29         23       115         26      69       47             85           112     71     109     152         163            4
2.410240      146          86      73        70    102     42      42     31         23       115         27      69       48             85           112     71     110     152         163            4
2.510250      148          86      75        70    103     44      43     31         24       116         27      69       49             85           113     71     110     154         165            5
2.610260      148          87      78        72    103     45      43     34         24       116         27      69       49             86           113     71     110     156         167            6
2.710270      149          88      79        72    105     45      46     36         25       116         27      69       49             86           113     71     111     156         168            6
2.810280      149          89      80        72    106     45      47     36         25       118         27      70       49             87           114     72     111     158         169            6
2.910290      151          89      81        72    106     45      49     37         25       118         27      71       49             87           114     72     111     158         170            6
3.010300      151          90      81        72    106     46      50     37         25       119         30      71       49             87           114     72     111     158         170            6
3.110310      152          91      82        72    106     46      52     37         25       121         30      72       49             87           114     74     111     159         171            6
3.210320      153          91      82        74    107     46      52     37         25       121         31      73       49             87           115     75     113     159         171            6
3.310330      153          91      82        74    107     47      53     38         25       121         32      73       49             88           116     75     113     159         171            6
3.410340      154          91      82        75    109     47      54     38         25       121         33      74       49             88           118     75     113     159         171            6
3.510350      154          92      82        75    109     47      55     40         26       121         33      74       49             89           119     75     113     159         172            6
3.610360      155          94      83        76    110     48      55     41         26       122         34      74       50             89           119     76     113     161         174            6
