time          aoa    pajarito    aecp     antig  baron    bbb    bhyb    boa    couenne    dicopt    juniper  knitro    lindo     minotaurbb    minotaurqg    sbb    scip    shot        best        worst
0.0             0           0       0         0      0      0       0      0          0         0          0       0        0              0             0      0       0       0           0            0
0.110010       81          18       3        26     45      4       2      3          9        29          2      26       26             45            70      0      25      49          89            0
0.210020       93          30      10        33     54      5       2      3         13        46          4      36       30             57            82     26      40      80         102            0
0.310030      103          48      18        40     63      7       5      4         16        61          7      41       32             62            91     34      47      96         115            1
0.410040      108          56      22        44     67     11       6      7         17        71          9      42       33             63            94     43      55     106         124            1
0.510050      115          63      28        49     76     13       7      9         19        77         10      45       36             66            97     44      60     118         132            1
0.610060      120          69      36        54     80     18       9     12         20        84         11      47       37             69            99     45      62     123         139            2
0.710070      125          72      39        57     84     21      11     15         22        86         11      49       39             74           101     47      65     130         147            3
0.810080      131          73      45        58     85     22      14     15         24        89         11      52       40             76           106     49      70     134         151            3
0.910090      131          74      48        61     87     24      17     16         24        91         12      56       41             78           108     49      76     136         153            4
1.010100      137          76      49        62     91     25      17     17         24        92         13      57       41             79           110     52      78     139         155            4
1.110110      139          79      55        66     94     25      18     18         24        95         14      58       41             80           110     54      83     141         156            4
1.210120      143          80      60        70     98     26      21     20         25        95         15      59       41             83           111     55      86     143         159            4
1.310130      145          82      61        71    101     26      21     22         25        96         18      60       41             84           112     58      91     146         160            4
1.410140      148          84      65        71    103     27      24     25         25        98         19      60       41             85           114     60      91     151         165            4
1.510150      149          84      65        73    103     29      25     26         26        99         22      60       41             85           116     60      94     153         166            5
1.610160      151          86      69        73    105     30      27     26         27       100         22      61       41             86           117     60      98     154         166            5
1.710170      152          88      71        73    105     31      27     26         27       101         22      62       41             86           118     60     101     155         169            5
1.810180      153          89      75        73    105     31      30     26         27       105         24      62       41             87           118     60     106     155         170            5
1.910190      153          89      76        76    106     31      32     27         28       108         26      64       42             89           119     61     110     156         171            5
2.010200      155          93      78        77    106     32      34     28         28       111         26      65       42             89           119     63     112     158         173            5
2.110210      155          95      79        78    107     32      36     29         28       116         28      65       43             90           120     65     114     158         173            5
2.210220      155          95      80        78    109     33      36     30         30       118         29      65       44             92           123     66     115     162         173            5
2.310230      157          95      80        79    109     33      36     32         30       122         30      65       44             92           124     66     116     162         174            5
