time          aoa    pajarito    aecp     antig  baron    bbb    bhyb    boa    couenne    dicopt    juniper  knitro    lindo     minotaurbb    minotaurqg    sbb    scip    shot        best        worst
0.0             0           0       0         0      0      0       0      0          0         0          0       0        0              0             0      0       0       0           0            0
0.110010      110          24       8        46     55     13       3     12         21        45          3      59       46             63            73      0      61      61         146            0
0.210020      123          35      18        55     61     21       5     24         23        66         11      76       58             75            87     50      74     106         167            0
0.310030      134          48      28        57     71     35      12     33         25        83         17      94       67             83            98     76      91     118         176            1
0.410040      144          51      40        61     75     46      18     37         25        91         20     101       75             86           108    102      95     124         180            1
0.510050      151          56      57        62     81     51      24     41         27        95         21     106       80             92           118    111     101     132         184            1
0.610060      158          64      69        66     85     56      28     44         28       103         21     114       82             96           120    114     103     134         186            2
0.710070      165          71      75        67     86     65      33     48         33       108         21     114       85            105           124    122     105     138         192            3
0.810080      169          75      80        67     89     68      37     48         34       113         21     118       87            108           131    126     107     140         193            3
0.910090      169          79      83        70     90     71      41     49         34       115         22     123       89            109           134    129     111     140         194            4
1.010100      172          82      85        70     94     73      43     51         35       118         23     125       91            109           137    134     113     141         194            4
1.110110      173          88      89        71    100     75      45     52         35       120         24     125       92            111           138    137     117     143         195            4
1.210120      177          90      94        72    105     78      48     53         36       120         24     126       92            113           139    139     119     143         196            4
1.310130      179          93      97        72    110     89      48     54         36       120         27     128       93            114           140    141     120     144         196            5
1.410140      180          93     101        72    112     95      53     55         36       120         29     130       94            120           141    141     121     147         198            5
1.510150      180          93     103        73    113     98      54     55         37       121         33     130       94            124           144    141     124     147         198            6
1.610160      181          95     107        73    115    100      56     55         38       121         33     133       94            126           144    141     125     148         198            6
1.710170      182          96     108        73    115    102      57     55         38       122         33     136       95            126           144    141     126     148         200            6
1.810180      183          96     112        73    117    102      59     55         39       123         35     139       95            127           147    141     128     148         201            6
1.910190      183          97     113        74    121    102      60     55         40       126         36     139       96            129           148    143     131     148         202            6
2.010200      184          99     115        74    121    103      61     56         40       127         36     141       97            130           148    144     132     149         203            6
2.110210      184         101     116        74    122    103      63     57         41       131         38     142       98            130           149    145     135     149         203            6
2.210220      184         101     118        74    125    108      63     58         41       132         39     143       98            133           152    146     135     152         203            6
2.310230      186         101     118        74    126    108      64     58         41       135         41     143       98            135           152    146     136     152         204            6
2.410240      187         101     119        75    128    110      66     59         41       135         42     143       99            136           152    146     137     153         204            6
2.510250      187         101     120        75    128    113      67     59         42       136         42     143      100            136           153    146     137     153         204            7
2.610260      187         102     123        75    128    115      67     61         42       136         43     145      100            137           153    147     138     165         204            8
2.710270      187         103     125        75    129    115      70     63         43       136         43     146      101            137           154    147     140     165         204            8
2.810280      187         104     126        75    129    116      71     63         43       137         43     147      101            138           155    147     140     166         204            8
2.910290      188         104     126        75    129    116      72     64         44       137         43     147      101            140           155    147     140     167         204            8
3.010300      188         105     126        76    129    118      72     64         44       138         46     148      101            140           156    147     140     167         204            8
3.110310      188         106     127        76    131    118      74     65         44       139         47     150      101            144           156    148     140     168         204            9
3.210320      188         106     127        77    131    119      74     67         44       139         49     151      101            145           156    149     142     168         204            9
3.310330      188         106     127        77    131    119      75     69         44       139         51     151      101            146           156    149     142     168         204            9
3.410340      188         106     127        77    133    119      76     71         44       140         55     151      102            146           156    149     142     173         204            9
3.510350      188         106     128        77    134    120      78     72         45       140         58     152      102            148           157    149     143     186         204            9
3.610360      188         107     129        77    135    120      78     73         45       141         59     152      103            149           158    150     143     186         205            9
3.710370      188         107     129        77    135    120      78     74         45       142         60     152      103            150           159    151     143     186         205            9
3.810380      188         107     130        77    135    123      78     75         45       142         62     152      103            150           160    151     143     186         205           10
3.910390      188         107     132        77    136    123      80     75         45       142         62     152      103            150           160    151     144     186         205           10
4.010400      190         107     132        77    136    123      80     77         45       142         64     153      103            150           162    151     144     186         205           10
4.110410      191         107     134        77    136    123      80     77         45       142         66     153      103            150           162    152     144     187         205           10
4.210420      191         109     135        77    136    123      82     79         45       142         67     153      103            150           162    152     144     187         205           10
4.310430      192         109     135        77    136    123      82     80         45       142         67     153      103            151           162    152     144     187         205           10
4.410440      192         109     135        77    137    124      85     81         45       142         70     153      103            151           162    152     144     187         205           10
4.510450      192         109     135        77    137    125      88     81         45       143         71     153      103            151           163    152     144     189         206           10
4.610460      192         109     138        77    137    126      92     83         45       144         73     154      104            151           164    152     144     189         206           11
4.710470      192         109     139        77    137    126      93     84         46       145         76     154      104            151           164    152     145     189         206           11
4.810480      192         109     139        77    138    126      94     85         46       146         77     155      104            151           164    152     145     189         206           11
4.910490      192         109     139        77    138    127      94     85         46       147         77     155      104            151           165    152     145     189         206           11
5.010500      192         109     140        77    138    128      94     88         46       148         78     155      104            151           166    153     147     189         206           12
5.110510      192         109     140        77    139    129      94     88         46       148         79     155      104            151           167    153     148     189         206           12
5.210520      192         109     140        77    139    129      94     89         47       148         79     156      105            151           167    153     148     190         206           12
5.310530      192         109     140        77    139    130      96     89         47       149         80     156      105            152           167    153     149     190         206           12
5.410540      192         109     140        77    139    130      97     91         48       149         82     156      105            152           167    153     149     190         206           12
5.510550      192         109     140        78    139    130      97     93         48       149         82     157      106            152           167    153     149     190         206           13
5.610560      192         109     141        78    139    130      97     95         48       149         82     157      106            154           167    153     149     190         206           13
5.710570      192         109     141        78    139    130      98     97         48       150         83     157      106            154           167    153     149     191         206           13
5.810580      192         109     141        78    139    130      98     97         48       150         83     157      107            154           167    153     150     192         206           13
5.910590      192         109     141        78    139    130      98     97         48       151         83     157      107            155           167    153     151     192         206           13
