                       Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
alan                         1.0                        4.0                8.0              24.0                        3.0                9.0      2.925000e+00    2.925000e+00  False           
ball_mk2_10                  1.0                       10.0                2.0              21.0                       10.0               11.0      0.000000e+00    0.000000e+00  False           
ball_mk2_30                  1.0                       30.0                2.0              61.0                       30.0               31.0      0.000000e+00    0.000000e+00  False           
ball_mk3_10                  1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk3_20                  1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk3_30                  1.0                       30.0                2.0              61.0                       30.0               31.0               inf             inf  False           
ball_mk4_05                  1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk4_10                  1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk4_15                  1.0                       30.0                2.0              61.0                       30.0               31.0               NaN    5.882886e+01  False           
batch0812                    1.0                       60.0              218.0             545.0                       40.0              101.0      2.687027e+06    2.687027e+06  False           
batchs121208m                1.0                      203.0             1512.0            4256.0                       59.0              407.0      1.241126e+06    1.241126e+06  False           
batch                        1.0                       24.0               74.0             191.0                       22.0               47.0      2.855065e+05    2.855065e+05  False           
clay0203m                    1.0                       18.0               55.0             169.0                       48.0               31.0      4.157326e+04    4.157326e+04  False           
clay0204m                    1.0                       32.0               91.0             285.0                       64.0               53.0      6.545000e+03    6.545000e+03  False           
clay0205m                    1.0                       50.0              136.0             431.0                       80.0               81.0      8.092500e+03    8.092500e+03  False           
clay0303m                    1.0                       21.0               67.0             208.0                       72.0               34.0      2.666911e+04    2.666911e+04  False           
clay0304m                    1.0                       36.0              107.0             337.0                       96.0               57.0      4.026239e+04    4.026239e+04  False           
clay0305m                    1.0                       55.0              156.0             496.0                      120.0               86.0      8.092500e+03    8.092500e+03  False           
cvxnonsep_normcon20          1.0                       10.0                2.0              41.0                       20.0               21.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon30          1.0                       15.0                2.0              61.0                       30.0               31.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon40          1.0                       20.0                2.0              81.0                       40.0               41.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_nsig20             1.0                       10.0                2.0              41.0                       20.0               21.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig30             1.0                       15.0                2.0              61.0                       30.0               31.0      1.306287e+02    1.306287e+02  False           
cvxnonsep_nsig40             1.0                       20.0                2.0              81.0                       40.0               41.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_pcon20             1.0                       10.0                2.0              41.0                       20.0               21.0     -2.151230e+01   -2.151230e+01  False           
