                          count         mean          std          min  \
Direction                   215    0.0976744     0.997541           -1   
NumberOfDiscreteVariables   215      111.102       156.18            2   
NumberOfEquations           215      1829.29        10331           12   
NumberOfNonZeros            215      4548.07      20591.9           39   
NumberOfNonlinearNonZeros   215      197.474      661.153            2   
NumberOfVariables           215      1497.85      10265.5            8   
KnownPrimalBound            215  2.46862e+06  2.51844e+07     -333.889   
KnownDualBound              215  2.46862e+06  2.51844e+07     -333.889   
JulianDate                 3540      38005.7      14077.8            0   
TerminationStatus          3753     0.416467      1.22714            0   
PrimalBound                3752          NaN          NaN         -inf   
DualBound                  3742          NaN          NaN         -inf   
SolverTime                 3740      213.772       356.86            0   
NumberOfIterations         3318  2.12835e+06  1.74999e+07            0   
NumberOfDomainViolations   3104      42.4765      2306.93            0   
NumberOfNodes              2676        78444  2.30657e+06            0   
Fail                       3870          NaN          NaN          NaN   
FailReason                 3870          NaN          NaN          NaN   
Gap                        3753          inf          NaN     -12.2226   
PrimalGap                  3834          inf          NaN     -12.2227   
DualGap                    3834          inf          NaN -2.69696e+17   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           20           47          148         1500  
NumberOfEquations                  212          430         1095       108218  
NumberOfNonZeros                 666.5         1310       3225.5       213766  
NumberOfNonlinearNonZeros           14           27           80         4521  
NumberOfVariables                  113          231        703.5       107223  
KnownPrimalBound               79.9741      509.706       2684.7  3.31837e+08  
KnownDualBound                 79.9741      509.706       2684.7  3.31837e+08  
JulianDate                     43203.8      43208.6      43224.6      43254.5  
TerminationStatus                    0            0            0            8  
PrimalBound                    82.2569      734.984      3351.24          inf  
DualBound                      64.2754      510.113      2834.93          inf  
SolverTime                    0.446786       6.5285      219.389      1515.09  
NumberOfIterations                   0         13.5         6480   5.2565e+08  
NumberOfDomainViolations             0            0            0       128513  
NumberOfNodes                        0           12      2019.75  1.18229e+08  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  2.34112e-10     0.001001          inf  
PrimalGap                  -2.5954e-10            0  0.000800566          inf  
DualGap                    5.12273e-11  6.74909e-07    0.0010012          inf  
