                          count     mean          std      min       25%  \
Direction                   133        1            0        1         1   
NumberOfDiscreteVariables   133  48.1729      131.639        2        10   
NumberOfEquations           133   189.09      663.244        1         4   
NumberOfNonZeros            133  895.759      2709.81        5        61   
NumberOfNonlinearNonZeros   133   222.97      662.613        1        20   
NumberOfVariables           133  228.323      667.992        3        31   
KnownPrimalBound            132      inf          NaN   -29605  0.262707   
KnownDualBound              133      inf          NaN   -29605  0.263234   
JulianDate                 2194  38027.3      14067.5        0   43203.9   
TerminationStatus          2326  0.27945      1.10217        0         0   
PrimalBound                2319      inf          NaN   -29605  0.111305   
DualBound                  2318      NaN          NaN     -inf         0   
SolverTime                 2319  127.417      289.606        0     0.186   
NumberOfIterations         2070   463692  4.45442e+06        0         0   
NumberOfDomainViolations   1946  67.7148      2913.54        0         0   
NumberOfNodes              1685  20608.8       148783        0         0   
Fail                       2394      NaN          NaN      NaN       NaN   
FailReason                 2394      NaN          NaN      NaN       NaN   
Gap                        2325      inf          NaN -1.15107         0   
PrimalGap                  2358      inf          NaN  -6.7476         0   
DualGap                    2358      inf          NaN -24.8761         0   

                                   50%          75%          max  
Direction                            1            1            1  
NumberOfDiscreteVariables           30           30         1500  
NumberOfEquations                    4           14         4651  
NumberOfNonZeros                   121          401        18031  
NumberOfNonlinearNonZeros           30          100         4500  
NumberOfVariables                   31          101         4531  
KnownPrimalBound               9.79714      131.462          inf  
KnownDualBound                 9.79714      130.629          inf  
JulianDate                     43222.9        43249        43254  
TerminationStatus                    0            0            8  
PrimalBound                    9.79714      156.604          inf  
DualBound                      6.19713      88.1049          inf  
SolverTime                        1.15       23.514      969.239  
NumberOfIterations                   8      1062.75  1.42353e+08  
NumberOfDomainViolations             0            0       128513  
NumberOfNodes                       14          186  3.39635e+06  
Fail                               NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN  
Gap                                  0  0.000976927          inf  
PrimalGap                            0  0.000129602          inf  
DualGap                    6.24033e-09        0.001          inf  
