                        AOA.0 Pajarito.0    aecp.1  antigone   baron     bbb.3     bhyb.2     boa.1 couenne.1   dicopt.1 juniper.0  knitro   lindo.1 mtaurbnbcpx.0 mtaurqgcpx.0    sbb.1    scip.1   shot.1 virt. worst
ball_mk2_10           114.00-   6393.84-  6502.20-     1.00=   2.00=  3995.30-    993.90-  6991.00-    20.00-  90000.00-   791.74-  94.10-    61.70-         7.16=       35.24-  243.50-     1.00=  117.87-   90000.00-
cvxnonsep_normcon20r    1.05=      5.19-    57.34-     1.45=   2.11=     3.24=      7.89-   281.08-    55.29-      2.21=   702.00-   1.00=     4.84-         1.47=        1.08=    4.55-     2.34=    2.24=     702.00-
cvxnonsep_normcon30r    1.00=      4.73-    89.20-     1.82=   5.75-     9.03-      7.42-   405.85-  1333.77-      5.22-   916.65-   2.57=    10.42-         4.16-        2.26=    6.10-     7.40-    3.61-    1333.77-
ex1223                  1.92=      5.33=    28.52-     3.07=   2.88=     7.88=    171.53-   475.70-    91.72-      6.92=    12.80-   2.31=     1.73=         1.00=        1.12=   14.12-     6.63=    5.43=     475.70-
nvs03                   1.00=      7.68=    40.70-     1.00=   1.00=    18.10-     75.30-    41.10-     1.00=      3.50=   371.43-   6.90=     2.40=         1.00=        1.00=   15.20-     2.40=    3.68=     371.43-
squfl010-025           11.91-    316.27-  7822.57-   566.22-  18.08-    20.42-    100.08-   144.25-  7822.57-    161.79-    54.10-   4.79-     6.94-         3.15-       16.89-    8.11-  7822.57-    1.00=    7822.57-
squfl010-080           44.90-   2125.74-  2125.74-  1204.46-  33.26-    40.42-     43.18-   430.86-  2125.74-   2125.74-    25.03-   7.42-    25.14-        31.08-      110.35-   58.96-  2125.74-    1.00=    2125.74-
st_e14                  1.89=     23.45-    43.33-     2.17=   1.89=    37.86-    158.50-   808.27-     2.64=     13.12-    12.51-   2.08=     1.70=         1.00=        1.00=   29.55-     6.61=    6.44=     808.27-
st_miqp1                1.00=     13.89-     6.10=     1.00=   1.00=    12.20-     87.80-   759.20-     1.00=      3.40=    12.16-   2.20=     1.00=         1.00=        1.00=   17.30-     1.00=    3.29=     759.20-
st_miqp3                1.00=      1.13=     6.60=     1.00=   1.00=     3.50=  12360.80-   100.60-     1.00=      1.00=     1.00=   2.00=     1.00=         1.00=        1.00=   19.50-     1.00=    3.03=   12360.80-
st_test1                1.00=      8.88=    20.30-     1.00=   1.00=    21.30-  22712.40-  1569.40-     1.00=      8.20=    12.33-   2.40=     1.00=         1.00=        1.00=   19.60-     1.00=    3.11=   22712.40-
st_test5                1.00=      1.46=     4.00=     1.00=   1.00=   120.60-     37.30-    45.70-     1.50=      2.40=   151.24-  19.40-     1.00=         1.00=        1.00=   18.50-     1.00=    3.17=     151.24-
st_test6                1.00=      1.69=     4.80=     1.00=   1.00=   105.70-     92.90-   123.50-     1.10=      2.60=    27.16-   3.40=     1.00=         1.00=        1.00=   20.30-     1.00=    3.23=     123.50-
st_testgr3              1.33=     16.31-    33.84-     1.13=   1.33=   160.42-   2302.84-  1032.38-    41.90-      9.73-   291.70-  10.86-  1823.06-         1.00=        1.61=   31.51-     1.47=    3.36=    2302.84-
st_testph4              1.00=      1.34=     5.90=     1.00=   1.00=    22.70-  20777.40-    50.20-     1.00=      2.50=    24.72-   2.00=     1.00=         1.00=        1.00=   20.30-     1.00=    3.23=   20777.40-
