                          count         mean          std          min  \
Direction                   233     0.167382     0.988015           -1   
NumberOfDiscreteVariables   233      118.996        131.8            2   
NumberOfEquations           233      1637.68      9936.19            5   
NumberOfNonZeros            233      4064.99      19816.7           17   
NumberOfNonlinearNonZeros   233      84.7639      395.958            1   
NumberOfVariables           233      1305.61      9864.13            5   
KnownPrimalBound            233      74391.9       287270     -333.889   
KnownDualBound              233      74391.5       287270     -333.889   
JulianDate                 3811      37990.7      14094.9            0   
TerminationStatus          4042     0.383474      1.16064            0   
PrimalBound                4041          NaN          NaN         -inf   
DualBound                  4026          NaN          NaN         -inf   
SolverTime                 4022      212.321      356.964            0   
NumberOfIterations         3565  3.29876e+06  4.15259e+07            0   
NumberOfDomainViolations   3334    0.0224955     0.700887            0   
NumberOfNodes              2868      83390.9  2.22946e+06            0   
Fail                       4194          NaN          NaN          NaN   
FailReason                 4194          NaN          NaN          NaN   
Gap                        4041          inf          NaN     -12.2226   
PrimalGap                  4104          inf          NaN     -12.2227   
DualGap                    4104          inf          NaN -2.69696e+17   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           40           60          168          720  
NumberOfEquations                  136          325          982       108218  
NumberOfNonZeros                   501         1063         2554       213766  
NumberOfNonlinearNonZeros           14           18           60         4521  
NumberOfVariables                  113          181          511       107223  
KnownPrimalBound               68.0097      1092.09      4937.48  2.68703e+06  
KnownDualBound                 67.7134      1092.09      4937.48  2.68703e+06  
JulianDate                     43203.8      43208.6      43224.6      43254.5  
TerminationStatus                    0            0            0            8  
PrimalBound                    97.9044      1543.06      9859.66          inf  
DualBound                      62.5198      1267.35      6484.47          inf  
SolverTime                        0.51       6.8135      209.615      2115.46  
NumberOfIterations                   0            8         8850      2.1e+09  
NumberOfDomainViolations             0            0            0           37  
NumberOfNodes                        0         16.5      3297.25  1.18229e+08  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  4.97143e-11     0.001001          inf  
PrimalGap                 -2.52796e-10            0  0.000557709          inf  
DualGap                    1.42921e-11  1.87935e-07     0.001001          inf  
