                          AOA.0  Pajarito.0   aecp.1  antigone   baron    bbb.3   bhyb.2    boa.1  couenne.1  dicopt.1   juniper.0   knitro  lindo.1  mtaurbnbcpx.0  mtaurqgcpx.0    sbb.1   scip.1      shot.1  virt. best  virt. worst
alan                       1.00    1.000000    1.000     1.000    1.00    1.000    1.000    1.000      1.120     1.000    3.058479    1.000    1.000       1.000000      1.000000    1.000    1.000    1.000000    1.000000     3.058479
batch0812                  1.00  900.000000    1.111     1.000    1.00    1.679    1.000    9.320    900.000     1.000   29.839630    1.000    7.268       1.000000      1.000000    1.000    1.000    1.000000    1.000000   900.000000
batchs101006m              1.00    2.862577    7.317     6.772    4.74   14.814    5.361   72.415    900.000     1.823  900.000000   44.872  181.056       7.211997      1.385008   51.115    5.230    1.296030    1.000000   900.000000
batchs121208m              1.00  900.000000   29.143     3.130   12.01   33.333   20.954   38.986    900.000     2.751  900.000000  242.493  173.833      38.406361      2.987029   99.724   10.823    2.320973    1.000000   900.000000
batchs151208m              1.70  900.000000  138.638     5.414   51.03   91.771   27.178   54.926    900.000     4.729  900.000000  306.789  406.722      28.252632      4.567292   56.438   14.241    5.631212    1.700000   900.000000
batchs201210m              3.93  900.000000   35.658    28.099  338.96  113.863   50.157   48.363    900.000     3.598  900.000000  523.259  533.616     138.354158      4.926784  199.240   17.278    4.025015    3.598000   900.000000
batch                      1.00  900.000000    1.000     1.000    1.00    1.000    1.000    4.764      1.000     1.000    6.039874    1.000    2.050       1.000000      1.000000    1.000    1.000    1.000000    1.000000   900.000000
clay0203h                  1.00    1.917965    1.000   900.000    1.00    5.731    6.240   21.413      5.356     1.000   21.371718    3.373    6.107       1.000000      1.000000    2.773    1.000    1.000000    1.000000   900.000000
clay0203m                  1.00    1.000000    1.151     1.000    1.00    4.007    2.448   19.014    900.000     3.838   57.377248    1.000    1.000       1.000000      1.000000    1.000    1.000    1.000000    1.000000   900.000000
clay0204h                  1.00    1.000000    4.183     2.052    1.00   40.719    4.631   20.164     18.773     1.000   43.483945    6.514  105.243       5.421058      1.000000   22.346    1.613    1.000000    1.000000   105.243000
clay0204m                  1.00    1.000000    1.367     1.000    1.00   11.968    3.001   11.221      2.174     1.000  111.077522    3.539    2.152       1.000000      1.000000    5.115    1.000    1.000000    1.000000   111.077522
