                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
ball_mk2_10                    1.0                       10.0                2.0              21.0                       10.0               11.0      0.000000e+00    0.000000e+00  False           
ball_mk2_30                    1.0                       30.0                2.0              61.0                       30.0               31.0      0.000000e+00    0.000000e+00  False           
ball_mk3_10                    1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk3_20                    1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk3_30                    1.0                       30.0                2.0              61.0                       30.0               31.0               inf             inf  False           
ball_mk4_05                    1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk4_10                    1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk4_15                    1.0                       30.0                2.0              61.0                       30.0               31.0               NaN    5.882886e+01  False           
clay0203h                      1.0                       18.0              133.0             367.0                       72.0               91.0      4.157330e+04    4.157330e+04  False           
clay0203m                      1.0                       18.0               55.0             169.0                       48.0               31.0      4.157326e+04    4.157326e+04  False           
clay0204h                      1.0                       32.0              235.0             653.0                       96.0              165.0      6.545000e+03    6.545000e+03  False           
clay0204m                      1.0                       32.0               91.0             285.0                       64.0               53.0      6.545000e+03    6.545000e+03  False           
clay0205h                      1.0                       50.0              366.0            1021.0                      120.0              261.0      8.092500e+03    8.092500e+03  False           
clay0205m                      1.0                       50.0              136.0             431.0                       80.0               81.0      8.092500e+03    8.092500e+03  False           
clay0303h                      1.0                       21.0              151.0             424.0                      108.0              100.0      2.666913e+04    2.666913e+04  False           
clay0303m                      1.0                       21.0               67.0             208.0                       72.0               34.0      2.666911e+04    2.666911e+04  False           
clay0304h                      1.0                       36.0              259.0             729.0                      144.0              177.0      4.026242e+04    4.026242e+04  False           
clay0304m                      1.0                       36.0              107.0             337.0                       96.0               57.0      4.026239e+04    4.026239e+04  False           
clay0305h                      1.0                       55.0              396.0            1116.0                      180.0              276.0      8.092500e+03    8.092500e+03  False           
clay0305m                      1.0                       55.0              156.0             496.0                      120.0               86.0      8.092500e+03    8.092500e+03  False           
du-opt5                        1.0                       12.0               10.0              47.0                       20.0               21.0      8.073658e+00    8.073658e+00  False           
ex4                            1.0                       25.0               31.0             237.0                      127.0               37.0     -8.064136e+00   -8.064136e+00  False           
fo7_2                          1.0                       42.0              212.0             869.0                       14.0              115.0      1.774935e+01    1.774935e+01  False           
fo7_ar25_1                     1.0                       42.0              270.0            1055.0                       14.0              113.0      2.309357e+01    2.309357e+01  False           
fo7_ar2_1                      1.0                       42.0              270.0            1055.0                       14.0              113.0      2.483985e+01    2.483985e+01  False           
fo7_ar3_1                      1.0                       42.0              270.0            1055.0                       14.0              113.0      2.251747e+01    2.251747e+01  False           
fo7_ar4_1                      1.0                       42.0              270.0            1055.0                       14.0              113.0      2.072983e+01    2.072983e+01  False           
fo7_ar5_1                      1.0                       42.0              270.0            1055.0                       14.0              113.0      1.774933e+01    1.774933e+01  False           
fo7                            1.0                       42.0              212.0             869.0                       14.0              115.0      2.072983e+01    2.072983e+01  False           
fo8_ar25_1                     1.0                       56.0              348.0            1381.0                       16.0              145.0      2.804518e+01    2.804518e+01  False           
fo8_ar2_1                      1.0                       56.0              348.0            1381.0                       16.0              145.0      3.034061e+01    3.034061e+01  False           
fo8_ar3_1                      1.0                       56.0              348.0            1381.0                       16.0              145.0      2.391005e+01    2.391005e+01  False           
fo8_ar4_1                      1.0                       56.0              348.0            1381.0                       16.0              145.0      2.238190e+01    2.238190e+01  False           
fo8_ar5_1                      1.0                       56.0              348.0            1381.0                       16.0              145.0      2.238190e+01    2.238190e+01  False           
fo8                            1.0                       56.0              274.0            1137.0                       16.0              147.0      2.238190e+01    2.238190e+01  False           
fo9_ar25_1                     1.0                       72.0              436.0            1751.0                       18.0              181.0      3.218643e+01    3.218643e+01  False           
fo9_ar2_1                      1.0                       72.0              436.0            1751.0                       18.0              181.0      3.262500e+01    3.262500e+01  False           
fo9_ar3_1                      1.0                       72.0              436.0            1751.0                       18.0              181.0      2.481548e+01    2.481548e+01  False           
fo9_ar4_1                      1.0                       72.0              436.0            1751.0                       18.0              181.0      2.346429e+01    2.346429e+01  False           
fo9_ar5_1                      1.0                       72.0              436.0            1751.0                       18.0              181.0      2.346429e+01    2.346429e+01  False           
fo9                            1.0                       72.0              344.0            1441.0                       18.0              183.0      2.346429e+01    2.346429e+01  False           
gams01                         1.0                      110.0             1269.0           24395.0                      330.0              146.0      2.138020e+04    2.138020e+04  False           
m3                             1.0                        6.0               44.0             157.0                        6.0               27.0      3.780000e+01    3.780000e+01  False           
m6                             1.0                       30.0              158.0             635.0                       12.0               87.0      8.225688e+01    8.225688e+01  False           
m7_ar25_1                      1.0                       42.0              270.0            1053.0                       14.0              113.0      1.435850e+02    1.435850e+02  False           
m7_ar2_1                       1.0                       42.0              270.0            1053.0                       14.0              113.0      1.902350e+02    1.902350e+02  False           
m7_ar3_1                       1.0                       42.0              270.0            1053.0                       14.0              113.0      1.435850e+02    1.435850e+02  False           
m7_ar4_1                       1.0                       42.0              270.0            1053.0                       14.0              113.0      1.067569e+02    1.067569e+02  False           
m7_ar5_1                       1.0                       42.0              270.0            1053.0                       14.0              113.0      1.064600e+02    1.064600e+02  False           
m7                             1.0                       42.0              212.0             867.0                       14.0              115.0      1.067569e+02    1.067569e+02  False           
netmod_kar1                    1.0                      136.0              667.0            1849.0                        4.0              457.0     -4.197896e-01   -4.197896e-01  False           
netmod_kar2                    1.0                      136.0              667.0            1849.0                        4.0              457.0     -4.197896e-01   -4.197896e-01  False           
no7_ar25_1                     1.0                       42.0              270.0            1061.0                       14.0              113.0      1.078153e+02    1.078153e+02  False           
no7_ar2_1                      1.0                       42.0              270.0            1061.0                       14.0              113.0      1.078153e+02    1.078153e+02  False           
no7_ar3_1                      1.0                       42.0              270.0            1061.0                       14.0              113.0      1.078153e+02    1.078153e+02  False           
no7_ar4_1                      1.0                       42.0              270.0            1061.0                       14.0              113.0      9.851840e+01    9.851840e+01  False           
no7_ar5_1                      1.0                       42.0              270.0            1061.0                       14.0              113.0      9.062267e+01    9.062267e+01  False           
nvs15                          1.0                        3.0                2.0               7.0                        3.0                4.0      1.000000e+00    1.000000e+00  False           
o7_2                           1.0                       42.0              212.0             877.0                       14.0              115.0      1.169459e+02    1.169459e+02  False           
o7_ar25_1                      1.0                       42.0              270.0            1063.0                       14.0              113.0      1.404120e+02    1.404120e+02  False           
o7_ar2_1                       1.0                       42.0              270.0            1063.0                       14.0              113.0      1.404120e+02    1.404120e+02  False           
