                          AOA.0 Pajarito.0  aecp.1 antigone   baron   bbb.3  bhyb.2   boa.1 couenne.1 dicopt.1 juniper.0  knitro lindo.1 mtaurbnbcpx.0 mtaurqgcpx.0   sbb.1  scip.1  shot.1 virt. worst
ball_mk2_10              -0.00=     -0.00=  -0.00=   -0.00=  -0.00=  -0.00=  -0.00=  -0.00=    -0.00=    -inf-     1.00=  -0.00=  -0.00=        -0.00=       -0.00=  -0.00=  -0.00=  -0.00=       -inf-
clay0203h                 1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.00=
clay0204h                 1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.00=
clay0204m                 1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.00=
clay0205h                 1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=      inf-   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=        inf-
clay0303h                 1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.00=
clay0305h                 1.00=      1.00=   1.00=    1.00=   1.00=   1.01=   1.00=   1.00=     1.00=    1.00=      inf-   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=        inf-
clay0305m                 1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.00=
fo8_ar3_1                 1.00=      1.00=   1.00=    1.00=   1.00=    inf-   1.00=   1.00=     1.73-    1.00=      inf-    inf-   2.07-          inf-        1.00=   2.16-   1.00=   1.00=        inf-
m3                        1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.00=
m6                        1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=    inf-   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=        inf-
m7_ar3_1                  1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=      inf-    inf-   1.00=         1.00=        1.00=   1.09=   1.00=   1.00=        inf-
m7_ar5_1                  1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=      inf-    inf-   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=        inf-
squfl010-025              1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.06=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.00=   1.00=       1.06=
watercontamination0202r   1.00=      1.00=   1.00=    1.00=   1.00=   1.00=   1.00=   1.00=     1.00=    1.00=     1.00=   1.00=   1.00=         1.00=        1.00=   1.00=   1.08=   1.00=       1.08=
watercontamination0303r   1.00=      1.00=   1.00=    1.00=  10.04-   1.00=   1.00=   1.00=     1.18-    1.00=      inf-   1.00=   1.00=         1.00=        1.00=   1.00=   1.26-   1.00=        inf-
