              AOA.0 Pajarito.0 aecp.1       antigone  baron  bbb.3 bhyb.2  boa.1 couenne.1          dicopt.1  juniper.0 knitro lindo.1 mtaurbnbcpx.0 mtaurqgcpx.0  sbb.1 scip.1 shot.1       virt. worst
ball_mk2_10   0.00=      0.00=  0.00=  -12597864.08=  0.00=  0.00=  0.00=  0.00=     0.00=  -62989320389.18-  -1149.12=  1.00=   0.00=         0.00=        0.00=  0.00=  0.00=  0.00=  -62989320389.18-
clay0203h     1.00=      1.00=  1.00=          0.22-  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=             0.22-
clay0204h     1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=             1.00=
clay0204m     1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=             1.00=
clay0205h     1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      0.99=  1.00=   0.71-         1.00=        1.00=  1.00=  1.00=  1.00=             0.71-
clay0303h     1.00=      1.00=  1.00=          0.49-  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=             0.49-
clay0305h     1.00=      1.00=  1.00=          1.00=  1.00=  0.97=  1.00=  1.00=     1.00=             1.00=      0.99=  1.00=   0.53-         1.00=        1.00=  1.00=  1.00=  1.00=             0.53-
fo7_ar4_1     1.00=      1.00=  1.00=          1.00=  1.00=  0.78-  1.00=  1.00=     0.24-             1.00=      0.80-  0.53-   0.52-         1.00=        1.00=  0.46-  1.00=  1.00=             0.24-
m3            1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=             1.00=
m6            1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.00=             1.00=      1.00=  0.74-   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=             0.74-
m7_ar3_1      1.00=      1.00=  1.00=          1.00=  1.00=  0.84-  1.00=  1.00=     1.00=             1.00=      0.85-  0.79-   1.00=         1.00=        1.00=  0.72-  1.00=  1.00=             0.72-
m7_ar5_1      1.00=      1.00=  1.00=          1.00=  1.00=  0.70-  1.00=  1.00=     1.00=             1.00=      0.82-  0.97=   1.00=         1.00=        1.00=  0.72-  1.00=  1.00=             0.70-
netmod_kar1   1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.56-             1.00=      1.00=  1.00=   1.35-         1.00=        1.00=  1.00=  1.00=  1.00=             1.56-
netmod_kar2   1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.56-             1.00=      1.00=  1.00=   1.43-         1.00=        1.00=  1.00=  1.00=  1.00=             1.56-
squfl010-025  1.00=      1.00=  0.31-          1.00=  1.00=  1.00=  1.00=  1.00=     0.74-             1.00=      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  0.74-  1.00=             0.31-
st_test5      1.00=      1.00=  1.00=          1.00=  1.00=  1.00=  1.00=  1.00=     1.00=              inf-      1.00=  1.00=   1.00=         1.00=        1.00=  1.00=  1.00=  1.00=              inf-
