                          count         mean          std      min  \
Direction                   215     0.506977     0.863971       -1   
NumberOfDiscreteVariables   215      90.2791      148.902        2   
NumberOfEquations           215      475.112      928.664        1   
NumberOfNonZeros            215      1558.51      3766.97        5   
NumberOfNonlinearNonZeros   215      71.9814      216.324        1   
NumberOfVariables           215      310.167      522.516        3   
KnownPrimalBound            215  2.49444e+06  2.51827e+07   -29605   
KnownDualBound              215  2.49444e+06  2.51827e+07   -29605   
JulianDate                 3575      38049.9      14034.2        0   
TerminationStatus          3788     0.229937      1.04187        0   
PrimalBound                3786          NaN          NaN     -inf   
DualBound                  3787          NaN          NaN     -inf   
SolverTime                 3773      94.3752      246.614        0   
NumberOfIterations         3377  1.26704e+06  3.71624e+07        0   
NumberOfDomainViolations   3165      41.6581      2284.59        0   
NumberOfNodes              2733      53787.9  2.26247e+06        0   
Fail                       3870          NaN          NaN      NaN   
FailReason                 3870          NaN          NaN      NaN   
Gap                        3787          inf          NaN -12.2226   
PrimalGap                  3816          inf          NaN -12.2227   
DualGap                    3816          inf          NaN -3.34615   

                                   25%          50%          75%          max  
Direction                            1            1            1            1  
NumberOfDiscreteVariables           15           30          100         1500  
NumberOfEquations                    4           29        466.5         5330  
NumberOfNonZeros                   121          401         1291        41401  
NumberOfNonlinearNonZeros           16           30           99         3000  
NumberOfVariables                   31          101        343.5         3011  
KnownPrimalBound               1.57153      78.9989      2274.35  3.31837e+08  
KnownDualBound                 1.57153      78.9989      2274.35  3.31837e+08  
JulianDate                     43203.9      43211.3      43242.2      43254.1  
TerminationStatus                    0            0            0            8  
PrimalBound                    1.50222      80.9493      2646.95          inf  
DualBound                      1.47378      78.9204       2564.5          inf  
SolverTime                    0.168057        1.125      12.9735      1077.29  
NumberOfIterations                   0            9         1068      2.1e+09  
NumberOfDomainViolations             0            0            0       128513  
NumberOfNodes                        0            7          163  1.18229e+08  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0            0  0.000887047          inf  
PrimalGap                 -1.05487e-10            0  5.04992e-10          inf  
DualGap                              0  6.38929e-09  0.000875077          inf  
