                                Instance                                 |                                     AOA.0@0                                     |                                  Pajarito.0@0                                   |                                    aecp.1@0                                     |                                   antigone@0                                    |                                     baron@0                                     |                                     bbb.3@0                                     |                                    bhyb.2@0                                     |                                     boa.1@0                                     |                                   couenne.1@0                                   |                                   dicopt.1@0                                    |                                   juniper.0@0                                   |                                    knitro@0                                     |                                    lindo.1@0                                    |                                 mtaurbnbcpx.0@0                                 |                                 mtaurqgcpx.0@0                                  |                                     sbb.1@0                                     |                                    scip.1@0                                     |                                    shot.1@0                                     |
name                  #Vars #Disc #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]     Nodes I|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alan                      9     4     8 min  2.925000e+00  2.925000e+00  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.01        --  |normal      2.925000e+00    0.00  2.925000e+00   -0.00   0.00    0.04        --  |normal      2.924431e+00    0.02  2.925000e+00    0.00   0.02    0.15        --  |normal      2.922075e+00    0.10  2.925000e+00    0.00   0.10    0.01         0  |normal      2.922078e+00    0.10  2.925000e+00    0.00   0.10    0.03         5  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.34         2  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.07         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.06         0  |normal      2.927045e+00   -0.07  2.927045e+00    0.07   0.00    1.12         8  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.16        --  |normal      2.925000e+00    0.00  2.925000e+00   -0.00   0.00    3.06        --  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.09         7  |normal      2.925000e+00    0.00  2.925000e+00   -0.00   0.00    0.04         3  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.00         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.00         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.15         9  |normal      2.922078e+00    0.10  2.925000e+00    0.00   0.10    0.16         1  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.04         0  |
batch                    47    24    74 min  2.855065e+05  2.855065e+05  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.02        --  |error       2.854806e+05    0.01           inf     inf    inf    0.09        -- !|normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.59        --  |normal      2.852210e+05    0.10  2.855065e+05    0.00   0.10    0.06         0  |normal      2.852213e+05    0.10  2.855065e+05    0.00   0.10    0.09         1  |normal      2.855065e+05    0.00  2.855065e+05   -0.00  -0.00    0.35         4  |normal      2.855065e+05    0.00  2.855065e+05   -0.00  -0.00    0.08         6  |normal      2.855065e+05    0.00  2.855065e+05   -0.00  -0.00    4.76         0  |normal      2.854965e+05    0.00  2.855065e+05   -0.00   0.00    0.59       101  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.12        --  |normal      2.855065e+05    0.00  2.855065e+05   -0.00   0.00    6.04        --  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.27        17  |normal      2.855063e+05    0.00  2.855063e+05   -0.00   0.00    2.05       214  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.03         0  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.02         0  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.31        42  |normal      2.855039e+05    0.00  2.855065e+05    0.00   0.00    0.40         1  |normal      2.855065e+05    0.00  2.855065e+05    0.00   0.00    0.11         0  |
batch0812               101    60   218 min  2.687027e+06  2.687027e+06  |normal      2.687027e+06    0.00  2.687027e+06   -0.00   0.00    0.02        --  |--                    --     inf            --     inf     --      --        -- !|normal      2.687027e+06    0.00  2.687027e+06   -0.00   0.00    1.11        --  |normal      2.684340e+06    0.10  2.687027e+06   -0.00   0.10    0.10         0  |normal      2.684858e+06    0.08  2.687027e+06    0.00   0.08    0.21         6  |normal      2.687027e+06    0.00  2.687027e+06   -0.00  -0.00    1.68        32  |normal      2.687027e+06    0.00  2.687027e+06   -0.00  -0.00    0.27        34  |normal      2.687027e+06    0.00  2.687027e+06   -0.00  -0.00    9.32         0  |normal               inf     inf           inf     inf   0.00    1.04        62 !|normal      2.687027e+06    0.00  2.687027e+06   -0.00   0.00    0.18        --  |normal      2.687027e+06    0.00  2.687027e+06   -0.00   0.00   29.84        --  |normal      2.686878e+06    0.01  2.687027e+06    0.00   0.01    0.91        67  |normal      2.686773e+06    0.01  2.687027e+06    0.00   0.01    7.27       249  |normal      2.687027e+06   -0.00  2.687027e+06    0.00   0.00    0.15         0  |normal      2.687027e+06   -0.00  2.687027e+06    0.00   0.00    0.03         0  |normal      2.686773e+06    0.01  2.687027e+06   -0.00   0.01    0.69       161  |normal      2.685296e+06    0.06  2.687027e+06    0.00   0.06    0.36         1  |normal      2.687027e+06    0.00  2.687027e+06    0.00   0.00    0.12         7  |
batchdes                 20     9    20 min  1.674277e+05  1.674277e+05  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.01        --  |error       9.799493e+04   70.85           inf     inf    inf    0.23        -- !|normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.22        --  |normal      1.672602e+05    0.10  1.674277e+05    0.00   0.10    0.01         0  |normal      1.672604e+05    0.10  1.674277e+05    0.00   0.10    0.04         1  |normal      1.674277e+05    0.00  1.674277e+05   -0.00  -0.00    0.07         0  |normal      1.674277e+05    0.00  1.674277e+05   -0.00  -0.00    0.06         0  |normal      1.674277e+05    0.00  1.674277e+05   -0.00  -0.00    0.84         0  |normal      1.674276e+05    0.00  7.783467e+04 -115.11 -115.*    0.04         2 !|normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.04        --  |normal      1.674276e+05    0.00  1.674276e+05   -0.00   0.00    2.92        --  |normal      1.674277e+05    0.00  1.674277e+05   -0.00   0.00    0.03         5  |normal      1.674278e+05   -0.00  1.674278e+05    0.00   0.00    0.23         6  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.01         0  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.01         0  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.22        12  |normal      1.674222e+05    0.00  1.674277e+05    0.00   0.00    0.11         1  |normal      1.674277e+05    0.00  1.674277e+05    0.00   0.00    0.04         0  |
batchs101006m           279   129  1020 min  7.694404e+05  7.694404e+05  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    0.45        --  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    2.86        --  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    7.32        --  |normal      7.686710e+05    0.10  7.694404e+05   -0.00   0.10    6.77         0  |normal      7.686717e+05    0.10  7.694404e+05   -0.00   0.10    4.74        75  |normal      7.688123e+05    0.08  7.694404e+05   -0.00   0.08   14.81       401  |normal      7.688276e+05    0.08  7.694404e+05   -0.00   0.08    5.36      1501  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00   72.42         0  |--                    --     inf            --     inf     --      --        -- !|normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    1.82        --  |normal      7.942910e+05   -3.23  7.942910e+05    3.23   0.00   44.86        -- !|normal      7.686827e+05    0.10  7.694404e+05   -0.00   0.10   44.87      2775  |normal      7.687605e+05    0.09  7.694404e+05   -0.00   0.09  181.06      2508  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    7.21         0  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    1.39         0  |normal      7.686769e+05    0.10  7.694404e+05   -0.00   0.10   51.12      5644  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    5.23       349  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    1.30       505  |
batchs121208m           407   203  1512 min  1.241126e+06  1.241126e+06  |normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00    0.48        --  |other                inf     inf           inf     inf   0.00    1.48        -- !|normal      1.241126e+06    0.00  1.241126e+06    0.00   0.00   29.14        --  |normal      1.239884e+06    0.10  1.241126e+06    0.00   0.10    3.13         0  |normal      1.239886e+06    0.10  1.241126e+06    0.00   0.10   12.01       119  |normal      1.240827e+06    0.02  1.241126e+06   -0.00   0.02   33.33       601  |normal      1.240375e+06    0.06  1.241126e+06   -0.00   0.06   20.95      3301  |normal      1.241126e+06    0.00  1.241126e+06   -0.00   0.00   38.99         0  |--                    --     inf            --     inf     --      --        -- !|normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00    2.75        --  |normal      1.280840e+06   -3.20  1.280840e+06    3.20   0.00  859.55        -- !|normal      1.241046e+06    0.01  1.241126e+06   -0.00   0.01  242.49      6788  |normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00  173.83      1992  |normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00   38.41         0  |normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00    2.99         0  |normal      1.240570e+06    0.04  1.241126e+06    0.00   0.04   99.72      7445  |normal      1.241126e+06    0.00  1.241126e+06   -0.00   0.00   10.82       622  |normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00    2.32      1283  |
batchs151208m           446   203  1782 min  1.543472e+06  1.543472e+06  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00    1.70        --  |other                inf     inf           inf     inf   0.00    1.92        -- !|normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00  138.64        --  |normal      1.542875e+06    0.04  1.544419e+06    0.06   0.10    5.41         0  |normal      1.541930e+06    0.10  1.543472e+06   -0.00   0.10   51.03       429  |normal      1.542069e+06    0.09  1.543472e+06   -0.00   0.09   91.77      1585  |normal      1.542041e+06    0.09  1.543472e+06   -0.00   0.09   27.18      4801  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00   54.93         0  |--                    --     inf            --     inf     --      --        -- !|normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00    4.73        --  |timelim     1.533539e+06    0.65           inf     inf    inf  902.67        --  |normal      1.543470e+06    0.00  1.543472e+06   -0.00   0.00  306.79      7620  |normal      1.543460e+06    0.00  1.543472e+06   -0.00   0.00  406.72      4430  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00   28.25         0  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00    4.57         0  |normal      1.542882e+06    0.04  1.544419e+06    0.06   0.10   56.44      3654  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00   14.24      1196  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00    5.63      9613  |
batchs201210m           559   251  2328 min  2.295349e+06  2.295349e+06  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    3.93        --  |other                inf     inf           inf     inf   0.00    2.61        -- !|normal      2.295349e+06    0.00  2.295349e+06   -0.00  -0.00   35.66        --  |normal      2.293053e+06    0.10  2.295349e+06   -0.00   0.10   28.10         0  |normal      2.293598e+06    0.08  2.295891e+06    0.02   0.10  338.96      2982  |normal      2.293464e+06    0.08  2.295585e+06    0.01   0.09  113.86      1201  |normal      2.293243e+06    0.09  2.295349e+06   -0.00   0.09   50.16      4401  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00   48.36         0  |--                    --     inf            --     inf     --      --        -- !|normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    3.60        --  |timelim     2.288435e+06    0.30           inf     inf    inf  906.22        --  |normal      2.294082e+06    0.06  2.295585e+06    0.01   0.07  523.26      7756  |normal      2.294769e+06    0.03  2.295349e+06   -0.00   0.03  533.62      4016  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00  138.35         0  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    4.93         0  |normal      2.293598e+06    0.08  2.295891e+06    0.02   0.10  199.24      9170  |normal      2.293928e+06    0.06  2.295349e+06   -0.00   0.06   17.28      1680  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    4.03      4286  |
