                       AOA.0 Pajarito.0    aecp.1   antigone   baron    bbb.3     bhyb.2     boa.1  couenne.1  dicopt.1 juniper.0   knitro   lindo.1 mtaurbnbcpx.0 mtaurqgcpx.0    sbb.1    scip.1 shot.1 virt. worst
cvxnonsep_normcon20r   1.05=      5.19-    57.34-      1.45=   2.11=    3.24=      7.89-   281.08-     55.29-     2.21=   702.00-    1.00=     4.84-         1.47=        1.08=    4.55-     2.34=  2.24=     702.00-
cvxnonsep_normcon30r   1.00=      4.73-    89.20-      1.82=   5.75-    9.03-      7.42-   405.85-   1333.77-     5.22-   916.65-    2.57=    10.42-         4.16-        2.26=    6.10-     7.40-  3.61-    1333.77-
flay03h                1.00=      5.99-    27.31-     20.80-   7.29-   21.50-    134.47-   273.76-     22.63-     5.44-    68.43-    3.81-    50.41-         3.04-        1.07=    5.74-    11.91-  1.61=     273.76-
flay03m                1.56=      7.76-    70.68-     27.52-  14.07-   27.68-    435.34-   962.47-     39.61-     9.70-   105.24-    7.61-    34.87-         1.76=        1.00=   15.06-    14.13-  4.04=     962.47-
rsyn0815m02h           1.00=      8.18-     4.85-   2432.43-  13.78-  878.91-      6.59-    28.98-   2324.68-     6.11-   471.01-   16.54-   168.25-        20.35-        1.96-   13.39-     2.32-  1.15=    2432.43-
slay04m                1.75=     10.64-   428.00-      8.35-   5.84=   79.94-    204.95-   973.55-     27.27-    17.69-    84.40-   15.53-    43.03-         1.39=        1.00=   21.78-    55.88-  2.33=     973.55-
slay06h                1.30=      8.52-   277.05-      2.27-   2.61-   30.36-    539.15-   380.27-    367.81-     8.71-   148.70-   27.79-   709.08-         1.12=        2.69-  660.05-    24.55-  1.00=     709.08-
slay08m                7.85-     36.41-  1723.64-      8.02-  11.95-  118.75-    415.30-  1558.40-     15.16-    36.29-   241.96-  156.56-   361.01-         2.15=       32.81-   15.07-    39.91-  1.00=    1723.64-
squfl010-080          44.90-   2125.74-  2125.74-   1204.46-  33.26-   40.42-     43.18-   430.86-   2125.74-  2125.74-    25.03-    7.42-    25.14-        31.08-      110.35-   58.96-  2125.74-  1.00=    2125.74-
st_miqp3               1.00=      1.13=     6.60=      1.00=   1.00=    3.50=  12360.80-   100.60-      1.00=     1.00=     1.00=    2.00=     1.00=         1.00=        1.00=   19.50-     1.00=  3.03=   12360.80-
st_test1               1.00=      8.88=    20.30-      1.00=   1.00=   21.30-  22712.40-  1569.40-      1.00=     8.20=    12.33-    2.40=     1.00=         1.00=        1.00=   19.60-     1.00=  3.11=   22712.40-
st_testgr3             1.33=     16.31-    33.84-      1.13=   1.33=  160.42-   2302.84-  1032.38-     41.90-     9.73-   291.70-   10.86-  1823.06-         1.00=        1.61=   31.51-     1.47=  3.36=    2302.84-
st_testph4             1.00=      1.34=     5.90=      1.00=   1.00=   22.70-  20777.40-    50.20-      1.00=     2.50=    24.72-    2.00=     1.00=         1.00=        1.00=   20.30-     1.00=  3.23=   20777.40-
syn05m03h              1.00=     24.94-    59.60-  90000.00-   8.00=   71.70-    116.80-    55.50-    251.00-     5.80=    96.18-    3.00=     1.00=         3.18=        2.39=   14.70-     3.90=  6.21=   90000.00-
syn05m04h              1.00=     23.70-    78.70-  90000.00-  13.00-   55.90-    106.50-    49.10-    532.10-     6.70=   145.07-    3.90=     1.60=         5.58=        2.81=   15.10-     5.30=  8.93=   90000.00-
syn10h                 1.00=      9.02=    12.40-  90000.00-   2.00=   48.80-    138.60-    46.30-     46.60-     3.20=    23.97-    2.30=     3.80=         1.05=        1.11=   13.70-     4.80=  4.19=   90000.00-
syn10m03h              1.33=     14.54-    42.58-  23984.01-   3.20=  140.87-    103.77-    71.45-   3540.60-     5.62-    54.75-    2.40=     3.01=         2.87=        1.00=    6.90-     2.64=  3.03=   23984.01-
syn10m04h              1.00=      8.72-    39.70-  18000.00-  10.80-  190.36-    113.84-    47.84-   7918.76-     6.92-    65.94-    2.70=     3.42-         4.18-        1.42=    5.82-     1.14=  3.10-   18000.00-
syn15h                 1.00=     16.28-    17.10-  90000.00-   6.00=   62.00-    240.30-    67.30-    183.70-     4.40=    39.92-    3.40=     3.90=         1.69=        1.50=   14.50-     5.20=  6.68=   90000.00-
syn15m04h              1.14=     10.81-    25.86-  14702.76-  29.90-   98.64-    122.25-    70.82-  14159.31-     8.25-    65.79-    3.30-     6.47-         4.36-        1.00=    5.33-     1.76=  8.28-   14702.76-
