                         aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0   sbb.1  scip.1   shot.1  virt. best  virt. worst
ball_mk2_10                   -      -      1      1         -           1    2046       1     1525         1.0            -
batchs101006m                 -      -     75      1         -           1    5644     349      867         1.0            -
batchs121208m                 -      -    119      1         -           1    7445     622     1569         1.0            -
batchs151208m                 -      -    429      1         -           1    3654    1196    11365         1.0            -
batchs201210m                 -      -   2982      1         -           1    9170    1680     5994         1.0            -
clay0203h                     -      -     17      1         -           1     400      89      160         1.0            -
clay0203m                     -      -     15      1         -           1     322      94      107         1.0            -
clay0204h                     -      -      1      1         -           1    3685     821     1299         1.0            -
clay0204m                     -      -     11      1         -           1    2561     434      822         1.0            -
clay0205h                     -      -      7      1         -           1   57691    6378    10934         1.0            -
clay0303h                     -      -     15      1         -           1     661      73      404         1.0            -
clay0304h                     -      -    102      1         -           1   30824     639     1799         1.0            -
clay0305h                     -      -     13      1         -           1  105373    6849    10431         1.0            -
clay0305m                     -      -     37      1         -           1   34883    5035     9074         1.0            -
cvxnonsep_normcon20r          -      -      1      1         -           1      22       1        1         1.0            -
cvxnonsep_normcon20           -      -      9      1         -           1      22     341     1630         1.0            -
cvxnonsep_normcon30r          -      -     17      1         -           1      56      45        1         1.0            -
cvxnonsep_normcon40r          -      -     99      1         -           1     184       1      303         1.0            -
cvxnonsep_nsig20r             -      -      3      1         -           1      20      27      280         1.0            -
cvxnonsep_nsig20              -      -     27      1         -           1      20   36299     2319         1.0            -
cvxnonsep_nsig30r             -      -      1      1         -           1      28      37      289         1.0            -
cvxnonsep_nsig40r             -      -      5      1         -           1      67      44      570         1.0            -
cvxnonsep_pcon20              -      -      8      1         -           1      46     111      351         1.0            -
cvxnonsep_pcon30r             -      -     28      1         -           1      86     101        1         1.0            -
cvxnonsep_psig20              -      -      1      1         -           1      11    1301     6438         1.0            -
du-opt                        -      -      1      1         -           1      94     208        1         1.0            -
fac2                          -      -      1      1         -           1      43       3        1         1.0            -
fac3                          -      -      3      1         -           1      46       3        1         1.0            -
flay03h                       -      -     77      1         -           1     100      97       56         1.0            -
flay03m                       -      -     75      1         -           1     112      93       59         1.0            -
flay04h                       -      -   1383      1         -           1    2687    2095     1782         1.0            -
flay04m                       -      -   1363      1         -           1    2551    1801     1514         1.0            -
