Absolute performance profile for SolverTime
Filter: gap <= 0.1002% and not failed
            aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
0.010000         0     38     13      1         3          20      0      15       0          44            0
0.110010        10    145     77     12        52          99      0      71      67         176            0
0.210020        21    165     88     24        83         119     57      89     120         208            2
0.310030        35    182    104     33       105         137     85     108     157         228            3
0.410040        48    194    110     38       117         149    111     116     169         237            4
0.510050        67    204    122     43       124         159    120     125     179         245            8
0.610060        84    213    126     47       138         163    123     129     188         254           12
0.710070        91    222    130     51       144         168    132     132     195         261           15
0.810080        98    230    134     51       151         175    137     138     202         267           16
0.910090       104    230    137     53       155         178    140     144     207         270           17
1.010100       106    236    142     55       158         183    146     146     212         274           19
1.110110       113    238    148     56       161         184    149     152     215         277           19
1.210120       121    245    154     58       161         185    151     156     217         279           21
1.310130       124    248    160     61       162         187    154     161     222         281           22
1.410140       130    252    162     64       164         189    156     162     224         285           25
1.510150       132    253    163     65       165         192    156     165     226         286           25
1.610160       138    256    167     66       166         193    156     169     228         287           26
1.710170       140    257    167     66       167         194    156     172     230         290           26
1.810180       145    258    169     66       171         197    156     177     232         293           26
1.910190       147    258    174     67       174         198    158     181     233         294           26
2.010200       149    260    174     68       177         199    160     183     237         295           26
2.110210       151    260    177     69       182         200    162     186     240         296           28
2.210220       154    260    180     71       184         203    163     187     245         299           28
2.310230       154    262    181     73       188         204    164     188     246         301           28
2.410240       155    263    183     75       188         204    164     190     246         301           29
2.510250       157    265    185     75       189         205    165     190     247         301           29
2.610260       160    265    185     78       190         205    166     192     254         301           31
2.710270       162    266    187     80       190         206    166     194     258         302           33
2.810280       163    267    188     80       193         207    167     194     260         302           33
2.910290       164    270    188     82       194         207    167     194     262         305           33
3.010300       164    270    188     82       196         208    168     194     262         305           33
3.110310       165    271    190     83       198         208    170     194     262         307           33
3.210320       165    272    192     85       198         209    171     197     263         307           34
3.310330       165    272    192     87       198         210    171     197     263         307           35
3.410340       165    273    195     89       199         212    171     197     266         307           35
3.510350       166    273    196     91       199         213    171     199     277         307           36
3.610360       167    274    198     92       200         214    173     200     281         309           37
3.710370       169    274    199     93       201         215    174     201     282         309           37
3.810380       170    274    199     95       201         219    174     201     283         311           37
3.910390       172    274    200     95       202         219    174     202     283         311           37
4.010400       173    276    201     97       203         221    174     202     285         312           38
4.110410       175    277    201     97       203         221    175     202     286         314           38
4.210420       177    278    201     99       203         222    175     203     287         314           39
4.310430       177    279    202    100       204         223    175     203     288         314           39
4.410440       177    279    203    101       204         224    175     203     289         314           40
4.510450       177    279    204    101       206         225    175     203     291         314           40
4.610460       181    279    206    103       208         226    175     204     291         314           42
4.710470       182    279    206    106       210         227    175     205     291         314           42
4.810480       182    279    207    107       211         227    175     205     291         314           43
4.910490       182    279    207    107       213         229    175     205     292         315           43
5.010500       183    279    208    110       215         230    176     207     292         315           44
5.110510       184    279    210    110       217         231    176     208     293         316           44
5.210520       185    279    210    111       218         232    177     208     294         317           44
5.310530       185    279    210    111       220         232    177     209     294         317           44
5.410540       187    279    211    113       220         232    177     209     294         317           45
5.510550       187    279    211    115       220         232    177     209     294         317           46
5.610560       188    279    212    117       220         233    177     209     294         317           46
5.710570       188    279    213    120       222         233    177     210     294         317           46
5.810580       188    279    214    120       222         233    177     211     294         317           46
5.910590       188    279    215    120       225         233    177     212     294         319           46
6.010600       188    279    215    120       225         233    177     212     295         320           46
6.110610       189    279    215    122       226         234    178     213     296         320           47
6.210620       189    279    215    124       227         234    179     214     296         320           47
6.310630       190    279    216    125       227         234    180     214     297         320           47
6.410640       191    279    216    125       227         235    180     214     297         320           47
6.510650       194    279    216    127       228         236    180     215     297         320           47
6.610660       195    279    216    128       229         237    180     216     297         320           47
6.710670       195    279    216    128       230         237    181     216     297         320           48
6.810680       196    279    216    128       231         238    181     217     297         320           48
6.910690       197    279    216    129       232         238    181     217     297         320           49
7.010700       197    279    216    129       233         238    181     217     297         320           49
7.110710       197    280    216    131       233         238    181     217     297         320           51
7.210720       197    280    216    132       233         239    181     217     299         320           52
7.310730       198    281    217    133       234         239    181     218     299         321           52
7.410740       200    281    217    137       235         239    181     220     300         321           53
7.510750       200    281    217    137       235         239    181     220     300         321           53
7.610760       201    281    218    140       236         239    181     221     301         321           54
7.710770       201    281    219    142       238         239    181     221     302         321           54
7.810780       201    281    219    142       238         240    181     222     302         321           54
7.910790       202    282    221    143       239         241    181     222     302         321           54
8.010800       202    283    221    144       240         241    181     222     302         321           54
8.110810       202    284    221    144       240         241    181     222     303         322           54
8.210820       204    285    222    144       241         241    182     223     304         323           55
8.310830       204    285    222    144       241         242    182     224     304         323           55
8.410840       204    285    222    144       241         243    182     224     304         323           55
8.510850       204    285    222    144       241         243    183     225     304         323           55
8.610860       204    285    222    145       242         243    183     227     304         323           56
8.710870       204    285    222    145       243         243    183     229     304         323           56
8.810880       204    285    222    146       243         243    183     229     304         324           56
8.910890       204    285    222    146       243         243    183     229     305         324           56
9.010900       204    286    223    148       243         243    183     229     305         324           56
9.110910       204    286    223    149       243         243    183     229     305         324           57
9.210920       204    286    223    149       243         243    184     230     305         324           57
9.310930       204    286    223    149       243         245    185     231     305         325           58
9.410940       204    286    223    150       243         246    185     231     305         325           59
9.510950       204    286    223    151       244         246    185     231     305         326           59
9.610960       205    286    224    151       244         247    185     231     305         326           59
9.710970       205    286    224    151       244         247    185     231     305         326           59
9.810980       205    286    224    151       244         247    186     232     305         326           59
9.910990       205    286    225    151       244         247    186     232     305         326           59
10.011000      205    287    225    152       244         247    186     232     305         326           59
10.111010      205    287    225    153       245         248    186     232     305         327           60
10.211020      205    287    226    154       246         250    187     232     305         329           60
10.311030      206    287    226    154       246         250    187     232     306         329           60
10.411040      206    287    226    154       246         250    187     233     306         329           60
10.511050      206    287    226    154       247         250    187     233     306         329           60
10.611060      206    287    227    155       247         251    187     234     307         329           60
10.711070      206    287    227    156       247         251    187     234     307         329           61
10.811080      207    287    228    158       248         251    187     234     307         329           63
10.911090      207    287    229    158       248         251    187     235     308         330           63
11.011100      207    287    229    159       248         251    187     236     308         330           63
11.111110      207    287    229    159       248         251    187     236     308         330           63
11.211120      208    287    229    159       248         251    187     236     308         330           63
11.311130      208    287    229    161       249         251    187     236     309         330           65
11.411140      208    287    230    161       250         251    187     236     309         330           65
11.511150      208    287    230    161       250         251    187     236     310         330           65
11.611160      209    287    231    161       250         252    188     236     310         330           65
11.711170      209    287    231    163       251         252    188     236     310         330           66
11.811180      209    288    231    163       251         253    188     237     310         330           66
11.911190      209    288    231    163       251         254    188     237     310         330           67
12.011200      209    288    233    164       253         254    188     237     310         330           69
12.111210      209    288    233    164       253         255    188     237     311         331           69
12.211220      209    288    234    168       254         255    188     237     311         331           69
12.311230      209    289    234    169       254         255    188     237     311         331           70
12.411240      209    289    234    169       255         255    188     237     311         331           70
12.511250      209    289    235    170       255         255    188     237     311         331           70
12.611260      209    289    235    171       255         255    188     237     311         331           70
12.711270      209    289    236    171       256         255    188     238     311         331           70
12.811280      209    289    236    171       256         255    188     238     312         332           70
12.911290      209    289    236    172       257         255    188     238     312         333           70
13.011300      209    289    236    172       257         255    188     238     312         333           70
13.111310      210    289    236    172       257         255    188     238     312         333           70
13.211320      210    289    236    172       258         255    188     238     312         333           70
13.311330      210    289    236    173       258         255    188     238     312         333           70
13.411340      210    289    236    173       259         255    188     238     312         333           71
13.511350      211    289    236    173       259         255    188     238     313         334           71
13.611360      211    289    236    173       259         255    188     238     313         334           71
13.711370      211    289    236    175       259         255    188     238     313         334           71
13.811380      211    289    236    175       259         255    188     238     313         334           71
13.911390      212    289    236    175       259         255    188     238     313         334           71
14.011400      213    289    236    175       259         256    188     239     314         335           71
14.111410      213    289    237    176       259         256    188     239     314         335           71
14.211420      213    289    237    176       260         256    188     239     314         335           71
14.311430      213    289    237    176       261         256    188     240     314         335           71
14.411440      214    289    237    177       263         256    188     242     314         335           72
14.511450      214    289    237    179       263         256    188     242     314         335           72
14.611460      214    289    237    179       263         256    188     242     314         335           72
14.711470      214    289    237    179       264         256    188     242     314         335           72
14.811480      214    289    237    179       265         256    188     242     314         335           73
14.911490      214    289    237    181       265         256    188     242     314         335           73
15.011500      214    289    237    182       265         256    188     242     314         335           73
15.111510      214    289    237    183       265         256    188     242     315         336           73
15.211520      214    289    237    184       265         256    188     243     315         336           74
15.311530      214    289    237    184       266         256    188     243     315         336           74
15.411540      214    289    237    185       266         256    188     243     315         336           74
15.511550      214    289    237    186       266         256    188     244     315         336           75
15.611560      214    289    237    186       266         256    188     244     315         336           75
15.711570      214    289    237    187       267         256    188     244     315         336           76
15.811580      214    289    237    187       267         256    188     244     315         336           76
15.911590      214    289    237    187       267         256    188     244     315         336           76
16.011600      215    289    237    187       267         256    188     244     315         336           76
16.111610      216    289    237    187       267         256    188     244     315         336           76
16.211620      216    289    237    189       267         256    188     244     315         336           76
16.311630      216    290    239    192       268         256    188     244     315         336           78
16.411640      216    290    240    192       268         257    188     244     315         336           78
16.511650      216    290    240    192       268         257    188     244     315         336           78
16.611660      217    290    240    193       268         258    188     244     315         336           78
16.711670      217    290    240    194       268         258    188     244     315         336           79
16.811680      217    290    240    194       268         258    189     244     315         336           79
16.911690      217    290    240    194       268         258    189     244     315         336           79
17.011700      217    290    240    194       269         258    189     244     315         336           79
17.111710      217    290    240    194       269         258    189     244     315         336           79
17.211720      217    290    240    194       270         258    189     245     315         336           80
17.311730      217    290    241    194       270         258    189     246     316         336           81
17.411740      217    290    241    194       271         258    189     246     316         336           82
17.511750      217    290    241    194       271         258    189     246     316         336           82
17.611760      217    290    241    195       272         258    189     246     317         336           83
17.711770      217    290    241    195       272         258    189     246     317         336           83
17.811780      217    290    241    195       272         258    189     246     317         336           83
17.911790      218    290    241    195       272         258    189     246     317         336           83
18.011800      218    290    241    195       272         258    189     246     317         336           83
18.111810      218    290    241    195       272         258    189     246     317         336           83
18.211820      218    290    241    196       273         259    190     246     317         336           83
18.311830      218    290    243    196       273         259    190     246     317         336           83
18.411840      218    290    243    196       273         259    190     246     317         336           83
18.511850      218    290    243    197       273         259    190     246     317         336           84
18.611860      218    290    243    197       273         259    190     246     317         336           84
18.711870      218    290    243    197       274         259    190     246     317         336           84
18.811880      218    290    243    197       274         260    190     246     317         336           84
18.911890      218    290    243    197       274         260    190     246     317         336           84
19.011900      218    291    243    197       275         260    190     246     317         336           84
19.111910      219    291    243    198       275         260    190     246     317         336           85
19.211920      219    291    243    199       275         260    190     246     317         336           86
19.311930      219    291    243    199       276         260    190     246     317         336           87
19.411940      219    291    243    199       276         260    190     246     317         336           87
19.511950      219    291    243    199       276         260    190     246     317         336           87
19.611960      219    291    243    199       276         260    190     246     317         336           87
19.711970      219    291    243    200       276         260    190     246     317         336           87
19.811980      220    292    244    201       277         260    190     247     317         336           89
19.911990      220    293    244    201       277         260    190     247     318         336           89
20.012000      220    293    244    202       277         260    190     247     318         336           89
20.112010      220    293    244    202       277         260    190     247     318         336           89
20.212020      220    293    246    203       277         260    190     249     318         336           89
20.312030      220    293    246    203       278         260    191     249     318         336           89
20.412040      220    293    246    203       280         260    191     249     318         336           89
20.512050      220    293    246    203       280         260    191     249     318         336           89
20.612060      220    294    246    203       281         260    191     249     318         336           90
20.712070      220    294    246    203       281         260    191     249     318         336           90
20.812080      220    294    246    203       281         260    191     249     318         336           90
20.912090      220    294    246    203       281         260    191     249     319         337           90
21.012100      220    294    246    203       281         260    192     249     319         337           90
21.112110      220    294    246    203       281         260    192     249     319         337           90
21.212120      222    294    246    203       281         260    192     249     319         337           90
21.312130      222    294    246    203       281         260    192     249     319         337           90
