Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
              aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
1.000000           0     79      7      4         5          19      3      21      50         183            0
1.001268           0     79      7      4         5          19      3      21      50         183            0
1.002539           0     79      7      4         5          19      3      21      50         183            0
1.003810           0     79      7      4         5          19      3      21      50         183            0
1.005083           0     79      7      4         5          19      3      21      50         183            0
1.006358           0     79      7      4         5          19      3      21      50         183            0
1.007635           0     79      7      4         5          20      3      21      51         183            0
1.008913           0     79      7      4         5          20      3      21      51         183            0
1.010193           0     79      7      4         5          20      3      22      51         183            0
1.011474           0     79      7      4         5          20      3      22      51         183            0
1.012757           0     79      7      4         5          20      3      22      51         183            0
1.014042           0     79      7      4         5          20      3      22      51         183            0
1.015328           0     79      7      4         5          20      3      22      51         183            0
1.016616           0     79      7      4         5          20      3      22      51         183            0
1.017905           0     79      7      4         5          20      3      22      51         183            0
1.019197           0     79      7      4         5          20      3      22      51         183            0
1.020489           0     79      7      4         5          20      3      22      52         183            0
1.021784           0     79      7      4         5          20      3      22      52         183            0
1.023080           0     80      7      4         5          20      3      22      52         183            0
1.024378           0     80      7      4         5          21      3      23      52         183            0
1.025677           0     80      7      4         5          21      3      23      52         183            0
1.026978           0     80      7      4         5          21      3      23      52         183            0
1.028281           0     80      7      4         5          21      3      23      52         183            0
1.029585           0     80      7      4         5          21      3      23      52         183            0
1.030891           0     80      7      4         5          21      3      23      52         183            0
1.032199           0     80      7      4         5          21      3      23      52         183            0
1.033508           0     80      7      4         5          21      3      23      52         183            0
1.034819           0     80      7      4         5          21      3      23      52         183            0
1.036132           0     80      7      4         5          21      3      23      52         183            0
1.037446           0     80      7      4         5          21      3      23      53         183            0
1.038762           0     80      7      4         5          21      3      23      53         183            0
1.040079           0     80      7      4         5          21      3      23      53         183            0
1.041399           0     80      7      4         5          21      3      23      54         183            0
1.042720           0     80      7      4         5          21      3      23      55         183            0
1.044042           0     81      7      4         5          21      3      23      55         183            0
1.045367           0     81      7      4         5          21      3      23      55         183            0
1.046693           0     81      7      4         5          21      3      23      55         183            0
1.048020           0     81      7      4         5          21      3      23      55         183            0
1.049350           0     81      7      4         5          21      3      23      55         183            0
1.050681           0     81      7      4         5          22      3      23      55         183            0
1.052013           0     81      7      4         5          22      3      23      55         183            0
1.053348           0     81      7      4         5          22      3      23      55         183            0
1.054684           0     81      7      4         5          22      3      23      55         183            0
1.056022           0     81      7      4         5          22      3      23      55         183            0
1.057361           0     81      7      4         5          23      3      23      55         183            0
1.058703           0     81      7      4         5          23      3      23      55         183            0
1.060045           0     81      7      4         5          23      3      23      55         183            0
1.061390           0     81      7      4         5          23      3      23      55         183            0
1.062736           0     81      7      4         5          23      3      23      55         183            0
1.064084           0     81      7      4         5          23      3      23      55         183            0
1.065434           0     81      7      4         5          23      3      23      55         183            0
1.066786           0     81      7      4         5          23      3      24      55         183            0
1.068139           0     81      7      4         5          23      3      24      55         183            0
1.069494           0     81      7      4         5          23      3      25      55         183            0
1.070850           0     81      7      4         5          23      3      25      55         183            0
1.072209           0     81      7      4         5          23      3      25      55         183            0
1.073569           0     81      7      4         5          24      3      25      55         183            0
1.074930           0     81      7      4         5          24      3      25      55         183            0
1.076294           0     82      7      4         5          24      3      25      55         183            0
1.077659           0     82      7      4         5          24      3      26      55         183            0
1.079026           0     82      7      4         5          24      3      26      55         183            0
1.080395           0     82      7      4         5          24      3      26      55         183            0
1.081765           0     82      7      4         5          24      3      26      55         183            0
1.083137           0     82      7      4         6          24      3      26      55         183            0
1.084511           0     83      7      4         6          24      3      26      55         183            0
1.085887           0     83      7      4         6          24      3      26      56         183            0
1.087264           0     83      7      4         6          24      3      26      56         183            0
1.088643           0     83      7      4         7          25      3      26      56         183            0
1.090024           0     83      7      4         7          25      4      26      56         183            0
1.091407           0     83      7      4         7          25      4      26      56         183            0
