Relative performance profile for SolverTime
Filter: within 10.0% of known optimal value and not failed
              aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
1.000000           1    160     29      5        14          66     13      41      95         358            0
1.001268           2    160     30      5        14          68     14      42      96         358            0
1.002539           2    160     30      5        14          68     14      42      96         358            0
1.003810           2    160     30      5        14          68     14      42      96         358            0
1.005083           2    160     30      5        14          68     14      43      96         358            0
1.006358           2    160     30      5        14          68     14      43      97         358            0
1.007635           2    160     30      5        14          69     14      43      98         358            0
1.008913           2    160     30      5        14          69     14      43      98         358            0
1.010193           2    160     30      5        14          69     14      44      98         358            0
1.011474           2    160     30      5        14          69     14      44      98         358            0
1.012757           2    160     30      5        14          69     14      44      98         358            0
1.014042           2    160     30      5        14          69     14      44      98         358            0
1.015328           2    160     30      5        14          69     14      44      98         358            0
1.016616           2    160     30      5        14          69     14      44      98         358            0
1.017905           2    160     30      5        14          69     14      44      98         358            0
1.019197           2    160     30      5        14          69     14      44      98         358            0
1.020489           2    160     30      5        14          69     14      44      99         358            0
1.021784           2    160     30      5        14          69     14      44      99         358            0
1.023080           2    162     31      5        15          71     14      45     100         358            0
1.024378           2    162     31      5        15          72     14      46     100         358            0
1.025677           2    163     31      5        15          72     14      47     100         358            0
1.026978           2    163     31      5        15          72     14      47     100         358            0
1.028281           2    163     31      5        15          72     14      47     100         358            0
1.029585           2    164     31      5        15          73     14      47     100         358            0
1.030891           2    164     31      5        15          73     14      47     100         358            0
1.032199           2    164     31      5        15          73     14      47     100         358            0
1.033508           2    164     31      5        15          74     14      47     100         358            0
1.034819           2    164     31      5        15          74     14      47     100         358            0
1.036132           2    164     31      5        15          74     14      47     100         358            0
1.037446           2    164     31      5        15          75     14      47     101         358            0
1.038762           2    164     31      5        15          75     14      47     101         358            0
1.040079           2    164     31      5        15          75     14      47     101         358            0
1.041399           2    164     31      5        15          75     14      47     102         358            0
1.042720           2    164     31      5        15          75     14      47     103         358            0
