Relative performance profile for NumberOfNodes
Filter: gap <= 0.1002% and not failed
              aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
1.000000e+00       0      0     90    309         0         315      9     123     150         356            0
1.001567e+00       0      0     90    309         0         315      9     123     150         356            0
1.003136e+00       0      0     90    309         0         315      9     123     150         356            0
1.004708e+00       0      0     90    309         0         315      9     123     150         356            0
1.006283e+00       0      0     90    309         0         315      9     123     150         356            0
1.007859e+00       0      0     90    309         0         315      9     123     150         356            0
1.009439e+00       0      0     90    309         0         315      9     123     150         356            0
1.011020e+00       0      0     90    309         0         315      9     123     150         356            0
1.012605e+00       0      0     90    309         0         315      9     123     150         356            0
1.014191e+00       0      0     90    309         0         315      9     123     150         356            0
1.015781e+00       0      0     90    309         0         315      9     123     150         356            0
1.017372e+00       0      0     90    309         0         315      9     123     150         356            0
1.018966e+00       0      0     90    309         0         315      9     123     150         356            0
1.020563e+00       0      0     90    309         0         315      9     123     150         356            0
1.022162e+00       0      0     90    309         0         315      9     123     150         356            0
1.023764e+00       0      0     90    309         0         315      9     123     150         356            0
1.025368e+00       0      0     90    309         0         315      9     123     150         356            0
1.026975e+00       0      0     90    309         0         315      9     123     150         356            0
1.028584e+00       0      0     90    309         0         315      9     123     150         356            0
1.030196e+00       0      0     90    309         0         315      9     123     150         356            0
1.031810e+00       0      0     90    309         0         315      9     123     150         356            0
1.033427e+00       0      0     90    309         0         315      9     123     150         356            0
1.035046e+00       0      0     90    309         0         315      9     123     150         356            0
1.036668e+00       0      0     90    309         0         315      9     123     150         356            0
1.038293e+00       0      0     90    309         0         315      9     123     150         356            0
1.039920e+00       0      0     90    309         0         315      9     123     150         356            0
1.041549e+00       0      0     90    309         0         315      9     123     150         356            0
1.043181e+00       0      0     90    309         0         315      9     123     150         356            0
1.044816e+00       0      0     90    309         0         315      9     123     150         356            0
1.046453e+00       0      0     90    309         0         315      9     123     150         356            0
1.048093e+00       0      0     90    309         0         315      9     123     150         356            0
1.049735e+00       0      0     90    309         0         315      9     123     150         356            0
1.051380e+00       0      0     90    309         0         315      9     123     150         356            0
1.053027e+00       0      0     90    309         0         315      9     123     150         356            0
1.054677e+00       0      0     90    309         0         315      9     123     150         356            0
1.056330e+00       0      0     90    309         0         315      9     123     150         356            0
1.057985e+00       0      0     90    309         0         315      9     123     150         356            0
