Relative performance profile for NumberOfIterations
Filter: gap <= 0.1002% and not failed
              aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
1.000000e+00       0    334    316     77         0         315      1      15     343         356            0
1.002020e+00       0    334    316     77         0         315      1      15     343         356            0
1.004043e+00       0    334    316     77         0         315      1      15     343         356            0
1.006071e+00       0    334    316     77         0         315      1      15     343         356            0
1.008103e+00       0    334    316     77         0         315      1      15     343         356            0
1.010139e+00       0    334    316     77         0         315      1      15     343         356            0
1.012179e+00       0    334    316     77         0         315      1      15     343         356            0
1.014223e+00       0    334    316     77         0         315      1      15     343         356            0
1.016272e+00       0    334    316     77         0         315      1      15     343         356            0
1.018324e+00       0    334    316     77         0         315      1      15     343         356            0
1.020381e+00       0    334    316     77         0         315      1      15     343         356            0
1.022441e+00       0    334    316     77         0         315      1      15     343         356            0
1.024506e+00       0    334    316     77         0         315      1      15     343         356            0
1.026575e+00       0    334    316     77         0         315      1      15     343         356            0
1.028649e+00       0    334    316     77         0         315      1      15     343         356            0
1.030726e+00       0    334    316     77         0         315      1      15     343         356            0
1.032808e+00       0    334    316     77         0         315      1      15     343         356            0
1.034894e+00       0    334    316     77         0         315      1      15     343         356            0
1.036984e+00       0    334    316     77         0         315      1      15     343         356            0
1.039078e+00       0    334    316     77         0         315      1      15     343         356            0
1.041177e+00       0    334    316     77         0         315      1      15     343         356            0
1.043279e+00       0    334    316     77         0         315      1      15     343         356            0
1.045386e+00       0    334    316     77         0         315      1      15     343         356            0
1.047498e+00       0    334    316     77         0         315      1      15     343         356            0
1.049613e+00       0    334    316     77         0         315      1      15     343         356            0
1.051733e+00       0    334    316     77         0         315      1      15     343         356            0
1.053857e+00       0    334    316     77         0         315      1      15     343         356            0
1.055985e+00       0    334    316     77         0         315      1      15     343         356            0
1.058118e+00       0    334    316     77         0         315      1      15     343         356            0
1.060255e+00       0    334    316     77         0         315      1      15     343         356            0
1.062396e+00       0    334    316     77         0         315      1      15     343         356            0
1.064542e+00       0    334    316     77         0         315      1      15     343         356            0
1.066692e+00       0    334    316     77         0         315      1      15     343         356            0
1.068846e+00       0    334    316     77         0         315      1      15     343         356            0
1.071005e+00       0    334    316     77         0         315      1      15     343         356            0
1.073168e+00       0    334    316     77         0         315      1      15     343         356            0
1.075335e+00       0    334    316     77         0         315      1      15     343         356            0
1.077507e+00       0    334    316     77         0         315      1      15     343         356            0
1.079683e+00       0    334    316     77         0         315      1      15     343         356            0
1.081864e+00       0    334    316     77         0         315      1      15     343         356            0
1.084049e+00       0    334    316     77         0         315      1      15     343         356            0
1.086238e+00       0    334    316     77         0         315      1      15     343         356            0
1.088432e+00       0    334    316     77         0         315      1      15     343         356            0
1.090630e+00       0    334    316     77         0         315      1      15     343         356            0
1.092833e+00       0    334    316     77         0         315      1      15     343         356            0
1.095040e+00       0    334    316     77         0         315      1      15     343         356            0
1.097251e+00       0    334    316     77         0         315      1      15     343         356            0
1.099467e+00       0    334    316     77         0         315      1      15     343         356            0
1.101688e+00       0    334    316     77         0         315      1      15     343         356            0
1.103913e+00       0    334    316     77         0         315      1      15     343         356            0
1.106142e+00       0    334    316     77         0         315      1      15     343         356            0
1.108376e+00       0    334    316     77         0         315      1      15     343         356            0
1.110615e+00       0    334    316     77         0         315      1      15     343         356            0
1.112858e+00       0    334    316     77         0         315      1      15     343         356            0
1.115105e+00       0    334    316     77         0         315      1      15     343         356            0
1.117357e+00       0    334    316     77         0         315      1      15     343         356            0
1.119614e+00       0    334    316     77         0         315      1      15     343         356            0
1.121875e+00       0    334    316     77         0         315      1      15     343         356            0
1.124141e+00       0    334    316     77         0         315      1      15     343         356            0
1.126411e+00       0    334    316     77         0         315      1      15     343         356            0
1.128686e+00       0    334    316     77         0         315      1      15     343         356            0
1.130966e+00       0    334    316     77         0         315      1      15     343         356            0
1.133250e+00       0    334    316     77         0         315      1      15     343         356            0
1.135539e+00       0    334    316     77         0         315      1      15     343         356            0
1.137832e+00       0    334    316     77         0         315      1      15     343         356            0
1.140130e+00       0    334    316     77         0         315      1      15     343         356            0
1.142432e+00       0    334    316     77         0         315      1      15     343         356            0
1.144740e+00       0    334    316     77         0         315      1      15     343         356            0
1.147052e+00       0    334    316     77         0         315      1      15     343         356            0
1.149368e+00       0    334    316     77         0         315      1      15     343         356            0
1.151689e+00       0    334    316     77         0         315      1      15     343         356            0
1.154015e+00       0    334    316     77         0         315      1      15     343         356            0
1.156346e+00       0    334    316     77         0         315      1      15     343         356            0
1.158681e+00       0    334    316     77         0         315      1      15     343         356            0
1.161022e+00       0    334    316     77         0         315      1      15     343         356            0
1.163366e+00       0    334    316     77         0         315      1      15     343         356            0
1.165716e+00       0    334    316     77         0         315      1      15     343         356            0
1.168070e+00       0    334    316     77         0         315      1      15     343         356            0
1.170429e+00       0    334    316     77         0         315      1      15     343         356            0
1.172793e+00       0    334    316     77         0         315      1      15     343         356            0
1.175162e+00       0    334    316     77         0         315      1      15     343         356            0
1.177535e+00       0    334    316     77         0         315      1      15     343         356            0
1.179913e+00       0    334    316     77         0         315      1      15     343         356            0
1.182296e+00       0    334    316     77         0         315      1      15     343         356            0
1.184684e+00       0    334    316     77         0         315      1      15     343         356            0
1.187076e+00       0    334    316     77         0         315      1      15     343         356            0
1.189474e+00       0    334    316     77         0         315      1      15     343         356            0
1.191876e+00       0    334    316     77         0         315      1      15     343         356            0
1.194283e+00       0    334    316     77         0         315      1      15     343         356            0
1.196695e+00       0    334    316     77         0         315      1      15     343         356            0
1.199112e+00       0    334    316     77         0         315      1      15     343         356            0
1.201534e+00       0    334    316     77         0         315      1      15     343         356            0
1.203961e+00       0    334    316     77         0         315      1      15     343         356            0
1.206392e+00       0    334    316     77         0         315      1      15     343         356            0
1.208828e+00       0    334    316     77         0         315      1      15     343         356            0
1.211270e+00       0    334    316     77         0         315      1      15     343         356            0
1.213716e+00       0    334    316     77         0         315      1      15     343         356            0
1.216167e+00       0    334    316     77         0         315      1      15     343         356            0
1.218624e+00       0    334    316     77         0         315      1      15     343         356            0
1.221085e+00       0    334    316     77         0         315      1      15     343         356            0
1.223551e+00       0    334    316     77         0         315      1      15     343         356            0
1.226022e+00       0    334    316     77         0         315      1      15     343         356            0
1.228498e+00       0    334    316     77         0         315      1      15     343         356            0
1.230979e+00       0    334    316     77         0         315      1      15     343         356            0
1.233465e+00       0    334    316     77         0         315      1      15     343         356            0
1.235956e+00       0    334    316     77         0         315      1      15     343         356            0
1.238452e+00       0    334    316     77         0         315      1      15     343         356            0
1.240954e+00       0    334    316     77         0         315      1      15     343         356            0
1.243460e+00       0    334    316     77         0         315      1      15     343         356            0
1.245971e+00       0    334    316     77         0         315      1      15     343         356            0
1.248488e+00       0    334    316     77         0         315      1      15     343         356            0
1.251009e+00       0    334    316     77         0         315      1      15     343         356            0
1.253536e+00       0    334    316     77         0         315      1      15     343         356            0
1.256067e+00       0    334    316     77         0         315      1      15     343         356            0
1.258604e+00       0    334    316     77         0         315      1      15     343         356            0
1.261146e+00       0    334    316     77         0         315      1      15     343         356            0
1.263693e+00       0    334    316     77         0         315      1      15     343         356            0
1.266245e+00       0    334    316     77         0         315      1      15     343         356            0
1.268802e+00       0    334    316     77         0         315      1      15     343         356            0
1.271365e+00       0    334    316     77         0         315      1      15     343         356            0
1.273932e+00       0    334    316     77         0         315      1      15     343         356            0
1.276505e+00       0    334    316     77         0         315      1      15     343         356            0
1.279083e+00       0    334    316     77         0         315      1      15     343         356            0
1.281667e+00       0    334    316     77         0         315      1      15     343         356            0
1.284255e+00       0    334    316     77         0         315      1      15     343         356            0
1.286849e+00       0    334    316     77         0         315      1      15     343         356            0
1.289448e+00       0    334    316     77         0         315      1      15     343         356            0
1.292052e+00       0    334    316     77         0         315      1      15     343         356            0
1.294661e+00       0    334    316     77         0         315      1      15     343         356            0
1.297276e+00       0    334    316     77         0         315      1      15     343         356            0
1.299896e+00       0    334    316     77         0         315      1      15     343         356            0
1.302521e+00       0    334    316     77         0         315      1      15     343         356            0
1.305152e+00       0    334    316     77         0         315      1      15     343         356            0
1.307788e+00       0    334    316     77         0         315      1      15     343         356            0
1.310429e+00       0    334    316     77         0         315      1      15     343         356            0
1.313076e+00       0    334    316     77         0         315      1      15     343         356            0
