Absolute performance profile for Gap
Filter: no fail
          aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
0.000000     101    334     14    158       319         309     73     156     340         355            4
0.000222     224    334     18    289       319         312     90     195     343         355            4
0.000444     253    334     24    296       319         313    102     204     343         355            4
0.000667     262    334     30    299       319         314    120     230     343         355            5
0.000889     270    334     39    310       319         314    162     265     343         355           16
0.001111     277    334    320    315       319         315    238     306     343         356          154
0.001333     279    334    320    315       319         315    238     306     343         356          155
0.001556     282    334    320    315       320         315    239     307     343         356          155
0.001778     289    334    320    315       320         315    240     307     343         356          157
0.002000     292    335    321    315       320         315    240     307     344         356          160
0.002222     295    335    321    315       321         315    240     310     344         356          161
0.002445     297    335    323    315       321         315    242     311     344         356          164
0.002667     299    335    328    315       321         315    247     311     344         356          170
0.002889     302    335    328    315       321         315    247     311     344         356          172
0.003111     303    335    328    315       321         315    247     311     344         356          172
0.003334     303    335    329    315       321         315    248     311     344         356          173
0.003556     305    335    330    315       321         315    248     311     344         356          175
0.003778     307    335    330    315       322         315    248     311     344         356          177
0.004000     311    335    332    315       322         315    248     311     344         356          181
0.004223     311    335    334    315       323         315    248     311     344         356          182
0.004445     311    335    334    315       323         315    248     311     344         356          182
0.004667     311    335    334    315       323         315    248     311     344         356          182
0.004889     311    335    334    316       323         315    248     311     344         356          182
0.005112     311    335    334    316       323         315    248     311     344         356          182
0.005334     311    335    334    316       324         315    248     311     344         356          182
0.005556     311    335    334    316       324         315    248     311     344         356          182
0.005778     311    335    334    316       324         315    248     311     344         356          182
0.006001     313    335    334    316       324         316    248     311     344         356          183
0.006223     313    335    334    316       324         316    248     311     344         356          183
0.006445     313    335    334    316       324         316    248     311     344         356          183
0.006667     313    335    334    316       324         316    248     311     344         356          183
0.006890     313    335    334    316       324         316    248     311     344         356          183
0.007112     313    335    334    316       324         316    248     311     344         356          183
0.007334     313    335    334    316       324         316    248     311     344         356          183
0.007556     314    335    334    316       324         316    248     311     344         356          183
0.007779     314    335    334    316       324         316    248     311     344         356          183
0.008001     314    335    334    316       325         316    248     311     344         356          183
0.008223     315    335    334    316       325         316    249     311     344         356          183
0.008445     315    335    334    316       325         316    249     311     344         356          183
0.008668     315    335    334    316       325         316    249     311     344         356          183
0.008890     315    335    334    316       325         316    249     311     344         356          183
0.009112     315    335    336    316       325         316    250     311     344         356          185
0.009334     316    335    336    316       325         316    250     311     344         356          186
0.009557     317    335    336    316       325         316    250     311     344         356          186
0.009779     317    335    336    316       325         317    251     311     344         356          186
0.010001     317    335    336    316       325         317    251     311     344         356          186
0.010223     317    335    336    316       325         318    251     311     344         356          186
0.010446     317    335    336    316       325         318    251     311     345         356          186
0.010668     317    335    337    316       325         318    252     312     345         356          186
0.010890     317    335    337    316       325         318    252     312     345         356          186
0.011112     317    335    337    316       325         318    252     312     345         356          186
0.011335     317    335    337    316       325         318    252     312     345         356          186
0.011557     317    335    337    316       325         318    252     312     345         356          186
0.011779     317    335    337    316       326         318    252     312     345         357          186
0.012001     317    335    337    316       326         318    252     312     345         357          186
0.012224     317    335    338    316       326         318    253     312     345         357          187
0.012446     317    336    338    316       326         318    253     312     345         357          187
0.012668     317    336    338    316       326         318    253     313     345         357          187
0.012890     317    336    338    316       326         318    253     313     345         357          187
0.013113     317    336    338    316       326         318    253     313     345         357          187
0.013335     317    336    339    316       326         318    253     313     345         357          187
0.013557     317    336    339    316       326         318    253     313     345         357          187
0.013779     317    336    339    316       326         318    253     313     345         357          187
0.014002     317    336    339    316       326         318    253     314     345         357          187
0.014224     317    336    339    316       326         318    253     314     345         357          187
0.014446     317    336    339    316       326         318    253     314     345         357          187
0.014668     318    336    339    316       326         318    253     314     345         357          188
0.014891     318    336    339    316       326         318    253     314     345         357          188
0.015113     318    336    339    316       326         318    253     314     345         357          188
0.015335     318    336    341    316       326         318    253     314     345         357          190
0.015557     318    336    341    316       326         318    253     314     345         357          190
0.015780     318    336    341    316       326         318    253     314     345         357          190
0.016002     318    336    341    316       326         318    253     314     345         357          190
0.016224     318    336    341    316       326         318    254     314     345         357          190
0.016446     318    336    341    316       326         318    254     314     345         357          190
0.016669     318    336    341    316       326         319    254     314     345         357          190
0.016891     318    336    341    316       326         319    254     314     345         357          190
0.017113     318    336    341    316       326         319    254     314     345         357          190
0.017335     318    336    341    316       326         319    254     314     346         358          190
0.017558     318    336    341    316       326         319    254     314     346         358          190
0.017780     318    336    341    316       326         319    254     314     346         358          190
0.018002     318    336    341    316       326         319    254     314     346         358          190
0.018224     318    336    341    316       326         319    254     314     346         358          190
0.018446     318    336    341    316       326         319    254     314     346         358          190
0.018669     318    336    341    316       326         319    254     314     346         358          190
0.018891     318    336    341    316       326         319    254     314     346         358          190
0.019113     318    336    341    316       326         319    254     314     346         358          190
0.019335     318    336    341    316       326         319    254     314     346         358          190
0.019558     318    336    341    316       326         319    254     314     346         358          190
0.019780     318    336    341    316       327         319    254     314     346         358          190
0.020002     318    336    342    316       327         319    254     314     346         358          190
0.020224     318    336    342    316       327         319    254     314     347         358          190
0.020447     319    336    342    316       327         319    254     314     347         358          190
0.020669     319    336    342    316       328         319    254     314     347         358          190
0.020891     319    336    342    316       328         319    254     314     347         358          190
0.021113     319    336    342    316       328         319    254     314     347         358          190
0.021336     319    336    342    316       328         319    254     314     347         358          190
0.021558     319    336    342    316       328         319    254     314     347         358          190
0.021780     319    336    342    316       328         319    254     314     347         358          190
0.022002     319    336    342    316       328         320    254     314     347         358          190
0.022225     319    336    342    316       328         320    254     314     347         358          190
0.022447     319    336    342    316       328         320    254     314     347         358          190
0.022669     319    336    342    316       328         320    254     314     347         358          190
0.022891     319    336    342    316       328         320    254     314     347         358          190
0.023114     320    336    342    316       328         320    254     314     347         358          190
0.023336     320    337    342    316       328         320    254     314     347         358          190
0.023558     320    337    342    316       328         320    254     314     347         358          190
0.023780     320    337    342    316       328         320    254     314     347         358          190
0.024003     320    337    342    316       328         320    254     314     347         358          190
0.024225     321    337    342    316       328         320    254     314     347         358          190
0.024447     321    337    342    316       328         320    254     314     347         358          190
0.024669     321    337    342    316       328         320    254     314     347         358          190
0.024892     321    337    342    316       328         320    254     314     347         358          190
0.025114     321    337    342    316       328         320    254     314     347         358          190
0.025336     321    337    342    316       328         320    254     314     347         358          190
0.025558     321    337    342    316       328         320    254     314     347         358          190
0.025781     321    337    342    316       328         320    254     314     347         358          190
0.026003     321    337    342    316       328         320    254     314     347         358          190
0.026225     321    337    342    316       328         320    254     314     347         358          190
0.026447     321    337    342    316       328         320    254     315     347         358          190
0.026670     321    337    342    316       328         320    254     315     347         358          190
0.026892     321    337    342    316       328         320    254     315     347         358          190
0.027114     321    337    342    316       328         320    254     315     347         358          190
0.027336     321    337    342    316       328         320    254     315     347         358          190
0.027559     321    337    342    316       328         320    254     315     347         358          190
0.027781     321    337    342    316       328         320    254     315     347         358          190
0.028003     321    337    342    316       328         320    254     315     347         358          190
0.028225     321    337    342    316       328         320    254     315     347         358          190
0.028448     321    337    342    316       328         320    254     315     347         358          190
0.028670     321    337    342    316       328         320    254     315     347         358          190
0.028892     321    337    342    316       328         320    254     315     347         358          190
0.029114     321    337    342    316       328         320    254     315     347         358          190
0.029337     321    337    342    316       328         320    254     315     347         358          190
0.029559     321    337    342    316       328         320    254     315     347         358          190
0.029781     321    337    342    316       328         320    254     315     347         358          190
0.030003     322    337    342    316       328         320    254     315     347         358          190
0.030226     322    337    342    316       328         320    254     315     347         358          190
0.030448     322    337    342    316       328         320    254     315     347         358          190
0.030670     322    337    342    316       328         320    254     316     347         358          190
0.030892     322    337    342    316       328         320    254     316     347         358          190
0.031115     322    337    342    316       328         320    254     316     347         358          190
0.031337     322    337    342    316       328         321    254     316     347         358          190
0.031559     322    337    342    316       329         321    254     316     347         358          190
0.031781     322    337    342    316       329         321    254     316     347         358          190
0.032004     322    337    342    316       329         321    254     316     347         358          190
0.032226     322    337    343    316       329         321    254     316     347         358          190
0.032448     322    337    343    316       329         321    254     316     347         358          190
0.032670     322    337    343    316       329         321    254     316     347         358          190
0.032893     322    337    343    316       329         321    254     316     347         358          190
0.033115     322    337    343    316       329         321    254     316     347         358          190
0.033337     322    337    343    316       329         321    254     317     347         358          190
0.033559     322    337    343    316       329         321    254     317     347         358          190
0.033782     322    337    343    316       329         321    254     317     347         358          190
0.034004     322    337    343    316       329         321    254     317     347         358          190
0.034226     322    337    343    316       329         321    254     317     347         358          190
0.034448     322    337    343    316       329         321    254     317     347         358          190
0.034671     322    337    343    316       329         321    254     317     347         358          190
0.034893     322    337    343    316       329         321    254     317     347         358          190
0.035115     322    337    343    316       329         321    254     317     347         358          190
0.035337     323    337    344    316       329         321    254     317     347         358          190
0.035560     324    337    344    316       329         321    254     317     347         358          190
0.035782     324    337    344    316       329         321    254     317     347         358          190
0.036004     324    337    344    316       329         321    254     317     347         358          190
0.036226     324    337    344    316       329         321    254     317     347         358          190
0.036448     324    337    344    316       329         321    254     317     347         358          190
0.036671     324    337    344    316       329         321    254     317     347         358          190
0.036893     324    337    344    316       329         321    254     317     347         358          190
0.037115     324    337    344    316       329         321    254     317     347         358          190
0.037337     324    337    344    316       329         322    254     317     348         358          190
0.037560     324    337    344    316       329         322    254     317     348         358          190
0.037782     324    337    344    316       329         322    254     317     348         358          190
0.038004     324    337    344    316       329         322    254     317     348         358          190
0.038226     324    337    344    316       329         322    254     317     348         358          190
0.038449     324    337    344    316       329         322    254     317     348         358          190
0.038671     324    337    344    316       329         322    254     317     348         358          190
0.038893     324    337    344    316       329         322    254     317     348         358          190
0.039115     324    337    344    316       329         322    254     317     348         358          190
0.039338     324    337    344    316       329         322    254     317     348         358          190
0.039560     324    337    344    316       329         322    254     317     348         358          190
0.039782     324    337    344    316       329         322    254     317     348         358          190
0.040004     324    337    344    316       329         322    254     317     348         358          190
0.040227     324    337    344    316       329         322    254     317     348         358          190
0.040449     324    337    344    316       329         322    254     317     348         358          190
0.040671     324    337    344    316       329         322    254     317     348         358          190
0.040893     324    337    344    316       329         322    254     317     348         358          190
0.041116     324    337    344    316       329         322    254     317     348         358          190
0.041338     324    337    344    316       329         322    254     317     348         358          190
0.041560     324    337    344    316       329         322    254     317     348         358          190
0.041782     324    337    344    316       329         322    254     317     348         358          190
0.042005     324    337    344    316       329         322    254     317     348         358          190
0.042227     324    337    344    316       329         323    254     317     349         358          190
0.042449     324    337    344    316       329         323    254     317     349         358          190
0.042671     324    337    344    316       329         323    255     317     349         358          190
0.042894     324    337    344    316       329         323    255     317     349         358          190
0.043116     324    337    344    316       329         324    255     317     349         358          190
0.043338     324    337    344    316       329         324    255     317     349         358          190
0.043560     324    337    344    316       329         324    255     317     349         358          190
0.043783     324    337    344    316       329         324    255     317     349         358          190
0.044005     324    337    344    316       329         324    255     317     349         358          190
0.044227     324    337    344    316       329         324    255     317     349         358          190
0.044449     324    337    344    316       329         324    255     317     349         358          190
0.044672     324    337    344    316       329         324    255     317     349         358          190
0.044894     325    337    344    316       329         324    255     317     349         358          190
0.045116     325    337    344    316       329         324    255     317     349         358          190
0.045338     325    337    344    316       329         324    255     317     349         358          190
0.045561     325    337    344    316       329         324    255     317     349         358          190
0.045783     325    337    344    316       329         324    255     317     349         358          190
0.046005     325    337    344    316       329         324    255     317     349         358          190
0.046227     325    337    344    316       329         324    255     317     349         358          190
0.046450     325    337    344    316       329         324    255     317     349         358          190
0.046672     325    337    344    316       329         324    255     317     349         358          190
0.046894     325    337    344    316       329         324    255     317     349         358          190
0.047116     325    337    344    316       329         324    255     317     349         358          190
0.047339     325    337    344    316       329         324    255     317     349         358          190
0.047561     325    337    344    316       329         324    255     317     349         358          190
0.047783     325    337    344    316       329         324    255     317     349         358          190
0.048005     325    337    344    316       329         324    255     317     349         358          190
0.048228     325    337    344    316       329         324    255     317     349         358          190
0.048450     325    337    344    316       329         324    255     317     349         358          190
0.048672     325    337    344    316       329         324    255     317     349         358          190
0.048894     325    337    344    316       329         324    255     317     349         358          190
0.049117     325    337    344    316       329         324    255     317     349         358          190
0.049339     325    337    344    316       329         324    255     317     349         358          190
0.049561     325    337    344    316       329         324    255     317     349         358          190
0.049783     325    337    344    316       329         324    255     317     349         358          190
0.050006     325    337    344    316       329         324    255     317     349         358          190
0.050228     325    337    344    316       329         324    255     317     349         358          190
0.050450     325    337    344    316       329         324    255     317     349         358          190
0.050672     325    337    344    316       329         324    255     317     349         358          190
0.050895     325    337    344    316       329         324    255     317     349         358          190
