Absolute performance profile for PrimalGap
Filter: no fail
          aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0  sbb.1  scip.1  shot.1  virt. best  virt. worst
0.000000     217    231    216    250       190         229    160     263     228         337           84
0.000222     328    340    318    301       306         327    219     307     327         356          153
0.000444     329    340    335    311       320         328    235     321     343         356          169
0.000667     330    341    340    322       334         328    245     328     349         356          183
0.000889     332    341    348    323       338         328    255     330     350         356          200
0.001111     334    341    349    323       339         328    255     331     350         356          203
0.001333     336    341    350    323       339         328    255     332     350         356          204
0.001556     337    341    350    323       339         329    255     332     350         356          205
0.001778     337    341    350    323       339         329    255     333     350         356          205
0.002000     337    341    351    323       339         329    257     335     350         356          207
0.002222     337    341    351    323       339         329    257     335     350         356          207
0.002445     337    341    351    323       339         329    257     335     350         356          207
0.002667     337    341    351    323       339         329    257     336     350         356          208
0.002889     337    341    351    323       339         329    257     336     350         356          208
0.003111     337    341    351    323       339         329    257     336     350         356          208
0.003334     337    341    351    323       339         329    257     336     350         356          208
0.003556     337    341    351    323       339         330    257     336     351         356          208
0.003778     337    341    351    323       339         330    257     336     351         356          208
0.004000     337    341    351    323       339         330    257     336     351         356          208
0.004223     337    341    351    323       339         330    257     336     351         356          208
0.004445     337    341    351    323       339         330    257     336     351         356          208
0.004667     337    341    351    323       339         330    257     336     351         356          208
0.004889     337    341    351    323       339         330    257     338     351         356          209
0.005112     337    341    351    323       339         331    257     338     351         356          209
0.005334     337    341    351    323       339         331    257     338     351         356          209
0.005556     337    341    351    323       339         331    257     338     351         356          209
0.005778     337    341    351    323       339         331    257     338     351         356          209
0.006001     337    341    352    323       339         331    257     339     351         356          209
0.006223     337    341    352    323       339         331    257     339     351         356          209
0.006445     337    341    352    323       339         331    257     339     351         356          209
0.006667     337    341    352    323       339         331    257     339     351         356          209
0.006890     337    341    352    323       339         332    257     339     351         356          209
0.007112     337    341    352    323       339         332    257     339     351         356          209
0.007334     337    341    352    323       339         332    257     339     351         356          209
0.007556     337    341    352    323       339         332    257     339     351         356          209
0.007779     337    342    352    323       339         333    257     339     351         356          209
0.008001     337    342    352    323       339         333    257     340     351         356          210
0.008223     337    342    352    323       339         333    257     340     351         356          210
0.008445     337    342    352    323       339         333    258     340     351         357          210
0.008668     337    342    352    323       339         333    258     340     351         357          210
0.008890     337    342    352    323       339         333    258     340     351         357          210
0.009112     337    342    352    323       339         334    258     340     351         357          210
0.009334     337    342    352    323       339         334    258     340     351         357          210
0.009557     337    342    352    323       339         334    258     340     351         357          210
0.009779     337    342    352    323       339         334    258     340     351         357          210
0.010001     337    342    352    323       339         334    258     340     351         357          210
0.010223     337    342    352    323       339         334    258     340     351         357          210
0.010446     337    342    352    323       339         334    258     340     351         357          210
0.010668     337    342    352    323       339         334    258     340     351         357          210
0.010890     337    342    352    323       339         334    258     340     351         357          210
0.011112     337    342    352    323       339         334    258     340     351         357          210
0.011335     337    342    352    323       339         334    258     340     351         357          210
0.011557     337    342    352    323       339         334    258     340     351         357          210
0.011779     337    342    352    323       339         334    258     340     351         357          210
0.012001     337    342    352    323       339         334    258     340     351         357          210
0.012224     337    342    352    323       339         334    258     341     351         357          210
0.012446     337    342    352    323       339         334    258     341     351         357          210
0.012668     337    342    352    323       339         334    258     341     351         357          210
0.012890     337    342    352    323       340         335    258     342     351         357          211
0.013113     337    342    352    323       340         335    258     342     351         357          211
