                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
alan                           1.0                        4.0                8.0              24.0                        3.0                9.0      2.925000e+00    2.925000e+00  False           
ball_mk2_10                    1.0                       10.0                2.0              31.0                       10.0               11.0      0.000000e+00    0.000000e+00  False           
ball_mk3_10                    1.0                       10.0                2.0              31.0                       10.0               11.0               inf             inf  False           
ball_mk3_20                    1.0                       20.0                2.0              61.0                       20.0               21.0               inf             inf  False           
ball_mk3_30                    1.0                       30.0                2.0              91.0                       30.0               31.0               inf             inf  False           
ball_mk4_05                    1.0                       10.0                2.0              31.0                       10.0               11.0               inf             inf  False           
ball_mk4_10                    1.0                       20.0                2.0              61.0                       20.0               21.0               inf             inf  False           
ball_mk4_15                    1.0                       30.0                2.0              91.0                       30.0               31.0               NaN    5.882886e+01  False           
batch0812                      1.0                       60.0              218.0             561.0                       40.0              101.0      2.687027e+06    2.687027e+06  False           
batchdes                       1.0                        9.0               20.0              57.0                       10.0               20.0      1.674277e+05    1.674277e+05  False           
batchs101006m                  1.0                      129.0             1020.0            2876.0                       49.0              279.0      7.694404e+05    7.694404e+05  False           
batchs121208m                  1.0                      203.0             1512.0            4268.0                       59.0              407.0      1.241126e+06    1.241126e+06  False           
batchs151208m                  1.0                      203.0             1782.0            5084.0                       62.0              446.0      1.543472e+06    1.543472e+06  False           
batchs201210m                  1.0                      251.0             2328.0            6684.0                       67.0              559.0      2.295349e+06    2.295349e+06  False           
batch                          1.0                       24.0               74.0             201.0                       22.0               47.0      2.855065e+05    2.855065e+05  False           
clay0203h                      1.0                       18.0              133.0             385.0                       18.0               91.0      4.157330e+04    4.157330e+04  False           
clay0203m                      1.0                       18.0               55.0             175.0                        6.0               31.0      4.157326e+04    4.157326e+04  False           
clay0204h                      1.0                       32.0              235.0             677.0                       24.0              165.0      6.545000e+03    6.545000e+03  False           
clay0204m                      1.0                       32.0               91.0             293.0                        8.0               53.0      6.545000e+03    6.545000e+03  False           
clay0205h                      1.0                       50.0              366.0            1051.0                       30.0              261.0      8.092500e+03    8.092500e+03  False           
clay0205m                      1.0                       50.0              136.0             441.0                       10.0               81.0      8.092500e+03    8.092500e+03  False           
clay0303h                      1.0                       21.0              151.0             451.0                       27.0              100.0      2.666913e+04    2.666913e+04  False           
clay0303m                      1.0                       21.0               67.0             214.0                        6.0               34.0      2.666911e+04    2.666911e+04  False           
clay0304h                      1.0                       36.0              259.0             765.0                       36.0              177.0      4.026242e+04    4.026242e+04  False           
clay0304m                      1.0                       36.0              107.0             345.0                        8.0               57.0      4.026239e+04    4.026239e+04  False           
clay0305h                      1.0                       55.0              396.0            1161.0                       45.0              276.0      8.092500e+03    8.092500e+03  False           
clay0305m                      1.0                       55.0              156.0             506.0                       10.0               86.0      8.092500e+03    8.092500e+03  False           
cvxnonsep_normcon20r           1.0                       10.0               22.0             101.0                       20.0               41.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon20            1.0                       10.0                2.0              61.0                       20.0               21.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon30r           1.0                       15.0               32.0             151.0                       30.0               61.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon30            1.0                       15.0                2.0              91.0                       30.0               31.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon40r           1.0                       20.0               42.0             201.0                       40.0               81.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_normcon40            1.0                       20.0                2.0             121.0                       40.0               41.0     -3.262967e+01   -3.262967e+01  False           
