                          count         mean          std       min  \
Direction                   335     0.420896     0.908466        -1   
NumberOfDiscreteVariables   335      92.8567      142.016         2   
NumberOfEquations           335      1213.66       8316.2         1   
NumberOfNonZeros            335      3146.76      16660.7         5   
NumberOfNonlinearNonZeros   335      138.501       535.81         1   
NumberOfVariables           335      989.576      8245.58         3   
KnownPrimalBound            334          inf          NaN    -29605   
KnownDualBound              335          inf          NaN    -29605   
JulianDate                 5968      38535.8      13624.4         0   
TerminationStatus          6635     0.255916     0.805043         0   
PrimalBound                6627          NaN          NaN      -inf   
DualBound                  6611          NaN          NaN      -inf   
SolverTime                 6608      195.787       356.44         0   
NumberOfIterations         5930  2.08751e+06  2.00627e+07         0   
NumberOfDomainViolations   5604      1.89882      100.465         0   
NumberOfNodes              4607      54567.3       813356         0   
Fail                       6700          NaN          NaN       NaN   
FailReason                 6700          NaN          NaN       NaN   
Gap                        6633          inf          NaN -0.342665   
PrimalGap                  6560          inf          NaN  -5.42465   
DualGap                    6560          inf          NaN  -929.275   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           20           40          111         1500  
NumberOfEquations                   21          218        680.5       108218  
NumberOfNonZeros                   121          777       1969.5       213766  
NumberOfNonlinearNonZeros           14           24           55         4521  
NumberOfVariables                   31          115        419.5       107223  
KnownPrimalBound               23.1862      222.157      3032.74          inf  
KnownDualBound                 22.8055      214.111      3032.74          inf  
JulianDate                     43358.7      43362.4      43382.1      43405.2  
TerminationStatus                    0            0            0            8  
PrimalBound                    24.8398      366.622      4027.37          inf  
DualBound                      11.8049      156.599      3234.62          inf  
SolverTime                       0.236      2.87511      111.169      5515.88  
NumberOfIterations                   0            4         3403  7.54385e+08  
NumberOfDomainViolations             0            0            0         7255  
NumberOfNodes                        0           39         4014  5.32428e+07  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  6.55153e-05        0.001          inf  
PrimalGap                 -2.68405e-10            0  0.000185734          inf  
DualGap                    1.21472e-11  5.42733e-05        0.001          inf  
