                       dicopt  muriqui      shot       baron   aoa   knitro  alphaecp  knitrobb    scip      bbb      sbb   mtaurbnb     juniper    lindo     boa    mtaurqg    pavito  antigone  couenne     bhyb  virt. best  virt. worst
batchdes                0.034     0.03  0.045301    0.073999  0.01    0.031     0.214     0.026   0.090    0.061    0.218   0.012048    2.469631    0.262   0.012   0.011143  0.027017     0.012    0.038    0.050    0.010000     2.469631
batchs101006m           1.620     4.93  1.269782    5.094000  0.42  256.291    10.481    46.643   5.136   11.349   64.678   7.134174   54.523022  199.985   1.462   1.405456  1.800540     6.613   23.373    4.954    0.420000   256.291000
batch                   0.114     0.08  0.117999    0.217000  0.02    0.285     0.606     0.279   0.368    0.298    0.307   0.036748    4.226389    2.170   0.036   0.015849  0.047135     0.062    0.507    0.074    0.015849     4.226389
clay0203m               0.411     0.81  0.146552    0.657000  0.08    0.335     1.356     0.704   0.179    3.267    1.143   0.147169   38.715743    0.564   0.242   0.044990  0.422871     0.473    1.483    0.576    0.044990    38.715743
clay0204m               0.311     0.99  0.191628    0.483000  0.10    1.458     1.277     3.822   0.832    9.804    8.042   0.353150   74.837027    2.371   0.114   0.088158  4.137555     0.476    2.006    0.906    0.088158    74.837027
clay0205m               1.335     2.34  0.518525    1.332000  0.59   46.675     6.914    89.731   3.503  239.246  109.553  19.148965  900.000000   88.065   1.260   1.049493  5.586536     1.174   13.632    3.690    0.518525   900.000000
clay0305m               2.505     9.03  0.623350    1.209000  0.96  157.997     9.875    67.362   6.111  347.937   88.333  29.430587  185.553212   37.147   1.574   2.234611  2.168699     4.740   16.481    6.608    0.623350   347.937000
cvxnonsep_normcon20r    0.092     0.12  0.113819    0.346000  0.04    0.163     2.946     0.034   0.082    0.076    0.178   0.060478   26.338933    0.226   0.072   0.042746  0.119845     0.046    0.047    0.539    0.034000    26.338933
cvxnonsep_normcon20    22.761     2.83  1.927440    0.318000  0.94    6.050   192.901     0.033   1.045    0.073    0.168   0.033413   28.787705    0.201   5.318   0.713196  4.099898     0.040    0.055  110.505    0.033000   192.901000
cvxnonsep_normcon30r    0.335     0.25  0.235508    1.461000  0.05    0.286     4.395     0.100   0.285    0.258    0.238   0.151162   35.328091    0.563   0.096   0.099341  0.348233     0.069    0.185    0.318    0.050000    35.328091
cvxnonsep_normcon40r    0.078     0.18  0.344916    3.753000  0.12    0.672     6.381     0.647   0.091    1.228    0.503   0.370896   39.816065    1.316   0.071   0.402235  0.184415     0.073    0.350    0.282    0.071000    39.816065
cvxnonsep_nsig20r       0.123     0.35  0.167965    0.171000  0.08    0.091     3.262     0.024   0.080    0.109    0.193   0.071592   25.986290    0.668   0.060   0.058018  0.135327     0.273    0.155    0.406    0.024000    25.986290
cvxnonsep_nsig30r       0.164     0.58  0.405243    0.183000  0.10    0.527     7.085     0.024   0.196    0.474    0.218   1.212825   44.153798    2.026   0.084   0.308026  0.141111     0.197    0.345  900.000    0.024000   900.000000
cvxnonsep_nsig40r       0.179     0.39  0.415895    0.707000  0.19    0.195     6.621     0.049   0.157    0.400    0.332   0.653954   51.415310    2.792   0.105   0.276373  0.572424     0.117    0.129  900.000    0.049000   900.000000
cvxnonsep_pcon30r       0.160     0.12  0.130240    1.636000  0.10    0.304     6.817     0.158   0.436    0.228    0.338   0.129342   23.743812    2.271   0.091   0.167202  0.076951     0.080    0.747    0.260    0.076951    23.743812
