                          count         mean          std       min  \
Direction                   215    0.0976744     0.997541        -1   
NumberOfDiscreteVariables   215      111.102       156.18         2   
NumberOfEquations           215      1829.29        10331        12   
NumberOfNonZeros            215      4548.07      20591.9        39   
NumberOfNonlinearNonZeros   215      197.474      661.153         2   
NumberOfVariables           215      1497.85      10265.5         8   
KnownPrimalBound            215  2.46862e+06  2.51844e+07  -333.889   
KnownDualBound              215  2.46862e+06  2.51844e+07  -333.889   
JulianDate                 3837      38527.6      13635.4         0   
TerminationStatus          4264     0.268996     0.784027         0   
PrimalBound                4263          NaN          NaN      -inf   
DualBound                  4253          NaN          NaN      -inf   
SolverTime                 4246      216.044      370.773         0   
NumberOfIterations         3821   1.9515e+06  1.54221e+07         0   
NumberOfDomainViolations   3607       2.9501      125.218         0   
NumberOfNodes              2965      51621.5       997609         0   
Fail                       4300          NaN          NaN       NaN   
FailReason                 4300          NaN          NaN       NaN   
Gap                        4264          inf          NaN -0.342665   
PrimalGap                  4260          inf          NaN  -5.42465   
DualGap                    4260          inf          NaN  -929.275   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           20           47          148         1500  
NumberOfEquations                  212          430         1095       108218  
NumberOfNonZeros                 666.5         1310       3225.5       213766  
NumberOfNonlinearNonZeros           14           27           80         4521  
NumberOfVariables                  113          231        703.5       107223  
KnownPrimalBound               79.9741      509.706       2684.7  3.31837e+08  
KnownDualBound                 79.9741      509.706       2684.7  3.31837e+08  
JulianDate                     43358.7      43362.3      43382.1      43405.2  
TerminationStatus                    0            0            0            8  
PrimalBound                    90.6227      730.507      3032.74          inf  
DualBound                      62.8907      510.072      2835.02          inf  
SolverTime                        0.31       4.7355      211.137      5515.88  
NumberOfIterations                   0            4         4252  3.39872e+08  
NumberOfDomainViolations             0            0            0         7255  
NumberOfNodes                        0           31         4051  5.32428e+07  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  4.58331e-05     0.001001          inf  
PrimalGap                 -7.88619e-10            0  0.000111944          inf  
DualGap                    1.15246e-10  4.23382e-05     0.001001          inf  
