                          count         mean          std       min  \
Direction                   232     0.163793     0.988628        -1   
NumberOfDiscreteVariables   232      119.397      131.943         2   
NumberOfEquations           232       1644.6      9957.11         5   
NumberOfNonZeros            232      4082.16      19857.8        17   
NumberOfNonlinearNonZeros   232      85.0991      396.781         1   
NumberOfVariables           232      1311.08      9885.11         5   
KnownPrimalBound            232      74712.5       287849  -333.889   
KnownDualBound              232        74712       287850  -333.889   
JulianDate                 4125      38528.1      13634.6         0   
TerminationStatus          4586     0.249891      0.69515         0   
PrimalBound                4585          NaN          NaN      -inf   
DualBound                  4570          NaN          NaN      -inf   
SolverTime                 4568      215.694       370.46         0   
NumberOfIterations         4109  2.69348e+06  2.38823e+07         0   
NumberOfDomainViolations   3878     0.032491      1.67334         0   
NumberOfNodes              3185      62265.2       967748         0   
Fail                       4640          NaN          NaN       NaN   
FailReason                 4640          NaN          NaN       NaN   
Gap                        4585          inf          NaN -0.342665   
PrimalGap                  4540          inf          NaN  -5.42465   
DualGap                    4540          inf          NaN  -929.275   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           40           60          168          720  
NumberOfEquations                  136          334        986.5       108218  
NumberOfNonZeros                525.75         1063      2557.75       213766  
NumberOfNonlinearNonZeros           14           19         60.5         4521  
NumberOfVariables                  113          182        518.5       107223  
KnownPrimalBound               71.7789       1121.2      5080.71  2.68703e+06  
KnownDualBound                 67.9357       1121.2      5080.71  2.68703e+06  
JulianDate                     43358.7      43362.4      43382.1      43405.2  
TerminationStatus                    0            0            0            8  
PrimalBound                    97.9044      1296.12       8092.5          inf  
DualBound                      62.3507      1267.35      6117.71          inf  
SolverTime                    0.394615      4.92097      203.197      5515.88  
NumberOfIterations                   0            4         6409  7.54385e+08  
NumberOfDomainViolations             0            0            0          104  
NumberOfNodes                        0           51         7880  5.32428e+07  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  5.91102e-06     0.001001          inf  
PrimalGap                 -6.43494e-10            0  0.000127961          inf  
DualGap                    6.07261e-11  7.35121e-06     0.001001          inf  
