                          count         mean          std       min  \
Direction                   151     0.417219     0.911831        -1   
NumberOfDiscreteVariables   151      97.5033      115.262         3   
NumberOfEquations           151      2017.08        12314         2   
NumberOfNonZeros            151      4842.38      24349.3         7   
NumberOfNonlinearNonZeros   151      224.695      747.722         2   
NumberOfVariables           151      1774.09      12242.7         4   
KnownPrimalBound            150          inf          NaN      -110   
KnownDualBound              151          inf          NaN      -110   
JulianDate                 2666      38522.3      13642.5         0   
TerminationStatus          2966     0.396494     0.886801         0   
PrimalBound                2960          NaN          NaN      -inf   
DualBound                  2943          NaN          NaN      -inf   
SolverTime                 2951      317.899      418.413         0   
NumberOfIterations         2640  3.66505e+06  2.78311e+07         0   
NumberOfDomainViolations   2496            0            0         0   
NumberOfNodes              2051      75197.8       306456         0   
Fail                       3020          NaN          NaN       NaN   
FailReason                 3020          NaN          NaN       NaN   
Gap                        2965          inf          NaN -0.342665   
PrimalGap                  2940          inf          NaN  -5.42465   
DualGap                    2940          inf          NaN  -929.275   

                                   25%          50%        75%          max  
Direction                           -1            1          1            1  
NumberOfDiscreteVariables           30           50        120          668  
NumberOfEquations                   99          270        735       108218  
NumberOfNonZeros                 498.5         1061       2101       213766  
NumberOfNonlinearNonZeros           14           20         62         4521  
NumberOfVariables                  113          162        416       107223  
KnownPrimalBound               75.3407       391.96    3396.81          inf  
KnownDualBound                 67.8615      388.772    3382.77          inf  
JulianDate                     43358.7      43362.3    43382.1      43405.2  
TerminationStatus                    0            0          1            8  
PrimalBound                    98.5184      654.155     8092.5          inf  
DualBound                      24.8155      214.083    3410.86          inf  
SolverTime                     1.19909       22.755    900.016      5515.88  
NumberOfIterations                   0            4    89294.8  7.54385e+08  
NumberOfDomainViolations             0            0          0            0  
NumberOfNodes                        0          556      39743  7.92373e+06  
Fail                               NaN          NaN        NaN          NaN  
FailReason                         NaN          NaN        NaN          NaN  
Gap                                  0  0.000365506   0.471753          inf  
PrimalGap                 -3.96855e-10            0  0.0158812          inf  
DualGap                    1.17569e-10  0.000273441   0.324197          inf  
