                          count        mean          std        min  \
Direction                   184    0.423913     0.908174         -1   
NumberOfDiscreteVariables   184     89.0435      160.898          2   
NumberOfEquations           184     554.337      982.209          1   
NumberOfNonZeros            184     1755.26      4040.22          5   
NumberOfNonlinearNonZeros   184     67.7663      233.567          1   
NumberOfVariables           184     345.761      557.149          3   
KnownPrimalBound            184  2.9147e+06  2.72096e+07     -29605   
KnownDualBound              184  2.9147e+06  2.72096e+07     -29605   
JulianDate                 3302     38546.7      13611.9          0   
TerminationStatus          3669    0.142273     0.712433          0   
PrimalBound                3667         NaN          NaN       -inf   
DualBound                  3668         NaN          NaN       -inf   
SolverTime                 3657     97.2501      258.048          0   
NumberOfIterations         3290      821637  1.00252e+07          0   
NumberOfDomainViolations   3108     3.42375      134.893          0   
NumberOfNodes              2556     38012.9  1.05671e+06          0   
Fail                       3680         NaN          NaN        NaN   
FailReason                 3680         NaN          NaN        NaN   
Gap                        3668         inf          NaN -0.0161789   
PrimalGap                  3620         inf          NaN -0.0168645   
DualGap                    3620         inf          NaN   -3.34615   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           12           30           84         1500  
NumberOfEquations                    4         53.5       607.75         5330  
NumberOfNonZeros                 107.5        190.5         1741        41401  
NumberOfNonlinearNonZeros           12           30        48.25         3000  
NumberOfVariables                   31           67          425         3011  
KnownPrimalBound               2.74375      136.061      2829.13  3.31837e+08  
KnownDualBound                 2.74375      136.061      2829.13  3.31837e+08  
JulianDate                     43358.7      43362.5      43382.1      43405.2  
TerminationStatus                    0            0            0            8  
PrimalBound                      2.925      156.427      3032.74          inf  
DualBound                      1.57153      133.993      3033.35          inf  
SolverTime                    0.112398     0.758161      8.91415      990.003  
NumberOfIterations                   0            4       925.75  3.33657e+08  
NumberOfDomainViolations             0            0            0         7255  
NumberOfNodes                        0           10          312  5.32428e+07  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0  2.60231e-06   0.00090787          inf  
PrimalGap                 -2.12531e-10            0  4.65644e-09          inf  
DualGap                              0  3.69422e-06  0.000815906          inf  
