                          count         mean          std         min  \
Direction                   406     0.285714     0.959497          -1   
NumberOfDiscreteVariables   406      140.754       356.74           2   
NumberOfEquations           406       1542.9      8789.52           0   
NumberOfNonZeros            406            0            0           0   
NumberOfNonlinearNonZeros   406            0            0           0   
NumberOfVariables           406      1085.45      7694.31           2   
KnownPrimalBound            404          inf          NaN      -29605   
KnownDualBound              404          inf          NaN      -29605   
JulianDate                 1996      43964.3      7.80708     43951.7   
TerminationStatus          2402      0.17985     0.731371           0   
PrimalBound                2401          NaN          NaN        -inf   
DualBound                  2402          NaN          NaN        -inf   
SolverTime                 2402      131.677      303.171           0   
NumberOfIterations         2393  1.70846e+06  4.33208e+07           0   
NumberOfDomainViolations   2402            0            0           0   
NumberOfNodes              1181      54423.3       649255           0   
Fail                       2436          NaN          NaN         NaN   
FailReason                 2436          NaN          NaN         NaN   
Gap                        2402          inf          NaN  -0.0170478   
PrimalGap                  1908          inf          NaN -0.00275371   
DualGap                    1908          inf          NaN  -0.0344679   

                                   25%          50%          75%          max  
Direction                           -1            1            1            1  
NumberOfDiscreteVariables           20           42        157.5         4514  
NumberOfEquations                   33          269        871.5       108217  
NumberOfNonZeros                     0            0            0            0  
NumberOfNonlinearNonZeros            0            0            0            0  
NumberOfVariables                   42        164.5       575.25       107222  
KnownPrimalBound               24.8338      399.683      3068.93          inf  
KnownDualBound                 24.5891      399.683      3041.78          inf  
JulianDate                     43961.6      43963.1      43970.9      43974.5  
TerminationStatus                    0            0            0            8  
PrimalBound                       37.8      510.072      3410.85          inf  
DualBound                      22.3651      392.114      3068.83          inf  
SolverTime                    0.169473       1.0985      17.9902      1017.41  
NumberOfIterations                   0            0          957      2.1e+09  
NumberOfDomainViolations             0            0            0            0  
NumberOfNodes                        1           27          677  1.90404e+07  
Fail                               NaN          NaN          NaN          NaN  
FailReason                         NaN          NaN          NaN          NaN  
Gap                                  0            0        0.001          inf  
PrimalGap                 -6.16208e-11            0  1.11772e-10          inf  
DualGap                              0  4.54585e-10  0.000929111          inf  
