                            Scp2804s  aecp  aoa  baron  dicopt     sbb  virt. best  virt. worst
ball_mk2_10                        1     -    -      1       -    2046         1.0            -
batchs101006m                    237     -    -     43       -    5644        43.0            -
batchs121208m                   1083     -    -     71       -    7445        71.0            -
batchs151208m                   1985     -    -     89       -    3654        89.0            -
batchs201210m                   1532     -    -     47       -    8784        47.0            -
clay0204hfsg                     302     -    -      4       -    2487         4.0            -
clay0204h                        292     -    -      1       -    3685         1.0            -
clay0205hfsg                    2067     -    -     37       -   76902        37.0            -
clay0205h                       5164     -    -     33       -   57691        33.0            -
clay0205m                          1     -    -     42       -   50549         1.0            -
clay0304hfsg                     939     -    -    175       -   16546       175.0            -
clay0304h                       1128     -    -    113       -   30824       113.0            -
clay0304m                          1     -    -    175       -   19939         1.0            -
clay0305hfsg                    1215     -    -      7       -   74371         7.0            -
clay0305h                       6275     -    -     17       -  105373        17.0            -
clay0305m                          1     -    -     78       -   34883         1.0            -
color_lab2_4x0                     1     -    -   3655       -    9878         1.0            -
color_lab6b_4x20                   1     -    -   6766       -   13176         1.0            -
cvxnonsep_normcon20               23     -    -      9       -      22         9.0            -
cvxnonsep_normcon30              125     -    -     37       -      56        37.0            -
cvxnonsep_normcon40                1     -    -    117       -     184         1.0            -
cvxnonsep_nsig20                  47     -    -     21       -      20        20.0            -
cvxnonsep_nsig30                  27     -    -     69       -      24        24.0            -
cvxnonsep_nsig40                 133     -    -     67       -      67        67.0            -
cvxnonsep_pcon40                   1     -    -     35       -      51         1.0            -
cvxnonsep_psig20                  53     -    -      1       -      11         1.0            -
cvxnonsep_psig30                   1     -    -     55       -      61         1.0            -
cvxnonsep_psig40                   1     -    -     65       -      66         1.0            -
du-opt                             1     -    -      1       -      94         1.0            -
flay04h                         1017     -    -   1563       -    2687      1017.0            -
flay04m                          783     -    -   1351       -    2551       783.0            -
flay06h                       382986     -    -  65850       -   88714     65850.0            -
fo7_2                          50905     -    -    129       -   83188       129.0            -
fo7_ar25_1                     49873     -    -     53       -  104039        53.0            -
fo7_ar2_1                      30464     -    -    308       -  134333       308.0            -
fo7_ar3_1                      42905     -    -    885       -  102905       885.0            -
fo7_ar4_1                      13324     -    -    143       -   73599       143.0            -
fo7_ar5_1                      21706     -    -    115       -   65615       115.0            -
fo7                            61200     -    -    474       -  104646       474.0            -
fo8_ar25_1                    116403     -    -   1057       -   79649      1057.0            -
fo8_ar2_1                      61931     -    -    155       -  103451       155.0            -
fo8_ar3_1                      78297     -    -    277       -   65891       277.0            -
fo8_ar4_1                     121210     -    -   9018       -   51720      9018.0            -
fo8_ar5_1                      77172     -    -  25312       -   42198     25312.0            -
fo8                            57573     -    -   8406       -   87248      8406.0            -
fo9_ar25_1                   3925910     -    -   6207       -   84664      6207.0            -
fo9_ar2_1                     220356     -    -   6126       -  102728      6126.0            -
fo9_ar3_1                     125221     -    -    982       -   61989       982.0            -
fo9_ar4_1                      73840     -    -   3978       -   44667      3978.0            -
fo9_ar5_1                     369355     -    -  40101       -   34047     34047.0            -
fo9                           398668     -    -  58153       -   72981     58153.0            -
gams01                       2254498     -    -     60       -   22542        60.0            -
ibs2                           24731     -    -      1       -     995         1.0            -
m6                               114     -    -      1       -   63195         1.0            -
m7_ar25_1                          1     -    -      1       -  144893         1.0            -
m7_ar2_1                        2011     -    -     93       -  152570        93.0            -
m7_ar3_1                        3220     -    -     49       -  132778        49.0            -
m7_ar4_1                         983     -    -      1       -  122687         1.0            -
m7_ar5_1                        1979     -    -      1       -  113499         1.0            -
m7                              2958     -    -      1       -  180459         1.0            -
netmod_dol1                        1     -    -   1157       -    2582         1.0            -
netmod_dol2                        1     -    -     15       -    2105         1.0            -
netmod_kar1                        1     -    -  34525       -    5988         1.0            -
netmod_kar2                        1     -    -  34593       -    5988         1.0            -
no7_ar25_1                     31246     -    -    425       -   88563       425.0            -
no7_ar2_1                      27522     -    -    309       -   92294       309.0            -
no7_ar3_1                      86099     -    -    415       -   79684       415.0            -
no7_ar4_1                      31933     -    -    515       -   60562       515.0            -
no7_ar5_1                      76519     -    -    303       -   63336       303.0            -
o7_2                           80340     -    -    437       -   86662       437.0            -
o7_ar25_1                      90799     -    -   1569       -   82620      1569.0            -
o7_ar2_1                        6747     -    -    894       -  111225       894.0            -
o7_ar3_1                      284286     -    -    500       -   77903       500.0            -
o7_ar4_1                     1077255     -    -    741       -   53696       741.0            -
o7_ar5_1                      190041     -    -    171       -   58265       171.0            -
o7                            434680     -    -   4061       -   91407      4061.0            -
o8_ar4_1                     4849702     -    -   2835       -   59605      2835.0            -
o9_ar4_1                     7974167     -    -   3723       -   54090      3723.0            -
pedigree_ex1058                    1     -    -      3       -    6282         1.0            -
