                            Scp2804s  aecp  aoa  baron     dicopt      sbb  virt. best  virt. worst
ball_mk2_10                        1  1029    1    1.0    1179602    14339         1.0    1179602.0
batchs101006m                      1   129    1    1.0      11760   154196         1.0     154196.0
batchs121208m                      1   168    1    1.0     111060   234168         1.0     234168.0
batchs151208m                      1   303    1    1.0     149983   140160         1.0     149983.0
batchs201210m                      1    60    1    1.0     100648   398371         1.0     398371.0
clay0204hfsg                       1    77    1    1.0      33240    71596         1.0      71596.0
clay0204h                          1    62    1    1.0      30213    86614         1.0      86614.0
clay0205hfsg                       1    83    1    1.0     320580  2666985         1.0    2666985.0
clay0205h                          1   113    1    1.0     510896  1330537         1.0    1330537.0
clay0205m                          1    73    1    1.0     121740   475295         1.0     475295.0
clay0304hfsg                       1    90    1    1.0      24319   703817         1.0     703817.0
clay0304h                          1   105    1    1.0      98786   972673         1.0     972673.0
clay0304m                          1   134    1    1.0       5236   304370         1.0     304370.0
clay0305hfsg                       1    90    1    1.0     264582  2592766         1.0    2592766.0
clay0305h                          1    83    1    1.0     845086  2764503         1.0    2764503.0
clay0305m                          1    72    1    1.0     161816   357972         1.0     357972.0
color_lab2_4x0                     1    29    1    1.0     201319   174372         1.0     201319.0
color_lab6b_4x20                   1   402    1    1.0     127629   318124         1.0     318124.0
cvxnonsep_normcon20                1  1016    1    1.0     635721      357         1.0     635721.0
cvxnonsep_normcon30                1  1020    1    1.0   14695667      851         1.0   14695667.0
cvxnonsep_normcon40                1   606    1    1.0    4460118     2793         1.0    4460118.0
cvxnonsep_nsig20                   1  1303    1    1.0     300311      332         1.0     300311.0
cvxnonsep_nsig30                   1  1737    1    1.0   10428317      443         1.0   10428317.0
cvxnonsep_nsig40                   1  1672    1    1.0   14938157     1209         1.0   14938157.0
cvxnonsep_pcon40                   1  1574    1    1.0    8063219     1051         1.0    8063219.0
cvxnonsep_psig20                   1  1628    1    1.0         40      133         1.0       1628.0
cvxnonsep_psig30                   1  1686    1    1.0   11601827      686         1.0   11601827.0
cvxnonsep_psig40                   1  1658    1    1.0   24856701      784         1.0   24856701.0
du-opt                             1   488    1    1.0      72483     1204         1.0      72483.0
flay04h                            1   173    1    1.0     474936    93609         1.0     474936.0
flay04m                            1   261    1    1.0     173446    32141         1.0     173446.0
flay06h                            1    59    1    1.0  102803248  4259149         1.0  102803248.0
fo7_2                              1    31    1    1.0     760535  5052113         1.0    5052113.0
fo7_ar25_1                         1    46    1    1.0     868814  4944055         1.0    4944055.0
fo7_ar2_1                          1    50    1    1.0     855646  4993822         1.0    4993822.0
fo7_ar3_1                          1    55    1    1.0    1331498  4813969         1.0    4813969.0
fo7_ar4_1                          1   113    1    1.0     535646  4657924         1.0    4657924.0
fo7_ar5_1                          1    16    1    1.0     516525  4610130         1.0    4610130.0
fo7                                1    62    1    1.0    2951212  5137474         1.0    5137474.0
fo8_ar25_1                         1    60    1    1.0    4115486  4108488         1.0    4115486.0
fo8_ar2_1                          1    64    1    1.0    2399102  4160676         1.0    4160676.0
fo8_ar3_1                          1    71    1    1.0     973763  3939276         1.0    3939276.0
fo8_ar4_1                          1   115    1    1.0    1552157  3818391         1.0    3818391.0
fo8_ar5_1                          1    44    1    1.0    1831003  3712829         1.0    3712829.0
fo8                                1   107    1    1.0    7313763  4271428         1.0    7313763.0
fo9_ar25_1                         1    60    1    1.0   51110709  3707916         1.0   51110709.0
fo9_ar2_1                          1    40    1    1.0   34274897  3620167         1.0   34274897.0
fo9_ar3_1                          1    74    1    1.0    1376060  3315787         1.0    3315787.0
fo9_ar4_1                          1   100    1    1.0    3825780  3186701         1.0    3825780.0
fo9_ar5_1                          1   142    1    1.0   11481643  3121171         1.0   11481643.0
fo9                                1    31    1    1.0   12041754  3747991         1.0   12041754.0
gams01                             1    18    1    1.0   45473919  1629652         1.0   45473919.0
ibs2                               1    17    1      -     194580   138256         1.0            -
m6                                 1    17    1    1.0       3172  2039265         1.0    2039265.0
m7_ar25_1                          1    16    1    1.0      11183  4997023         1.0    4997023.0
m7_ar2_1                           1    35    1    1.0     232425  4195420         1.0    4195420.0
