                       Scp2804s  aecp  aoa  baron    dicopt      sbb  virt. best  virt. worst
alan                          1    21    1      1        68       59           1           68
ball_mk2_10                   1  1029    1      1   1179602    14339           1      1179602
batchdes                      1    19    1      1        62      103           1          103
batchs101006m                 1   129    1      1     11760   154196           1       154196
batchs121208m                 1   168    1      1    111060   234168           1       234168
batchs151208m                 1   303    1      1    149983   140160           1       149983
batchs201210m                 1    60    1      1    100648   398371           1       398371
batch                         1    66    1      1       547      634           1          634
clay0203hfsg                  1    79    1      1      1602     9566           1         9566
clay0203h                     1    79    1      1      1950     9396           1         9396
clay0203m                     1    97    1      1      1324     4425           1         4425
clay0204hfsg                  1    77    1      1     33240    71596           1        71596
clay0204h                     1    62    1      1     30213    86614           1        86614
clay0204m                     1    99    1      1      9063    21647           1        21647
clay0205hfsg                  1    83    1      1    320580  2666985           1      2666985
clay0205h                     1   113    1      1    510896  1330537           1      1330537
clay0205m                     1    73    1      1    121740   475295           1       475295
clay0303hfsg                  1   107    1      1      4789    23067           1        23067
clay0303h                     1    74    1      1      2639    18318           1        18318
clay0304hfsg                  1    90    1      1     24319   703817           1       703817
clay0304h                     1   105    1      1     98786   972673           1       972673
clay0304m                     1   134    1      1      5236   304370           1       304370
clay0305hfsg                  1    90    1      1    264582  2592766           1      2592766
clay0305h                     1    83    1      1    845086  2764503           1      2764503
clay0305m                     1    72    1      1    161816   357972           1       357972
cvxnonsep_normcon20r          1   132    1      1       558      302           1          558
cvxnonsep_normcon20           1  1016    1      1    635721      357           1       635721
cvxnonsep_normcon30r          1   197    1      1      1703      884           1         1703
cvxnonsep_normcon40r          1   242    1      1       524     2963           1         2963
cvxnonsep_nsig20r             1   201    1      1       495      378           1          495
cvxnonsep_nsig20              1  1303    1      1    300311      332           1       300311
cvxnonsep_nsig30r             1   279    1      1       790      570           1          790
cvxnonsep_nsig30              1  1737    1      1  10428317      443           1     10428317
cvxnonsep_nsig40r             1   337    1      1       494     1303           1         1303
cvxnonsep_pcon20r             1   172    1      1       592      905           1          905
cvxnonsep_pcon30r             1   250    1      1      1079     1717           1         1717
cvxnonsep_pcon40r             1   227    1      1       795      933           1          933
cvxnonsep_psig20r             1   139    1      1       138      247           1          247
cvxnonsep_psig20              1  1628    1      1        40      133           1         1628
cvxnonsep_psig40r             1   153    1      1       754      865           1          865
du-opt5                       1   212    1      1      5996    14283           1        14283
du-opt                        1   488    1      1     72483     1204           1        72483
enpro48pb                     1    37    1      1      2631     5630           1         5630
enpro56pb                     1   131    1      1      2012    68158           1        68158
ex1223a                       1    40    1      1        81       31           1           81
ex1223b                       1    43    1      1       166       91           1          166
ex1223                        1    47    1      1       163       98           1          163
ex4                           1    62    1      1      1481     3670           1         3670
fac1                          1    14    1      1        54       65           1           65
fac2                          1    14    1      1       471      679           1          679
fac3                          1    15    1      1       527      465           1          527
flay02h                       1    40    1      1       269      146           1          269
flay02m                       1    40    1      1       123      108           1          123
flay03h                       1    94    1      1      2726     2994           1         2994
flay03m                       1   100    1      1      1013     1836           1         1836
flay04h                       1   173    1      1    474936    93609           1       474936
flay04m                       1   261    1      1    173446    32141           1       173446
gbd                           1     9    1      1         5        5           1            9
jit1                          1    20    1      1       258       74           1          258
m3                            1    24    1      1       618     1200           1         1200
m6                            1    17    1      1      3172  2039265           1      2039265
m7_ar2_1                      1    35    1      1    232425  4195420           1      4195420
meanvarx                      1    24    1      1       112       63           1          112
netmod_dol2                   1    50    1      1   1193334   426379           1      1193334
nvs03                         1    19    1      1        73       61           1           73
nvs10                         1    23    1      1        75       35           1           75
nvs12                         1    40    1      1        82       96           1           96
nvs15                         1    13    1      1       124       43           1          124
portfol_buyin                 1    18    1      1       203      140           1          203
portfol_card                  1    26    1      1       116      166           1          166
procurement2mot               1   112    1      1      3220   351646           1       351646
ravempb                       1    68    1      1      2256     1643           1         2256
risk2bpb                      1    13    1      1       533      457           1          533
rsyn0805hfsg                  1    32    1      1       634     5007           1         5007
rsyn0805h                     1    32    1      1       653     5558           1         5558
rsyn0805m02hfsg               1    55    1      1      4610     3649           1         4610
rsyn0805m02h                  1    55    1      1      5496     6037           1         6037
rsyn0805m03hfsg               1    50    1      1      2859     9041           1         9041
rsyn0805m03h                  1    50    1      1      3143    11442           1        11442
rsyn0805m04hfsg               1    63    1      1      2706     2758           1         2758
rsyn0805m04h                  1    63    1      1      3290     6080           1         6080
rsyn0805m                     1    33    1      1      1969   258004           1       258004
rsyn0810hfsg                  1    21    1      1       499     2893           1         2893
rsyn0810h                     1    21    1      1       509     4234           1         4234
rsyn0810m02hfsg               1   121    1      1      3845     8390           1         8390
rsyn0810m02h                  1   121    1      1      6085    17624           1        17624
rsyn0810m03hfsg               1   107    1      1      3519    31883           1        31883
rsyn0810m03h                  1   107    1      1      4984    39353           1        39353
rsyn0810m04hfsg               1   135    1      1      4207     9974           1         9974
rsyn0810m04h                  1   135    1      1      5635    14314           1        14314
rsyn0810m                     1    23    1      1      1111  1188445           1      1188445
rsyn0815hfsg                  1    32    1      1       590     5658           1         5658
rsyn0815h                     1    32    1      1       555     6927           1         6927
rsyn0815m02hfsg               1    50    1      1      5439     3873           1         5439
rsyn0815m02h                  1    50    1      1      6389     7515           1         7515
rsyn0815m03hfsg               1    80    1      1      5455    43976           1        43976
rsyn0815m03h                  1    80    1      1      6772    54285           1        54285
rsyn0815m04hfsg               1   122    1      1      6953    36652           1        36652
