Absolute performance profile for SolverTime
Filter: no fail
            Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
0.005000           0     0    7      1       3    0           8            0
0.106122         136    19  130     68      72    0         180            0
0.207244         192    41  172     96     102   61         220           32
0.308365         220    50  198    112     127  100         231           43
0.409487         238    57  215    126     138  133         251           48
0.510609         257    67  224    135     147  137         263           52
0.611731         263    78  237    147     155  139         274           58
0.712853         271    84  240    159     161  148         282           60
0.813974         281    91  246    167     163  152         289           64
0.915096         287   100  255    172     166  156         299           67
1.016218         291   105  261    177     170  160         301           73
1.117340         296   114  269    190     171  162         306           75
1.218461         301   126  273    193     174  164         309           79
1.319583         303   137  274    198     177  165         311           82
1.420705         305   142  281    198     180  167         316           85
1.521827         306   143  283    199     182  170         316           88
1.622949         307   148  285    204     185  172         316           92
1.724070         311   154  288    209     186  176         317           98
1.825192         316   160  289    213     191  177         320          100
1.926314         317   161  291    216     198  180         323          103
2.027436         318   162  292    218     202  182         323          103
2.128558         318   163  294    220     202  183         324          104
2.229679         320   168  294    220     204  183         325          108
2.330801         321   170  296    220     211  183         327          108
2.431923         323   173  296    221     212  183         329          108
2.533045         326   173  297    223     214  183         331          109
2.634167         326   177  298    227     214  183         331          110
2.735288         327   181  298    229     215  185         331          113
2.836410         328   181  299    232     218  185         333          113
2.937532         328   181  300    234     220  185         334          113
3.038654         329   184  300    235     221  186         335          113
3.139776         330   185  302    236     223  186         336          114
3.240897         333   186  303    239     225  186         340          114
3.342019         333   186  303    241     227  187         340          114
3.443141         333   189  304    244     228  189         341          116
3.544263         333   190  307    244     229  189         341          117
3.645384         333   192  309    246     230  190         342          119
3.746506         334   195  309    246     230  190         343          121
3.847628         334   195  309    248     234  191         343          124
3.948750         335   195  310    251     235  191         344          125
4.049872         335   195  311    253     236  191         345          126
4.150993         336   195  311    253     238  191         345          126
4.252115         338   195  312    254     238  191         345          126
4.353237         339   198  313    255     241  192         346          128
4.454359         339   199  313    256     242  193         346          131
4.555481         339   200  313    256     242  194         346          133
4.656602         339   201  313    256     244  195         346          133
4.757724         341   203  313    260     249  195         347          135
4.858846         341   204  314    261     250  196         348          135
4.959968         341   206  314    261     250  197         348          135
5.061090         341   207  314    262     252  200         348          137
5.162211         342   208  314    262     252  200         348          138
5.263333         342   209  314    264     252  200         348          138
5.364455         342   210  315    266     253  200         348          138
5.465577         342   211  316    267     254  200         349          139
5.566699         342   211  317    267     256  200         349          139
5.667820         342   212  318    269     256  200         349          139
5.768942         342   213  319    269     256  200         349          139
5.870064         342   215  320    269     257  200         349          140
5.971186         342   215  320    269     258  200         349          140
6.072307         342   216  320    270     258  200         349          140
6.173429         342   216  320    274     258  200         349          140
6.274551         342   216  320    275     258  200         349          140
6.375673         342   218  320    275     258  200         349          140
6.476795         342   219  320    275     259  200         349          140
6.577916         342   219  320    276     259  200         349          140
6.679038         343   221  320    277     259  200         350          140
6.780160         343   221  320    277     260  200         350          140
6.881282         343   221  320    277     260  200         350          140
6.982404         343   221  320    279     260  200         350          140
7.083525         344   222  320    279     260  200         351          140
7.184647         344   222  320    280     261  201         351          141
7.285769         344   222  320    280     261  202         351          142
7.386891         344   223  321    280     262  202         351          142
7.488013         344   223  322    281     263  204         351          143
7.589134         345   223  322    281     263  205         351          143
7.690256         345   223  322    281     265  205         351          143
7.791378         346   223  322    281     266  205         351          143
7.892500         346   223  322    281     267  205         351          143
7.993622         346   224  322    281     267  205         351          143
8.094743         346   224  322    281     268  205         352          143
8.195865         346   224  322    281     268  205         352          143
8.296987         346   224  322    281     268  205         352          143
8.398109         346   224  322    284     268  205         352          143
8.499230         346   225  322    285     268  206         352          143
8.600352         346   226  322    285     268  207         352          143
8.701474         346   228  322    285     269  208         352          145
8.802596         346   229  322    285     269  208         352          145
8.903718         348   231  322    285     269  208         353          145
9.004839         349   231  323    286     269  209         354          145
9.105961         349   231  323    286     269  209         354          145
9.207083         349   233  323    288     271  209         354          147
9.308205         350   233  324    288     272  209         355          147
9.409327         350   234  324    288     273  209         355          149
9.510448         350   234  324    288     273  209         355          149
9.611570         351   236  324    288     273  209         355          149
9.712692         351   236  324    288     274  209         355          150
9.813814         351   237  324    289     274  209         355          150
9.914936         351   238  324    290     274  209         355          151
10.016057        353   238  324    290     274  209         356          151
10.117179        353   238  324    290     274  209         356          151
10.218301        353   239  324    291     275  209         356          152
10.319423        354   239  325    291     276  209         357          153
10.420545        354   242  325    291     276  209         357          155
10.521666        354   242  325    291     276  209         357          155
