Absolute performance profile for SolverTime
Filter: gap <= 1.0% and not failed
            Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
0.005000           0     0    7      1       3    0           8            0
0.106122         136    19  130     68      71    0         180            0
0.207244         192    41  172     96     101   61         220           31
0.308365         220    50  198    112     126  100         231           42
0.409487         238    57  215    126     137  133         251           47
0.510609         257    67  224    135     146  137         263           51
0.611731         263    78  237    147     154  139         274           57
0.712853         271    84  240    159     160  148         282           59
0.813974         281    91  246    167     162  152         289           63
0.915096         287   100  255    172     165  156         299           66
1.016218         291   105  261    177     169  160         301           72
1.117340         296   114  269    190     170  162         306           74
1.218461         301   126  273    193     173  164         309           78
1.319583         303   137  274    198     176  165         311           81
1.420705         305   142  281    198     179  167         316           84
1.521827         306   143  283    199     181  170         316           87
1.622949         307   148  285    204     184  172         316           91
1.724070         311   154  288    209     185  176         317           97
1.825192         316   160  289    213     190  177         320           99
1.926314         317   161  291    216     197  180         323          102
2.027436         318   162  292    218     201  182         323          102
2.128558         318   163  294    220     201  183         324          103
2.229679         320   168  294    220     203  183         325          107
2.330801         321   170  296    220     210  183         327          107
2.431923         323   173  296    221     211  183         329          107
2.533045         326   173  297    223     213  183         331          108
2.634167         326   177  298    227     213  183         331          109
2.735288         327   181  298    229     214  185         331          112
2.836410         328   181  299    232     217  185         333          112
2.937532         328   181  300    234     219  185         334          112
3.038654         329   184  300    235     220  186         335          112
3.139776         330   185  302    236     222  186         336          113
3.240897         333   186  303    239     224  186         340          113
3.342019         333   186  303    241     226  187         340          113
3.443141         333   189  304    244     227  189         341          115
3.544263         333   190  307    244     228  189         341          116
3.645384         333   192  309    246     229  190         342          118
3.746506         334   195  309    246     229  190         343          120
3.847628         334   195  309    248     233  191         343          123
3.948750         335   195  310    251     234  191         344          124
4.049872         335   195  311    253     235  191         345          125
4.150993         336   195  311    253     237  191         345          125
4.252115         338   195  312    254     237  191         345          125
4.353237         339   198  313    255     240  192         346          127
4.454359         339   199  313    256     241  193         346          130
4.555481         339   200  313    256     241  194         346          132
4.656602         339   201  313    256     243  195         346          132
4.757724         341   203  313    260     248  195         347          134
4.858846         341   204  314    261     249  196         348          134
4.959968         341   206  314    261     249  197         348          134
5.061090         341   207  314    262     251  200         348          136
5.162211         342   208  314    262     251  200         348          137
5.263333         342   209  314    264     251  200         348          137
5.364455         342   210  315    266     252  200         348          137
5.465577         342   211  316    267     253  200         349          138
5.566699         342   211  317    267     255  200         349          138
5.667820         342   212  318    269     255  200         349          138
5.768942         342   213  319    269     255  200         349          138
5.870064         342   215  320    269     256  200         349          139
5.971186         342   215  320    269     257  200         349          139
6.072307         342   216  320    270     257  200         349          139
6.173429         342   216  320    274     257  200         349          139
6.274551         342   216  320    275     257  200         349          139
6.375673         342   218  320    275     257  200         349          139
6.476795         342   219  320    275     258  200         349          139
6.577916         342   219  320    276     258  200         349          139
6.679038         343   221  320    277     258  200         350          139
6.780160         343   221  320    277     259  200         350          139
6.881282         343   221  320    277     259  200         350          139
6.982404         343   221  320    279     259  200         350          139
7.083525         344   222  320    279     259  200         351          139
7.184647         344   222  320    280     260  201         351          140
7.285769         344   222  320    280     260  202         351          141
7.386891         344   223  321    280     261  202         351          141
7.488013         344   223  322    281     262  204         351          142
7.589134         345   223  322    281     262  205         351          142
7.690256         345   223  322    281     264  205         351          142
7.791378         346   223  322    281     265  205         351          142
7.892500         346   223  322    281     266  205         351          142
7.993622         346   224  322    281     266  205         351          142
8.094743         346   224  322    281     267  205         352          142
8.195865         346   224  322    281     267  205         352          142
8.296987         346   224  322    281     267  205         352          142
8.398109         346   224  322    284     267  205         352          142
8.499230         346   225  322    285     267  206         352          142
8.600352         346   226  322    285     267  207         352          142
8.701474         346   228  322    285     268  208         352          144
8.802596         346   229  322    285     268  208         352          144
8.903718         348   231  322    285     268  208         353          144
9.004839         349   231  323    286     268  209         354          144
9.105961         349   231  323    286     268  209         354          144
9.207083         349   233  323    288     270  209         354          146
9.308205         350   233  324    288     271  209         355          146
9.409327         350   234  324    288     272  209         355          148
9.510448         350   234  324    288     272  209         355          148
9.611570         351   236  324    288     272  209         355          148
9.712692         351   236  324    288     273  209         355          149
9.813814         351   237  324    289     273  209         355          149
9.914936         351   238  324    290     273  209         355          150
10.016057        353   238  324    290     273  209         356          150
10.117179        353   238  324    290     273  209         356          150
10.218301        353   239  324    291     274  209         356          151
10.319423        354   239  325    291     275  209         357          152
10.420545        354   242  325    291     275  209         357          154
10.521666        354   242  325    291     275  209         357          154
10.622788        354   243  326    291     275  209         358          155
10.723910        354   243  327    292     276  209         359          156
10.825032        354   244  327    293     279  209         359          156
10.926153        354   244  327    293     279  209         359          156
11.027275        354   245  327    293     280  209         359          156
11.128397        354   245  327    293     280  209         359          156
11.229519        354   245  328    294     280  209         359          156
11.330641        354   245  328    294     280  209         359          156
11.431762        354   245  328    294     281  209         359          157
11.532884        354   245  328    294     282  209         359          158
11.634006        354   245  328    294     282  209         359          158
11.735128        354   245  328    294     283  209         360          158
11.836250        354   245  328    294     283  209         360          158
11.937371        355   245  328    294     283  209         361          158
12.038493        355   245  328    294     285  209         361          160
12.139615        355   245  328    294     285  209         361          160
12.240737        355   245  328    295     285  209         361          160
12.341859        355   246  328    295     285  209         361          160
12.442980        356   246  328    296     285  209         361          160
12.544102        357   246  329    296     285  209         362          160
12.645224        357   246  329    296     286  209         362          161
12.746346        358   247  329    297     286  209         363          161
12.847467        358   247  330    297     287  209         363          162
12.948589        358   247  330    297     288  209         363          162
13.049711        358   249  330    297     289  209         363          162
13.150833        359   249  330    297     290  209         363          163
13.251955        359   249  330    298     290  210         363          163
13.353076        359   249  330    298     290  210         363          163
13.454198        359   249  330    298     290  210         363          163
13.555320        359   249  330    298     291  210         363          164
13.656442        359   249  330    298     292  210         363          164
13.757564        359   250  330    298     292  210         363          164
13.858685        359   250  330    298     292  210         363          164
13.959807        359   250  330    299     292  210         364          164
14.060929        359   252  331    300     292  210         364          164
14.162051        359   252  331    302     292  210         364          164
14.263173        359   253  331    302     293  210         364          165
14.364294        360   253  331    302     293  210         364          165
14.465416        360   254  331    304     293  210         364          165
14.566538        360   254  331    304     293  210         364          165
14.667660        360   254  331    305     293  211         364          166
14.768782        361   254  331    305     293  213         364          167
14.869903        361   254  331    305     293  214         364          167
14.971025        361   254  332    305     293  214         364          167
15.072147        361   254  332    306     293  214         364          167
15.173269        361   254  332    306     294  214         364          168
15.274390        361   254  332    306     294  214         364          168
15.375512        361   255  332    306     294  214         364          168
15.476634        361   255  332    307     294  214         364          168
15.577756        361   255  332    307     295  215         364          169
15.678878        362   255  332    307     295  215         365          169
15.779999        362   255  332    307     295  215         365          169
15.881121        362   255  332    308     295  215         365          169
15.982243        362   256  332    308     295  215         365          169
16.083365        362   256  332    308     295  215         365          169
16.184487        362   256  332    308     295  215         365          169
16.285608        362   256  332    308     295  215         365          169
16.386730        362   256  332    308     295  215         365          169
16.487852        362   256  332    309     295  215         365          170
16.588974        362   256  332    309     295  215         365          170
16.690096        362   256  332    309     295  215         365          170
16.791217        362   257  332    309     295  215         365          170
16.892339        362   257  333    309     295  215         365          170
16.993461        362   257  333    309     295  215         365          170
17.094583        362   258  333    310     295  215         365          170
17.195705        362   258  333    310     296  215         365          171
17.296826        362   258  333    311     296  216         365          171
17.397948        362   258  333    312     296  216         365          171
17.499070        362   258  333    312     296  216         365          171
17.600192        362   258  333    312     296  216         365          171
17.701313        362   258  333    313     296  216         366          171
17.802435        362   258  333    313     296  217         366          172
17.903557        362   258  333    313     296  217         366          172
18.004679        362   258  333    313     298  217         366          174
18.105801        362   258  333    314     298  217         366          174
18.206922        362   258  333    314     298  217         366          174
18.308044        362   258  333    314     298  218         366          174
18.409166        362   259  334    314     298  218         366          174
18.510288        362   259  334    314     298  218         366          174
18.611410        362   260  334    314     298  218         366          174
18.712531        362   260  334    314     298  218         366          174
18.813653        362   260  334    314     298  218         366          174
18.914775        362   260  334    314     298  218         366          174
19.015897        362   260  334    314     298  218         366          174
19.117019        362   261  335    314     298  218         367          174
19.218140        362   261  335    314     299  218         367          175
19.319262        362   261  335    314     299  218         367          175
19.420384        362   261  335    314     299  218         367          175
19.521506        362   261  335    315     299  218         367          175
19.622628        362   261  335    315     300  218         367          175
19.723749        362   261  336    315     300  218         367          175
19.824871        362   261  336    315     300  218         367          175
19.925993        362   262  336    316     300  218         367          176
20.027115        362   262  336    316     301  218         367          176
20.128236        362   262  336    317     301  218         367          176
20.229358        362   262  336    317     301  218         367          176
20.330480        362   262  336    317     302  218         367          176
20.431602        362   262  336    317     302  218         367          176
20.532724        362   262  336    317     302  218         367          176
20.633845        362   263  336    317     302  219         367          177
20.734967        362   263  336    317     302  219         367          177
20.836089        362   263  336    317     302  219         367          177
20.937211        362   263  336    317     302  219         367          177
21.038333        362   264  336    318     302  219         367          177
21.139454        362   264  336    318     303  219         367          177
21.240576        362   264  336    318     303  219         367          177
21.341698        362   264  336    318     304  219         367          177
21.442820        362   264  336    318     304  219         367          177
21.543942        362   264  336    319     304  219         367          177
21.645063        362   265  336    319     304  220         367          178
21.746185        362   265  336    319     304  220         367          178
21.847307        362   266  336    319     304  220         367          178
21.948429        362   266  336    319     304  220         367          178
22.049551        362   266  336    319     304  220         367          178
22.150672        362   266  336    320     304  220         367          178
22.251794        362   266  336    320     304  220         367          178
22.352916        362   266  336    320     304  220         367          178
22.454038        362   267  336    320     304  220         367          178
22.555159        362   267  336    320     304  220         367          178
22.656281        362   267  336    320     305  220         367          178
22.757403        362   267  336    320     306  221         367          178
22.858525        362   267  336    320     306  222         367          179
22.959647        362   268  336    320     306  222         367          179
23.060768        362   268  336    320     306  222         367          179
23.161890        362   268  336    320     306  223         367          180
23.263012        362   268  336    320     306  223         367          180
23.364134        362   268  336    322     307  223         367          182
