Absolute performance profile for SolverTime
Filter: within 1.0% of known optimal value and not failed
            Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
0.005000           0     0    7      1       3    0           8            0
0.106122         132    19  119     67      71    0         168            0
0.207244         178    41  153     94      97   58         200           32
0.308365         202    50  178    108     117   94         210           43
0.409487         216    57  192    121     124  125         225           48
0.510609         229    66  198    128     131  129         234           52
0.611731         235    76  205    138     137  130         240           57
0.712853         240    82  206    149     142  137         245           59
0.813974         245    88  212    156     143  140         250           62
0.915096         248    96  217    160     146  142         256           65
1.016218         251    99  222    163     149  146         258           69
1.117340         253   108  228    176     150  148         261           71
1.218461         257   120  231    179     151  150         264           75
1.319583         259   129  232    184     153  151         266           76
1.420705         260   133  238    184     154  152         269           78
1.521827         261   134  239    185     155  154         269           81
1.622949         261   137  241    188     157  156         269           83
1.724070         264   142  244    191     157  158         270           88
1.825192         267   148  245    194     162  159         271           90
1.926314         267   148  247    196     167  162         274           92
2.027436         268   149  247    198     169  164         274           92
2.128558         268   150  249    200     169  164         275           93
2.229679         270   154  249    200     170  164         276           96
2.330801         271   156  250    200     174  164         277           96
2.431923         273   158  250    201     175  164         279           96
2.533045         275   158  251    202     177  164         280           97
2.634167         275   162  251    205     177  164         280           98
2.735288         276   165  251    207     178  166         280          101
2.836410         277   165  251    209     180  166         282          101
2.937532         277   165  251    211     181  166         282          101
3.038654         277   166  251    212     182  167         282          101
3.139776         277   167  253    212     183  167         283          102
3.240897         280   168  253    215     185  167         286          102
3.342019         280   168  253    217     187  167         286          102
3.443141         280   169  254    219     188  169         287          103
3.544263         280   170  257    219     188  169         287          104
3.645384         280   172  259    221     189  169         287          106
3.746506         281   175  259    221     189  169         288          108
3.847628         281   175  259    223     192  170         288          111
3.948750         282   175  260    225     192  170         289          111
4.049872         282   175  261    227     193  170         290          112
4.150993         282   175  261    227     195  170         290          112
4.252115         284   175  262    228     195  170         290          112
4.353237         285   177  262    229     197  171         290          113
4.454359         285   178  262    230     198  171         290          115
4.555481         285   178  262    230     198  172         290          116
4.656602         285   179  262    230     200  173         290          116
4.757724         287   180  262    232     204  173         291          117
4.858846         287   181  263    233     205  173         292          117
4.959968         287   182  263    233     205  173         292          117
5.061090         287   182  263    234     207  176         292          119
5.162211         287   183  263    234     207  176         292          120
5.263333         287   184  263    236     207  176         292          120
5.364455         287   185  264    237     208  176         292          120
5.465577         287   185  265    237     209  176         293          120
5.566699         287   185  266    237     210  176         293          120
5.667820         287   186  267    239     210  176         293          120
5.768942         287   187  268    239     210  176         293          120
5.870064         287   189  268    239     211  176         293          121
5.971186         287   189  268    239     211  176         293          121
6.072307         287   190  268    239     211  176         293          121
6.173429         287   190  268    240     211  176         293          121
6.274551         287   190  268    241     211  176         293          121
6.375673         287   191  268    241     211  176         293          121
6.476795         287   192  268    241     212  176         293          121
6.577916         287   192  268    241     212  176         293          121
6.679038         288   194  268    241     212  176         294          121
6.780160         288   194  268    241     213  176         294          121
6.881282         288   194  268    241     213  176         294          121
6.982404         288   194  268    242     213  176         294          121
7.083525         289   195  268    242     213  176         295          121
7.184647         289   195  268    242     214  177         295          122
7.285769         289   195  268    242     214  178         295          123
7.386891         289   195  269    242     215  178         295          123
7.488013         289   195  270    243     216  180         295          124
7.589134         290   195  270    243     216  180         295          124
7.690256         290   195  270    243     218  180         295          124
7.791378         291   195  270    243     219  180         295          124
7.892500         291   195  270    243     220  180         295          124
7.993622         291   196  270    243     220  180         295          124
8.094743         291   196  270    243     220  180         295          124
8.195865         291   196  270    243     220  180         295          124
8.296987         291   196  270    243     220  180         295          124
8.398109         291   196  270    245     220  180         295          124
8.499230         291   196  270    246     220  181         295          124
8.600352         291   197  270    246     220  182         295          124
8.701474         291   197  270    246     221  182         295          125
8.802596         291   197  270    246     221  182         295          125
8.903718         293   198  270    246     221  182         296          125
9.004839         294   198  271    247     221  182         297          125
9.105961         294   198  271    247     221  182         297          125
9.207083         294   200  271    248     222  182         297          126
9.308205         295   200  272    248     223  182         298          126
9.409327         295   200  272    248     224  182         298          127
9.510448         295   200  272    248     224  182         298          127
9.611570         296   201  272    248     224  182         298          127
9.712692         296   201  272    248     225  182         298          128
9.813814         296   202  272    249     225  182         298          128
9.914936         296   202  272    250     225  182         298          128
10.016057        297   202  272    250     225  182         299          128
10.117179        297   202  272    250     225  182         299          128
10.218301        297   203  272    251     226  182         299          129
10.319423        298   203  273    251     227  182         300          130
10.420545        298   204  273    251     227  182         300          131
10.521666        298   204  273    251     227  182         300          131
10.622788        298   205  274    251     227  182         301          132
10.723910        298   205  275    252     228  182         302          133
10.825032        298   205  275    253     230  182         302          133
10.926153        298   205  275    253     230  182         302          133
11.027275        298   206  275    253     231  182         302          133
11.128397        298   206  275    253     231  182         302          133
11.229519        298   206  276    253     231  182         302          133
11.330641        298   206  276    253     231  182         302          133
11.431762        298   206  276    253     232  182         302          134
11.532884        298   206  276    253     233  182         302          135
11.634006        298   206  276    253     233  182         302          135
11.735128        298   206  276    253     234  182         303          135
11.836250        298   206  276    253     234  182         303          135
11.937371        299   206  276    253     234  182         304          135
12.038493        299   206  276    253     236  182         304          137
12.139615        299   206  276    253     236  182         304          137
12.240737        299   206  276    254     236  182         304          137
12.341859        299   207  276    254     236  182         304          137
12.442980        300   207  276    255     236  182         304          137
12.544102        301   207  277    255     236  182         305          137
12.645224        301   207  277    255     237  182         305          138
12.746346        302   207  277    255     237  182         306          138
12.847467        302   207  278    255     238  182         306          139
12.948589        302   207  278    255     239  182         306          139
13.049711        302   209  278    255     240  182         306          139
13.150833        302   209  278    255     241  182         306          140
13.251955        302   209  278    256     241  182         306          140
13.353076        302   209  278    256     241  182         306          140
13.454198        302   209  278    256     241  182         306          140
13.555320        302   209  278    256     242  182         306          141
13.656442        302   209  278    256     243  182         306          141
13.757564        302   209  278    256     243  182         306          141
13.858685        302   209  278    256     243  182         306          141
13.959807        302   209  278    257     243  182         307          141
14.060929        302   210  279    258     243  182         307          141
14.162051        302   210  279    260     243  182         307          141
14.263173        302   211  279    260     244  182         307          142
14.364294        303   211  279    260     244  182         307          142
14.465416        303   212  279    262     244  182         307          142
14.566538        303   212  279    262     244  182         307          142
14.667660        303   212  279    263     244  183         307          143
14.768782        304   212  279    263     244  184         307          143
14.869903        304   212  279    263     244  184         307          143
14.971025        304   212  280    263     244  184         307          143
15.072147        304   212  280    263     244  184         307          143
15.173269        304   212  280    263     245  184         307          144
15.274390        304   212  280    263     245  184         307          144
15.375512        304   212  280    263     245  184         307          144
15.476634        304   212  280    264     245  184         307          144
15.577756        304   212  280    264     246  185         307          145
15.678878        305   212  280    264     246  185         308          145
15.779999        305   212  280    264     246  185         308          145
15.881121        305   212  280    264     246  185         308          145
15.982243        305   213  280    264     246  185         308          145
16.083365        305   213  280    264     246  185         308          145
16.184487        305   213  280    264     246  185         308          145
16.285608        305   213  280    264     246  185         308          145
16.386730        305   213  280    264     246  185         308          145
16.487852        305   213  280    264     246  185         308          145
16.588974        305   213  280    264     246  185         308          145
16.690096        305   213  280    264     246  185         308          145
16.791217        305   214  280    264     246  185         308          145
16.892339        305   214  281    264     246  185         308          145
16.993461        305   214  281    264     246  185         308          145
17.094583        305   215  281    265     246  185         308          145
17.195705        305   215  281    265     247  185         308          146
17.296826        305   215  281    266     247  186         308          146
17.397948        305   215  281    267     247  186         308          146
17.499070        305   215  281    267     247  186         308          146
17.600192        305   215  281    267     247  186         308          146
17.701313        305   215  281    268     247  186         309          146
17.802435        305   215  281    268     247  186         309          146
17.903557        305   215  281    268     247  186         309          146
18.004679        305   215  281    268     249  186         309          148
18.105801        305   215  281    269     249  186         309          148
18.206922        305   215  281    269     249  186         309          148
18.308044        305   215  281    269     249  187         309          148
18.409166        305   215  282    269     249  187         309          148
18.510288        305   215  282    269     249  187         309          148
18.611410        305   215  282    269     249  187         309          148
18.712531        305   215  282    269     249  187         309          148
18.813653        305   215  282    269     249  187         309          148
18.914775        305   215  282    269     249  187         309          148
19.015897        305   215  282    269     249  187         309          148
19.117019        305   216  283    269     249  187         310          148
19.218140        305   216  283    269     250  187         310          149
19.319262        305   216  283    269     250  187         310          149
19.420384        305   216  283    269     250  187         310          149
19.521506        305   216  283    270     250  187         310          149
19.622628        305   216  283    270     251  187         310          149
19.723749        305   216  284    270     251  187         310          149
19.824871        305   216  284    270     251  187         310          149
19.925993        305   217  284    270     251  187         310          150
20.027115        305   217  284    270     252  187         310          150
20.128236        305   217  284    270     252  187         310          150
20.229358        305   217  284    270     252  187         310          150
20.330480        305   217  284    270     253  187         310          150
20.431602        305   217  284    270     253  187         310          150
20.532724        305   217  284    270     253  187         310          150
20.633845        305   218  284    270     253  188         310          151
20.734967        305   218  284    270     253  188         310          151
20.836089        305   218  284    270     253  188         310          151
20.937211        305   218  284    270     253  188         310          151
21.038333        305   219  284    271     253  188         310          151
21.139454        305   219  284    271     254  188         310          151
21.240576        305   219  284    271     254  188         310          151
21.341698        305   219  284    271     254  188         310          151
21.442820        305   219  284    271     254  188         310          151
21.543942        305   219  284    271     254  188         310          151
21.645063        305   219  284    271     254  188         310          151
21.746185        305   219  284    271     254  188         310          151
21.847307        305   220  284    271     254  188         310          151
