Relative performance profile for SolverTime
Filter: no fail
              Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
1.000000           154     0  214     28      12    2         405            0
1.001190           166     1  214     32      24    3         405            0
1.002380           166    11  214     32      24    4         405            0
1.003573           167    15  214     32      24    5         405            0
1.004767           169    15  214     32      24    5         405            0
1.005962           169    16  214     32      24    6         405            0
1.007158           169    16  215     32      24    8         405            0
1.008356           170    16  215     32      24    8         405            0
1.009556           172    16  216     32      24    8         405            0
1.010757           172    16  217     32      24    9         405            0
1.011959           172    16  233     32      24   14         405           11
1.013163           172    16  233     32      24   14         405           11
1.014368           172    16  233     32      24   14         405           11
1.015575           172    16  233     32      24   14         405           11
1.016783           173    16  233     32      24   14         405           11
1.017992           173    16  233     32      24   14         405           11
1.019203           173    16  233     32      24   14         405           11
1.020415           173    16  233     32      24   14         405           11
1.021629           173    16  233     32      24   14         405           11
1.022845           173    16  233     32      24   14         405           11
1.024061           174    16  233     32      24   14         405           11
1.025279           174    16  233     32      24   14         405           11
1.026499           174    16  233     32      24   14         405           11
1.027720           174    16  235     32      24   14         405           11
1.028943           174    16  235     32      24   14         405           11
1.030166           175    16  237     32      24   14         405           11
1.031392           175    16  237     32      24   14         405           11
1.032619           175    16  237     32      24   14         405           11
1.033847           175    16  237     32      24   14         405           11
1.035077           175    16  237     32      24   14         405           11
1.036308           175    16  237     32      24   14         405           11
1.037541           175    16  237     32      24   14         405           11
1.038775           175    16  237     32      24   14         405           11
1.040011           175    16  237     32      24   14         405           11
1.041248           176    16  238     32      24   14         405           11
1.042486           177    16  238     32      24   14         405           11
1.043726           177    16  238     32      24   14         405           11
1.044968           177    16  238     32      24   14         405           11
1.046211           177    16  238     32      24   14         405           11
1.047455           177    16  238     32      24   14         405           11
1.048701           177    16  238     32      24   14         405           11
1.049949           177    16  238     32      24   14         405           11
1.051198           177    16  239     32      24   14         405           11
1.052448           177    16  239     32      24   14         405           11
1.053700           179    16  239     32      24   14         405           11
1.054954           180    16  239     32      24   14         405           11
1.056208           180    16  240     32      24   14         405           11
1.057465           180    16  240     32      24   14         405           11
1.058723           180    16  240     32      24   14         405           11
1.059982           180    16  240     32      24   14         405           11
1.061243           181    16  240     32      24   14         405           11
1.062505           181    16  240     32      24   14         405           11
1.063769           182    16  240     32      24   14         405           11
1.065035           182    16  241     32      24   14         405           11
1.066301           182    16  241     32      24   14         405           11
1.067570           182    16  242     32      24   14         405           11
1.068840           182    16  242     32      24   14         405           11
1.070111           183    16  242     32      24   14         405           11
1.071384           183    16  243     32      24   14         405           11
1.072659           183    16  243     32      24   14         405           11
1.073934           183    16  243     32      24   14         405           11
1.075212           184    16  243     32      24   14         405           11
1.076491           184    16  243     32      24   14         405           11
1.077771           184    16  243     32      24   14         405           11
1.079053           184    16  243     32      24   14         405           11
1.080337           185    16  243     32      24   14         405           11
1.081622           185    16  243     32      24   14         405           11
1.082909           185    16  243     32      25   14         405           11
1.084197           185    16  243     32      25   14         405           11
1.085487           186    16  243     32      25   14         405           11
1.086778           186    16  244     32      25   14         405           11
1.088071           186    16  245     32      25   14         405           11
1.089365           186    16  245     32      25   14         405           11
1.090661           186    16  245     32      25   14         405           11
1.091958           186    16  245     32      25   14         405           11
1.093257           186    16  245     32      25   14         405           11
1.094557           186    16  245     32      25   14         405           11
1.095859           186    16  245     32      25   14         405           11
1.097163           186    16  245     32      25   14         405           11
1.098468           186    16  245     32      25   14         405           11
1.099775           186    16  247     32      25   14         405           11
1.101083           186    16  247     32      25   14         405           11
1.102393           186    16  248     32      25   14         405           11
1.103704           186    16  248     32      25   14         405           11
1.105017           186    16  248     32      25   14         405           11
1.106331           186    16  248     32      25   14         405           11
1.107647           186    16  248     32      25   14         405           11
1.108965           186    16  248     32      25   14         405           11
1.110284           186    16  248     32      25   14         405           11
1.111605           186    16  248     33      25   14         405           11
1.112927           187    16  248     33      25   14         405           11
1.114251           189    16  249     33      25   14         405           11
1.115576           189    16  250     33      25   14         405           11
1.116903           189    16  250     33      25   14         405           11
1.118232           189    16  251     33      25   14         405           11
1.119562           189    16  251     33      25   14         405           11
1.120894           190    16  251     33      25   14         405           11
1.122227           190    16  251     33      25   14         405           11
1.123562           190    16  251     33      25   14         405           11
1.124899           190    16  251     33      25   14         405           11
1.126237           190    16  251     33      25   14         405           11
1.127576           191    16  251     33      25   14         405           11
1.128918           191    16  251     33      25   14         405           11
1.130260           191    16  251     33      25   14         405           11
1.131605           191    16  251     33      25   14         405           11
1.132951           191    16  251     33      25   14         405           11
1.134299           192    16  252     33      25   14         405           11
1.135648           192    16  252     33      25   14         405           11
1.136999           192    16  252     33      25   14         405           11
1.138351           192    16  252     33      25   14         405           11
1.139705           192    16  252     33      25   14         405           11
1.141061           192    16  252     33      25   14         405           11
1.142418           192    16  252     33      25   14         405           11
1.143777           192    16  254     33      25   14         405           11
1.145138           192    16  254     33      25   14         405           11
1.146500           192    16  254     33      25   14         405           11
1.147864           192    16  254     33      25   14         405           11
1.149229           192    16  254     33      25   14         405           11
1.150596           192    16  254     33      26   14         405           11
1.151965           192    16  254     33      26   14         405           11
1.153335           192    16  254     33      26   14         405           11
1.154707           192    16  254     33      26   14         405           11
1.156081           192    16  254     33      26   14         405           11
1.157456           193    16  254     33      26   14         405           11
1.158833           194    16  254     33      26   14         405           11
1.160211           194    16  255     33      26   14         405           11
1.161591           194    16  255     33      26   14         405           11
1.162973           194    16  255     33      26   14         405           11
1.164356           194    16  255     33      26   14         405           11
1.165741           194    16  255     33      26   14         405           11
1.167128           194    16  255     33      26   14         405           11
1.168516           194    16  255     33      26   14         405           11
1.169906           194    16  255     33      26   14         405           11
1.171298           194    16  256     33      26   14         405           11
1.172691           194    16  256     33      26   14         405           11
1.174086           194    16  256     33      26   14         405           11
1.175483           194    16  257     33      26   14         405           11
1.176881           194    16  257     33      26   14         405           11
1.178281           194    16  257     33      26   14         405           11
1.179683           194    16  257     33      26   14         405           11
1.181086           195    16  257     33      26   14         405           11
1.182491           195    16  257     33      26   14         405           11
1.183897           195    16  257     33      26   14         405           11
1.185306           195    16  257     33      26   14         405           11
1.186716           195    16  257     33      26   14         405           11
1.188127           195    16  257     33      26   14         405           11
1.189541           195    16  257     33      26   14         405           11
1.190956           195    16  257     33      26   14         405           11
1.192372           195    16  257     33      27   14         405           11
1.193791           195    16  257     33      27   14         405           11
1.195211           196    16  257     34      27   14         405           11
1.196632           196    16  257     34      27   14         405           11
1.198056           196    16  257     34      27   14         405           11
1.199481           196    16  258     34      28   14         405           11
1.200908           197    16  258     34      28   14         405           11
1.202336           198    16  258     34      28   14         405           11
1.203766           198    16  258     34      28   14         405           11
1.205198           198    16  258     34      28   14         405           11
1.206632           198    16  258     34      28   14         405           11
1.208067           198    16  259     34      28   14         405           11
1.209504           198    16  259     34      28   14         405           11
1.210943           199    16  259     34      28   14         405           11
1.212384           199    16  259     34      28   14         405           11
1.213826           199    16  259     34      28   14         405           11
1.215270           199    16  260     34      28   14         405           11
1.216715           199    16  260     34      28   14         405           11
1.218162           199    16  260     34      28   14         405           11
1.219611           200    16  260     34      28   14         405           11
1.221062           200    16  260     34      28   14         405           11
1.222515           200    16  260     35      28   14         405           11
1.223969           201    16  260     35      28   14         405           11
1.225425           201    16  260     35      28   14         405           11
1.226883           201    16  260     35      28   14         405           11
1.228342           201    16  260     35      28   14         405           11
1.229803           201    16  260     35      28   14         405           11
1.231266           201    16  260     35      28   14         405           11
1.232731           201    16  260     35      28   14         405           11
1.234197           201    16  260     36      28   14         405           11
1.235665           201    16  260     36      28   14         405           11
1.237135           201    16  260     36      28   14         405           11
1.238607           201    16  260     36      28   14         405           11
1.240080           201    16  260     36      28   14         405           11
1.241555           203    16  261     36      29   14         405           11
1.243032           204    16  261     36      29   14         405           11
1.244510           204    16  261     36      29   14         405           11
1.245991           204    16  261     36      29   14         405           11
1.247473           204    16  261     36      29   14         405           11
1.248957           204    16  261     36      29   14         405           11
1.250443           205    16  261     37      30   14         405           11
1.251930           205    16  261     37      30   14         405           11
1.253419           205    16  261     37      30   14         405           11
1.254910           205    16  261     37      30   14         405           11
1.256403           206    16  261     37      30   14         405           11
1.257897           206    16  261     37      30   14         405           11
1.259394           206    17  261     37      30   14         405           11
1.260892           206    17  261     37      31   15         405           11
1.262392           206    17  261     37      31   15         405           11
1.263893           206    17  261     37      31   15         405           11
1.265397           206    17  261     37      31   15         405           11
1.266902           206    17  261     37      31   15         405           11
1.268409           206    17  261     37      31   15         405           11
1.269918           207    17  262     37      32   15         405           12
1.271428           207    17  262     37      32   15         405           12
1.272941           208    17  262     37      32   15         405           12
1.274455           208    17  262     37      32   15         405           12
1.275971           208    17  262     37      32   15         405           12
1.277489           208    17  262     37      32   15         405           12
1.279008           208    17  262     37      32   15         405           12
1.280530           208    17  262     37      32   15         405           12
1.282053           208    17  262     37      32   15         405           12
1.283578           208    17  262     37      32   15         405           12
1.285105           208    17  262     37      32   15         405           12
1.286633           209    17  262     37      32   15         405           12
1.288164           209    17  262     37      32   15         405           12
1.289696           210    18  262     37      32   15         405           12
1.291230           212    18  262     37      32   15         405           12
1.292766           212    18  262     37      32   15         405           12
1.294304           212    18  262     37      32   15         405           12
1.295844           214    18  262     37      32   15         405           12
1.297385           214    18  262     37      32   15         405           12
1.298928           214    18  262     37      32   15         405           12
1.300474           214    18  263     37      33   15         405           12
1.302020           214    18  263     37      33   15         405           12
1.303569           214    18  263     37      33   15         405           12
1.305120           214    18  264     37      33   15         405           12
1.306672           214    18  264     37      33   15         405           12
1.308227           214    18  264     37      33   15         405           12
1.309783           214    18  264     37      33   15         405           12
1.311341           214    18  264     37      33   15         405           12
1.312901           214    18  264     37      33   15         405           12
1.314462           215    18  264     37      33   15         405           12
1.316026           215    18  264     37      33   15         405           12
