Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
              Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
1.000000           109     0   59     17       5    2         192            0
1.001190           118     0   59     20      13    2         192            0
1.002380           118     6   59     20      13    3         192            0
1.003573           119    10   59     20      13    4         192            0
1.004767           121    10   59     20      13    4         192            0
1.005962           121    11   59     20      13    5         192            0
1.007158           121    11   60     20      13    7         192            0
1.008356           121    11   60     20      13    7         192            0
1.009556           122    11   60     20      13    7         192            0
1.010757           122    11   61     20      13    8         192            0
1.011959           122    11   72     20      13   13         192           11
1.013163           122    11   72     20      13   13         192           11
1.014368           122    11   72     20      13   13         192           11
1.015575           122    11   72     20      13   13         192           11
1.016783           122    11   72     20      13   13         192           11
1.017992           122    11   72     20      13   13         192           11
1.019203           122    11   72     20      13   13         192           11
1.020415           122    11   72     20      13   13         192           11
1.021629           122    11   72     20      13   13         192           11
1.022845           122    11   72     20      13   13         192           11
1.024061           122    11   72     20      13   13         192           11
1.025279           122    11   72     20      13   13         192           11
1.026499           122    11   72     20      13   13         192           11
1.027720           122    11   73     20      13   13         192           11
1.028943           122    11   73     20      13   13         192           11
1.030166           123    11   74     20      13   13         192           11
1.031392           123    11   74     20      13   13         192           11
1.032619           123    11   74     20      13   13         192           11
1.033847           123    11   74     20      13   13         192           11
1.035077           123    11   74     20      13   13         192           11
1.036308           123    11   74     20      13   13         192           11
1.037541           123    11   74     20      13   13         192           11
1.038775           123    11   74     20      13   13         192           11
1.040011           123    11   74     20      13   13         192           11
1.041248           124    11   74     20      13   13         192           11
1.042486           125    11   74     20      13   13         192           11
1.043726           125    11   74     20      13   13         192           11
1.044968           125    11   74     20      13   13         192           11
1.046211           125    11   74     20      13   13         192           11
1.047455           125    11   74     20      13   13         192           11
1.048701           125    11   74     20      13   13         192           11
1.049949           125    11   74     20      13   13         192           11
1.051198           125    11   75     20      13   13         192           11
1.052448           125    11   75     20      13   13         192           11
1.053700           126    11   75     20      13   13         192           11
1.054954           127    11   75     20      13   13         192           11
1.056208           127    11   76     20      13   13         192           11
1.057465           127    11   76     20      13   13         192           11
1.058723           127    11   76     20      13   13         192           11
1.059982           127    11   76     20      13   13         192           11
1.061243           128    11   76     20      13   13         192           11
1.062505           128    11   76     20      13   13         192           11
1.063769           128    11   76     20      13   13         192           11
1.065035           128    11   76     20      13   13         192           11
1.066301           128    11   76     20      13   13         192           11
1.067570           128    11   77     20      13   13         192           11
1.068840           128    11   77     20      13   13         192           11
1.070111           128    11   77     20      13   13         192           11
1.071384           128    11   78     20      13   13         192           11
1.072659           128    11   78     20      13   13         192           11
1.073934           128    11   78     20      13   13         192           11
1.075212           129    11   78     20      13   13         192           11
1.076491           129    11   78     20      13   13         192           11
1.077771           129    11   78     20      13   13         192           11
1.079053           129    11   78     20      13   13         192           11
1.080337           130    11   78     20      13   13         192           11
1.081622           130    11   78     20      13   13         192           11
1.082909           130    11   78     20      13   13         192           11
1.084197           130    11   78     20      13   13         192           11
1.085487           131    11   78     20      13   13         192           11
1.086778           131    11   79     20      13   13         192           11
1.088071           131    11   79     20      13   13         192           11
1.089365           131    11   79     20      13   13         192           11
1.090661           131    11   79     20      13   13         192           11
1.091958           131    11   79     20      13   13         192           11
1.093257           131    11   79     20      13   13         192           11
1.094557           131    11   79     20      13   13         192           11
1.095859           131    11   79     20      13   13         192           11
1.097163           131    11   79     20      13   13         192           11
1.098468           131    11   79     20      13   13         192           11
1.099775           131    11   80     20      13   13         192           11
1.101083           131    11   80     20      13   13         192           11
1.102393           131    11   81     20      13   13         192           11
1.103704           131    11   81     20      13   13         192           11
1.105017           131    11   81     20      13   13         192           11
1.106331           131    11   81     20      13   13         192           11
1.107647           131    11   81     20      13   13         192           11
1.108965           131    11   81     20      13   13         192           11
1.110284           131    11   81     20      13   13         192           11
1.111605           131    11   81     20      13   13         192           11
1.112927           132    11   81     20      13   13         192           11
1.114251           132    11   81     20      13   13         192           11
1.115576           132    11   82     20      13   13         192           11
1.116903           132    11   82     20      13   13         192           11
1.118232           132    11   83     20      13   13         192           11
1.119562           132    11   83     20      13   13         192           11
1.120894           133    11   83     20      13   13         192           11
1.122227           133    11   83     20      13   13         192           11
1.123562           133    11   83     20      13   13         192           11
1.124899           133    11   83     20      13   13         192           11
1.126237           133    11   83     20      13   13         192           11
1.127576           134    11   83     20      13   13         192           11
1.128918           134    11   83     20      13   13         192           11
1.130260           134    11   83     20      13   13         192           11
1.131605           134    11   83     20      13   13         192           11
1.132951           134    11   83     20      13   13         192           11
1.134299           134    11   83     20      13   13         192           11
1.135648           134    11   83     20      13   13         192           11
1.136999           134    11   83     20      13   13         192           11
1.138351           134    11   83     20      13   13         192           11
1.139705           134    11   83     20      13   13         192           11
1.141061           134    11   83     20      13   13         192           11
1.142418           134    11   83     20      13   13         192           11
1.143777           134    11   84     20      13   13         192           11
1.145138           134    11   84     20      13   13         192           11
1.146500           134    11   84     20      13   13         192           11
1.147864           134    11   84     20      13   13         192           11
1.149229           134    11   84     20      13   13         192           11
1.150596           134    11   84     20      13   13         192           11
1.151965           134    11   84     20      13   13         192           11
1.153335           134    11   84     20      13   13         192           11
1.154707           134    11   84     20      13   13         192           11
1.156081           134    11   84     20      13   13         192           11
1.157456           134    11   84     20      13   13         192           11
1.158833           134    11   84     20      13   13         192           11
1.160211           134    11   85     20      13   13         192           11
1.161591           134    11   85     20      13   13         192           11
1.162973           134    11   85     20      13   13         192           11
1.164356           134    11   85     20      13   13         192           11
1.165741           134    11   85     20      13   13         192           11
1.167128           134    11   85     20      13   13         192           11
1.168516           134    11   85     20      13   13         192           11
1.169906           134    11   85     20      13   13         192           11
1.171298           134    11   86     20      13   13         192           11
1.172691           134    11   86     20      13   13         192           11
1.174086           134    11   86     20      13   13         192           11
1.175483           134    11   86     20      13   13         192           11
1.176881           134    11   86     20      13   13         192           11
1.178281           134    11   86     20      13   13         192           11
1.179683           134    11   86     20      13   13         192           11
1.181086           135    11   86     20      13   13         192           11
1.182491           135    11   86     20      13   13         192           11
1.183897           135    11   86     20      13   13         192           11
1.185306           135    11   86     20      13   13         192           11
1.186716           135    11   86     20      13   13         192           11
1.188127           135    11   86     20      13   13         192           11
1.189541           135    11   86     20      13   13         192           11
1.190956           135    11   86     20      13   13         192           11
1.192372           135    11   86     20      14   13         192           11
1.193791           135    11   86     20      14   13         192           11
1.195211           136    11   86     21      14   13         192           11
1.196632           136    11   86     21      14   13         192           11
1.198056           136    11   86     21      14   13         192           11
1.199481           136    11   87     21      14   13         192           11
1.200908           137    11   87     21      14   13         192           11
1.202336           137    11   87     21      14   13         192           11
1.203766           137    11   87     21      14   13         192           11
1.205198           137    11   87     21      14   13         192           11
1.206632           137    11   87     21      14   13         192           11
1.208067           137    11   87     21      14   13         192           11
1.209504           137    11   87     21      14   13         192           11
1.210943           137    11   87     21      14   13         192           11
1.212384           137    11   87     21      14   13         192           11
1.213826           137    11   87     21      14   13         192           11
1.215270           137    11   88     21      14   13         192           11
1.216715           137    11   88     21      14   13         192           11
1.218162           137    11   88     21      14   13         192           11
1.219611           138    11   88     21      14   13         192           11
1.221062           138    11   88     21      14   13         192           11
1.222515           138    11   88     22      14   13         192           11
1.223969           139    11   88     22      14   13         192           11
1.225425           139    11   88     22      14   13         192           11
1.226883           139    11   88     22      14   13         192           11
1.228342           139    11   88     22      14   13         192           11
1.229803           139    11   88     22      14   13         192           11
1.231266           139    11   88     22      14   13         192           11
1.232731           139    11   88     22      14   13         192           11
1.234197           139    11   88     23      14   13         192           11
1.235665           139    11   88     23      14   13         192           11
1.237135           139    11   88     23      14   13         192           11
1.238607           139    11   88     23      14   13         192           11
1.240080           139    11   88     23      14   13         192           11
1.241555           141    11   89     23      14   13         192           11
1.243032           142    11   89     23      14   13         192           11
1.244510           142    11   89     23      14   13         192           11
1.245991           142    11   89     23      14   13         192           11
1.247473           142    11   89     23      14   13         192           11
1.248957           142    11   89     23      14   13         192           11
1.250443           143    11   89     23      14   13         192           11
1.251930           143    11   89     23      14   13         192           11
1.253419           143    11   89     23      14   13         192           11
