Relative performance profile for SolverTime
Filter: gap <= 1.0% and not failed
              Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
1.000000           155     0  214     17       9    3         393            0
1.001190           156     0  214     17       9    3         393            0
1.002380           156     0  214     17       9    3         393            0
1.003573           156     0  214     17       9    3         393            0
1.004767           157     0  214     17       9    3         393            0
1.005962           157     0  214     17       9    3         393            0
1.007158           157     0  215     17       9    3         393            0
1.008356           158     0  215     17       9    3         393            0
1.009556           159     0  216     17       9    3         393            0
1.010757           159     0  218     17       9    3         393            0
1.011959           159     0  218     17       9    3         393            0
1.013163           159     0  218     17       9    3         393            0
1.014368           159     0  218     17       9    3         393            0
1.015575           159     0  218     17       9    3         393            0
1.016783           160     0  218     17       9    3         393            0
1.017992           160     0  218     17       9    3         393            0
1.019203           160     0  218     17       9    3         393            0
1.020415           160     0  218     17       9    3         393            0
1.021629           160     0  218     17       9    3         393            0
1.022845           160     0  218     17       9    3         393            0
1.024061           161     0  218     17       9    3         393            0
1.025279           161     0  218     17       9    3         393            0
1.026499           161     0  218     17       9    3         393            0
1.027720           161     0  220     17       9    3         393            0
1.028943           161     0  220     17       9    3         393            0
1.030166           162     0  222     17       9    3         393            0
1.031392           162     0  222     17       9    3         393            0
1.032619           162     0  222     17       9    3         393            0
1.033847           162     0  222     17       9    3         393            0
1.035077           162     0  222     17       9    3         393            0
1.036308           162     0  222     17       9    3         393            0
1.037541           162     0  222     17       9    3         393            0
1.038775           162     0  222     17       9    3         393            0
1.040011           162     0  222     17       9    3         393            0
1.041248           163     0  223     17       9    3         393            0
1.042486           164     0  223     17       9    3         393            0
1.043726           164     0  223     17       9    3         393            0
1.044968           164     0  223     17       9    3         393            0
1.046211           164     0  223     17       9    3         393            0
1.047455           164     0  223     17       9    3         393            0
1.048701           164     0  223     17       9    3         393            0
1.049949           164     0  223     17       9    3         393            0
1.051198           164     0  224     17       9    3         393            0
1.052448           164     0  224     17       9    3         393            0
1.053700           166     0  224     17       9    3         393            0
1.054954           167     0  224     17       9    3         393            0
1.056208           167     0  225     17       9    3         393            0
1.057465           167     0  225     17       9    3         393            0
1.058723           167     0  225     17       9    3         393            0
1.059982           167     0  225     17       9    3         393            0
1.061243           168     0  225     17       9    3         393            0
1.062505           168     0  225     17       9    3         393            0
1.063769           169     0  225     17       9    3         393            0
1.065035           169     0  226     17       9    3         393            0
1.066301           169     0  226     17       9    3         393            0
1.067570           169     0  227     17       9    3         393            0
1.068840           169     0  227     17       9    3         393            0
1.070111           170     0  227     17       9    3         393            0
1.071384           170     0  228     17       9    3         393            0
1.072659           170     0  228     17       9    3         393            0
1.073934           170     0  228     17       9    3         393            0
1.075212           171     0  228     17       9    3         393            0
1.076491           171     0  228     17       9    3         393            0
1.077771           171     0  228     17       9    3         393            0
1.079053           171     0  228     17       9    3         393            0
1.080337           172     0  228     17       9    3         393            0
1.081622           172     0  228     17       9    3         393            0
1.082909           172     0  228     17      10    3         393            0
1.084197           172     0  228     17      10    3         393            0
1.085487           173     0  228     17      10    3         393            0
1.086778           173     0  229     17      10    3         393            0
1.088071           173     0  230     17      10    3         393            0
1.089365           173     0  230     17      10    3         393            0
1.090661           173     0  230     17      10    3         393            0
1.091958           173     0  230     17      10    3         393            0
1.093257           173     0  230     17      10    3         393            0
1.094557           173     0  230     17      10    3         393            0
1.095859           173     0  230     17      10    3         393            0
1.097163           173     0  230     17      10    3         393            0
1.098468           173     0  230     17      10    3         393            0
1.099775           173     0  232     17      10    3         393            0
1.101083           173     0  232     17      10    3         393            0
1.102393           173     0  233     17      10    3         393            0
1.103704           173     0  233     17      10    3         393            0
1.105017           173     0  233     17      10    3         393            0
1.106331           173     0  233     17      10    3         393            0
1.107647           173     0  233     17      10    3         393            0
1.108965           173     0  233     17      10    3         393            0
1.110284           173     0  233     17      10    3         393            0
1.111605           173     0  233     18      10    3         393            0
1.112927           174     0  233     18      10    3         393            0
1.114251           176     0  234     18      10    3         393            0
1.115576           176     0  235     18      10    3         393            0
1.116903           176     0  235     18      10    3         393            0
1.118232           176     0  236     18      10    3         393            0
1.119562           176     0  236     18      10    3         393            0
1.120894           177     0  236     18      10    3         393            0
1.122227           177     0  236     18      10    3         393            0
1.123562           177     0  236     18      10    3         393            0
1.124899           177     0  236     18      10    3         393            0
1.126237           177     0  236     18      10    3         393            0
1.127576           178     0  236     18      10    3         393            0
1.128918           178     0  236     18      10    3         393            0
1.130260           178     0  236     18      10    3         393            0
1.131605           178     0  236     18      10    3         393            0
1.132951           178     0  236     18      10    3         393            0
1.134299           179     0  237     18      10    3         393            0
1.135648           179     0  237     18      10    3         393            0
1.136999           179     0  237     18      10    3         393            0
1.138351           179     0  237     18      10    3         393            0
1.139705           179     0  237     18      10    3         393            0
1.141061           179     0  237     18      10    3         393            0
1.142418           179     0  237     18      10    3         393            0
1.143777           179     0  239     18      10    3         393            0
1.145138           179     0  239     18      10    3         393            0
1.146500           179     0  239     18      10    3         393            0
1.147864           179     0  239     18      10    3         393            0
1.149229           179     0  239     18      10    3         393            0
1.150596           179     0  239     18      11    3         393            0
1.151965           179     0  239     18      11    3         393            0
1.153335           179     0  239     18      11    3         393            0
1.154707           179     0  239     18      11    3         393            0
1.156081           179     0  239     18      11    3         393            0
1.157456           180     0  239     18      11    3         393            0
1.158833           181     0  239     18      11    3         393            0
1.160211           181     0  240     18      11    3         393            0
1.161591           181     0  240     18      11    3         393            0
1.162973           181     0  240     18      11    3         393            0
1.164356           181     0  240     18      11    3         393            0
1.165741           181     0  240     18      11    3         393            0
1.167128           181     0  240     18      11    3         393            0
1.168516           181     0  240     18      11    3         393            0
1.169906           181     0  240     18      11    3         393            0
1.171298           181     0  241     18      11    3         393            0
1.172691           181     0  241     18      11    3         393            0
1.174086           181     0  241     18      11    3         393            0
1.175483           181     0  242     18      11    3         393            0
1.176881           181     0  242     18      11    3         393            0
1.178281           181     0  242     18      11    3         393            0
1.179683           181     0  242     18      11    3         393            0
1.181086           182     0  242     18      11    3         393            0
1.182491           182     0  242     18      11    3         393            0
1.183897           182     0  242     18      11    3         393            0
1.185306           182     0  242     18      11    3         393            0
1.186716           182     0  242     18      11    3         393            0
1.188127           182     0  242     18      11    3         393            0
1.189541           182     0  242     18      11    3         393            0
1.190956           182     0  242     18      11    3         393            0
1.192372           182     0  242     18      12    3         393            0
1.193791           182     0  242     18      12    3         393            0
1.195211           183     0  242     19      12    3         393            0
1.196632           183     0  242     19      12    3         393            0
1.198056           183     0  242     19      12    3         393            0
1.199481           183     0  243     19      13    3         393            0
1.200908           184     0  243     19      13    3         393            0
1.202336           185     0  243     19      13    3         393            0
1.203766           185     0  243     19      13    3         393            0
1.205198           185     0  243     19      13    3         393            0
1.206632           185     0  243     19      13    3         393            0
1.208067           185     0  244     19      13    3         393            0
1.209504           185     0  244     19      13    3         393            0
1.210943           186     0  244     19      13    3         393            0
1.212384           186     0  244     19      13    3         393            0
1.213826           186     0  244     19      13    3         393            0
1.215270           186     0  245     19      13    3         393            0
1.216715           186     0  245     19      13    3         393            0
1.218162           186     0  245     19      13    3         393            0
1.219611           187     0  245     19      13    3         393            0
1.221062           187     0  245     19      13    3         393            0
1.222515           187     0  245     20      13    3         393            0
1.223969           188     0  245     20      13    3         393            0
1.225425           188     0  245     20      13    3         393            0
1.226883           188     0  245     20      13    3         393            0
1.228342           188     0  245     20      13    3         393            0
1.229803           188     0  245     20      13    3         393            0
1.231266           188     0  245     20      13    3         393            0
1.232731           188     0  245     20      13    3         393            0
1.234197           188     0  245     21      13    3         393            0
1.235665           188     0  245     21      13    3         393            0
1.237135           188     0  245     21      13    3         393            0
1.238607           188     0  245     21      13    3         393            0
1.240080           188     0  245     21      13    3         393            0
1.241555           190     0  246     21      14    3         393            0
1.243032           191     0  246     21      14    3         393            0
1.244510           191     0  246     21      14    3         393            0
1.245991           191     0  246     21      14    3         393            0
1.247473           191     0  246     21      14    3         393            0
1.248957           191     0  246     21      14    3         393            0
1.250443           192     0  246     22      15    3         393            0
1.251930           192     0  246     22      15    3         393            0
1.253419           192     0  246     22      15    3         393            0
1.254910           192     0  246     22      15    3         393            0
1.256403           193     0  246     22      15    3         393            0
1.257897           193     0  246     22      15    3         393            0
1.259394           193     0  246     22      15    3         393            0
1.260892           193     0  246     22      16    3         393            0
1.262392           193     0  246     22      16    3         393            0
1.263893           193     0  246     22      16    3         393            0
1.265397           193     0  246     22      16    3         393            0
1.266902           193     0  246     22      16    3         393            0
1.268409           193     0  246     22      16    3         393            0
1.269918           194     0  247     22      16    3         393            0
1.271428           194     0  247     22      16    3         393            0
1.272941           195     0  247     22      16    3         393            0
1.274455           195     0  247     22      16    3         393            0
1.275971           195     0  247     22      16    3         393            0
1.277489           195     0  247     22      16    3         393            0
1.279008           195     0  247     22      16    3         393            0
1.280530           195     0  247     22      16    3         393            0
1.282053           195     0  247     22      16    3         393            0
1.283578           195     0  247     22      16    3         393            0
1.285105           195     0  247     22      16    3         393            0
1.286633           195     0  247     22      16    3         393            0
1.288164           195     0  247     22      16    3         393            0
1.289696           196     0  247     22      16    3         393            0
1.291230           198     0  247     22      16    3         393            0
1.292766           198     0  247     22      16    3         393            0
1.294304           198     0  247     22      16    3         393            0
1.295844           200     0  247     22      16    3         393            0
1.297385           200     0  247     22      16    3         393            0
1.298928           200     0  247     22      16    3         393            0
1.300474           200     0  248     22      16    3         393            0
1.302020           200     0  248     22      16    3         393            0
1.303569           200     0  248     22      16    3         393            0
1.305120           200     0  249     22      16    3         393            0
1.306672           200     0  249     22      16    3         393            0
1.308227           200     0  249     22      16    3         393            0
1.309783           200     0  249     22      16    3         393            0
1.311341           200     0  249     22      16    3         393            0
1.312901           200     0  249     22      16    3         393            0
1.314462           201     0  249     22      16    3         393            0
1.316026           201     0  249     22      16    3         393            0
