Relative performance profile for NumberOfNodes
Filter: gap <= 0.102% and not failed
               Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
1.000000            244     0    0    228       0   15         389            0
1.001336            244     0    0    228       0   15         389            0
1.002675            244     0    0    228       0   15         389            0
1.004014            244     0    0    228       0   15         389            0
1.005356            244     0    0    228       0   15         389            0
1.006700            244     0    0    228       0   15         389            0
1.008045            244     0    0    228       0   15         389            0
1.009392            244     0    0    228       0   15         389            0
1.010741            244     0    0    228       0   15         389            0
1.012092            244     0    0    228       0   15         389            0
1.013444            244     0    0    228       0   15         389            0
1.014799            244     0    0    228       0   15         389            0
1.016155            244     0    0    228       0   15         389            0
1.017513            244     0    0    228       0   15         389            0
1.018872            244     0    0    228       0   15         389            0
1.020234            244     0    0    228       0   15         389            0
1.021597            244     0    0    228       0   15         389            0
1.022963            244     0    0    228       0   15         389            0
1.024330            244     0    0    228       0   15         389            0
1.025699            244     0    0    228       0   15         389            0
1.027069            244     0    0    228       0   15         389            0
1.028442            244     0    0    228       0   15         389            0
1.029816            244     0    0    228       0   15         389            0
1.031192            244     0    0    228       0   15         389            0
1.032570            244     0    0    228       0   15         389            0
1.033950            244     0    0    228       0   15         389            0
1.035332            244     0    0    228       0   15         389            0
1.036716            244     0    0    228       0   15         389            0
1.038101            244     0    0    228       0   15         389            0
1.039488            244     0    0    228       0   15         389            0
1.040877            244     0    0    228       0   15         389            0
1.042268            244     0    0    228       0   15         389            0
1.043661            244     0    0    228       0   15         389            0
1.045056            244     0    0    228       0   15         389            0
1.046452            244     0    0    228       0   15         389            0
1.047851            244     0    0    228       0   15         389            0
1.049251            244     0    0    228       0   15         389            0
1.050653            244     0    0    229       0   15         389            0
1.052057            244     0    0    229       0   15         389            0
1.053463            244     0    0    229       0   15         389            0
1.054871            244     0    0    229       0   15         389            0
1.056281            244     0    0    229       0   15         389            0
1.057692            244     0    0    229       0   15         389            0
1.059106            244     0    0    229       0   15         389            0
1.060521            244     0    0    229       0   15         389            0
1.061938            244     0    0    229       0   15         389            0
1.063358            244     0    0    229       0   15         389            0
1.064779            244     0    0    229       0   15         389            0
1.066202            244     0    0    229       0   15         389            0
1.067626            244     0    0    229       0   15         389            0
1.069053            244     0    0    229       0   15         389            0
1.070482            244     0    0    229       0   15         389            0
1.071912            244     0    0    229       0   15         389            0
1.073345            244     0    0    229       0   15         389            0
1.074779            244     0    0    229       0   15         389            0
1.076215            244     0    0    229       0   15         389            0
1.077654            244     0    0    229       0   15         389            0
1.079094            244     0    0    229       0   15         389            0
1.080536            245     0    0    229       0   15         389            0
1.081980            245     0    0    229       0   15         389            0
1.083426            245     0    0    229       0   15         389            0
1.084874            245     0    0    229       0   15         389            0
1.086323            246     0    0    229       0   15         389            0
1.087775            246     0    0    229       0   15         389            0
1.089229            246     0    0    229       0   15         389            0
1.090684            246     0    0    229       0   15         389            0
1.092142            246     0    0    229       0   15         389            0
1.093601            246     0    0    229       0   15         389            0
1.095063            246     0    0    229       0   15         389            0
1.096526            246     0    0    230       0   15         389            0
1.097991            246     0    0    230       0   15         389            0
1.099459            246     0    0    230       0   15         389            0
1.100928            246     0    0    230       0   15         389            0
1.102399            246     0    0    230       0   15         389            0
1.103873            246     0    0    230       0   15         389            0
1.105348            246     0    0    230       0   15         389            0
1.106825            246     0    0    230       0   15         389            0
1.108304            246     0    0    230       0   15         389            0
1.109785            246     0    0    230       0   15         389            0
1.111268            246     0    0    230       0   15         389            0
1.112753            246     0    0    230       0   15         389            0
1.114240            246     0    0    230       0   15         389            0
1.115729            246     0    0    230       0   15         389            0
1.117220            246     0    0    230       0   15         389            0
1.118713            246     0    0    230       0   15         389            0
1.120208            246     0    0    230       0   15         389            0
1.121705            246     0    0    230       0   15         389            0
1.123204            246     0    0    230       0   15         389            0
1.124705            246     0    0    230       0   15         389            0
1.126208            247     0    0    231       0   15         389            0
1.127713            247     0    0    231       0   15         389            0
1.129220            247     0    0    231       0   15         389            0
1.130729            247     0    0    231       0   15         389            0
1.132240            247     0    0    231       0   15         389            0
1.133753            247     0    0    231       0   15         389            0
1.135269            247     0    0    231       0   15         389            0
1.136786            247     0    0    231       0   15         389            0
1.138305            247     0    0    231       0   15         389            0
1.139826            247     0    0    231       0   15         389            0
1.141349            247     0    0    231       0   15         389            0
1.142874            247     0    0    231       0   15         389            0
1.144402            247     0    0    231       0   15         389            0
1.145931            247     0    0    231       0   15         389            0
1.147462            247     0    0    231       0   15         389            0
1.148996            247     0    0    231       0   15         389            0
1.150531            247     0    0    231       0   15         389            0
1.152069            247     0    0    231       0   15         389            0
1.153608            247     0    0    231       0   15         389            0
1.155150            247     0    0    231       0   15         389            0
1.156694            247     0    0    231       0   15         389            0
1.158240            247     0    0    231       0   15         389            0
1.159787            247     0    0    231       0   15         389            0
1.161337            247     0    0    231       0   15         389            0
1.162889            247     0    0    231       0   15         389            0
1.164443            247     0    0    231       0   15         389            0
1.165999            247     0    0    231       0   15         389            0
1.167558            247     0    0    232       0   15         389            0
1.169118            247     0    0    232       0   15         389            0
1.170680            247     0    0    232       0   15         389            0
1.172245            247     0    0    232       0   15         389            0
1.173811            247     0    0    232       0   15         389            0
1.175380            247     0    0    232       0   15         389            0
1.176951            247     0    0    232       0   15         389            0
1.178523            247     0    0    232       0   15         389            0
1.180098            247     0    0    232       0   15         389            0
1.181675            247     0    0    232       0   15         389            0
1.183254            247     0    0    232       0   15         389            0
1.184836            247     0    0    232       0   15         389            0
1.186419            247     0    0    232       0   15         389            0
1.188005            247     0    0    232       0   15         389            0
1.189592            247     0    0    232       0   15         389            0
1.191182            247     0    0    232       0   15         389            0
1.192774            247     0    0    232       0   15         389            0
1.194368            247     0    0    232       0   15         389            0
1.195964            247     0    0    232       0   15         389            0
1.197562            247     0    0    232       0   15         389            0
1.199162            247     0    0    232       0   15         389            0
1.200765            248     0    0    232       0   15         389            0
1.202370            248     0    0    232       0   15         389            0
1.203976            248     0    0    232       0   15         389            0
1.205585            248     0    0    232       0   15         389            0
1.207196            248     0    0    232       0   15         389            0
1.208810            248     0    0    232       0   15         389            0
1.210425            248     0    0    232       0   15         389            0
1.212043            248     0    0    232       0   15         389            0
1.213662            248     0    0    232       0   15         389            0
1.215284            248     0    0    232       0   15         389            0
1.216908            248     0    0    232       0   15         389            0
1.218535            248     0    0    232       0   15         389            0
1.220163            248     0    0    232       0   15         389            0
1.221793            248     0    0    232       0   15         389            0
1.223426            248     0    0    232       0   15         389            0
1.225061            248     0    0    232       0   15         389            0
1.226698            248     0    0    233       0   15         389            0
1.228338            248     0    0    233       0   15         389            0
1.229979            248     0    0    233       0   15         389            0
1.231623            248     0    0    233       0   15         389            0
1.233269            248     0    0    233       0   15         389            0
1.234917            248     0    0    233       0   15         389            0
1.236567            248     0    0    233       0   15         389            0
