Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
              Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
1.000000e+00       379     0  364    374       0    0         389            0
1.002026e+00       379     0  364    374       0    0         389            0
1.004057e+00       379     0  364    374       0    0         389            0
1.006091e+00       379     0  364    374       0    0         389            0
1.008130e+00       379     0  364    374       0    0         389            0
1.010173e+00       379     0  364    374       0    0         389            0
1.012220e+00       379     0  364    374       0    0         389            0
1.014271e+00       379     0  364    374       0    0         389            0
1.016326e+00       379     0  364    374       0    0         389            0
1.018385e+00       379     0  364    374       0    0         389            0
1.020449e+00       379     0  364    374       0    0         389            0
1.022517e+00       379     0  364    374       0    0         389            0
1.024589e+00       379     0  364    374       0    0         389            0
1.026665e+00       379     0  364    374       0    0         389            0
1.028745e+00       379     0  364    374       0    0         389            0
1.030830e+00       379     0  364    374       0    0         389            0
1.032919e+00       379     0  364    374       0    0         389            0
1.035012e+00       379     0  364    374       0    0         389            0
1.037109e+00       379     0  364    374       0    0         389            0
1.039210e+00       379     0  364    374       0    0         389            0
1.041316e+00       379     0  364    374       0    0         389            0
1.043426e+00       379     0  364    374       0    0         389            0
1.045540e+00       379     0  364    374       0    0         389            0
1.047659e+00       379     0  364    374       0    0         389            0
1.049782e+00       379     0  364    374       0    0         389            0
1.051909e+00       379     0  364    374       0    0         389            0
1.054041e+00       379     0  364    374       0    0         389            0
1.056176e+00       379     0  364    374       0    0         389            0
1.058317e+00       379     0  364    374       0    0         389            0
1.060461e+00       379     0  364    374       0    0         389            0
1.062610e+00       379     0  364    374       0    0         389            0
1.064763e+00       379     0  364    374       0    0         389            0
1.066921e+00       379     0  364    374       0    0         389            0
1.069083e+00       379     0  364    374       0    0         389            0
1.071249e+00       379     0  364    374       0    0         389            0
1.073420e+00       379     0  364    374       0    0         389            0
1.075595e+00       379     0  364    374       0    0         389            0
1.077774e+00       379     0  364    374       0    0         389            0
1.079958e+00       379     0  364    374       0    0         389            0
1.082146e+00       379     0  364    374       0    0         389            0
1.084339e+00       379     0  364    374       0    0         389            0
1.086536e+00       379     0  364    374       0    0         389            0
1.088738e+00       379     0  364    374       0    0         389            0
1.090944e+00       379     0  364    374       0    0         389            0
1.093155e+00       379     0  364    374       0    0         389            0
1.095370e+00       379     0  364    374       0    0         389            0
1.097589e+00       379     0  364    374       0    0         389            0
1.099814e+00       379     0  364    374       0    0         389            0
1.102042e+00       379     0  364    374       0    0         389            0
1.104275e+00       379     0  364    374       0    0         389            0
1.106513e+00       379     0  364    374       0    0         389            0
1.108755e+00       379     0  364    374       0    0         389            0
