Absolute performance profile for PrimalGap
Filter: no fail
          Scp2804s  aecp  aoa  baron  dicopt  sbb  virt. best  virt. worst
0.000000       224   193  227    186     163  141         298           89
0.000222       285   290  284    284     281  207         318          165
0.000444       304   290  297    306     294  222         318          183
0.000667       311   290  308    315     306  231         318          202
0.000889       314   290  310    317     306  241         318          215
0.001111       314   291  310    318     306  241         318          217
0.001333       315   291  310    318     306  241         318          217
0.001556       315   291  310    318     306  241         318          217
0.001778       315   292  310    318     306  241         318          217
0.002000       315   292  310    318     306  241         318          217
0.002222       315   292  310    318     306  241         318          217
0.002445       315   292  310    318     306  241         318          217
0.002667       315   292  310    318     306  242         318          217
0.002889       315   292  310    318     306  242         318          217
0.003111       315   292  310    318     306  242         318          217
0.003334       315   292  310    318     306  243         318          217
0.003556       315   292  310    318     306  243         318          217
0.003778       315   292  310    318     306  243         318          217
0.004000       316   293  310    318     306  245         318          217
0.004223       316   293  310    318     306  245         318          217
0.004445       316   293  310    318     306  245         318          217
0.004667       316   293  310    318     306  245         318          217
0.004889       316   293  311    318     306  245         318          217
0.005112       316   293  311    318     306  245         318          217
0.005334       316   293  311    318     306  245         318          217
0.005556       316   293  311    318     306  245         318          217
0.005778       316   293  311    318     306  245         318          217
0.006001       316   293  311    318     306  246         318          218
0.006223       316   293  311    318     306  246         318          218
0.006445       316   293  311    318     306  246         318          218
0.006667       316   293  311    318     306  246         318          218
0.006890       316   293  311    318     306  246         318          218
0.007112       316   293  311    318     306  246         318          218
0.007334       316   293  311    318     306  246         318          218
0.007556       316   293  311    318     306  246         318          218
0.007779       316   294  311    318     306  246         318          218
0.008001       316   294  311    318     306  246         318          218
0.008223       316   294  311    318     306  246         318          218
0.008445       316   294  311    318     306  246         318          218
0.008668       316   294  311    318     306  246         318          218
0.008890       316   294  311    318     306  246         318          218
0.009112       316   294  311    318     306  247         318          219
0.009334       316   294  311    318     307  247         318          220
0.009557       316   294  311    318     307  247         318          220
0.009779       316   294  311    318     307  247         318          220
0.010001       316   294  312    318     307  247         318          220
0.010223       316   294  312    318     307  247         318          220
0.010446       316   295  312    318     307  247         318          221
0.010668       316   296  312    318     307  247         318          221
0.010890       316   296  312    318     307  247         318          221
0.011112       316   296  312    318     307  247         318          221
0.011335       316   296  312    318     307  247         318          221
0.011557       316   296  312    318     307  247         318          221
0.011779       316   296  312    318     307  247         318          221
0.012001       316   296  312    318     307  247         318          221
0.012224       316   296  312    318     307  247         318          221
0.012446       316   296  312    318     307  247         318          221
0.012668       316   296  312    318     307  247         318          221
0.012890       316   296  313    318     307  247         318          221
0.013113       316   296  313    318     307  247         318          221
0.013335       316   296  313    318     307  247         318          221
0.013557       316   296  313    318     307  247         318          221
0.013779       316   296  313    318     307  247         318          221
0.014002       316   296  313    318     307  247         318          221
0.014224       316   296  313    318     307  247         318          221
0.014446       316   296  313    318     307  247         318          221
0.014668       316   296  313    318     307  247         318          221
0.014891       316   296  313    318     307  247         318          221
0.015113       316   296  313    318     307  247         318          221
0.015335       316   296  313    318     307  247         318          221
0.015557       316   296  313    318     307  247         318          221
0.015780       316   296  313    318     307  247         318          221
0.016002       316   296  313    318     307  247         318          221
0.016224       316   296  313    318     307  247         318          221
0.016446       316   296  313    318     307  247         318          221
0.016669       316   296  313    318     307  247         318          221
0.016891       316   296  313    318     307  247         318          221
0.017113       316   296  313    318     307  247         318          221
0.017335       316   296  313    318     307  247         318          221
0.017558       316   296  313    318     307  247         318          221
0.017780       316   296  313    318     307  247         318          221
0.018002       316   296  313    318     307  247         318          221
0.018224       316   296  313    318     307  247         318          221
0.018446       316   296  313    318     307  247         318          221
0.018669       316   296  314    318     307  247         318          221
0.018891       316   296  314    318     307  247         318          221
0.019113       316   296  314    318     307  247         318          221
0.019335       316   296  314    318     307  247         318          221
0.019558       316   296  314    318     307  247         318          221
0.019780       316   296  314    318     307  247         318          221
0.020002       316   296  314    318     307  247         318          221
0.020224       316   296  314    318     307  247         318          221
0.020447       316   296  314    318     307  247         318          221
0.020669       316   296  314    318     307  247         318          221
0.020891       316   296  314    318     307  247         318          221
0.021113       316   296  314    318     307  247         318          221
