                           Scp2804s    aecp     aoa   baron  dicopt     sbb virt. worst
ball_mk2_10                   1.00=  -0.00=  -0.00=  -0.00=  -0.00=  -0.00=      -0.00=
batchs101006m                 1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
batchs121208m                 1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
batchs151208m                 1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
batchs201210m                 1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0204h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0204hfsg                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0205h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0205hfsg                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0205m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0304h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0304hfsg                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0304m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0305h                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0305hfsg                  1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
clay0305m                     1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
color_lab2_4x0                1.11=   1.58-   1.04=   1.28-   1.14-   1.00=       1.58-
color_lab6b_4x20              1.00=   1.49-   1.35-   2.90-   1.45-   1.21-       2.90-
cvxnonsep_normcon20           1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_normcon30           1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_normcon40           1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_nsig20              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_nsig30              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_nsig40              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_pcon40              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_psig20              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_psig30              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
cvxnonsep_psig40              1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
du-opt                        1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
flay04h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
flay04m                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
flay06h                       1.00=   1.00=   1.00=   1.00=   1.00=   1.00=       1.00=
fo7                           1.00=   1.00=   1.00=   1.00=   1.00=   1.62-       1.62-
fo7_2                         1.00=   1.00=   1.00=   1.00=   1.00=   1.44-       1.44-
fo7_ar25_1                    1.00=   1.00=   1.00=   1.00=   1.00=   1.41-       1.41-
fo7_ar2_1                     1.00=   1.00=   1.00=   1.00=   1.00=    inf-        inf-
fo7_ar3_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.27-       1.27-
fo7_ar4_1                     1.00=   1.00=   1.00=   1.00=   1.00=   1.83-       1.83-
