                                   Instance                                    |                                  Scb2804m@1                                  |                                   boaos@1                                    |                                    scip@1                                    |
name                       #Vars #Disc  #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time   Nodes I|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alan                           8     4      7 min  2.925000e+00  2.925000e+00  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.29       0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.02       0  |normal      2.922163e+00    0.10  2.925000e+00    0.00   0.10   0.10       1  |
ball_mk2_10                   10    10      1 min  0.000000e+00  0.000000e+00  |normal               inf     inf           inf     inf   0.00   0.05       0 !|normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00 294.36       0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.00       1  |
ball_mk2_30                   30    30      1 min  0.000000e+00  0.000000e+00  |normal               inf     inf           inf     inf   0.00   0.05       0 !|timelim    -2.987474e+01     inf           inf     inf    inf 900.02       0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.00       1  |
ball_mk3_10                   10    10      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00   0.05       0  |timelim     3.027006e+13     inf           inf    0.00    inf 900.01       0  |normal               inf    0.00           inf    0.00   0.00   0.00       0  |
ball_mk3_20                   20    20      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00   0.05       0  |timelim     6.843979e+13     inf           inf    0.00    inf 900.02       0  |normal               inf    0.00           inf    0.00   0.00   0.00       1  |
ball_mk3_30                   30    30      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00   0.05       0  |timelim     7.432229e+13     inf           inf    0.00    inf 900.03       0  |normal               inf    0.00           inf    0.00   0.00   0.00       1  |
ball_mk4_05                   10    10      1 min           inf           inf  |timelim     3.000000e+01     inf           inf    0.00    inf 900.01  553329  |timelim     7.653850e+15     inf           inf    0.00    inf 900.01       0  |normal               inf    0.00           inf    0.00   0.00   1.50    1001  |
ball_mk4_10                   20    20      1 min  7.100000e+01            --  |timelim    -1.070447e+03      --           inf      --    inf 900.00 4666504  |timelim     3.279957e+15      --           inf      --    inf 900.06       0  |timelim     9.388692e+01      --           inf      --    inf 900.00  991765  |
ball_mk4_15                   30    30      1 min  2.121536e+01            --  |timelim    -9.130060e+03      --           inf      --    inf 900.01 2197805  |timelim     2.637854e+16      --           inf      --    inf 900.12       0  |timelim     1.127364e+01      --           inf      --    inf 900.00  109587  |
batch                         46    24     73 min  2.855065e+05  2.855065e+05  |normal      2.855065e+05    0.00  2.855065e+05   -0.00   0.00   0.47       4  |normal      2.855065e+05    0.00  2.855065e+05   -0.00  -0.00   0.07       0  |normal      2.853331e+05    0.06  2.855065e+05    0.00   0.06   0.62       1  |
batch0812                    100    60    217 min  2.687027e+06  2.687027e+06  |normal      2.687027e+06    0.00  2.687027e+06   -0.00   0.00   1.36      11  |normal      2.687027e+06    0.00  2.687027e+06   -0.00  -0.00   0.37       0  |normal      2.685977e+06    0.04  2.687027e+06    0.00   0.04   0.92       1  |
batchdes                      19     9     19 min  1.674277e+05  1.674277e+05  |normal      1.674277e+05    0.00  1.674277e+05   -0.00   0.00   0.08       0  |normal      1.674277e+05    0.00  1.674277e+05   -0.00  -0.00   0.01       0  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00   0.11       1  |
batchs101006m                278   129   1019 min  7.694404e+05  7.694404e+05  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00  13.46     394  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00 575.15       0  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00   8.44     340  |
batchs121208m                406   203   1511 min  1.241126e+06  1.241126e+06  |normal      1.241126e+06    0.00  1.241126e+06   -0.00   0.00  63.04    5129  |normal      1.241126e+06    0.00  1.241126e+06   -0.00   0.00 821.38       0  |normal      1.241126e+06    0.00  1.241126e+06   -0.00   0.00  13.95     976  |
batchs151208m                445   203   1781 min  1.543472e+06  1.543472e+06  |normal      1.543878e+06   -0.03  1.543878e+06    0.03   0.00 165.75    8743  |timelim     1.499913e+06    2.90           inf     inf    inf 901.14       0  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00  16.57     926  |
batchs201210m                558   251   2327 min  2.295349e+06  2.295349e+06  |iterlim     2.269945e+06    1.12  2.437016e+06    6.17   7.36  22.14       3  |timelim     2.255304e+06    1.78           inf     inf    inf 902.17       0  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00  16.59    1063  |
clay0203h                     90    18    132 min  4.157330e+04  4.157330e+04  |normal      4.157330e+04   -0.00  4.157330e+04    0.00   0.00   4.91     201  |normal      4.157330e+04   -0.00  4.157330e+04    0.00   0.00   1.74       0  |normal      4.157330e+04    0.00  4.157330e+04   -0.00   0.00   1.00     141  |
clay0203hfsg                  90    18    132 min  4.157326e+04  4.157326e+04  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00   1.84     118  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00   1.45       0  |normal      4.157326e+04    0.00  4.157326e+04   -0.00   0.00   0.86      49  |
clay0203m                     30    18     54 min  4.157326e+04  4.157326e+04  |normal      4.135790e+04    0.52  4.157317e+04   -0.00   0.52   1.61     228  |normal      4.157326e+04    0.00  4.157326e+04   -0.00   0.00   0.87       0  |normal      4.157326e+04    0.00  4.157326e+04   -0.00   0.00   0.61      59  |
