                          Scb2804m  boaos    scip  virt. best  virt. worst
ball_mk3_10                      1      1       1           1            1
ball_mk3_20                      1      1       1           1            1
ball_mk3_30                      1      1       1           1            1
ball_mk4_05                 553329      1    1001           1       553329
ball_mk4_10                4666504      1  991765           1      4666504
ball_mk4_15                2197805      1  109587           1      2197805
batchs101006m                  394      1     340           1          394
batchs121208m                 5129      1     976           1         5129
batchs151208m                 8743      1     926           1         8743
batchs201210m                    3      1    1063           1         1063
clay0204h                      750      1     896           1          896
clay0205hfsg                  3964      1    9667           1         9667
clay0205h                     9380      1    7350           1         9380
clay0205m                     1862      1    3041           1         3041
clay0303hfsg                   295      1      56           1          295
clay0303h                      522      1     128           1          522
clay0304h                      641      1     498           1          641
clay0304m                      729      1     266           1          729
clay0305hfsg                  9076      1    5264           1         9076
clay0305m                     2395      1    5130           1         5130
color_lab2_4x0                  37  10788       1           1        10788
cvxnonsep_normcon20              1      1     291           1          291
cvxnonsep_nsig20                 1      1   20463           1        20463
cvxnonsep_nsig30                 1      1  116477           1       116477
cvxnonsep_nsig40                 1      1     213           1          213
cvxnonsep_pcon30                 6      1     601           1          601
cvxnonsep_pcon40                 1      1    2511           1         2511
cvxnonsep_psig20                 1      1     951           1          951
cvxnonsep_psig30                 1      1  128566           1       128566
cvxnonsep_psig40                 1      1   67786           1        67786
du-opt5                        514      1      17           1          514
du-opt                        1067      1     831           1         1067
flay04h                       6155      1    2178           1         6155
flay05h                     138072      1  104946           1       138072
flay05m                     146519      1   66596           1       146519
flay06h                    1346177      1  260698           1      1346177
flay06m                    5971568      1  694087           1      5971568
fo7_2                        41341      1   33338           1        41341
fo7_ar25_1                  136535      1   28843           1       136535
fo7_ar2_1                    65321      1   38182           1        65321
fo7_ar3_1                    88742      1   41863           1        88742
fo7_ar4_1                   102970      1   33314           1       102970
fo7_ar5_1                    29779      1   13824           1        29779
fo7                         242887      1   67912           1       242887
fo8_ar25_1                  729952      1  224743           1       729952
fo8_ar2_1                   681875      1  315990           1       681875
fo8_ar3_1                   370401      1   46775           1       370401
fo8_ar4_1                    79081      1   22949           1        79081
fo8_ar5_1                   373902      1   76240           1       373902
fo8                         287226      1  108357           1       287226
fo9_ar25_1                  758140      1  677951           1       758140
fo9_ar2_1                   670372      1  666544           1       670372
fo9_ar3_1                   600062      1  192521           1       600062
fo9_ar4_1                   442841      1  124716           1       442841
fo9_ar5_1                   907059      1  554880           1       907059
fo9                         813598      1  257261           1       813598
ibs2                           497      1    9512           1         9512
m6                             992      1     592           1          992
m7_ar25_1                      525      1     991           1          991
m7_ar2_1                     11860      1    9831           1        11860
m7_ar3_1                      7684      1    7812           1         7812
m7_ar4_1                      1617      1     983           1         1617
m7_ar5_1                     27706      1    4460           1        27706
m7                            6137      1    2658           1         6137
meanvar-orl400_05_e_8       272040     66    3561          66       272040
netmod_dol2                   1246      1     142           1         1246
no7_ar25_1                  377102      1   49084           1       377102
no7_ar2_1                   252998      1   33080           1       252998
no7_ar3_1                  1012413      1  144680           1      1012413
no7_ar4_1                   296923      1  130825           1       296923
no7_ar5_1                   234017      1   82238           1       234017
o7_2                       1264059      1  904758           1      1264059
o7_ar25_1                   950318      1  617325           1       950318
o7_ar2_1                    872418      1  264708           1       872418
o7_ar3_1                   1074368      1  811406           1      1074368
o7_ar4_1                   1218248      1  796475           1      1218248
o7_ar5_1                   1542218      1  797065           1      1542218
o7                         1032414      1  788740           1      1032414
o8_ar4_1                    776214      1  616405           1       776214
o9_ar4_1                    881863      1  565184           1       881863
rsyn0805m02m                  4977      1    4409           1         4977
rsyn0805m04m                  4693      1     610           1         4693
rsyn0810m02m                  6187      1    2577           1         6187
rsyn0810m03h                    89      1       1           1           89
rsyn0815m03hfsg                 28      1       1           1           28
rsyn0815m03h                    10      1       1           1           10
rsyn0820m03hfsg                  5      1       1           1            5
rsyn0820m04hfsg                 15      1       1           1           15
rsyn0820m04h                    28      1       1           1           28
rsyn0830m03hfsg                 14      1       1           1           14
rsyn0830m03h                    24      1       1           1           24
rsyn0830m04hfsg                 16      1       1           1           16
rsyn0830m04h                    40      1       1           1           40
rsyn0830m                      516      1      85           1          516
rsyn0840m03hfsg                 13      1       1           1           13
rsyn0840m03h                     6      1       1           1            6
rsyn0840m04hfsg                 14      1       1           1           14
rsyn0840m04h                    18      1       1           1           18
rsyn0840m                       97      1      98           1           98
slay05h                         22      1     123           1          123
slay06h                         18      1     234           1          234
slay07m                         42      1      39           1           42
slay08m                         62      1      59           1           62
slay09m                         77      1     517           1          517
smallinvDAXr1b010-011          620      1      71           1          620
smallinvDAXr1b020-022          364      1      49           1          364
smallinvDAXr1b050-055         1605      1      34           1         1605
smallinvDAXr1b100-110            1      1       1           1            1
smallinvDAXr1b150-165            1      1       1           1            1
smallinvDAXr1b200-220            1      1       1           1            1
smallinvDAXr2b010-011          988      1      65           1          988
smallinvDAXr2b020-022          681      1      49           1          681
smallinvDAXr2b050-055         1123      1      34           1         1123
smallinvDAXr2b100-110           18      1       1           1           18
smallinvDAXr2b150-165            1      1       1           1            1
smallinvDAXr2b200-220            1      1       1           1            1
smallinvDAXr3b010-011         1328      1      65           1         1328
smallinvDAXr3b020-022          234      1      57           1          234
smallinvDAXr3b050-055          587      1     251           1          587
smallinvDAXr3b100-110            1      1       1           1            1
smallinvDAXr3b150-165            1      1       1           1            1
smallinvDAXr4b010-011         1740      1      83           1         1740
smallinvDAXr4b020-022          529      1      74           1          529
smallinvDAXr4b050-055         1291      1     301           1         1291
smallinvDAXr4b100-110            1      1       1           1            1
smallinvDAXr4b150-165            1      1       1           1            1
smallinvDAXr4b200-220            1      1       1           1            1
smallinvDAXr5b010-011         1436      1      87           1         1436
smallinvDAXr5b020-022          179      1     171           1          179
smallinvDAXr5b050-055          208      1     145           1          208
smallinvDAXr5b100-110            1      1       1           1            1
smallinvDAXr5b150-165            1      1       1           1            1
smallinvDAXr5b200-220            1      1       1           1            1
squfl010-025                     1      1     387           1          387
squfl010-040                     4      1      50           1           50
sssd18-06                    11691      1    1251           1        11691
stockcycle                       1      1   16337           1        16337
syn40m03hfsg                    50      1       1           1           50
syn40m03h                       20      1       5           1           20
syn40m04hfsg                    53      1       1           1           53
syn40m04h                       27      1       1           1           27
syn40m04m                      513      1      45           1          513
tls12                       119158      1    5445           1       119158
tls4                          5510      1    3218           1         5510
tls5                        558197      1  100252           1       558197
tls6                        346785      1   58770           1       346785
tls7                        252072      1   48568           1       252072
unitcommit_50_20_2_mod_8         8      1     131           1          131
watercontamination0202r       3236      1       7           1         3236
watercontamination0202           1      1      14           1           14
watercontamination0303r        744      1     265           1          744
