                       Scb2804m  boaos   scip  virt. best  virt. worst
alan                          1      1      1           1            1
batch0812                    11      1      1           1           11
batchdes                      1      1      1           1            1
batchs101006m               394      1    340           1          394
batchs121208m              5129      1    976           1         5129
batch                         4      1      1           1            4
clay0203hfsg                118      1     49           1          118
clay0203h                   201      1    141           1          201
clay0204hfsg                111      1    684           1          684
clay0204h                   750      1    896           1          896
clay0204m                   407      1    459           1          459
clay0205hfsg               3964      1   9667           1         9667
clay0205h                  9380      1   7350           1         9380
clay0205m                  1862      1   3041           1         3041
clay0303hfsg                295      1     56           1          295
clay0303h                   522      1    128           1          522
clay0304h                   641      1    498           1          641
clay0305hfsg               9076      1   5264           1         9076
clay0305m                  2395      1   5130           1         5130
cvxnonsep_normcon20r          1      1     24           1           24
cvxnonsep_normcon20           1      1    291           1          291
cvxnonsep_normcon30r          1      1     53           1           53
cvxnonsep_normcon40r          1      1     47           1           47
cvxnonsep_nsig20r             1      1      2           1            2
cvxnonsep_nsig20              1      1  20463           1        20463
cvxnonsep_nsig40r             1      1      6           1            6
cvxnonsep_pcon20r            15      1     15           1           15
cvxnonsep_pcon20              4      1    136           1          136
cvxnonsep_pcon30r            31      1     91           1           91
cvxnonsep_pcon30              6      1    601           1          601
cvxnonsep_pcon40r            16      1    153           1          153
cvxnonsep_pcon40              1      1   2511           1         2511
cvxnonsep_psig20r             1      1      3           1            3
cvxnonsep_psig20              1      1    951           1          951
cvxnonsep_psig30r             3      1      1           1            3
du-opt5                     514      1     17           1          514
du-opt                     1067      1    831           1         1067
enpro48pb                    48      1     10           1           48
ex1223a                       1      1      1           1            1
ex1223b                       1      1      5           1            5
ex1223                        1      1      5           1            5
ex4                         107      1      9           1          107
fac2                          1      1     15           1           15
fac3                          2      1      5           1            5
flay02h                       2      1      5           1            5
flay02m                       1      1      7           1            7
flay03h                     203      1     97           1          203
flay03m                     126      1    105           1          126
flay04h                    6155      1   2178           1         6155
flay04m                    4562      1   1879           1         4562
gbd                           1      1      1           1            1
hybriddynamic_fixed           1      1      1           1            1
jit1                          2      1     90           1           90
m3                           17      1     11           1           17
m6                          992      1    592           1          992
m7_ar25_1                   525      1    991           1          991
m7_ar2_1                  11860      1   9831           1        11860
m7_ar3_1                   7684      1   7812           1         7812
m7_ar4_1                   1617      1    983           1         1617
m7_ar5_1                  27706      1   4460           1        27706
m7                         6137      1   2658           1         6137
meanvarx                      1      1      1           1            1
nvs03                         1      1      3           1            3
nvs10                         1      1      1           1            1
nvs11                         1      1      1           1            1
nvs12                         6      1      5           1            6
nvs15                         1      1      1           1            1
portfol_buyin                 1      1      1           1            1
portfol_card                  4      1      1           1            4
risk2bpb                      1      1      1           1            1
rsyn0805hfsg                  1      1      1           1            1
rsyn0805h                     1      1      1           1            1
rsyn0805m02hfsg               1      1      1           1            1
rsyn0805m02h                  5      1      1           1            5
rsyn0805m02m               4977      1   4409           1         4977
rsyn0805m03hfsg               2      1      1           1            2
rsyn0805m03h                  1      1      1           1            1
rsyn0805m04hfsg               1      1      1           1            1
rsyn0805m04h                  1      1      1           1            1
rsyn0805m04m               4693      1    610           1         4693
rsyn0805m                    96      1    142           1          142
rsyn0810hfsg                  1      1      1           1            1
rsyn0810h                     1      1      1           1            1
rsyn0810m02hfsg              30      1      1           1           30
rsyn0810m02h                 45      1      1           1           45
rsyn0810m02m               6187      1   2577           1         6187
rsyn0810m03hfsg              15      1      1           1           15
rsyn0810m03h                 89      1      1           1           89
rsyn0810m04hfsg              28      1      1           1           28
rsyn0810m04h                  1      1      1           1            1
rsyn0810m                    51      1     35           1           51
rsyn0815hfsg                  1      1      1           1            1
rsyn0815h                     1      1      1           1            1
rsyn0815m02hfsg              11      1      1           1           11
rsyn0815m02h                  7      1      1           1            7
rsyn0815m03hfsg              28      1      1           1           28
rsyn0815m03h                 10      1      1           1           10
rsyn0815m04hfsg               1      1      1           1            1
rsyn0815m04h                  2      1      1           1            2
rsyn0815m                    49      1    112           1          112
rsyn0820hfsg                  7      1      1           1            7
rsyn0820h                    15      1      1           1           15
rsyn0820m02hfsg               1      1      1           1            1
rsyn0820m02h                  1      1      1           1            1
rsyn0820m03hfsg               5      1      1           1            5
rsyn0820m03h                  1      1      1           1            1
rsyn0820m04hfsg              15      1      1           1           15
rsyn0820m04h                 28      1      1           1           28
rsyn0820m                   440      1    126           1          440
rsyn0830hfsg                  7      1      1           1            7
rsyn0830h                     2      1      1           1            2
rsyn0830m02hfsg               8      1      1           1            8
rsyn0830m02h                 12      1      4           1           12
rsyn0830m03hfsg              14      1      1           1           14
rsyn0830m03h                 24      1      1           1           24
rsyn0830m04hfsg              16      1      1           1           16
rsyn0830m04h                 40      1      1           1           40
rsyn0830m                   516      1     85           1          516
rsyn0840hfsg                  1      1      1           1            1
rsyn0840h                     1      1      1           1            1
rsyn0840m02hfsg               8      1      1           1            8
rsyn0840m02h                 18      1      1           1           18
rsyn0840m03hfsg              13      1      1           1           13
rsyn0840m03h                  6      1      1           1            6
rsyn0840m04hfsg              14      1      1           1           14
rsyn0840m04h                 18      1      1           1           18
rsyn0840m                    97      1     98           1           98
slay04m                      26      1     14           1           26
slay05h                      22      1    123           1          123
slay06h                      18      1    234           1          234
slay06m                      37      1     17           1           37
slay07m                      42      1     39           1           42
slay08m                      62      1     59           1           62
smallinvDAXr1b010-011       620      1     71           1          620
smallinvDAXr1b020-022       364      1     49           1          364
smallinvDAXr1b050-055      1605      1     34           1         1605
smallinvDAXr1b100-110         1      1      1           1            1
smallinvDAXr1b150-165         1      1      1           1            1
smallinvDAXr1b200-220         1      1      1           1            1
smallinvDAXr2b010-011       988      1     65           1          988
smallinvDAXr2b020-022       681      1     49           1          681
smallinvDAXr2b050-055      1123      1     34           1         1123
smallinvDAXr2b100-110        18      1      1           1           18
smallinvDAXr2b150-165         1      1      1           1            1
smallinvDAXr2b200-220         1      1      1           1            1
smallinvDAXr3b010-011      1328      1     65           1         1328
smallinvDAXr3b020-022       234      1     57           1          234
smallinvDAXr3b050-055       587      1    251           1          587
smallinvDAXr3b100-110         1      1      1           1            1
smallinvDAXr3b150-165         1      1      1           1            1
smallinvDAXr4b010-011      1740      1     83           1         1740
smallinvDAXr4b020-022       529      1     74           1          529
smallinvDAXr4b050-055      1291      1    301           1         1291
smallinvDAXr4b100-110         1      1      1           1            1
smallinvDAXr4b150-165         1      1      1           1            1
smallinvDAXr4b200-220         1      1      1           1            1
smallinvDAXr5b010-011      1436      1     87           1         1436
smallinvDAXr5b020-022       179      1    171           1          179
smallinvDAXr5b050-055       208      1    145           1          208
smallinvDAXr5b100-110         1      1      1           1            1
smallinvDAXr5b150-165         1      1      1           1            1
smallinvDAXr5b200-220         1      1      1           1            1
squfl010-025                  1      1    387           1          387
st_e14                        1      1      5           1            5
st_miqp1                      1      1      1           1            1
st_miqp3                      1      1      1           1            1
st_miqp4                      1      1      1           1            1
st_miqp5                      1      1      1           1            1
st_test1                      1      1      1           1            1
st_test2                      1      1      1           1            1
st_test3                      1      1      1           1            1
st_test5                      1      1      1           1            1
st_test6                      1      1      1           1            1
st_test8                      1      1      1           1            1
st_testgr1                    4      1      1           1            4
st_testgr3                   38      1      1           1           38
st_testph4                    1      1      1           1            1
syn05hfsg                     1      1      1           1            1
syn05h                        1      1      1           1            1
syn05m02hfsg                  1      1      1           1            1
syn05m02h                     1      1      1           1            1
syn05m02m                     1      1      1           1            1
syn05m03hfsg                  1      1      1           1            1
syn05m03h                     1      1      1           1            1
syn05m03m                     1      1      1           1            1
syn05m04hfsg                  1      1      1           1            1
syn05m04h                     1      1      1           1            1
syn05m04m                     1      1      1           1            1
syn05m                        1      1      1           1            1
syn10hfsg                     1      1      1           1            1
syn10h                        1      1      1           1            1
syn10m02hfsg                  1      1      1           1            1
syn10m02h                     1      1      1           1            1
syn10m02m                     1      1      1           1            1
syn10m03hfsg                  1      1      1           1            1
syn10m03h                     1      1      1           1            1
syn10m03m                     1      1      1           1            1
syn10m04hfsg                  1      1      1           1            1
syn10m04h                     1      1      1           1            1
syn10m04m                     1      1      1           1            1
syn10m                        1      1      1           1            1
syn15hfsg                     1      1      1           1            1
syn15h                        1      1      1           1            1
syn15m02hfsg                  1      1      1           1            1
syn15m02h                     1      1      1           1            1
