                          Scb2804m   boaos      scip  virt. best  virt. worst
alan                             1       4       190           1          190
ball_mk3_10                      1       1         1           1            1
ball_mk3_20                      1       1         1           1            1
ball_mk3_30                      1       1         1           1            1
ball_mk4_05                      1       1      8763           1         8763
ball_mk4_10                      1       1   5149615           1      5149615
ball_mk4_15                      1       1   5584481           1      5584481
batch0812                        1       1      2210           1         2210
batchdes                         1       1        99           1           99
batchs101006m                    1       1     16875           1        16875
batchs121208m                    1       1     36324           1        36324
batchs151208m                    1       1     40520           1        40520
batchs201210m                    1       1     35402           1        35402
batch                            1       1      1492           1         1492
clay0203hfsg                     1      11      2053           1         2053
clay0203h                        1       1      2941           1         2941
clay0203m                        1       4      1200           1         1200
clay0204hfsg                     1       4     11337           1        11337
clay0204h                        1       3     11484           1        11484
clay0204m                        1       7      3523           1         3523
clay0205hfsg                     1       3    101394           1       101394
clay0205h                        1       1     96337           1        96337
clay0205m                        1       7     31679           1        31679
clay0303hfsg                     1      11      2553           1         2553
clay0303h                        1       2      5044           1         5044
clay0303m                        1       6       964           1          964
clay0304h                        1       4     10491           1        10491
clay0304m                        1       8      3999           1         3999
clay0305hfsg                     1       7    116479           1       116479
clay0305m                        1       3     54646           1        54646
color_lab2_4x0                   1  678606     55363           1       678606
cvxnonsep_normcon20r             1      64      1537           1         1537
cvxnonsep_normcon20              1      23      8299           1         8299
cvxnonsep_normcon30r             1      81      3161           1         3161
cvxnonsep_normcon40r             1      67      3880           1         3880
cvxnonsep_nsig20r                1      44       640           1          640
cvxnonsep_nsig20                 1      37   1316178           1      1316178
cvxnonsep_nsig30                 1      59   5976505           1      5976505
cvxnonsep_nsig40r                1      83      3955           1         3955
cvxnonsep_nsig40                 1       1   1897777           1      1897777
cvxnonsep_pcon20r                1      26      1195           1         1195
cvxnonsep_pcon20                 1      11      5999           1         5999
cvxnonsep_pcon30r                1      38      5437           1         5437
cvxnonsep_pcon30                 1      24     37962           1        37962
cvxnonsep_pcon40r                1      38      9383           1         9383
cvxnonsep_pcon40                 1      26    162898           1       162898
cvxnonsep_psig20r                1      50       676           1          676
cvxnonsep_psig20                 1      66     24326           1        24326
cvxnonsep_psig30r                1      62      1518           1         1518
cvxnonsep_psig30                 1      64   6551675           1      6551675
cvxnonsep_psig40r                1      29      2106           1         2106
cvxnonsep_psig40                 1       1   7314962           1      7314962
du-opt5                          1       3      1602           1         1602
du-opt                           1      18     14075           1        14075
enpro48pb                        1       1     11332           1        11332
enpro56pb                        1       1      6801           1         6801
ex1223a                          1       1        32           1           32
ex1223b                          1       5       117           1          117
ex1223                           1       3       117           1          117
ex4                              1       1      1820           1         1820
fac1                             1       1       200           1          200
fac2                             1       1       761           1          761
fac3                             1       1      1014           1         1014
flay02h                          1       3       606           1          606
flay02m                          1       2       216           1          216
flay03h                          1       6      3470           1         3470
flay03m                          1       8      2154           1         2154
flay04h                          1      20     51458           1        51458
flay04m                          1      14     34541           1        34541
flay05h                          1       1   2478343           1      2478343
flay05m                          1       1   1265192           1      1265192
flay06h                          1       1   7233923           1      7233923
flay06m                          1       1  13572207           1     13572207
fo7_2                            1       1    519144           1       519144
fo7_ar25_1                       1       1    335309           1       335309
fo7_ar2_1                        1       1    465313           1       465313
fo7_ar3_1                        1       1    513546           1       513546
fo7_ar4_1                        1       1    444302           1       444302
fo7_ar5_1                        1       1    195704           1       195704
fo7                              1       1    862634           1       862634
fo8_ar25_1                       1       1   2430164           1      2430164
fo8_ar2_1                        1       1   3253680           1      3253680
fo8_ar3_1                        1       1    720973           1       720973
fo8_ar4_1                        1       1    395960           1       395960
fo8_ar5_1                        1       1   1054566           1      1054566
fo8                              1       1   1721056           1      1721056
fo9_ar25_1                       1       1   8892489           1      8892489
fo9_ar2_1                        1       1   9058084           1      9058084
fo9_ar3_1                        1       1   2584796           1      2584796
fo9_ar4_1                        1       1   1904184           1      1904184
fo9_ar5_1                        1       1  10822293           1     10822293
fo9                              1       1   3769146           1      3769146
gbd                              1       1         1           1            1
hybriddynamic_fixed              1       1         1           1            1
ibs2                             1       1   1337826           1      1337826
jit1                             1       3       361           1          361
m3                               1       1       438           1          438
m6                               1       1      7821           1         7821
m7_ar25_1                        1       7      9579           1         9579
m7_ar2_1                         1       2     84440           1        84440
m7_ar3_1                         1       3     72074           1        72074
m7_ar4_1                         1       4     18283           1        18283
m7_ar5_1                         1       4     50860           1        50860
m7                               1       3     43667           1        43667
meanvar-orl400_05_e_8            1     142    105522           1       105522
meanvarx                         1       1        36           1           36
netmod_dol2                      1       1     31463           1        31463
no7_ar25_1                       1       1    690841           1       690841
no7_ar2_1                        1       1    466686           1       466686
no7_ar3_1                        1       1   1573229           1      1573229
no7_ar4_1                        1       1   1662988           1      1662988
