Absolute performance profile for SolverTime
Filter: no fail
            Scb2804m  boaos  scip  virt. best  virt. worst
0.005000           0     13    17          21            0
0.106122          33     75    76          99           22
0.207244          69     93   104         133           48
0.308365          88    101   118         152           57
0.409487         107    107   131         162           73
0.510609         113    114   137         171           76
0.611731         118    118   147         178           82
0.712853         124    120   156         182           87
0.813974         129    121   162         185           91
0.915096         132    125   167         189           94
1.016218         138    127   175         195           97
1.117340         139    128   178         198           99
1.218461         143    130   183         204          103
1.319583         147    131   190         212          104
1.420705         151    135   195         219          106
1.521827         156    137   199         221          110
1.622949         161    139   205         226          114
1.724070         164    141   209         231          115
1.825192         167    144   214         235          116
1.926314         170    145   217         236          118
2.027436         173    147   220         238          121
2.128558         174    148   221         239          121
2.229679         177    148   228         244          124
2.330801         178    151   231         248          124
2.431923         180    153   235         251          126
2.533045         183    153   236         252          128
2.634167         184    157   240         256          129
2.735288         186    157   242         258          130
2.836410         190    161   245         261          134
2.937532         191    162   246         261          134
3.038654         191    164   247         262          136
3.139776         193    164   250         265          137
3.240897         195    166   252         267          140
3.342019         196    168   252         267          140
3.443141         196    169   252         267          140
3.544263         198    169   252         268          141
3.645384         198    171   253         269          141
3.746506         200    172   253         269          143
3.847628         200    172   254         269          143
3.948750         200    173   254         269          143
4.049872         200    173   254         269          143
4.150993         202    175   254         269          145
4.252115         202    176   255         269          146
4.353237         204    176   255         270          147
4.454359         205    176   255         271          147
4.555481         207    177   257         273          149
4.656602         209    177   258         274          150
4.757724         210    178   258         274          151
4.858846         210    178   261         277          151
4.959968         213    179   261         277          153
5.061090         214    179   262         278          153
5.162211         214    180   262         278          153
5.263333         215    180   263         278          153
5.364455         215    181   263         278          153
5.465577         215    181   264         279          153
5.566699         218    181   264         280          155
5.667820         219    181   264         280          156
5.768942         219    183   264         280          156
5.870064         220    183   264         280          156
5.971186         221    183   265         280          157
6.072307         223    183   265         282          157
6.173429         223    184   265         282          158
6.274551         223    184   265         282          158
6.375673         223    184   265         282          158
6.476795         224    186   265         282          159
6.577916         226    187   266         283          161
6.679038         227    187   267         284          161
6.780160         228    187   267         284          162
6.881282         228    189   268         285          162
6.982404         228    189   268         285          162
7.083525         228    189   269         285          162
7.184647         228    189   269         285          162
7.285769         228    189   269         285          162
7.386891         229    189   269         285          163
7.488013         231    190   270         286          165
7.589134         231    190   270         286          165
7.690256         231    190   270         286          165
7.791378         232    190   270         286          166
7.892500         234    190   271         286          168
7.993622         235    190   271         286          168
8.094743         235    190   271         286          168
8.195865         236    190   271         286          169
8.296987         237    191   271         286          169
8.398109         238    191   271         287          169
8.499230         238    192   272         288          169
8.600352         238    192   272         288          169
