Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            Scb2804m  boaos  scip  virt. best  virt. worst
0.005000           0      0     3           3            0
0.106122           3      0    13          13            0
0.207244           9      0    17          23            0
0.308365          13      0    28          35            0
0.409487          20      0    29          36            0
0.510609          23      1    31          40            0
0.611731          25      1    32          42            0
0.712853          27      1    32          42            0
0.813974          27      1    33          43            0
0.915096          28      1    33          43            0
1.016218          32      1    35          45            0
1.117340          32      1    35          45            0
1.218461          33      1    35          45            0
1.319583          36      1    36          46            0
1.420705          36      1    37          47            0
1.521827          38      1    38          49            0
1.622949          39      1    39          50            0
1.724070          41      1    42          54            0
1.825192          42      1    45          57            0
1.926314          43      1    46          57            0
2.027436          43      1    46          57            0
2.128558          44      2    47          58            0
2.229679          44      2    48          59            0
2.330801          44      2    49          60            0
2.431923          44      2    52          63            0
2.533045          44      2    53          64            0
2.634167          44      2    57          68            0
2.735288          45      2    57          68            0
2.836410          46      3    59          70            0
2.937532          47      3    59          70            0
3.038654          47      3    59          70            0
3.139776          48      3    60          71            0
3.240897          48      3    61          72            0
3.342019          48      3    61          72            0
3.443141          48      3    61          72            0
3.544263          49      3    61          73            0
3.645384          49      4    61          73            0
3.746506          49      4    61          73            0
3.847628          49      4    61          73            0
3.948750          49      5    61          73            0
4.049872          49      5    61          73            0
4.150993          49      7    61          73            0
4.252115          49      7    61          73            0
4.353237          50      7    61          74            0
4.454359          51      7    61          75            0
4.555481          51      8    63          77            0
4.656602          52      8    64          78            0
4.757724          52      9    64          78            0
4.858846          52      9    67          81            0
4.959968          53     10    67          81            0
5.061090          53     10    68          82            0
5.162211          53     11    68          82            0
5.263333          53     11    69          82            0
5.364455          53     11    69          82            0
5.465577          53     11    70          83            0
5.566699          54     11    70          84            0
5.667820          54     11    70          84            0
5.768942          54     12    70          84            0
5.870064          55     12    70          84            0
5.971186          55     12    71          84            0
6.072307          56     12    71          85            0
6.173429          56     12    71          85            0
6.274551          56     12    71          85            0
6.375673          56     12    71          85            0
6.476795          56     13    71          85            0
6.577916          56     14    72          86            0
6.679038          57     14    72          86            0
6.780160          57     14    72          86            0
6.881282          57     15    73          87            0
