Absolute performance profile for SolverTime
Filter: gap <= 1.0% and not failed
            Scb2804m  boaos  scip  virt. best  virt. worst
0.005000           0     13    17          21            0
0.105013          33     75    74          99           22
0.205027          67     93   102         130           47
0.305040          84    101   117         149           55
0.405054         104    107   130         160           72
0.505067         110    114   136         169           75
0.605081         115    118   143         174           80
0.705094         120    120   155         180           85
0.805108         125    121   160         183           88
0.905121         128    125   166         188           91
1.005134         133    126   174         194           94
1.105148         136    128   177         197           97
1.205161         140    130   182         203          101
1.305175         144    130   189         210          102
1.405188         147    134   194         218          104
1.505202         153    137   198         220          107
1.605215         156    138   204         225          109
1.705229         160    141   208         231          111
1.805242         161    143   212         234          112
1.905255         167    145   215         235          114
2.005269         168    147   219         238          116
2.105282         171    147   220         239          117
2.205296         173    148   223         241          118
2.305309         173    151   229         247          119
2.405323         176    153   232         250          121
2.505336         179    153   235         252          123
2.605350         180    155   238         255          123
2.705363         181    157   240         257          125
2.805376         186    159   244         261          129
2.905390         186    162   245         261          129
3.005403         187    163   245         261          130
3.105417         188    164   249         265          131
3.205430         189    166   251         267          134
3.305444         192    168   251         267          135
3.405457         192    168   251         267          135
3.505471         194    169   251         268          136
3.605484         194    171   252         269          136
3.705497         195    171   252         269          136
3.805511         196    172   252         269          138
3.905524         196    172   253         269          138
4.005538         196    173   253         269          138
4.105551         197    174   253         269          139
4.205565         198    176   254         269          141
4.305578         199    176   254         269          142
4.405592         200    176   254         270          142
4.505605         201    177   255         272          142
4.605619         203    177   257         274          143
4.705632         204    177   257         274          144
4.805645         205    178   258         275          145
4.905659         206    178   260         277          146
5.005672         208    179   261         278          147
5.105686         209    179   261         278          147
5.205699         210    180   261         278          147
5.305713         210    180   262         278          147
5.405726         210    181   263         279          147
5.505740         211    181   263         279          148
5.605753         213    181   263         280          149
5.705766         213    182   263         280          149
5.805780         214    183   263         280          149
5.905793         214    183   263         280          149
6.005807         216    183   264         281          150
6.105820         217    184   264         282          151
6.205834         217    184   264         282          151
6.305847         217    184   264         282          151
6.405861         217    184   264         282          151
6.505874         218    187   264         282          153
6.605887         219    187   265         283          154
6.705901         220    187   266         284          154
6.805914         221    188   266         284          155
6.905928         221    189   267         285          155
7.005941         221    189   267         285          155
7.105955         221    189   268         285          155
7.205968         221    189   268         285          155
7.305982         222    189   268         285          156
7.405995         223    189   268         285          157
7.506008         224    190   269         286          158
7.606022         224    190   269         286          158
7.706035         224    190   269         286          158
7.806049         226    190   269         286          160
7.906062         227    190   270         286          161
8.006076         228    190   270         286          161
8.106089         228    190   270         286          161
8.206103         229    190   270         286          162
8.306116         230    191   270         286          162
8.406129         231    191   270         287          162
8.506143         231    192   271         288          162
8.606156         231    192   271         288          162
8.706170         231    192   272         288          162
8.806183         232    192   272         288          162
8.906197         232    192   272         288          162
9.006210         232    193   273         289          162
9.106224         232    193   275         290          162
9.206237         232    193   277         292          162
9.306250         232    193   278         293          162
9.406264         233    194   278         293          164
9.506277         233    194   278         293          164
9.606291         233    195   278         293          164
9.706304         234    195   279         293          164
9.806318         235    196   280         294          166
9.906331         236    196   280         294          167
10.006345        236    196   280         294          167
10.106358        236    196   280         294          167
10.206371        236    196   281         295          167
10.306385        236    197   281         295          168
10.406398        237    197   281         295          169
10.506412        237    198   282         296          170
10.606425        237    198   282         296          170
10.706439        238    198   283         297          171
10.806452        238    199   284         298          172
10.906466        238    199   284         298          172
11.006479        238    200   284         298          172
11.106492        238    200   285         299          172
11.206506        240    200   285         299          174
11.306519        240    200   285         299          174
11.406533        240    200   285         299          174
11.506546        241    201   285         299          175
11.606560        241    201   287         301          175
11.706573        243    201   287         302          176
11.806587        243    201   287         302          176
11.906600        244    201   287         302          176
12.006614        245    201   287         302          177
12.106627        245    201   287         302          177
12.206640        245    201   288         303          177
12.306654        245    202   288         303          177
12.406667        246    202   289         304          177
12.506681        246    202   289         304          177
12.606694        246    203   289         304          178
12.706708        246    203   289         304          178
12.806721        246    203   289         304          178
12.906735        246    203   289         304          178
13.006748        246    204   290         305          179
13.106761        247    204   290         306          179
13.206775        247    204   290         306          179
13.306788        247    205   290         306          180
13.406802        247    205   290         306          180
13.506815        248    205   290         306          180
13.606829        248    205   291         307          180
13.706842        248    205   291         307          180
13.806856        249    205   291         307          181
13.906869        250    205   291         307          182
14.006882        250    205   292         308          182
14.106896        250    206   292         308          183
14.206909        251    206   292         308          184
14.306923        251    207   292         308          185
14.406936        252    207   292         308          185
14.506950        253    207   292         308          186
14.606963        253    207   292         308          186
14.706977        253    207   292         308          186
14.806990        254    207   293         309          186
14.907003        254    207   293         309          186
15.007017        255    207   293         309          187
15.107030        256    207   293         310          187
15.207044        256    207   293         310          187
15.307057        256    207   293         310          187
15.407071        256    207   293         310          187
15.507084        256    207   293         310          187
15.607098        256    207   293         310          187
15.707111        256    207   293         310          187
15.807124        256    207   293         310          187
15.907138        256    207   293         310          187
16.007151        256    207   293         310          187
16.107165        256    207   293         310          187
16.207178        256    207   293         310          187
16.307192        256    207   293         310          187
16.407205        256    207   293         310          187
16.507219        256    207   293         310          187
16.607232        256    207   295         312          187
16.707245        256    207   295         312          187
16.807259        256    208   295         312          188
16.907272        256    208   295         312          188
17.007286        256    208   295         312          188
17.107299        256    208   295         312          188
17.207313        256    208   295         312          188
17.307326        256    209   295         312          189
17.407340        257    209   295         313          189
17.507353        257    209   295         313          189
17.607366        257    209   295         313          189
17.707380        257    209   295         313          189
17.807393        257    209   296         314          189
17.907407        257    209   297         315          189
18.007420        257    209   297         315          189
18.107434        257    209   297         315          189
18.207447        257    209   297         315          189
18.307461        257    209   297         315          189
18.407474        257    209   297         315          189
18.507487        257    209   297         315          189
18.607501        257    209   298         316          189
18.707514        257    209   298         316          189
18.807528        257    209   298         316          189
18.907541        257    209   298         316          189
19.007555        257    210   299         317          190
19.107568        257    210   299         317          190
19.207582        257    210   299         317          190
19.307595        257    210   299         317          190
19.407609        257    211   299         317          191
19.507622        258    211   299         318          191
19.607635        258    211   299         318          191
19.707649        259    211   300         319          191
19.807662        260    211   300         320          191
19.907676        260    211   300         320          191
20.007689        260    211   300         320          191
20.107703        260    211   300         320          191
20.207716        260    211   300         320          191
20.307730        261    211   300         320          191
20.407743        261    211   300         320          191
20.507756        262    211   300         321          191
20.607770        262    211   300         321          191
20.707783        262    211   300         321          191
20.807797        262    211   300         321          191
20.907810        264    211   300         322          192
21.007824        264    211   300         322          192
21.107837        264    211   300         322          192
21.207851        264    211   300         322          192
21.307864        264    211   300         322          192
21.407877        264    211   300         322          192
21.507891        264    211   300         322          192
21.607904        264    211   300         322          192
21.707918        264    211   300         322          192
21.807931        264    211   300         322          192
21.907945        264    211   300         322          192
22.007958        264    211   300         322          192
22.107972        264    211   300         322          192
22.207985        264    211   300         322          192
22.307998        264    211   300         322          192
22.408012        264    211   300         322          192
22.508025        264    211   300         322          192
22.608039        266    211   300         323          192
22.708052        266    211   300         323          192
22.808066        266    211   300         323          192
22.908079        266    211   300         323          192
23.008093        266    211   300         323          192
23.108106        266    211   300         323          192
23.208119        266    211   300         323          192
23.308133        266    211   300         323          192
23.408146        267    211   300         323          192
23.508160        267    211   301         324          192
23.608173        267    211   301         324          192
23.708187        267    211   301         324          192
23.808200        267    211   301         324          192
23.908214        267    211   301         324          192
24.008227        268    211   301         324          192
24.108240        268    211   302         325          192
24.208254        269    211   302         326          192
24.308267        269    211   303         327          192
24.408281        269    211   303         327          192
24.508294        269    211   303         327          192
24.608308        270    211   303         327          193
24.708321        270    211   303         327          193
24.808335        270    211   303         327          193
24.908348        270    211   303         327          193
25.008361        270    211   303         327          193
25.108375        270    211   303         327          193
25.208388        270    211   303         327          193
25.308402        270    211   303         327          193
25.408415        270    211   303         327          193
25.508429        271    212   303         327          194
25.608442        271    212   303         327          194
25.708456        271    212   303         327          194
25.808469        272    212   303         328          194
25.908482        272    212   303         328          194
26.008496        273    212   303         328          195
26.108509        273    212   303         328          195
26.208523        273    212   303         328          195
26.308536        273    212   303         328          195
26.408550        273    212   303         328          195
26.508563        273    212   303         328          195
26.608577        273    212   303         328          195
26.708590        273    212   304         328          195
26.808604        274    212   304         328          196
26.908617        274    212   304         328          196
27.008630        274    212   304         328          196
27.108644        274    212   304         328          196
27.208657        274    212   304         328          196
27.308671        274    212   305         328          196
27.408684        274    212   305         328          196
27.508698        274    212   305         328          196
27.608711        274    212   305         328          196
27.708725        274    212   305         328          196
27.808738        274    212   305         328          196
27.908751        274    212   305         328          196
28.008765        275    213   305         329          197
28.108778        275    213   305         329          197
28.208792        275    213   305         329          197
28.308805        276    213   305         329          197
28.408819        276    213   305         329          197
28.508832        276    213   305         329          197
28.608846        276    213   305         329          197
28.708859        276    213   305         329          197
28.808872        276    213   305         329          197
28.908886        276    213   305         329          197
29.008899        276    213   305         329          197
29.108913        276    213   305         329          197
29.208926        276    213   305         329          197
29.308940        276    213   305         329          197
29.408953        276    213   305         329          197
29.508967        276    213   305         329          197
29.608980        276    213   305         329          197
29.708993        276    213   306         330          197
29.809007        276    213   306         330          197
29.909020        276    213   306         330          197
30.009034        276    213   306         330          197
30.109047        276    213   306         330          197
30.209061        276    213   306         330          197
30.309074        276    213   306         330          197
30.409088        276    213   307         330          197
30.509101        276    213   308         330          197
30.609114        276    213   308         330          197
30.709128        276    213   308         330          197
30.809141        276    213   308         330          197
30.909155        277    213   308         330          198
31.009168        277    213   309         331          198
31.109182        277    213   310         332          198
31.209195        278    213   310         332          198
31.309209        278    213   310         332          198
31.409222        278    213   310         332          198
31.509235        278    213   310         332          198
31.609249        278    213   310         332          198
31.709262        278    213   310         332          198
31.809276        278    213   310         332          198
31.909289        278    213   310         332          198
32.009303        278    213   310         332          198
32.109316        278    213   311         333          198
32.209330        278    213   311         333          198
32.309343        278    213   311         333          198
32.409356        278    213   311         333          198
32.509370        278    213   311         333          198
32.609383        278    213   311         333          198
32.709397        278    213   311         333          198
32.809410        278    213   312         334          198
32.909424        278    213   312         334          198
33.009437        278    213   312         334          198
33.109451        278    213   312         334          198
33.209464        278    214   312         334          199
33.309477        278    214   313         335          199
33.409491        278    214   314         335          199
33.509504        279    214   314         335          199
33.609518        279    214   314         335          199
33.709531        279    214   314         335          199
33.809545        279    214   314         335          199
33.909558        279    214   314         335          199
34.009572        279    214   314         335          199
34.109585        279    214   314         335          199
34.209599        279    214   314         335          199
34.309612        279    214   314         335          199
34.409625        279    214   314         335          199
34.509639        279    214   314         335          199
34.609652        279    214   314         335          199
34.709666        279    214   314         335          199
34.809679        279    214   314         335          199
34.909693        279    214   314         335          199
35.009706        279    214   314         335          199
35.109720        279    214   314         335          199
35.209733        279    214   314         335          199
35.309746        279    214   314         335          199
35.409760        279    214   314         335          199
35.509773        279    214   314         335          199
35.609787        279    215   314         335          200
35.709800        279    215   314         335          200
35.809814        279    215   315         335          200
35.909827        279    215   315         335          200
36.009841        279    215   315         335          200
36.109854        279    215   315         335          200
36.209867        280    215   315         336          200
36.309881        280    215   315         336          200
36.409894        280    215   315         336          200
36.509908        280    215   315         336          200
36.609921        280    215   315         336          200
36.709935        280    215   315         336          200
36.809948        280    215   315         336          200
36.909962        280    215   315         336          200
37.009975        280    215   315         336          200
37.109988        280    215   315         336          200
37.210002        280    215   315         336          200
37.310015        280    215   316         337          200
37.410029        280    215   316         337          200
37.510042        280    215   316         337          200
37.610056        282    215   316         337          200
37.710069        282    215   316         337          200
37.810083        282    215   316         337          200
37.910096        282    216   316         337          201
38.010109        282    216   316         337          201
38.110123        282    216   316         337          201
38.210136        283    216   316         337          201
38.310150        283    216   316         337          201
38.410163        283    216   316         337          201
38.510177        283    216   316         337          201
38.610190        283    216   316         337          201
38.710204        283    216   317         338          201
38.810217        283    216   317         338          201
38.910230        283    216   317         338          201
39.010244        283    216   317         338          201
39.110257        284    216   317         338          201
39.210271        284    216   317         338          201
39.310284        284    216   317         338          201
39.410298        284    216   317         338          201
39.510311        284    216   317         338          201
39.610325        284    216   317         338          201
39.710338        284    216   317         338          201
39.810351        284    216   317         338          201
39.910365        284    216   317         338          201
40.010378        284    216   317         338          201
40.110392        284    216   317         338          201
40.210405        284    216   317         338          201
40.310419        284    216   318         339          201
40.410432        284    216   318         339          201
40.510446        284    216   318         339          201
40.610459        284    216   318         339          201
40.710472        284    216   318         339          201
40.810486        284    216   318         339          201
40.910499        284    216   318         339          201
41.010513        284    216   318         339          201
41.110526        284    216   318         339          201
41.210540        284    216   318         339          201
41.310553        284    216   318         339          201
41.410567        284    216   318         339          201
41.510580        284    216   318         339          201
41.610594        284    216   318         339          201
41.710607        284    216   318         339          201
41.810620        284    216   318         339          201
41.910634        284    216   319         339          201
42.010647        284    216   319         339          201
42.110661        284    216   319         339          201
42.210674        284    216   319         339          201
42.310688        284    216   319         339          201
42.410701        284    216   319         339          201
42.510715        284    216   319         339          201
42.610728        284    216   319         339          201
42.710741        284    216   319         339          201
42.810755        284    216   319         339          201
42.910768        284    216   319         339          201
43.010782        284    217   319         339          201
43.110795        284    217   319         339          201
43.210809        284    217   319         339          201
43.310822        284    217   319         339          201
43.410836        284    217   319         339          201
43.510849        284    217   319         339          201
43.610862        284    217   320         340          201
43.710876        284    217   320         340          201
43.810889        284    217   320         340          201
43.910903        284    217   320         340          201
44.010916        284    217   320         340          201
44.110930        284    217   320         340          201
44.210943        285    217   320         340          201
44.310957        285    217   320         340          201
44.410970        286    217   320         340          201
44.510983        286    217   320         340          201
44.610997        286    217   320         340          201
44.711010        287    217   320         341          201
44.811024        287    217   320         341          201
44.911037        287    217   320         341          201
45.011051        287    217   320         341          201
45.111064        287    217   320         341          201
45.211078        287    217   320         341          201
45.311091        287    217   320         341          201
45.411104        287    217   320         341          201
45.511118        287    217   320         341          201
45.611131        287    217   320         341          201
45.711145        287    217   320         341          201
45.811158        287    217   321         341          201
45.911172        287    217   321         341          201
46.011185        287    217   321         341          201
46.111199        287    217   321         341          201
46.211212        287    217   321         341          201
46.311225        287    217   321         341          201
46.411239        287    217   321         341          201
46.511252        287    217   321         341          201
46.611266        287    217   321         341          201
46.711279        287    217   321         341          201
46.811293        287    217   321         341          201
46.911306        287    218   321         341          202
47.011320        287    218   321         341          202
47.111333        287    218   321         341          202
47.211346        287    218   321         341          202
47.311360        287    218   321         341          202
47.411373        287    218   321         341          202
47.511387        287    218   321         341          202
47.611400        287    218   321         341          202
47.711414        287    218   321         341          202
47.811427        287    218   321         341          202
47.911441        287    218   321         341          202
48.011454        287    218   321         341          202
48.111467        287    218   321         341          202
48.211481        287    218   321         341          202
48.311494        287    218   321         341          202
48.411508        287    218   321         341          202
48.511521        287    218   321         341          202
48.611535        287    218   321         341          202
48.711548        287    218   321         341          202
48.811562        287    218   321         341          202
48.911575        287    218   321         341          202
49.011589        287    218   321         341          202
49.111602        287    218   321         341          202
49.211615        287    218   321         341          202
49.311629        287    218   321         341          202
49.411642        287    218   321         341          202
49.511656        287    218   321         341          202
49.611669        287    218   321         341          202
49.711683        287    218   321         341          202
49.811696        287    219   321         341          203
49.911710        287    219   321         341          203
50.011723        287    219   321         341          203
50.111736        287    219   321         341          203
50.211750        287    219   321         341          203
50.311763        287    219   321         341          203
50.411777        287    219   321         341          203
50.511790        287    219   321         341          203
50.611804        287    219   321         341          203
50.711817        287    219   321         341          203
50.811831        287    219   321         341          203
50.911844        287    219   321         341          203
51.011857        287    219   321         341          203
51.111871        287    219   322         342          203
51.211884        287    219   322         342          203
51.311898        287    219   322         342          203
51.411911        287    219   322         342          203
51.511925        287    219   322         342          203
51.611938        287    219   322         342          203
51.711952        287    219   322         342          203
51.811965        287    219   322         342          203
51.911978        287    219   322         342          203
52.011992        287    219   322         342          203
52.112005        287    219   322         342          203
52.212019        287    219   322         342          203
52.312032        287    219   322         342          203
52.412046        287    219   322         342          203
52.512059        287    219   322         342          203
52.612073        287    219   322         342          203
52.712086        287    219   322         342          203
52.812099        287    219   322         342          203
52.912113        287    219   322         342          203
53.012126        287    219   322         342          203
53.112140        287    219   322         342          203
53.212153        287    219   322         342          203
53.312167        287    219   322         342          203
53.412180        287    219   322         342          203
53.512194        287    219   322         342          203
53.612207        287    219   322         342          203
53.712220        287    219   322         342          203
53.812234        287    219   322         342          203
53.912247        287    219   322         342          203
54.012261        287    219   322         342          203
54.112274        287    219   322         342          203
54.212288        287    219   322         342          203
54.312301        287    219   322         342          203
54.412315        287    219   322         342          203
54.512328        288    219   322         342          204
54.612341        288    219   322         342          204
54.712355        288    219   323         343          204
54.812368        288    220   324         343          205
54.912382        288    220   324         343          205
55.012395        288    220   324         343          205
55.112409        288    220   324         343          205
55.212422        288    220   324         343          205
55.312436        288    220   324         343          205
55.412449        288    220   324         343          205
55.512462        288    220   324         343          205
55.612476        288    220   324         343          205
55.712489        288    220   324         343          205
55.812503        288    220   324         343          205
55.912516        288    220   324         343          205
56.012530        288    220   324         343          205
56.112543        288    220   324         343          205
56.212557        288    220   324         343          205
56.312570        288    220   324         343          205
56.412584        288    220   324         343          205
56.512597        288    220   325         343          205
56.612610        288    220   325         343          205
56.712624        288    220   325         343          205
56.812637        288    220   325         343          205
56.912651        288    220   325         343          205
57.012664        288    220   325         343          205
57.112678        288    220   326         344          205
57.212691        288    220   326         344          205
57.312705        288    220   326         344          205
57.412718        288    220   326         344          205
57.512731        288    220   326         344          205
57.612745        288    220   326         344          205
57.712758        288    220   326         344          205
57.812772        288    220   326         344          205
57.912785        288    220   326         344          205
58.012799        288    220   326         344          205
58.112812        288    220   326         344          205
58.212826        288    220   326         344          205
58.312839        288    221   326         344          206
58.412852        288    222   326         344          207
58.512866        288    222   326         344          207
58.612879        288    222   326         344          207
58.712893        288    222   326         344          207
58.812906        288    222   326         344          207
58.912920        289    222   326         344          207
59.012933        289    222   326         344          207
59.112947        289    222   326         344          207
59.212960        289    222   326         344          207
59.312973        289    222   326         344          207
59.412987        289    222   326         344          207
59.513000        289    222   326         344          207
59.613014        289    222   326         344          207
59.713027        289    222   326         344          207
59.813041        289    222   326         344          207
59.913054        289    222   326         344          207
60.013068        289    222   326         344          207
60.113081        289    222   326         344          207
60.213094        289    222   326         344          207
60.313108        289    222   326         344          207
60.413121        289    222   326         344          207
60.513135        289    222   326         344          207
60.613148        289    222   327         345          207
60.713162        289    222   327         345          207
60.813175        289    222   327         345          207
60.913189        289    223   327         345          208
61.013202        289    223   327         345          208
61.113215        289    223   327         345          208
61.213229        289    223   327         345          208
61.313242        289    223   327         345          208
61.413256        289    223   327         345          208
61.513269        289    223   327         345          208
61.613283        289    223   327         345          208
61.713296        289    223   327         345          208
61.813310        290    223   327         345          208
61.913323        290    223   327         345          208
62.013336        290    223   327         345          208
62.113350        290    223   327         345          208
62.213363        290    223   327         345          208
62.313377        290    223   327         345          208
62.413390        290    223   327         345          208
62.513404        290    223   327         345          208
62.613417        290    223   327         345          208
