Relative performance profile for SolverTime
Filter: no fail
               Scb2804m  boaos  scip  virt. best  virt. worst
1.000000             62    111   242         405            0
1.001346             71    113   242         405            2
1.002693             71    113   243         405            3
1.004042             71    114   244         405            4
1.005393             71    115   244         405            4
1.006746             71    115   245         405            4
1.008101             71    117   245         405            6
1.009457             71    118   246         405            7
1.010815             71    118   246         405            7
1.012176             72    118   246         405            8
1.013538             72    118   246         405            8
1.014901             73    118   246         405            8
1.016267             73    118   247         405            8
1.017634             73    118   247         405            8
1.019004             73    118   247         405            8
1.020375             74    118   248         405            8
1.021748             74    118   248         405            8
1.023123             74    118   248         405            8
1.024499             74    118   248         405            8
1.025878             74    118   248         405            8
1.027258             74    119   248         405            9
1.028641             74    119   248         405            9
1.030025             74    119   248         405            9
1.031411             74    119   248         405            9
1.032799             74    119   249         405            9
1.034188             75    119   249         405            9
1.035580             75    119   249         405            9
1.036973             76    119   250         405            9
1.038369             76    119   251         405            9
1.039766             76    119   251         405            9
1.041165             76    119   251         405            9
1.042566             76    119   251         405            9
1.043969             76    119   251         405            9
1.045374             76    119   252         405            9
1.046780             77    119   252         405            9
1.048189             78    119   252         405            9
1.049599             78    119   252         405            9
1.051011             78    119   252         405            9
1.052426             78    119   252         405            9
1.053842             78    119   252         405            9
1.055260             78    119   252         405            9
1.056680             78    119   252         405            9
1.058102             78    119   253         405            9
1.059525             78    119   253         405            9
1.060951             79    119   253         405            9
1.062379             79    119   253         405            9
1.063808             79    120   253         405            9
1.065240             79    120   253         405            9
1.066673             79    120   254         405            9
1.068108             80    120   254         405            9
1.069546             80    121   255         405           10
1.070985             80    121   255         405           10
1.072426             80    121   255         405           10
1.073869             80    121   255         405           10
1.075314             80    121   255         405           10
1.076761             80    122   255         405           10
1.078210             80    123   255         405           11
1.079660             81    123   255         405           11
1.081113             81    123   255         405           11
1.082568             81    123   256         405           11
1.084025             81    123   257         405           11
1.085483             81    123   257         405           11
1.086944             81    123   257         405           11
1.088406             82    123   257         405           11
1.089871             82    123   257         405           11
1.091337             82    123   257         405           11
1.092806             82    123   257         405           11
1.094276             82    123   257         405           11
1.095749             82    123   257         405           11
1.097223             82    123   257         405           11
1.098700             82    123   257         405           11
1.100178             82    123   257         405           11
1.101658             82    123   258         405           11
1.103141             82    123   258         405           11
1.104625             82    123   258         405           11
1.106112             82    123   259         405           11
1.107600             82    123   259         405           11
1.109090             82    123   259         405           11
1.110583             82    123   259         405           11
1.112077             82    123   260         405           11
1.113573             82    124   260         405           12
