Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
               Scb2804m  boaos  scip  virt. best  virt. worst
1.000000             32      4   115         151            0
1.001346             39      6   115         151            2
1.002693             39      6   116         151            3
1.004042             39      7   116         151            4
1.005393             39      8   116         151            4
1.006746             39      8   116         151            4
1.008101             39     10   116         151            6
1.009457             39     11   116         151            7
1.010815             39     11   116         151            7
1.012176             40     11   116         151            8
1.013538             40     11   116         151            8
1.014901             41     11   116         151            8
1.016267             41     11   117         151            8
1.017634             41     11   117         151            8
1.019004             41     11   117         151            8
1.020375             41     11   117         151            8
1.021748             41     11   117         151            8
1.023123             41     11   117         151            8
1.024499             41     11   117         151            8
1.025878             41     11   117         151            8
1.027258             41     12   117         151            9
1.028641             41     12   117         151            9
1.030025             41     12   117         151            9
1.031411             41     12   117         151            9
1.032799             41     12   118         151            9
1.034188             41     12   118         151            9
1.035580             41     12   118         151            9
1.036973             42     12   118         151            9
1.038369             42     12   118         151            9
1.039766             42     12   118         151            9
1.041165             42     12   118         151            9
1.042566             42     12   118         151            9
1.043969             42     12   118         151            9
1.045374             42     12   118         151            9
1.046780             42     12   118         151            9
1.048189             43     12   118         151            9
1.049599             43     12   118         151            9
1.051011             43     12   118         151            9
1.052426             43     12   118         151            9
1.053842             43     12   118         151            9
1.055260             43     12   118         151            9
1.056680             43     12   118         151            9
1.058102             43     12   119         151            9
1.059525             43     12   119         151            9
1.060951             44     12   119         151            9
1.062379             44     12   119         151            9
1.063808             44     13   119         151            9
1.065240             44     13   119         151            9
1.066673             44     13   120         151            9
1.068108             44     13   120         151            9
1.069546             44     14   120         151           10
1.070985             44     14   120         151           10
1.072426             44     14   120         151           10
1.073869             44     14   120         151           10
1.075314             44     14   120         151           10
1.076761             44     14   120         151           10
1.078210             44     15   120         151           11
1.079660             45     15   120         151           11
1.081113             45     15   120         151           11
1.082568             45     15   120         151           11
1.084025             45     15   120         151           11
1.085483             45     15   120         151           11
