Relative performance profile for SolverTime
Filter: gap <= 10.0% and not failed
              Scb2804m  boaos  scip  virt. best  virt. worst
1.000000            45    110   237         382            0
1.001221            45    110   237         382            0
1.002444            45    110   237         382            0
1.003668            45    110   237         382            0
1.004894            45    110   237         382            0
1.006121            45    110   237         382            0
1.007350            45    110   237         382            0
1.008580            45    110   238         382            0
1.009812            45    110   238         382            0
1.011045            45    110   238         382            0
1.012280            45    110   238         382            0
1.013516            45    110   238         382            0
1.014754            46    110   238         382            0
1.015993            46    110   238         382            0
1.017234            46    110   238         382            0
1.018476            46    110   238         382            0
1.019720            46    110   239         382            0
1.020965            47    110   239         382            0
1.022212            47    111   239         382            0
1.023460            47    111   239         382            0
1.024710            47    111   239         382            0
1.025961            47    111   239         382            0
1.027214            47    111   239         382            0
1.028469            47    111   239         382            0
1.029725            47    111   239         382            0
1.030982            47    111   239         382            0
1.032241            47    111   240         382            0
1.033502            48    111   240         382            0
1.034764            48    111   240         382            0
1.036028            48    111   240         382            0
1.037293            48    111   240         382            0
1.038560            48    111   241         382            0
1.039828            48    111   241         382            0
1.041098            48    111   241         382            0
1.042369            48    111   241         382            0
1.043642            48    111   241         382            0
1.044917            48    111   242         382            0
1.046193            49    111   242         382            0
1.047471            49    111   242         382            0
1.048750            49    111   242         382            0
1.050031            49    111   242         382            0
1.051313            49    111   242         382            0
1.052597            49    111   242         382            0
1.053882            49    111   242         382            0
1.055169            49    111   242         382            0
1.056458            49    111   242         382            0
1.057748            49    111   242         382            0
1.059040            49    111   242         382            0
1.060333            49    111   242         382            0
1.061628            50    111   242         382            0
1.062925            50    111   242         382            0
1.064223            50    112   242         382            0
1.065522            50    112   242         382            0
1.066823            51    112   242         382            0
1.068126            51    112   242         382            0
1.069431            51    112   243         382            0
1.070737            51    112   243         382            0
1.072044            51    112   243         382            0
1.073354            51    112   243         382            0
1.074664            51    112   243         382            0
1.075977            51    113   243         382            0
1.077291            51    113   243         382            0
1.078606            51    113   243         382            0
1.079924            52    113   243         382            0
1.081242            52    113   243         382            0
1.082563            52    113   243         382            0
1.083885            52    113   244         382            0
1.085209            52    113   244         382            0
1.086534            52    113   244         382            0
1.087861            53    113   244         382            0
1.089189            53    113   244         382            0
1.090520            53    113   244         382            0
1.091851            53    113   244         382            0
1.093185            53    113   244         382            0
1.094520            53    113   244         382            0
1.095856            53    113   244         382            0
1.097195            53    113   244         382            0
1.098535            53    113   244         382            0
1.099876            53    113   244         382            0
1.101219            53    113   244         382            0
1.102564            53    113   245         382            0
1.103911            53    113   245         382            0
1.105259            53    113   245         382            0
1.106609            53    113   245         382            0
1.107960            53    113   245         382            0
1.109313            53    113   245         382            0
1.110668            53    113   245         382            0
1.112024            53    113   245         382            0
1.113382            53    113   245         382            0
1.114742            53    113   245         382            0
1.116103            53    113   245         382            0
1.117466            53    113   245         382            0
1.118831            53    113   245         382            0
1.120197            53    114   245         382            0
1.121565            53    114   245         382            0
1.122935            53    114   245         382            0
1.124306            53    114   245         382            0
1.125679            53    114   245         382            0
1.127054            53    114   245         382            0
1.128430            53    114   245         382            0
1.129809            54    114   245         382            0
1.131188            54    114   245         382            0
1.132570            54    114   246         382            0
1.133953            54    114   246         382            0
1.135338            54    114   246         382            0
1.136724            54    114   246         382            0
1.138112            54    114   246         382            0
1.139502            54    114   246         382            0
1.140894            54    115   246         382            0
1.142287            54    115   246         382            0
1.143682            54    115   246         382            0
1.145079            55    115   246         382            0
1.146477            55    116   246         382            0
1.147877            55    116   246         382            0
1.149279            55    116   246         382            0
1.150683            55    116   246         382            0
1.152088            55    116   246         382            0
1.153495            55    117   246         382            0
1.154904            55    118   246         382            0
1.156314            55    118   246         382            0
1.157726            55    118   246         382            0
1.159140            55    118   247         382            0
1.160555            55    118   247         382            0
1.161973            55    118   248         382            0
1.163392            55    118   248         382            0
1.164813            55    118   248         382            0
1.166235            55    118   248         382            0
1.167659            55    118   248         382            0
1.169085            55    118   248         382            0
1.170513            55    118   248         382            0
1.171942            55    118   248         382            0
1.173374            55    118   248         382            0
1.174807            55    118   248         382            0
1.176241            55    118   248         382            0
1.177678            55    118   248         382            0
1.179116            55    118   248         382            0
1.180556            55    118   248         382            0
1.181998            55    118   248         382            0
1.183441            55    118   248         382            0
1.184886            55    120   248         382            0
1.186333            55    120   248         382            0
1.187782            55    120   248         382            0
1.189233            55    120   248         382            0
1.190685            55    120   248         382            0
1.192139            55    120   248         382            0
1.193595            55    120   248         382            0
1.195053            55    120   248         382            0
1.196512            55    120   248         382            0
1.197973            55    120   249         382            0
1.199436            55    121   249         382            0
1.200901            55    121   250         382            0
1.202368            55    121   250         382            0
1.203836            57    121   250         382            0
1.205306            57    121   250         382            0
1.206778            57    121   250         382            0
1.208252            57    121   250         382            0
1.209728            57    121   251         382            0
1.211205            57    122   252         382            0
1.212684            57    122   252         382            0
1.214165            57    122   252         382            0
1.215648            57    122   252         382            0
1.217132            57    122   252         382            0
1.218619            57    122   252         382            0
1.220107            57    122   252         382            0
1.221597            57    122   252         382            0
1.223089            57    122   253         382            0
1.224582            57    122   253         382            0
1.226078            57    122   253         382            0
1.227575            57    122   254         382            0
1.229074            57    122   254         382            0
1.230575            59    122   254         382            1
1.232078            59    122   254         382            1
1.233583            59    122   254         382            1
1.235089            59    122   254         382            1
1.236598            59    123   254         382            2
1.238108            60    123   254         382            2
1.239620            61    123   254         382            2
1.241134            61    123   254         382            2
1.242649            61    123   254         382            2
1.244167            61    123   254         382            2
1.245686            61    123   254         382            2
1.247208            61    123   254         382            2
1.248731            61    123   254         382            2
1.250256            62    123   254         382            2
1.251783            62    123   254         382            2
1.253311            62    123   254         382            2
1.254842            62    123   254         382            2
1.256374            62    123   255         382            2
1.257909            62    123   255         382            2
1.259445            62    123   255         382            2
1.260983            62    123   255         382            2
1.262523            62    123   255         382            2
1.264065            62    123   255         382            2
1.265608            62    123   255         382            2
1.267154            62    123   255         382            2
1.268701            62    123   255         382            2
1.270251            62    123   255         382            2
1.271802            62    123   255         382            2
1.273355            62    123   255         382            2
1.274910            62    123   255         382            2
1.276467            63    123   255         382            2
1.278026            63    123   255         382            2
1.279587            63    124   255         382            2
1.281150            63    124   255         382            2
1.282714            63    124   255         382            2
1.284281            63    124   255         382            2
1.285849            63    124   255         382            2
1.287419            63    124   255         382            2
1.288992            63    125   255         382            2
1.290566            63    125   255         382            2
1.292142            64    125   255         382            2
1.293720            64    125   255         382            2
1.295300            64    125   255         382            2
1.296882            64    125   255         382            2
1.298465            64    125   255         382            2
1.300051            64    125   255         382            2
1.301639            64    125   255         382            2
1.303228            64    125   255         382            2
1.304820            64    125   255         382            2
1.306413            64    125   255         382            2
1.308009            64    125   255         382            2
1.309606            65    125   255         382            2
1.311205            65    125   255         382            2
1.312807            65    125   255         382            2
1.314410            65    125   255         382            2
1.316015            65    125   255         382            2
1.317622            65    125   255         382            2
1.319231            65    125   255         382            2
1.320843            65    125   255         382            2
1.322456            65    125   255         382            2
1.324071            65    125   255         382            2
1.325688            65    125   255         382            2
1.327307            65    125   255         382            2
1.328927            65    125   255         382            2
1.330550            65    125   255         382            2
1.332175            65    125   255         382            2
1.333802            65    125   255         382            2
1.335431            66    125   256         382            2
1.337062            66    126   256         382            2
1.338695            66    127   256         382            2
