Relative performance profile for NumberOfNodes
Filter: gap <= 0.102% and not failed
              Scb2804m  boaos  scip  virt. best  virt. worst
1.000000           155    273   230         374          102
1.001137           155    273   230         374          102
1.002276           155    273   230         374          102
1.003416           155    273   230         374          102
1.004557           155    273   230         374          102
1.005700           155    273   230         374          102
1.006844           155    273   230         374          102
1.007989           155    273   231         374          102
1.009135           155    273   231         374          102
1.010283           155    273   231         374          102
1.011432           155    273   231         374          102
1.012582           155    273   231         374          102
1.013734           155    273   231         374          102
1.014887           155    273   231         374          102
1.016041           155    273   231         374          102
1.017197           155    273   231         374          102
1.018354           155    273   231         374          102
1.019512           155    273   231         374          102
1.020672           155    273   231         374          102
1.021833           155    273   231         374          102
1.022995           155    273   231         374          102
1.024158           155    273   231         374          102
1.025323           155    273   231         374          102
1.026489           155    273   231         374          102
1.027657           155    273   231         374          102
1.028826           155    273   231         374          102
1.029996           155    273   231         374          102
1.031167           155    273   231         374          102
1.032340           155    273   231         374          102
1.033514           155    273   231         374          102
1.034690           155    273   231         374          102
1.035867           155    273   231         374          102
1.037045           155    273   231         374          102
1.038224           155    273   231         374          102
1.039405           155    273   231         374          102
1.040587           155    273   231         374          102
1.041771           155    273   231         374          102
1.042956           155    273   231         374          102
1.044142           155    273   231         374          102
1.045330           155    273   231         374          102
1.046519           155    273   231         374          102
1.047709           155    273   231         374          102
1.048901           155    273   231         374          102
1.050094           155    273   231         374          102
1.051288           155    273   231         374          102
1.052484           155    273   231         374          102
1.053681           155    273   231         374          102
1.054879           155    273   231         374          102
1.056079           155    273   231         374          102
1.057280           155    273   231         374          102
1.058483           155    273   231         374          102
1.059686           155    273   231         374          102
1.060892           155    273   231         374          102
1.062098           155    273   231         374          102
1.063306           155    273   231         374          102
1.064516           155    273   231         374          102
1.065726           155    273   231         374          102
1.066939           155    273   231         374          102
1.068152           155    273   231         374          102
1.069367           155    273   231         374          102
1.070583           155    273   231         374          102
1.071801           155    273   231         374          102
1.073020           155    273   231         374          102
1.074240           155    273   231         374          102
1.075462           155    273   231         374          102
1.076685           155    273   231         374          102
1.077910           155    273   231         374          102
1.079136           155    273   231         374          102
1.080363           155    273   231         374          102
1.081592           155    273   231         374          102
1.082822           155    273   231         374          102
1.084054           155    273   231         374          102
1.085287           155    273   231         374          102
1.086521           155    273   231         374          102
1.087757           155    273   231         374          102
1.088994           155    273   231         374          102
1.090233           155    273   231         374          102
1.091473           155    273   231         374          102
1.092714           155    273   231         374          102
1.093957           155    273   231         374          102
1.095201           155    273   231         374          102
1.096447           155    273   231         374          102
1.097694           155    273   231         374          102
1.098942           155    273   231         374          102
1.100192           155    273   231         374          102
1.101444           155    273   231         374          102
1.102696           155    273   231         374          102
1.103951           155    273   231         374          102
1.105206           155    273   231         374          102
1.106463           155    273   231         374          102
1.107722           155    273   231         374          102
1.108982           155    273   231         374          102
1.110243           155    273   231         374          102
1.111506           155    273   231         374          102
1.112770           155    273   231         374          102
1.114036           155    273   231         374          102
1.115303           155    273   231         374          102
1.116571           155    273   231         374          102
1.117841           155    273   231         374          102
1.119112           155    273   231         374          102
1.120385           155    273   231         374          102
1.121660           155    273   231         374          102
1.122935           155    273   231         374          102
1.124213           155    273   231         374          102
1.125491           155    273   231         374          102
1.126771           155    273   231         374          102
1.128053           155    273   231         374          102
1.129336           155    273   231         374          102
1.130620           155    273   231         374          102
1.131906           155    273   231         374          102
1.133194           155    273   231         374          102
1.134483           155    273   231         374          102
1.135773           155    273   231         374          102
1.137065           155    273   231         374          102
1.138358           155    273   231         374          102
1.139653           155    273   231         374          102
1.140949           155    273   231         374          102
1.142247           155    273   231         374          102
1.143546           155    273   231         374          102
1.144846           155    273   231         374          102
1.146149           155    273   231         374          102
1.147452           155    273   231         374          102
1.148757           155    273   231         374          102
1.150064           155    273   231         374          102
1.151372           155    273   231         374          102
1.152681           155    273   231         374          102
1.153992           155    273   231         374          102
1.155305           155    273   231         374          102
1.156619           155    273   231         374          102
1.157934           155    273   231         374          102
1.159251           155    273   231         374          102
1.160570           155    273   231         374          102
1.161890           155    273   231         374          102
1.163211           155    273   231         374          102
1.164534           155    273   231         374          102
1.165859           155    273   231         374          102
1.167185           155    273   231         374          102
1.168512           155    273   231         374          102
1.169842           155    273   231         374          102
1.171172           155    273   231         374          102
1.172504           155    273   231         374          102
1.173838           155    273   231         374          102
1.175173           155    273   231         374          102
1.176509           155    273   231         374          102
1.177848           155    273   231         374          102
1.179187           155    273   231         374          102
1.180528           155    273   231         374          102
1.181871           155    273   231         374          102
1.183215           155    273   231         374          102
1.184561           155    273   231         374          102
1.185908           155    273   231         374          102
1.187257           155    273   231         374          102
1.188608           155    273   231         374          102
1.189959           155    273   231         374          102
1.191313           155    273   231         374          102
1.192668           155    273   231         374          102
1.194024           155    273   231         374          102
1.195382           155    273   231         374          102
1.196742           155    273   231         374          102
1.198103           155    273   231         374          102
1.199466           155    273   231         374          102
1.200830           155    273   231         374          102
1.202196           155    273   231         374          102
1.203563           155    273   231         374          102
1.204932           155    273   231         374          102
1.206303           155    273   231         374          102
1.207675           155    273   231         374          102
1.209048           155    273   231         374          102
1.210423           155    273   231         374          102
1.211800           155    273   231         374          102
1.213178           155    273   231         374          102
1.214558           155    273   231         374          102
1.215939           155    273   231         374          102
1.217322           155    273   231         374          102
1.218707           155    273   231         374          102
1.220093           155    273   231         374          102
1.221481           155    273   231         374          102
1.222870           155    273   231         374          102
1.224261           155    273   231         374          102
1.225653           155    273   231         374          102
1.227047           155    273   231         374          102
1.228443           155    273   231         374          102
1.229840           155    273   231         374          102
1.231239           155    273   231         374          102
1.232639           155    273   231         374          102
1.234041           155    273   231         374          102
1.235445           155    273   231         374          102
1.236850           155    273   231         374          102
1.238257           155    273   231         374          102
1.239665           155    273   231         374          102
1.241075           156    273   231         374          102
1.242487           156    273   231         374          102
1.243900           156    273   231         374          102
1.245315           156    273   231         374          102
1.246731           156    273   231         374          102
1.248149           156    273   231         374          102
1.249569           156    273   231         374          102
1.250990           156    273   231         374          102
1.252413           156    273   231         374          102
1.253837           156    273   231         374          102
1.255263           156    273   231         374          102
1.256691           156    273   231         374          102
1.258120           156    273   231         374          102
1.259551           156    273   231         374          102
1.260984           156    273   231         374          102
1.262418           156    273   231         374          102
1.263854           156    273   231         374          102
1.265291           156    273   231         374          102
1.266730           156    273   231         374          102
1.268171           156    273   231         374          102
1.269614           156    273   231         374          102
1.271058           156    273   231         374          102
1.272503           156    273   231         374          102
1.273951           156    273   231         374          102
1.275400           156    273   231         374          102
1.276850           156    273   231         374          102
1.278302           156    273   231         374          102
1.279756           156    273   231         374          102
1.281212           156    273   231         374          102
1.282669           156    273   231         374          102
1.284128           156    273   231         374          102
1.285589           156    273   231         374          102
1.287051           156    273   231         374          102
1.288515           156    273   231         374          102
1.289980           156    273   231         374          102
1.291447           156    273   231         374          102
1.292916           156    273   231         374          102
1.294387           156    273   231         374          102
1.295859           156    273   231         374          102
1.297333           156    273   231         374          102
1.298808           156    273   231         374          102
1.300286           156    273   231         374          102
1.301764           156    273   231         374          102
1.303245           156    273   231         374          102
1.304727           156    273   231         374          102
1.306211           156    273   231         374          102
1.307697           156    273   231         374          102
1.309184           156    273   231         374          102
1.310673           156    273   231         374          102
1.312164           156    273   231         374          102
1.313656           156    273   231         374          102
1.315151           156    273   231         374          102
1.316646           157    273   231         374          102
1.318144           157    273   231         374          102
1.319643           157    273   231         374          102
1.321144           157    273   231         374          102
1.322647           157    273   231         374          102
1.324151           157    273   231         374          102
1.325657           157    273   231         374          102
1.327165           157    273   231         374          102
1.328674           157    273   231         374          102
1.330186           157    273   231         374          102
1.331698           157    273   231         374          102
1.333213           157    273   231         374          102
1.334729           157    273   231         374          102
1.336248           157    273   231         374          102
1.337767           157    273   231         374          102
1.339289           157    273   231         374          102
1.340812           157    273   231         374          102
1.342337           157    273   231         374          102
1.343864           157    273   231         374          102
1.345392           157    273   231         374          102
1.346923           157    273   231         374          102
1.348455           157    273   231         374          102
1.349988           157    273   231         374          102
1.351524           157    273   231         374          102
1.353061           157    273   231         374          102
1.354600           157    273   231         374          102
1.356140           157    273   231         374          102
1.357683           157    273   231         374          102
1.359227           157    273   231         374          102
1.360773           157    273   231         374          102
1.362321           157    273   231         374          102
1.363870           157    273   231         374          102
1.365421           157    273   231         374          102
1.366974           157    273   231         374          102
1.368529           157    273   231         374          102
1.370086           157    273   231         374          102
1.371644           157    273   231         374          102
1.373204           157    273   231         374          102
1.374766           157    273   231         374          102
1.376330           157    273   231         374          102
1.377895           157    273   231         374          102
1.379462           157    273   231         374          102
1.381031           157    273   231         374          102
1.382602           157    273   231         374          102
1.384174           157    273   231         374          102
1.385749           157    273   231         374          102
1.387325           157    273   231         374          102
1.388903           157    273   231         374          102
1.390482           157    273   231         374          102
1.392064           157    273   231         374          102
1.393647           157    273   231         374          102
1.395232           157    273   231         374          102
1.396819           157    273   231         374          102
1.398408           157    273   231         374          102
1.399998           157    273   231         374          102
1.401591           157    273   231         374          102
1.403185           157    273   231         374          102
1.404781           157    273   231         374          102
1.406379           157    273   231         374          102
1.407978           157    273   231         374          102
1.409580           157    273   231         374          102
1.411183           157    273   231         374          102
1.412788           157    273   231         374          102
1.414395           157    273   231         374          102
1.416003           157    273   231         374          102
1.417614           157    273   231         374          102
1.419226           157    273   231         374          102
1.420840           157    273   231         374          102
1.422456           157    273   231         374          102
1.424074           157    273   231         374          102
1.425694           157    273   231         374          102
1.427316           157    273   231         374          102
1.428939           157    273   231         374          102
1.430564           157    273   231         374          102
1.432191           157    273   231         374          102
1.433820           157    273   231         374          102
1.435451           157    273   231         374          102
1.437084           157    273   231         374          102
1.438718           157    273   231         374          102
1.440355           157    273   231         374          102
1.441993           157    273   231         374          102
1.443633           157    273   231         374          102
1.445275           157    273   231         374          102
1.446919           157    273   231         374          102
1.448564           157    273   231         374          102
1.450212           157    273   231         374          102
1.451861           157    273   231         374          102
1.453513           157    273   231         374          102
1.455166           157    273   231         374          102
1.456821           157    273   231         374          102
1.458478           157    273   231         374          102
1.460137           157    273   231         374          102
1.461797           158    273   231         374          102
1.463460           158    273   231         374          102
1.465124           158    273   231         374          102
1.466791           158    273   231         374          102
1.468459           158    273   232         374          102
1.470129           158    273   232         374          102
1.471801           158    273   232         374          102
1.473475           158    273   232         374          102
1.475151           158    273   232         374          102
1.476829           158    273   233         374          102
1.478509           158    273   233         374          102
1.480190           158    273   233         374          102
1.481874           158    273   233         374          102
1.483559           158    273   233         374          102
1.485247           158    273   233         374          102
1.486936           158    273   233         374          102
1.488627           158    273   233         374          102
1.490320           158    273   233         374          102
1.492015           158    273   233         374          102
1.493712           158    273   233         374          102
1.495411           158    273   233         374          102
1.497112           158    273   233         374          102
1.498815           158    273   233         374          102
1.500520           158    273   233         374          102
1.502226           158    273   233         374          102
1.503935           158    273   233         374          102
1.505645           158    273   233         374          102
1.507358           158    273   233         374          102
1.509072           158    273   233         374          102
1.510789           158    273   233         374          102
1.512507           158    273   233         374          102
1.514227           158    273   233         374          102
1.515950           158    273   233         374          102
1.517674           158    273   233         374          102
1.519400           159    273   233         374          102
1.521128           159    273   233         374          102
1.522858           159    273   233         374          102
1.524590           159    273   233         374          102
1.526324           159    273   233         374          102
1.528060           159    273   233         374          102
1.529798           159    273   233         374          102
1.531538           159    273   233         374          102
1.533280           159    273   233         374          102
1.535024           159    273   233         374          102
1.536770           159    273   233         374          102
1.538518           159    273   233         374          102
1.540268           159    273   233         374          102
1.542019           159    273   233         374          102
1.543773           159    273   233         374          102
1.545529           159    273   233         374          102
1.547287           159    273   233         374          102
1.549047           159    273   233         374          102
1.550809           159    273   233         374          102
1.552573           159    273   233         374          102
1.554338           159    273   233         374          102
1.556106           159    273   233         374          102
1.557876           159    273   233         374          102
1.559648           159    273   233         374          102
1.561422           159    273   233         374          102
1.563198           159    273   233         374          102
1.564976           159    273   233         374          102
1.566756           159    273   233         374          102
1.568538           159    273   233         374          102
1.570322           159    273   233         374          102
1.572108           159    273   233         374          102
1.573896           159    273   233         374          102
1.575686           159    273   233         374          102
1.577478           159    273   233         374          102
1.579272           159    273   233         374          102
1.581069           159    273   233         374          102
1.582867           159    273   233         374          102
1.584667           159    273   233         374          102
1.586469           159    273   233         374          102
1.588274           159    273   233         374          102
1.590080           159    273   233         374          102
1.591889           159    273   233         374          102
1.593699           159    273   233         374          102
1.595512           159    273   233         374          102
1.597327           159    273   233         374          102
1.599143           159    273   233         374          102
1.600962           159    273   233         374          102
1.602783           159    273   233         374          102
1.604606           159    273   233         374          102
1.606431           159    273   233         374          102
1.608258           159    273   233         374          102
1.610087           159    273   233         374          102
1.611919           160    273   233         374          102
1.613752           160    273   233         374          102
1.615588           160    273   233         374          102
1.617425           160    273   233         374          102
1.619265           160    273   233         374          102
1.621106           160    273   233         374          102
1.622950           160    273   233         374          102
1.624796           160    273   233         374          102
1.626644           160    273   233         374          102
1.628494           160    273   233         374          102
1.630346           160    273   233         374          102
1.632201           160    273   233         374          102
1.634057           160    273   233         374          102
1.635916           160    273   233         374          102
1.637776           160    273   233         374          102
1.639639           160    273   233         374          102
1.641504           160    273   233         374          102
1.643371           160    273   233         374          102
1.645240           160    273   233         374          102
1.647111           160    273   233         374          102
1.648985           160    273   233         374          102
1.650860           160    273   233         374          102
1.652738           160    273   233         374          102
1.654618           160    273   233         374          102
1.656500           160    273   233         374          102
1.658384           160    273   233         374          102
1.660270           160    273   233         374          102
1.662158           160    273   233         374          102
1.664049           160    273   233         374          102
1.665941           160    273   233         374          102
1.667836           160    273   233         374          102
1.669733           160    273   233         374          102
1.671632           160    273   233         374          102
1.673533           160    273   233         374          102
1.675437           160    273   233         374          102
1.677342           160    273   233         374          102
1.679250           160    273   233         374          102
1.681160           160    273   233         374          102
1.683072           160    273   233         374          102
1.684987           160    273   233         374          102
1.686903           160    273   233         374          102
1.688822           160    273   233         374          102
1.690742           160    273   233         374          102
1.692665           160    273   233         374          102
1.694591           160    273   233         374          102
1.696518           160    273   233         374          102
1.698448           160    273   233         374          102
1.700379           160    273   233         374          102
1.702313           160    273   233         374          102
1.704250           160    273   233         374          102
1.706188           160    273   233         374          102
1.708128           160    273   233         374          102
1.710071           160    273   233         374          102
1.712016           161    273   233         374          102
1.713963           162    273   233         374          102
1.715913           162    273   233         374          102
1.717864           162    273   233         374          102
1.719818           162    273   233         374          102
1.721774           162    273   233         374          102
1.723733           162    273   233         374          102
1.725693           162    273   233         374          102
1.727656           162    273   233         374          102
1.729621           162    273   233         374          102
1.731588           162    273   233         374          102
1.733558           162    273   233         374          102
1.735529           162    273   233         374          102
1.737503           162    273   233         374          102
1.739480           162    273   233         374          102
1.741458           162    273   233         374          102
1.743439           162    273   233         374          102
1.745422           162    273   233         374          102
1.747407           162    273   233         374          102
1.749394           162    273   233         374          102
1.751384           162    273   233         374          102
1.753376           162    273   233         374          102
1.755370           162    273   233         374          102
1.757367           162    273   233         374          102
1.759365           162    273   233         374          102
1.761367           162    273   233         374          102
1.763370           162    273   233         374          102
1.765375           162    273   233         374          102
1.767383           162    273   233         374          102
1.769394           162    273   233         374          102
1.771406           162    273   233         374          102
1.773421           162    273   233         374          102
1.775438           162    273   233         374          102
1.777457           162    273   233         374          102
1.779479           162    273   233         374          102
1.781503           162    273   233         374          102
1.783529           162    273   233         374          102
1.785557           162    273   233         374          102
1.787588           162    273   233         374          102
1.789621           162    273   233         374          102
1.791657           162    273   233         374          102
1.793695           162    273   233         374          102
1.795735           162    273   233         374          102
1.797777           162    273   233         374          102
1.799822           162    273   233         374          102
1.801869           162    273   233         374          102
1.803918           162    273   233         374          102
1.805970           162    273   233         374          102
1.808024           162    273   233         374          102
1.810081           162    273   233         374          102
1.812139           162    273   233         374          102
1.814200           162    273   233         374          102
1.816264           162    273   233         374          102
1.818330           162    273   233         374          102
1.820398           162    273   233         374          102
1.822468           162    273   233         374          102
1.824541           162    273   233         374          102
1.826616           162    273   233         374          102
1.828694           162    273   233         374          102
1.830774           162    273   233         374          102
1.832856           162    273   233         374          102
1.834941           162    273   233         374          102
1.837028           162    273   233         374          102
1.839117           162    273   233         374          102
1.841209           162    273   233         374          102
1.843303           162    273   233         374          102
1.845399           162    273   233         374          102
1.847498           162    273   233         374          102
1.849600           162    273   233         374          102
1.851703           162    273   233         374          102
1.853809           162    273   233         374          102
1.855918           162    273   233         374          102
1.858029           162    273   233         374          102
1.860142           162    273   233         374          102
1.862258           162    273   233         374          102
1.864376           162    273   233         374          102
1.866496           162    273   233         374          102
1.868619           162    273   233         374          102
1.870744           162    273   233         374          102
1.872872           162    273   233         374          102
1.875002           162    273   233         374          102
1.877135           162    273   233         374          102
1.879270           162    273   233         374          102
1.881407           162    273   233         374          102
1.883547           162    273   233         374          102
1.885690           162    273   233         374          102
1.887834           162    273   233         374          102
1.889981           162    273   233         374          102
1.892131           162    273   233         374          102
1.894283           162    273   233         374          102
1.896438           162    273   233         374          102
1.898595           162    273   233         374          102
1.900754           163    273   233         374          102
1.902916           163    273   233         374          102
1.905080           163    273   233         374          102
1.907247           163    273   233         374          102
1.909416           163    273   233         374          102
1.911588           163    273   233         374          102
1.913762           163    273   233         374          102
1.915939           163    273   233         374          102
1.918118           163    273   233         374          102
1.920300           163    273   233         374          102
1.922484           163    273   233         374          102
1.924670           163    273   233         374          102
1.926859           163    273   233         374          102
1.929051           163    273   233         374          102
1.931245           163    273   233         374          102
1.933441           163    273   233         374          102
1.935640           163    273   233         374          102
1.937842           163    273   233         374          102
1.940046           163    273   233         374          102
1.942253           163    273   233         374          102
1.944462           163    273   233         374          102
1.946673           163    273   233         374          102
1.948887           163    273   233         374          102
1.951104           163    273   233         374          102
1.953323           163    273   233         374          102
1.955545           163    273   233         374          102
1.957769           163    273   233         374          102
1.959996           163    273   233         374          102
1.962225           163    273   233         374          102
1.964457           163    273   233         374          102
1.966691           163    273   233         374          102
1.968928           163    273   233         374          102
1.971167           163    273   233         374          102
1.973409           163    273   234         374          102
1.975654           163    273   234         374          102
1.977901           163    273   234         374          102
1.980150           163    273   234         374          102
1.982403           163    273   234         374          102
1.984657           163    273   234         374          102
1.986915           163    273   234         374          102
1.989174           163    273   234         374          102
1.991437           163    273   234         374          102
1.993702           163    273   234         374          102
1.995969           163    273   234         374          102
1.998240           163    273   234         374          102
2.000512           171    273   235         374          108
2.002788           171    273   235         374          108
2.005066           171    273   235         374          108
2.007346           171    273   235         374          108
2.009629           171    273   235         374          108
2.011915           171    273   235         374          108
2.014203           171    273   235         374          108
2.016494           171    273   235         374          108
2.018788           171    273   235         374          108
2.021084           171    273   235         374          108
2.023382           171    273   235         374          108
2.025684           171    273   235         374          108
2.027988           171    273   235         374          108
2.030294           171    273   235         374          108
2.032604           171    273   235         374          108
2.034915           171    273   235         374          108
2.037230           171    273   235         374          108
2.039547           171    273   235         374          108
2.041867           171    273   235         374          108
2.044189           172    273   235         374          108
2.046514           172    273   235         374          108
2.048842           172    273   235         374          108
2.051172           172    273   235         374          108
2.053505           172    273   235         374          108
2.055841           172    273   235         374          108
2.058179           172    273   235         374          108
2.060520           172    273   235         374          108
2.062863           172    273   235         374          108
2.065210           172    273   235         374          108
2.067558           172    273   235         374          108
2.069910           172    273   235         374          108
2.072264           172    273   235         374          108
2.074621           172    273   235         374          108
2.076981           172    273   235         374          108
2.079343           172    273   235         374          108
2.081708           172    273   235         374          108
2.084076           172    273   235         374          108
2.086446           172    273   235         374          108
2.088819           172    273   235         374          108
2.091195           172    273   235         374          108
2.093573           172    273   235         374          108
2.095955           172    273   235         374          108
2.098339           172    273   235         374          108
2.100725           172    273   235         374          108
2.103114           172    273   236         374          108
2.105506           172    273   236         374          108
2.107901           172    273   236         374          108
2.110299           172    273   236         374          108
2.112699           172    273   236         374          108
2.115102           172    273   236         374          108
2.117507           172    273   236         374          108
2.119916           173    273   236         374          108
2.122327           173    273   236         374          108
2.124741           173    273   236         374          108
2.127157           173    273   236         374          108
2.129577           173    273   236         374          108
2.131999           173    273   236         374          108
2.134424           173    273   236         374          108
2.136852           173    273   236         374          108
