Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
              Scb2804m  boaos  scip  virt. best  virt. worst
1.000000e+00       329     67    40         374            8
1.001668e+00       329     67    40         374            8
1.003338e+00       329     67    40         374            8
1.005012e+00       329     67    40         374            8
1.006688e+00       329     67    40         374            8
1.008366e+00       329     67    40         374            8
1.010048e+00       329     67    40         374            8
1.011733e+00       329     67    40         374            8
1.013420e+00       329     67    40         374            8
1.015110e+00       329     67    40         374            8
1.016803e+00       329     67    40         374            8
1.018499e+00       329     67    40         374            8
1.020197e+00       329     67    40         374            8
1.021899e+00       329     67    40         374            8
1.023603e+00       329     67    40         374            8
1.025310e+00       329     67    40         374            8
1.027020e+00       329     67    40         374            8
1.028733e+00       329     67    40         374            8
1.030448e+00       329     67    40         374            8
1.032167e+00       329     67    40         374            8
1.033888e+00       329     67    40         374            8
1.035612e+00       329     67    40         374            8
1.037339e+00       329     67    40         374            8
1.039069e+00       329     67    40         374            8
1.040802e+00       329     67    40         374            8
1.042538e+00       329     67    40         374            8
1.044277e+00       329     67    40         374            8
1.046018e+00       329     67    40         374            8
1.047763e+00       329     67    40         374            8
1.049510e+00       329     67    40         374            8
1.051260e+00       329     67    40         374            8
1.053014e+00       329     67    40         374            8
1.054770e+00       329     67    40         374            8
1.056529e+00       329     67    40         374            8
1.058291e+00       329     67    40         374            8
1.060056e+00       329     67    40         374            8
1.061824e+00       329     67    40         374            8
1.063594e+00       329     67    40         374            8
1.065368e+00       329     67    40         374            8
1.067145e+00       329     67    40         374            8
1.068925e+00       329     67    40         374            8
1.070707e+00       329     67    40         374            8
1.072493e+00       329     67    40         374            8
1.074282e+00       329     67    40         374            8
1.076073e+00       329     67    40         374            8
1.077868e+00       329     67    40         374            8
1.079665e+00       329     67    40         374            8
1.081466e+00       329     67    40         374            8
1.083270e+00       329     67    40         374            8
1.085076e+00       329     67    40         374            8
1.086886e+00       329     67    40         374            8
1.088698e+00       329     67    40         374            8
1.090514e+00       329     67    40         374            8
1.092333e+00       329     67    40         374            8
1.094154e+00       329     67    40         374            8
1.095979e+00       329     67    40         374            8
1.097807e+00       329     67    40         374            8
1.099638e+00       329     67    40         374            8
1.101472e+00       329     67    40         374            8
1.103309e+00       329     67    40         374            8
1.105149e+00       329     67    40         374            8
1.106992e+00       329     67    40         374            8
1.108838e+00       329     67    40         374            8
1.110687e+00       329     67    40         374            8
1.112539e+00       329     67    40         374            8
1.114395e+00       329     67    40         374            8
1.116253e+00       329     67    40         374            8
1.118115e+00       329     67    40         374            8
1.119980e+00       329     67    40         374            8
1.121847e+00       329     67    40         374            8
1.123718e+00       329     67    40         374            8
1.125592e+00       329     67    40         374            8
1.127469e+00       329     67    40         374            8
1.129350e+00       329     67    40         374            8
1.131233e+00       329     67    40         374            8
1.133120e+00       329     67    40         374            8
1.135010e+00       329     67    40         374            8
1.136902e+00       329     67    40         374            8
1.138798e+00       329     67    40         374            8
1.140698e+00       329     67    40         374            8
1.142600e+00       329     67    40         374            8
1.144506e+00       329     67    40         374            8
1.146414e+00       329     67    40         374            8
1.148326e+00       329     67    40         374            8
1.150241e+00       329     67    40         374            8
1.152159e+00       329     67    40         374            8
1.154081e+00       329     67    40         374            8
1.156006e+00       329     67    40         374            8
1.157934e+00       329     67    40         374            8
1.159865e+00       329     67    40         374            8
1.161799e+00       329     67    40         374            8
1.163737e+00       329     67    40         374            8
1.165677e+00       329     67    40         374            8
1.167621e+00       329     67    40         374            8
1.169569e+00       329     67    40         374            8
1.171519e+00       329     67    40         374            8
1.173473e+00       329     67    40         374            8
1.175430e+00       329     67    40         374            8
1.177390e+00       329     67    40         374            8
1.179354e+00       329     67    40         374            8
1.181321e+00       329     67    40         374            8
1.183291e+00       329     67    40         374            8
1.185264e+00       329     67    40         374            8
1.187241e+00       329     67    40         374            8
1.189221e+00       329     67    40         374            8
1.191204e+00       329     67    40         374            8
1.193191e+00       329     67    40         374            8
1.195181e+00       329     67    40         374            8
1.197174e+00       329     67    40         374            8
1.199170e+00       329     67    40         374            8
1.201170e+00       329     67    40         374            8
1.203173e+00       329     67    40         374            8
1.205180e+00       329     67    40         374            8
1.207190e+00       329     67    40         374            8
1.209203e+00       329     67    40         374            8
1.211220e+00       329     67    40         374            8
1.213240e+00       329     67    40         374            8
1.215263e+00       329     67    40         374            8
1.217290e+00       329     67    40         374            8
1.219320e+00       329     67    40         374            8
1.221353e+00       329     67    40         374            8
1.223390e+00       329     67    40         374            8
1.225430e+00       329     67    40         374            8
1.227474e+00       329     67    40         374            8
1.229521e+00       329     67    40         374            8
1.231572e+00       329     67    40         374            8
1.233626e+00       329     67    40         374            8
1.235683e+00       329     67    40         374            8
1.237744e+00       329     67    40         374            8
1.239808e+00       329     67    40         374            8
1.241876e+00       329     67    40         374            8
1.243947e+00       329     67    40         374            8
1.246021e+00       329     67    40         374            8
1.248099e+00       329     67    40         374            8
1.250181e+00       329     67    40         374            8
1.252266e+00       329     67    40         374            8
1.254354e+00       329     67    40         374            8
1.256446e+00       329     67    40         374            8
1.258541e+00       329     67    40         374            8
1.260640e+00       329     67    40         374            8
1.262743e+00       329     67    40         374            8
1.264849e+00       329     67    40         374            8
1.266958e+00       329     67    40         374            8
1.269071e+00       329     67    40         374            8
1.271187e+00       329     67    40         374            8
1.273307e+00       329     67    40         374            8
1.275431e+00       329     67    40         374            8
1.277558e+00       329     67    40         374            8
1.279689e+00       329     67    40         374            8
1.281823e+00       329     67    40         374            8
1.283960e+00       329     67    40         374            8
1.286102e+00       329     67    40         374            8
1.288247e+00       329     67    40         374            8
1.290395e+00       329     67    40         374            8
1.292547e+00       329     67    40         374            8
1.294703e+00       329     67    40         374            8
1.296862e+00       329     67    40         374            8
1.299025e+00       329     67    40         374            8
1.301191e+00       329     67    40         374            8
1.303361e+00       329     67    40         374            8
1.305535e+00       329     67    40         374            8
1.307712e+00       329     67    40         374            8
1.309893e+00       329     67    40         374            8
1.312077e+00       329     67    40         374            8
1.314266e+00       329     67    40         374            8
1.316457e+00       329     67    40         374            8
1.318653e+00       329     67    40         374            8
1.320852e+00       329     67    40         374            8
1.323055e+00       329     67    40         374            8
1.325261e+00       329     67    40         374            8
1.327471e+00       329     67    40         374            8
1.329685e+00       329     67    40         374            8
1.331903e+00       329     67    40         374            8
1.334124e+00       329     67    40         374            8
1.336349e+00       329     67    40         374            8
1.338578e+00       329     67    40         374            8
1.340810e+00       329     67    40         374            8
1.343046e+00       329     67    40         374            8
1.345286e+00       329     67    40         374            8
1.347530e+00       329     67    40         374            8
1.349777e+00       329     67    40         374            8
1.352028e+00       329     67    40         374            8
1.354283e+00       329     67    40         374            8
1.356541e+00       329     67    40         374            8
1.358804e+00       329     67    40         374            8
1.361070e+00       329     67    40         374            8
1.363340e+00       329     67    40         374            8
1.365613e+00       329     67    40         374            8
1.367891e+00       329     67    40         374            8
1.370172e+00       329     67    40         374            8
1.372457e+00       329     67    40         374            8
1.374746e+00       329     67    40         374            8
1.377039e+00       329     67    40         374            8
1.379335e+00       329     67    40         374            8
1.381635e+00       329     67    40         374            8
1.383940e+00       329     67    40         374            8
1.386248e+00       329     67    40         374            8
1.388559e+00       329     67    40         374            8
1.390875e+00       329     67    40         374            8
1.393195e+00       329     67    40         374            8
1.395518e+00       329     67    40         374            8
1.397846e+00       329     67    40         374            8
1.400177e+00       329     67    40         374            8
1.402512e+00       329     67    40         374            8
1.404851e+00       329     67    40         374            8
1.407194e+00       329     67    40         374            8
1.409541e+00       329     67    40         374            8
1.411891e+00       329     67    40         374            8
1.414246e+00       329     67    40         374            8
1.416605e+00       329     67    40         374            8
1.418967e+00       329     67    40         374            8
1.421333e+00       329     67    40         374            8
1.423704e+00       329     67    40         374            8
1.426078e+00       329     67    40         374            8
1.428456e+00       329     67    40         374            8
1.430839e+00       329     67    40         374            8
1.433225e+00       329     67    40         374            8
1.435615e+00       329     67    40         374            8
1.438009e+00       329     67    40         374            8
1.440408e+00       329     67    40         374            8
1.442810e+00       329     67    40         374            8
1.445216e+00       329     67    40         374            8
1.447626e+00       329     67    40         374            8
1.450040e+00       329     67    40         374            8
1.452459e+00       329     67    40         374            8
1.454881e+00       329     67    40         374            8
1.457307e+00       329     67    40         374            8
1.459738e+00       329     67    40         374            8
1.462172e+00       329     67    40         374            8
1.464611e+00       329     67    40         374            8
1.467053e+00       329     67    40         374            8
1.469500e+00       329     67    40         374            8
1.471951e+00       329     67    40         374            8
1.474405e+00       329     67    40         374            8
1.476864e+00       329     67    40         374            8
1.479327e+00       329     67    40         374            8
1.481794e+00       329     67    40         374            8
1.484266e+00       329     67    40         374            8
1.486741e+00       329     67    40         374            8
1.489220e+00       329     67    40         374            8
1.491704e+00       329     67    40         374            8
1.494192e+00       329     67    40         374            8
1.496684e+00       329     67    40         374            8
1.499180e+00       329     67    40         374            8
1.501680e+00       329     67    40         374            8
1.504184e+00       329     67    40         374            8
1.506693e+00       329     67    40         374            8
1.509205e+00       329     67    40         374            8
1.511722e+00       329     67    40         374            8
1.514244e+00       329     67    40         374            8
1.516769e+00       329     67    40         374            8
1.519298e+00       329     67    40         374            8
1.521832e+00       329     67    40         374            8
1.524370e+00       329     67    40         374            8
1.526912e+00       329     67    40         374            8
1.529459e+00       329     67    40         374            8
1.532010e+00       329     67    40         374            8
1.534564e+00       329     67    40         374            8
1.537124e+00       329     67    40         374            8
1.539687e+00       329     67    40         374            8
1.542255e+00       329     67    40         374            8
1.544827e+00       329     67    40         374            8
1.547403e+00       329     67    40         374            8
1.549984e+00       329     67    40         374            8
1.552569e+00       329     67    40         374            8
1.555158e+00       329     67    40         374            8
1.557752e+00       329     67    40         374            8
1.560350e+00       329     67    40         374            8
1.562952e+00       329     67    40         374            8
1.565558e+00       329     67    40         374            8
1.568169e+00       329     67    40         374            8
1.570785e+00       329     67    40         374            8
1.573404e+00       329     67    40         374            8
1.576028e+00       329     67    40         374            8
1.578657e+00       329     67    40         374            8
1.581289e+00       329     67    40         374            8
1.583926e+00       329     67    40         374            8
1.586568e+00       329     67    40         374            8
1.589214e+00       329     67    40         374            8
1.591864e+00       329     67    40         374            8
1.594519e+00       329     67    40         374            8
1.597178e+00       329     67    40         374            8
1.599842e+00       329     67    40         374            8
1.602510e+00       329     67    40         374            8
1.605183e+00       329     67    40         374            8
1.607860e+00       329     67    40         374            8
1.610541e+00       329     67    40         374            8
1.613227e+00       329     67    40         374            8
1.615917e+00       329     67    40         374            8
1.618612e+00       329     67    40         374            8
1.621312e+00       329     67    40         374            8
1.624016e+00       329     67    40         374            8
1.626724e+00       329     67    40         374            8
1.629437e+00       329     67    40         374            8
1.632154e+00       329     67    40         374            8
1.634876e+00       329     67    40         374            8
1.637603e+00       329     67    40         374            8
1.640334e+00       329     67    40         374            8
1.643069e+00       329     67    40         374            8
1.645810e+00       329     67    40         374            8
1.648554e+00       329     67    40         374            8
1.651304e+00       329     67    40         374            8
1.654058e+00       329     67    40         374            8
1.656816e+00       329     67    40         374            8
1.659579e+00       329     67    40         374            8
1.662347e+00       329     67    40         374            8
1.665119e+00       329     67    40         374            8
1.667896e+00       329     67    40         374            8
1.670678e+00       329     67    40         374            8
1.673464e+00       329     67    40         374            8
1.676255e+00       329     67    40         374            8
1.679050e+00       329     67    40         374            8
1.681851e+00       329     67    40         374            8
1.684655e+00       329     67    40         374            8
1.687465e+00       329     67    40         374            8
1.690279e+00       329     67    40         374            8
1.693098e+00       329     67    40         374            8
1.695922e+00       329     67    40         374            8
1.698750e+00       329     67    40         374            8
1.701583e+00       329     67    40         374            8
1.704421e+00       329     67    40         374            8
1.707263e+00       329     67    40         374            8
1.710111e+00       329     67    40         374            8
1.712963e+00       329     67    40         374            8
1.715819e+00       329     67    40         374            8
1.718681e+00       329     67    40         374            8
1.721547e+00       329     67    40         374            8
1.724418e+00       329     67    40         374            8
1.727294e+00       329     67    40         374            8
1.730175e+00       329     67    40         374            8
1.733060e+00       329     67    40         374            8
1.735950e+00       329     67    40         374            8
1.738845e+00       329     67    40         374            8
1.741745e+00       329     67    40         374            8
1.744650e+00       329     67    40         374            8
1.747560e+00       329     67    40         374            8
1.750474e+00       329     67    40         374            8
1.753393e+00       329     67    40         374            8
1.756318e+00       329     67    40         374            8
1.759247e+00       329     67    40         374            8
1.762180e+00       329     67    40         374            8
1.765119e+00       329     67    40         374            8
1.768063e+00       329     67    40         374            8
1.771012e+00       329     67    40         374            8
1.773965e+00       329     67    40         374            8
1.776924e+00       329     67    40         374            8
1.779887e+00       329     67    40         374            8
1.782855e+00       329     67    40         374            8
1.785829e+00       329     67    40         374            8
1.788807e+00       329     67    40         374            8
1.791790e+00       329     67    40         374            8
1.794778e+00       329     67    40         374            8
1.797772e+00       329     67    40         374            8
1.800770e+00       329     67    40         374            8
1.803773e+00       329     67    40         374            8
1.806781e+00       329     67    40         374            8
1.809794e+00       329     67    40         374            8
1.812813e+00       329     67    40         374            8
1.815836e+00       329     67    40         374            8
1.818864e+00       329     67    40         374            8
1.821898e+00       329     67    40         374            8
1.824936e+00       329     67    40         374            8
1.827979e+00       329     67    40         374            8
1.831028e+00       329     67    40         374            8
1.834082e+00       329     67    40         374            8
1.837140e+00       329     67    40         374            8
1.840204e+00       329     67    40         374            8
1.843273e+00       329     67    40         374            8
1.846347e+00       329     67    40         374            8
1.849426e+00       329     67    40         374            8
1.852511e+00       329     67    40         374            8
1.855600e+00       329     67    40         374            8
1.858695e+00       329     67    40         374            8
1.861795e+00       329     67    40         374            8
1.864899e+00       329     67    40         374            8
1.868010e+00       329     67    40         374            8
1.871125e+00       329     67    40         374            8
1.874245e+00       329     67    40         374            8
1.877371e+00       329     67    40         374            8
1.880502e+00       329     67    40         374            8
1.883638e+00       329     67    40         374            8
1.886780e+00       329     67    40         374            8
1.889926e+00       329     67    40         374            8
1.893078e+00       329     67    40         374            8
1.896235e+00       329     67    40         374            8
1.899398e+00       329     67    40         374            8
1.902565e+00       329     67    40         374            8
1.905738e+00       329     67    40         374            8
1.908916e+00       329     67    40         374            8
1.912100e+00       329     67    40         374            8
1.915289e+00       329     67    40         374            8
1.918483e+00       329     67    40         374            8
1.921682e+00       329     67    40         374            8
1.924887e+00       329     67    40         374            8
1.928097e+00       329     67    40         374            8
1.931313e+00       329     67    40         374            8
1.934534e+00       329     67    40         374            8
1.937760e+00       329     67    40         374            8
1.940992e+00       329     67    40         374            8
1.944229e+00       329     67    40         374            8
1.947471e+00       329     67    40         374            8
1.950719e+00       329     67    40         374            8
1.953972e+00       329     67    40         374            8
1.957231e+00       329     67    40         374            8
1.960495e+00       329     67    40         374            8
1.963765e+00       329     67    40         374            8
1.967040e+00       329     67    40         374            8
1.970320e+00       329     67    40         374            8
1.973606e+00       329     67    40         374            8
1.976897e+00       329     67    40         374            8
1.980194e+00       329     67    40         374            8
1.983497e+00       329     67    40         374            8
1.986805e+00       329     67    40         374            8
1.990118e+00       329     67    40         374            8
1.993437e+00       329     67    40         374            8
1.996762e+00       329     67    40         374            8
2.000092e+00       329     83    40         374            9
2.003427e+00       329     83    40         374            9
2.006768e+00       329     83    40         374            9
2.010115e+00       329     83    40         374            9
2.013467e+00       329     83    40         374            9
2.016825e+00       329     83    40         374            9
2.020189e+00       329     83    40         374            9
2.023558e+00       329     83    40         374            9
2.026933e+00       329     83    40         374            9
2.030313e+00       329     83    40         374            9
2.033699e+00       329     83    40         374            9
2.037091e+00       329     83    40         374            9
2.040488e+00       329     83    40         374            9
2.043891e+00       329     83    40         374            9
2.047299e+00       329     83    40         374            9
2.050714e+00       329     83    40         374            9
2.054134e+00       329     83    40         374            9
2.057560e+00       329     83    40         374            9
2.060991e+00       329     83    40         374            9
2.064428e+00       329     83    40         374            9
2.067871e+00       329     83    40         374            9
2.071320e+00       329     83    40         374            9
2.074774e+00       329     83    40         374            9
2.078234e+00       329     83    40         374            9
2.081700e+00       329     83    40         374            9
2.085172e+00       329     83    40         374            9
2.088649e+00       329     83    40         374            9
2.092132e+00       329     83    40         374            9
2.095622e+00       329     83    40         374            9
2.099116e+00       329     83    40         374            9
2.102617e+00       329     83    40         374            9
2.106124e+00       329     83    40         374            9
2.109636e+00       329     83    40         374            9
2.113154e+00       329     83    40         374            9
2.116679e+00       329     83    40         374            9
2.120209e+00       329     83    40         374            9
2.123745e+00       329     83    40         374            9
2.127286e+00       329     83    40         374            9
2.130834e+00       329     83    40         374            9
2.134388e+00       329     83    40         374            9
2.137947e+00       329     83    40         374            9
2.141513e+00       329     83    40         374            9
2.145084e+00       329     83    40         374            9
2.148662e+00       329     83    40         374            9
2.152245e+00       329     83    40         374            9
2.155834e+00       329     83    40         374            9
2.159430e+00       329     83    40         374            9
2.163031e+00       329     83    40         374            9
2.166638e+00       329     83    40         374            9
2.170252e+00       329     83    40         374            9
2.173871e+00       329     83    40         374            9
2.177496e+00       329     83    40         374            9
2.181128e+00       329     83    40         374            9
2.184765e+00       329     83    40         374            9
2.188409e+00       329     83    40         374            9
2.192059e+00       329     83    40         374            9
2.195714e+00       329     83    40         374            9
2.199376e+00       329     83    40         374            9
2.203044e+00       329     83    40         374            9
2.206718e+00       329     83    40         374            9
2.210398e+00       329     83    40         374            9
2.214085e+00       329     83    40         374            9
2.217777e+00       329     83    40         374            9
2.221476e+00       329     83    40         374            9
2.225181e+00       329     83    40         374            9
2.228892e+00       329     83    40         374            9
2.232609e+00       329     83    40         374            9
2.236332e+00       329     83    40         374            9
2.240062e+00       329     83    40         374            9
2.243797e+00       329     83    40         374            9
2.247539e+00       329     83    40         374            9
2.251288e+00       329     83    40         374            9
2.255042e+00       329     83    40         374            9
2.258803e+00       329     83    40         374            9
2.262570e+00       329     83    40         374            9
2.266343e+00       329     83    40         374            9
2.270123e+00       329     83    40         374            9
2.273909e+00       329     83    40         374            9
2.277701e+00       329     83    40         374            9
2.281500e+00       329     83    40         374            9
2.285305e+00       329     83    40         374            9
2.289116e+00       329     83    40         374            9
2.292933e+00       329     83    40         374            9
2.296757e+00       329     83    40         374            9
2.300588e+00       329     83    40         374            9
2.304425e+00       329     83    40         374            9
2.308268e+00       329     83    40         374            9
2.312117e+00       329     83    40         374            9
2.315973e+00       329     83    40         374            9
2.319836e+00       329     83    40         374            9
2.323704e+00       329     83    40         374            9
2.327580e+00       329     83    40         374            9
2.331461e+00       329     83    40         374            9
2.335350e+00       329     83    40         374            9
2.339244e+00       329     83    40         374            9
2.343146e+00       329     83    40         374            9
2.347053e+00       329     83    40         374            9
2.350967e+00       329     83    40         374            9
2.354888e+00       329     83    40         374            9
2.358815e+00       329     83    40         374            9
2.362749e+00       329     83    40         374            9
2.366690e+00       329     83    40         374            9
2.370637e+00       329     83    40         374            9
2.374590e+00       329     83    40         374            9
2.378550e+00       329     83    40         374            9
2.382517e+00       329     83    40         374            9
2.386491e+00       329     83    40         374            9
2.390471e+00       329     83    40         374            9
2.394457e+00       329     83    40         374            9
2.398450e+00       329     83    40         374            9
2.402450e+00       329     83    40         374            9
2.406457e+00       329     83    40         374            9
2.410470e+00       329     83    40         374            9
2.414490e+00       329     83    40         374            9
2.418517e+00       329     83    40         374            9
2.422550e+00       329     83    40         374            9
2.426590e+00       329     83    40         374            9
2.430637e+00       329     83    40         374            9
2.434691e+00       329     83    40         374            9
2.438751e+00       329     83    40         374            9
2.442819e+00       329     83    40         374            9
2.446892e+00       329     83    40         374            9
2.450973e+00       329     83    40         374            9
2.455061e+00       329     83    40         374            9
2.459155e+00       329     83    40         374            9
2.463256e+00       329     83    40         374            9
2.467364e+00       329     83    40         374            9
2.471479e+00       329     83    40         374            9
2.475601e+00       329     83    40         374            9
2.479729e+00       329     83    40         374            9
2.483865e+00       329     83    40         374            9
2.488007e+00       329     83    40         374            9
2.492157e+00       329     83    40         374            9
2.496313e+00       329     83    40         374            9
2.500476e+00       329     83    40         374            9
2.504646e+00       329     83    40         374            9
2.508823e+00       329     83    40         374            9
2.513007e+00       329     83    40         374            9
2.517198e+00       329     83    40         374            9
2.521396e+00       329     83    40         374            9
2.525601e+00       329     83    40         374            9
2.529813e+00       329     83    40         374            9
2.534032e+00       329     83    40         374            9
2.538258e+00       329     83    40         374            9
2.542491e+00       329     83    40         374            9
2.546731e+00       329     83    40         374            9
2.550979e+00       329     83    40         374            9
2.555233e+00       329     83    40         374            9
2.559494e+00       329     83    40         374            9
2.563763e+00       329     83    40         374            9
2.568038e+00       329     83    40         374            9
2.572321e+00       329     83    40         374            9
2.576611e+00       329     83    40         374            9
2.580908e+00       329     83    40         374            9
2.585212e+00       329     83    40         374            9
2.589524e+00       329     83    40         374            9
2.593842e+00       329     83    40         374            9
2.598168e+00       329     83    40         374            9
2.602501e+00       329     83    40         374            9
2.606842e+00       329     83    40         374            9
2.611189e+00       329     83    40         374            9
2.615544e+00       329     83    40         374            9
2.619906e+00       329     83    40         374            9
2.624275e+00       329     83    40         374            9
2.628652e+00       329     83    40         374            9
2.633035e+00       329     83    40         374            9
2.637427e+00       329     83    40         374            9
2.641825e+00       329     83    40         374            9
2.646231e+00       329     83    40         374            9
2.650644e+00       329     83    40         374            9
2.655065e+00       329     83    40         374            9
2.659492e+00       329     83    40         374            9
2.663928e+00       329     83    40         374            9
2.668370e+00       329     83    40         374            9
2.672820e+00       329     83    40         374            9
2.677278e+00       329     83    40         374            9
2.681743e+00       329     83    40         374            9
2.686215e+00       329     83    40         374            9
2.690695e+00       329     83    40         374            9
2.695183e+00       329     83    40         374            9
2.699677e+00       329     83    40         374            9
2.704180e+00       329     83    40         374            9
2.708689e+00       329     83    40         374            9
2.713207e+00       329     83    40         374            9
2.717732e+00       329     83    40         374            9
2.722264e+00       329     83    40         374            9
2.726804e+00       329     83    40         374            9
2.731352e+00       329     83    40         374            9
2.735907e+00       329     83    40         374            9
2.740469e+00       329     83    40         374            9
2.745040e+00       329     83    40         374            9
2.749618e+00       329     83    40         374            9
2.754203e+00       329     83    40         374            9
2.758796e+00       329     83    40         374            9
2.763397e+00       329     83    40         374            9
2.768006e+00       329     83    40         374            9
2.772622e+00       329     83    40         374            9
2.777246e+00       329     83    40         374            9
2.781878e+00       329     83    40         374            9
2.786517e+00       329     83    40         374            9
2.791164e+00       329     83    40         374            9
2.795819e+00       329     83    40         374            9
2.800482e+00       329     83    40         374            9
2.805152e+00       329     83    40         374            9
2.809830e+00       329     83    40         374            9
2.814516e+00       329     83    40         374            9
2.819210e+00       329     83    40         374            9
2.823912e+00       329     83    40         374            9
2.828621e+00       329     83    40         374            9
2.833339e+00       329     83    40         374            9
2.838064e+00       329     83    40         374            9
2.842797e+00       329     83    40         374            9
2.847538e+00       329     83    40         374            9
2.852287e+00       329     83    40         374            9
2.857044e+00       329     83    40         374            9
2.861809e+00       329     83    40         374            9
2.866581e+00       329     83    40         374            9
2.871362e+00       329     83    40         374            9
2.876150e+00       329     83    40         374            9
2.880947e+00       329     83    40         374            9
2.885752e+00       329     83    40         374            9
2.890564e+00       329     83    40         374            9
2.895385e+00       329     83    40         374            9
2.900214e+00       329     83    40         374            9
2.905050e+00       329     83    40         374            9
2.909895e+00       329     83    40         374            9
2.914748e+00       329     83    40         374            9
2.919609e+00       329     83    40         374            9
2.924478e+00       329     83    40         374            9
2.929355e+00       329     83    40         374            9
2.934241e+00       329     83    40         374            9
2.939134e+00       329     83    40         374            9
2.944036e+00       329     83    40         374            9
2.948946e+00       329     83    40         374            9
2.953864e+00       329     83    40         374            9
2.958790e+00       329     83    40         374            9
2.963724e+00       329     83    40         374            9
2.968667e+00       329     83    40         374            9
2.973618e+00       329     83    40         374            9
2.978577e+00       329     83    40         374            9
2.983544e+00       329     83    40         374            9
2.988520e+00       329     83    40         374            9
2.993504e+00       329     83    40         374            9
2.998497e+00       329     83    40         374            9
3.003497e+00       329    108    40         374            9
3.008506e+00       329    108    40         374            9
3.013523e+00       329    108    40         374            9
3.018549e+00       329    108    40         374            9
3.023583e+00       329    108    40         374            9
3.028626e+00       329    108    40         374            9
3.033677e+00       329    108    40         374            9
3.038736e+00       329    108    40         374            9
3.043804e+00       329    108    40         374            9
3.048880e+00       329    108    40         374            9
3.053965e+00       329    108    40         374            9
3.059058e+00       329    108    40         374            9
3.064159e+00       329    108    40         374            9
3.069270e+00       329    108    40         374            9
3.074388e+00       329    108    40         374            9
3.079515e+00       329    108    40         374            9
3.084651e+00       329    108    40         374            9
3.089796e+00       329    108    40         374            9
3.094948e+00       329    108    40         374            9
3.100110e+00       329    108    40         374            9
3.105280e+00       329    108    40         374            9
3.110459e+00       329    108    40         374            9
3.115646e+00       329    108    40         374            9
3.120842e+00       329    108    40         374            9
3.126047e+00       329    108    40         374            9
3.131260e+00       329    108    40         374            9
3.136482e+00       329    108    40         374            9
3.141713e+00       329    108    40         374            9
3.146953e+00       329    108    40         374            9
3.152201e+00       329    108    40         374            9
3.157458e+00       329    108    40         374            9
3.162724e+00       329    108    40         374            9
3.167998e+00       329    108    40         374            9
3.173281e+00       329    108    40         374            9
3.178574e+00       329    108    40         374            9
3.183875e+00       329    108    40         374            9
3.189184e+00       329    108    40         374            9
3.194503e+00       329    108    40         374            9
3.199831e+00       329    108    40         374            9
3.205167e+00       329    108    40         374            9
3.210512e+00       329    108    40         374            9
3.215866e+00       329    108    40         374            9
3.221230e+00       329    108    40         374            9
3.226602e+00       329    108    40         374            9
