                         Scb2804m       boaos          scip   virt. worst
alan                        1.00=       4.00-       190.00-       190.00-
ball_mk3_10                 1.00=       1.00=         1.00=         1.00=
ball_mk3_20                 1.00=       1.00=         1.00=         1.00=
ball_mk3_30                 1.00=       1.00=         1.00=         1.00=
ball_mk4_05                 1.00=       1.00=      8763.00-      8763.00-
ball_mk4_10                 1.00=       1.00=   5149615.00-   5149615.00-
ball_mk4_15                 1.00=       1.00=   5584481.00-   5584481.00-
batch0812                   1.00=       1.00=      2210.00-      2210.00-
batchdes                    1.00=       1.00=        99.00-        99.00-
batchs101006m               1.00=       1.00=     16875.00-     16875.00-
batchs121208m               1.00=       1.00=     36324.00-     36324.00-
batchs151208m               1.00=       1.00=     40520.00-     40520.00-
batchs201210m               1.00=       1.00=     35402.00-     35402.00-
batch                       1.00=       1.00=      1492.00-      1492.00-
clay0203hfsg                1.00=      11.00-      2053.00-      2053.00-
clay0203h                   1.00=       1.00=      2941.00-      2941.00-
clay0203m                   1.00=       4.00-      1200.00-      1200.00-
clay0204hfsg                1.00=       4.00-     11337.00-     11337.00-
clay0204h                   1.00=       3.00-     11484.00-     11484.00-
clay0204m                   1.00=       7.00-      3523.00-      3523.00-
clay0205hfsg                1.00=       3.00-    101394.00-    101394.00-
clay0205h                   1.00=       1.00=     96337.00-     96337.00-
clay0205m                   1.00=       7.00-     31679.00-     31679.00-
clay0303hfsg                1.00=      11.00-      2553.00-      2553.00-
clay0303h                   1.00=       2.00-      5044.00-      5044.00-
clay0303m                   1.00=       6.00-       964.00-       964.00-
clay0304h                   1.00=       4.00-     10491.00-     10491.00-
clay0304m                   1.00=       8.00-      3999.00-      3999.00-
clay0305hfsg                1.00=       7.00-    116479.00-    116479.00-
clay0305m                   1.00=       3.00-     54646.00-     54646.00-
color_lab2_4x0              1.00=  678606.00-     55363.00-    678606.00-
cvxnonsep_normcon20r        1.00=      64.00-      1537.00-      1537.00-
cvxnonsep_normcon20         1.00=      23.00-      8299.00-      8299.00-
cvxnonsep_normcon30r        1.00=      81.00-      3161.00-      3161.00-
cvxnonsep_normcon40r        1.00=      67.00-      3880.00-      3880.00-
cvxnonsep_nsig20r           1.00=      44.00-       640.00-       640.00-
cvxnonsep_nsig20            1.00=      37.00-   1316178.00-   1316178.00-
cvxnonsep_nsig30            1.00=      59.00-   5976505.00-   5976505.00-
cvxnonsep_nsig40r           1.00=      83.00-      3955.00-      3955.00-
cvxnonsep_nsig40            1.00=       1.00=   1897777.00-   1897777.00-
cvxnonsep_pcon20r           1.00=      26.00-      1195.00-      1195.00-
cvxnonsep_pcon20            1.00=      11.00-      5999.00-      5999.00-
cvxnonsep_pcon30r           1.00=      38.00-      5437.00-      5437.00-
cvxnonsep_pcon30            1.00=      24.00-     37962.00-     37962.00-
cvxnonsep_pcon40r           1.00=      38.00-      9383.00-      9383.00-
cvxnonsep_pcon40            1.00=      26.00-    162898.00-    162898.00-
cvxnonsep_psig20r           1.00=      50.00-       676.00-       676.00-
cvxnonsep_psig20            1.00=      66.00-     24326.00-     24326.00-
cvxnonsep_psig30r           1.00=      62.00-      1518.00-      1518.00-
cvxnonsep_psig30            1.00=      64.00-   6551675.00-   6551675.00-
cvxnonsep_psig40r           1.00=      29.00-      2106.00-      2106.00-
cvxnonsep_psig40            1.00=       1.00=   7314962.00-   7314962.00-
du-opt5                     1.00=       3.00-      1602.00-      1602.00-
du-opt                      1.00=      18.00-     14075.00-     14075.00-
enpro48pb                   1.00=       1.00=     11332.00-     11332.00-
enpro56pb                   1.00=       1.00=      6801.00-      6801.00-
ex1223a                     1.00=       1.00=        32.00-        32.00-
ex1223b                     1.00=       5.00-       117.00-       117.00-
ex1223                      1.00=       3.00-       117.00-       117.00-
ex4                         1.00=       1.00=      1820.00-      1820.00-
fac1                        1.00=       1.00=       200.00-       200.00-
fac2                        1.00=       1.00=       761.00-       761.00-
fac3                        1.00=       1.00=      1014.00-      1014.00-
flay02h                     1.00=       3.00-       606.00-       606.00-
flay02m                     1.00=       2.00-       216.00-       216.00-
flay03h                     1.00=       6.00-      3470.00-      3470.00-
flay03m                     1.00=       8.00-      2154.00-      2154.00-
flay04h                     1.00=      20.00-     51458.00-     51458.00-
flay04m                     1.00=      14.00-     34541.00-     34541.00-
flay05h                     1.00=       1.00=   2478343.00-   2478343.00-
flay05m                     1.00=       1.00=   1265192.00-   1265192.00-
flay06h                     1.00=       1.00=   7233923.00-   7233923.00-
flay06m                     1.00=       1.00=  13572207.00-  13572207.00-
fo7_2                       1.00=       1.00=    519144.00-    519144.00-
fo7_ar25_1                  1.00=       1.00=    335309.00-    335309.00-
fo7_ar2_1                   1.00=       1.00=    465313.00-    465313.00-
fo7_ar3_1                   1.00=       1.00=    513546.00-    513546.00-
fo7_ar4_1                   1.00=       1.00=    444302.00-    444302.00-
fo7_ar5_1                   1.00=       1.00=    195704.00-    195704.00-
fo7                         1.00=       1.00=    862634.00-    862634.00-
fo8_ar25_1                  1.00=       1.00=   2430164.00-   2430164.00-
fo8_ar2_1                   1.00=       1.00=   3253680.00-   3253680.00-
fo8_ar3_1                   1.00=       1.00=    720973.00-    720973.00-
fo8_ar4_1                   1.00=       1.00=    395960.00-    395960.00-
fo8_ar5_1                   1.00=       1.00=   1054566.00-   1054566.00-
fo8                         1.00=       1.00=   1721056.00-   1721056.00-
fo9_ar25_1                  1.00=       1.00=   8892489.00-   8892489.00-
fo9_ar2_1                   1.00=       1.00=   9058084.00-   9058084.00-
fo9_ar3_1                   1.00=       1.00=   2584796.00-   2584796.00-
fo9_ar4_1                   1.00=       1.00=   1904184.00-   1904184.00-
fo9_ar5_1                   1.00=       1.00=  10822293.00-  10822293.00-
fo9                         1.00=       1.00=   3769146.00-   3769146.00-
gbd                         1.00=       1.00=         1.00=         1.00=
hybriddynamic_fixed         1.00=       1.00=         1.00=         1.00=
ibs2                        1.00=       1.00=   1337826.00-   1337826.00-
jit1                        1.00=       3.00-       361.00-       361.00-
m3                          1.00=       1.00=       438.00-       438.00-
m6                          1.00=       1.00=      7821.00-      7821.00-
m7_ar25_1                   1.00=       7.00-      9579.00-      9579.00-
m7_ar2_1                    1.00=       2.00-     84440.00-     84440.00-
m7_ar3_1                    1.00=       3.00-     72074.00-     72074.00-
m7_ar4_1                    1.00=       4.00-     18283.00-     18283.00-
m7_ar5_1                    1.00=       4.00-     50860.00-     50860.00-
m7                          1.00=       3.00-     43667.00-     43667.00-
meanvar-orl400_05_e_8       1.00=     142.00-    105522.00-    105522.00-
meanvarx                    1.00=       1.00=        36.00-        36.00-
netmod_dol2                 1.00=       1.00=     31463.00-     31463.00-
no7_ar25_1                  1.00=       1.00=    690841.00-    690841.00-
no7_ar2_1                   1.00=       1.00=    466686.00-    466686.00-
no7_ar3_1                   1.00=       1.00=   1573229.00-   1573229.00-
no7_ar4_1                   1.00=       1.00=   1662988.00-   1662988.00-
no7_ar5_1                   1.00=       1.00=   1096866.00-   1096866.00-
nvs03                       1.00=       1.00=        25.00-        25.00-
nvs10                       1.00=       1.00=        13.00-        13.00-
nvs11                       1.00=       4.00-       128.00-       128.00-
nvs12                       1.00=       6.00-       186.00-       186.00-
nvs15                       1.00=       2.00-        74.00-        74.00-
o7_2                        1.00=       1.00=  10347537.00-  10347537.00-
o7_ar25_1                   1.00=       1.00=   7281032.00-   7281032.00-
o7_ar2_1                    1.00=       1.00=   2850911.00-   2850911.00-
o7_ar3_1                    1.00=       1.00=   8104067.00-   8104067.00-
o7_ar4_1                    1.00=       1.00=  11434889.00-  11434889.00-
o7_ar5_1                    1.00=       1.00=  10387630.00-  10387630.00-
o7                          1.00=       1.00=  10869699.00-  10869699.00-
o8_ar4_1                    1.00=       1.00=   9936748.00-   9936748.00-
o9_ar4_1                    1.00=       1.00=   9782798.00-   9782798.00-
portfol_buyin               1.00=       2.00-       332.00-       332.00-
portfol_card                1.00=       1.00=       376.00-       376.00-
ravempb                     1.00=       1.00=      5839.00-      5839.00-
risk2bpb                    1.00=       1.00=       442.00-       442.00-
rsyn0805hfsg                1.00=       1.00=       324.00-       324.00-
rsyn0805h                   1.00=       1.00=       266.00-       266.00-
rsyn0805m02hfsg             1.00=      10.00-      1378.00-      1378.00-
rsyn0805m02h                1.00=      11.00-      1364.00-      1364.00-
rsyn0805m02m                1.00=       8.00-     37058.00-     37058.00-
rsyn0805m03hfsg             1.00=      11.00-      2271.00-      2271.00-
rsyn0805m03h                1.00=      21.00-      2422.00-      2422.00-
rsyn0805m04hfsg             1.00=      10.00-      1889.00-      1889.00-
rsyn0805m04h                1.00=      16.00-      1492.00-      1492.00-
rsyn0805m04m                1.00=       3.00-     22024.00-     22024.00-
rsyn0805m                   1.00=       4.00-      1327.00-      1327.00-
rsyn0810hfsg                1.00=       1.00=       415.00-       415.00-
rsyn0810h                   1.00=       3.00-       333.00-       333.00-
rsyn0810m02hfsg             1.00=      35.00-      2954.00-      2954.00-
rsyn0810m02h                1.00=      19.00-      3289.00-      3289.00-
rsyn0810m02m                1.00=       2.00-     33141.00-     33141.00-
rsyn0810m03hfsg             1.00=      24.00-      5484.00-      5484.00-
rsyn0810m03h                1.00=      55.00-      5916.00-      5916.00-
rsyn0810m04hfsg             1.00=      12.00-      2748.00-      2748.00-
rsyn0810m04h                1.00=      15.00-      2295.00-      2295.00-
rsyn0810m                   1.00=       2.00-      1610.00-      1610.00-
rsyn0815hfsg                1.00=       2.00-       982.00-       982.00-
rsyn0815h                   1.00=       9.00-      1233.00-      1233.00-
rsyn0815m02hfsg             1.00=       8.00-      2109.00-      2109.00-
rsyn0815m02h                1.00=      16.00-      2791.00-      2791.00-
rsyn0815m03hfsg             1.00=      21.00-      7848.00-      7848.00-
rsyn0815m03h                1.00=      19.00-      6356.00-      6356.00-
rsyn0815m04hfsg             1.00=     167.00-      6402.00-      6402.00-
rsyn0815m04h                1.00=      35.00-      7508.00-      7508.00-
rsyn0815m                   1.00=       4.00-      1570.00-      1570.00-
rsyn0820hfsg                1.00=      32.00-      1428.00-      1428.00-
rsyn0820h                   1.00=      10.00-      1284.00-      1284.00-
