Absolute performance profile for Gap
Filter: no fail
          Scb2804m  boaos  scip  virt. best  virt. worst
0.000000       329    139   148         357           40
0.000222       329    242   198         362          113
0.000444       329    248   223         362          133
0.000667       329    253   250         366          156
0.000889       329    270   288         369          195
0.001111       329    273   356         374          250
0.001333       329    273   356         374          250
0.001556       329    273   356         374          250
0.001778       329    273   356         374          250
0.002000       329    273   356         374          250
0.002222       329    273   356         374          250
0.002445       329    273   356         374          250
0.002667       329    273   356         374          250
0.002889       329    273   356         374          250
0.003111       329    273   356         374          250
0.003334       329    273   356         374          250
0.003556       329    273   356         374          250
0.003778       329    273   356         374          250
0.004000       329    273   357         374          250
0.004223       329    273   357         374          250
0.004445       329    273   357         374          250
0.004667       329    273   357         374          250
0.004889       329    273   358         375          250
0.005112       329    273   359         376          250
0.005334       330    273   359         376          251
0.005556       330    273   359         376          251
0.005778       330    273   360         376          251
0.006001       330    273   360         376          251
0.006223       330    273   360         376          251
0.006445       330    273   360         376          251
0.006667       330    273   360         376          251
0.006890       330    273   360         376          251
0.007112       330    273   360         376          251
0.007334       330    273   360         376          251
0.007556       330    273   360         376          251
0.007779       330    273   360         376          251
0.008001       330    273   360         376          251
0.008223       330    273   360         376          251
0.008445       330    273   360         376          251
0.008668       330    273   360         376          251
0.008890       330    273   360         376          251
0.009112       330    273   360         376          251
0.009334       330    273   360         376          251
0.009557       330    273   360         376          251
0.009779       330    273   360         376          251
0.010001       330    273   360         376          251
0.010223       330    273   360         376          251
0.010446       330    273   360         376          251
0.010668       330    273   360         376          251
0.010890       330    273   360         376          251
0.011112       330    273   360         376          251
0.011335       331    273   360         376          251
0.011557       331    273   360         376          251
0.011779       331    273   360         376          251
0.012001       331    273   360         376          251
0.012224       331    273   360         376          251
0.012446       331    273   360         376          251
0.012668       331    273   360         376          251
0.012890       331    273   360         376          251
0.013113       331    273   360         376          251
0.013335       331    273   360         376          251
0.013557       331    273   360         376          251
0.013779       331    273   360         376          251
0.014002       331    273   361         376          252
0.014224       331    273   361         376          252
0.014446       331    273   361         376          252
0.014668       331    273   361         376          252
0.014891       331    273   361         376          252
0.015113       331    273   361         376          252
0.015335       331    273   361         376          252
0.015557       331    273   361         376          252
0.015780       331    273   361         376          252
0.016002       331    273   361         376          252
0.016224       331    273   361         376          252
0.016446       331    273   361         376          252
0.016669       331    273   361         376          252
0.016891       331    273   361         376          252
0.017113       331    273   361         376          252
0.017335       331    273   361         376          252
0.017558       331    273   361         376          252
0.017780       331    273   361         376          252
0.018002       331    273   361         376          252
0.018224       331    273   361         376          252
0.018446       331    273   361         376          252
0.018669       331    273   361         376          252
0.018891       331    273   361         376          252
0.019113       331    273   361         376          252
0.019335       332    273   361         377          252
0.019558       332    273   361         377          252
0.019780       332    273   361         377          252
0.020002       332    273   361         377          252
0.020224       332    273   361         377          252
0.020447       333    273   361         377          253
0.020669       333    273   361         377          253
0.020891       333    273   361         377          253
0.021113       333    273   361         377          253
0.021336       333    273   361         377          253
0.021558       333    273   361         377          253
0.021780       333    273   361         377          253
0.022002       334    273   361         377          253
0.022225       334    273   361         377          253
0.022447       334    273   361         377          253
0.022669       335    273   361         377          254
0.022891       335    273   361         377          254
0.023114       335    273   361         377          254
0.023336       335    273   361         377          254
0.023558       335    273   361         377          254
0.023780       335    273   361         377          254
0.024003       335    273   361         377          254
0.024225       335    273   361         377          254
0.024447       335    273   361         377          254
0.024669       335    273   361         377          254
0.024892       335    273   361         377          254
0.025114       335    273   361         377          254
0.025336       335    273   361         377          254
0.025558       335    273   361         377          254
0.025781       335    273   361         377          254
0.026003       335    273   361         377          254
0.026225       335    273   361         377          254
0.026447       335    273   361         377          254
0.026670       335    273   361         377          254
0.026892       335    273   361         377          254
0.027114       335    273   361         377          254
0.027336       335    273   361         377          254
0.027559       335    273   361         377          254
0.027781       335    273   361         377          254
0.028003       335    273   361         377          254
0.028225       335    273   361         377          254
0.028448       335    273   361         377          254
0.028670       335    273   361         377          254
0.028892       335    273   361         377          254
0.029114       335    273   361         377          254
0.029337       335    273   361         377          254
0.029559       335    273   361         377          254
0.029781       335    273   361         377          254
0.030003       335    273   361         377          254
0.030226       335    273   361         377          254
0.030448       335    273   361         377          254
0.030670       335    273   361         377          254
0.030892       335    273   361         377          254
0.031115       335    273   361         377          254
0.031337       335    273   361         377          254
0.031559       335    273   361         377          254
0.031781       335    273   361         377          254
0.032004       335    273   361         377          254
0.032226       335    273   361         377          254
0.032448       335    273   361         377          254
0.032670       335    273   361         377          254
0.032893       335    273   361         377          254
0.033115       335    273   361         377          254
0.033337       335    273   361         377          254
0.033559       335    273   361         377          254
0.033782       335    273   361         377          254
0.034004       335    273   361         377          254
0.034226       335    273   361         377          254
0.034448       335    273   361         377          254
0.034671       335    273   361         377          254
0.034893       335    273   361         377          254
0.035115       335    273   361         377          254
0.035337       335    273   361         377          254
0.035560       335    273   361         377          254
0.035782       335    273   361         377          254
0.036004       335    273   361         377          254
0.036226       336    273   361         377          254
0.036448       336    273   361         377          254
0.036671       336    273   361         377          254
0.036893       336    273   361         377          254
