                            Scb2804m  Scp2804m  Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref  Scp2804s  Scp2804st1  Scp2804st4  Sgb2804s  virt. best  virt. worst
alan                               1         1          1           1            1              1                1             1            1         1           1           1         1           1            1
ball_mk3_10                        1         1          1        1392           11           1392             1427          1392         1427         1           1           1         1           1         1427
ball_mk3_20                        1         1          1      212046           27         212046           212046        212046       212046         1           1           1         1           1       212046
ball_mk3_30                        1         1          1     3162423          445        3162423          3162423       3162423      3162423         1           1           1         1           1      3162423
ball_mk4_05                   553329       715       7959      340252       340252         690335          1788193       1615900       424640         1           1           1         1           1      1788193
ball_mk4_10                  4666504    175626    1149927     3979046      3967556        8462883         18781581       7304054      4002640         1           1           1         1           1     18781581
ball_mk4_15                  2197805  15360261     531980     8541712      8467834        9482031         11002752      10158468      8967187         1           1           1         1           1     15360261
batch0812                         11         1         18           1            1              1                1             1            1        18          15          22         9           1           22
batchdes                           1         1          1           1            1              1                1             1            1         1           1           1         1           1            1
batchs101006m                    394       634        237         634          742            347              385           584          669       237         160         223       678         160          742
batchs121208m                   5129      4201       1083        4201         2755           5930             3054          4736         3975      1083         820         977      1213         820         5930
batchs151208m                   8743      3913       1985        3913         7171           4061             8662          6067         7744      1985         432         793      1787         432         8743
batchs201210m                      3      7574       1532        7574         7049           5627             5547          5812         9308      1532        2870        2329      1866           3         9308
batch                              4         1          1           1            1              1                1             1            1         1           3           1         1           1            4
clay0203hfsg                     118        31         29          31          190            239              204            23           31        29          50          50       104          23          239
clay0203h                        201         1        114           1          115              1               30             1            1       114          91          72       147           1          201
clay0203m                        228        81        136         293          583            865             1857           279          293         1           1           1         1           1         1857
clay0204hfsg                     111      2263        302        2263         2584           1815             2861          4720         2263       302         252         222       864         111         4720
clay0204h                        750      3545        292        3545        12815          14068            24028         16347         3545       292         529         476       329         292        24028
clay0204m                        407       716        398        3307         4583            676              676          2520         3307         1           1           1         1           1         4583
clay0205hfsg                    3964     33315       2067       33315         9209          39781            48710         34569        33315      2067        6461         501      3598         501        48710
clay0205h                       9380     17486       5164       17486        21441          64880           153116         18730        17486      5164       10566        3351      3951        3351       153116
clay0205m                       1862      5340        848        9376        11782          35340            96293         13982         9376         1           1           1         1           1        96293
clay0303hfsg                     295       564        131         564          207            741             1695           691          295       131         160          57       110          57         1695
clay0303h                        522       230        141         230          147            725             1084           307          302       141         186         117       294         117         1084
clay0303m                        128       213        234        1072         1894           2260             3737          1483         1072         1           1           1         1           1         3737
clay0304h                        641      2861       1160        2861         3554          10918            30874          3556         2861      1128         682        1147      2630         641        30874
clay0304m                        729       928       1819        9319         6180          11832            31644         14948         9319         1           1           1         1           1        31644
clay0305hfsg                    9076     16869       1215       16869        12687          27911            34970         13141        16869      1215        3621         941       351         351        34970
clay0305h                       3107      9735       6275        9735        25822          90907           252895         31335         9735      6275        2116         783      2458         783       252895
clay0305m                       2395      7084       1018       27972         6168          48730            74816         42963        27972         1           1           1         1           1        74816
color_lab2_4x0                    37      1547      90071       85789            1        1267790          1314654        249699        53550         1           1           1         1           1      1314654
color_lab6b_4x20                 299   3096992      87531        9230            1        1484270          1489692             1        11272         1           1           1         1           1      3096992
cvxnonsep_normcon20r               1         1          1           1            1             35               34             1            1         1           1           1         1           1           35
cvxnonsep_normcon20                1       447          1          24           32             34               33            24           24        23         109          18        61           1          447
cvxnonsep_normcon30r               1         4          1           1            1              3                3             1            1         1           1           1         1           1            4
cvxnonsep_normcon30                1        39          1           9            1              9                9             9            9       125         137         132        58           1          137
cvxnonsep_normcon40r               1         1        209           1            1             47               47             1            1         1           1           1         1           1          209
cvxnonsep_normcon40                1       167          1           1            1             30               30             1            1         1           1           1        18           1          167
cvxnonsep_nsig20r                  1         1         31           1           15              1                1             1            1        31          49          39       410           1          410
cvxnonsep_nsig20                   1        12         47          12           81             14                3            12           12        47          49          46       551           1          551
cvxnonsep_nsig30                   1       341         27         341          480            195              211           366          341        27          74          71       937           1          937
cvxnonsep_nsig40r                  1      1975        237        1975         1645           1314             1637          1149         1975       237          78          88       494           1         1975
cvxnonsep_nsig40                   1      1877        133        1877         1352           2618             3165          1912         1891       133         113         155      2122           1         3165
cvxnonsep_pcon20r                 15         1          1           1            1              1                1             1            1         1           1           1        32           1           32
cvxnonsep_pcon20                   4         1          1           1            1              1                1             1          930         1           1           1         1           1          930
cvxnonsep_pcon30r                 31         1          1           1            1              1                1             1            1         1           1           1        50           1           50
cvxnonsep_pcon30                   6         1          1           1            1              1                1             1        18434         1           1           1         1           1        18434
cvxnonsep_pcon40r                 16         1          1           1            1              1                1             1            1         1           1           1        66           1           66
cvxnonsep_pcon40                   1         1          1           1            1              1                1             1        24343         1           1           1         1           1        24343
cvxnonsep_psig20r                  1         1          1           1            1              1                1             1            1         1           1           1         5           1            5
cvxnonsep_psig20                   1         1         53           1            1              1                1             1          232        53          37         114       329           1          329
cvxnonsep_psig30r                  3         1          1           1            1              1                1             1            1         1           1           1      1236           1         1236
cvxnonsep_psig30                   1         1          1           1            1              1                1             1        12561         1           1           1      2247           1        12561
cvxnonsep_psig40r                  1         1         80           1            1              1                1             1            1        80         120         196      3999           1         3999
cvxnonsep_psig40                   1         1          1           1            1              1                1             1         6138         1           1           1       700           1         6138
du-opt5                          514        89        123         647            1            479              930           654          647         1           1           1         1           1          930
du-opt                          1067        93        847           1            1            186              622             1            1         1           1           1         1           1         1067
enpro48pb                         48       198         20         198          282            215              219           198          118        20          10          20       152          10          282
enpro56pb                        190      1117        289        1117          191           2239             2239          1117          323       311          50         171         1           1         2239
ex1223a                            1         1          1           1            1              1                1             1            1         1           1           1         1           1            1
ex1223b                            1         1          1           1            1              1                1             1            1         1           1           1        11           1           11
ex1223                             1         1          1           1            1              1                1             1            1         1           1           1         8           1            8
ex4                              107       314         71           1            1              1               60             1            1         1           1           1         1           1          314
fac1                               1         1          2           1            1              1                1             1            1         2           2           2         1           1            2
fac2                               1         1         14           1            1              1                1             1            1        14          19          19         1           1           19
fac3                               2        25          4           1            1              1                1             1            1         1           1           1         1           1           25
flay02h                            2         1          1           1            1              1                1             1            1         1           1           1         7           1            7
flay02m                            1         1          1           1            1              1                1             1            1         1           1           1         6           1            6
flay03h                          203       209         31         209           97              1              107           101          209        31          86          46       151           1          209
flay03m                          126       471         66         471          270            378             1375            88          471        66          49          60         1           1         1375
flay04h                         6155     10718       1745       10718        10633          17257            29911         12620        10718      1017        1614        1196      1933        1017        29911
flay04m                         4562     19825        728       19825        12401          23284            38106         29600        19825       783        1014        1299      1853         728        38106
flay05h                       138072    492131      56043      492131       371130         575275          1733500       1208396       492131     56043       62097       53456     56586       53456      1733500
flay05m                       146519    264846      47800      264846       216194         413873          1484977        769413       264846     47800       55637       56927     27562       27562      1484977
flay06h                      1346177   2471517     356207     2476556      3646607        3305486          3838365       5038606      2477233    382986      169900      410245   1755913      169900      5038606
flay06m                      5971568   2551530     898006     2551530      3001014       14549299         18688635       7092367      2551530    950978      495300     1091489    742053      495300     18688635
fo7_2                          41341     58984      50905       58984        88332          69959            89981         72797        58984     50905         790         895     16179         790        89981
fo7_ar25_1                    136535     46567      49873       46567        85739          65253           114773         79529        46567     49873       37481       22746     22867       22746       136535
fo7_ar2_1                      65321    113758      30464      113758       113718          67486           121321         65198       113758     30464       33079       46919     27028       27028       121321
fo7_ar3_1                      88742     63536      42905       63536        82826         115102           234138         67036        63536     42905       16063        1073     21749        1073       234138
fo7_ar4_1                     102970    139820      13324      139820        96951          40202           114339        121371       139820     13324       27474       23611     15333       13324       139820
fo7_ar5_1                      29779     76728      21706       76728        68798          41725           123315         33294        76728     21706        7930        8689     10756        7930       123315
fo7                           242887    156909      61200      156909        92872         170480           210140        153354       156909     61200      153170       42796     43935       42796       242887
fo8_ar25_1                    729952    159195     116403      159195       172505         164887           761919        207983       159195    116403      350798      111947    139557      111947       761919
fo8_ar2_1                     681875    182679      61931      182679       158875         224230           462321        224440       182679     61931       68301       79109     72476       61931       681875
fo8_ar3_1                     370401     68613      78297       68613       289728          77947           137361        121007        68613     78297       24667       50084     12466       12466       370401
fo8_ar4_1                      79081    191984     121210      191984       121501          56738            71999        168101       191984    121210      202751       15820    107665       15820       202751
fo8_ar5_1                     373902    212085      77172      212085       328926         122127           267501        222595       212085     77172      148477       93388     85251       77172       373902
fo8                           287226    132610      57573      132610       242624         203102           120925        242156       132610     57573       43843      142485     32867       32867       287226
fo9_ar25_1                    758140   1424940    3925910     1424940      1492079        3792783          6947095       1759077      1424940   3925910     1614452      166234    926652      166234      6947095
fo9_ar2_1                     670372    842623     220356      842623       828658        1350175          4022484        910763       842623    220356      534440      261965    157864      157864      4022484
fo9_ar3_1                     600062    619241     125221      619241       329424         101040           207556        788624       619241    125221      478509      340701    130075      101040       788624
fo9_ar4_1                     442841     96908      73840       96908       129393         109384           205052        220288        96908     73840     1135411       77479    318916       73840      1135411
fo9_ar5_1                     907059    393137     369355      393137       301875         618114           888497        598848       393137    369355      400606      483757    280727      280727       907059
fo9                           813598    593691     274188      593691       497167         649554           719669        540924       593691    398668      514951      799350    299534      274188       813598
gams01                        115071   1155031    2232269     1182236      1344996        1794073          2126817       1310420      1476649   2254498      494100     2198745     90424       90424      2254498
gbd                                1         1          1           1            1              1                1             1            1         1           1           1         1           1            1
hybriddynamic_fixed                1         1          1           1            1              1                1             1            1         1           1           1         1           1            1
ibs2                             497      1471      83553        1203         1266           1421             6353          2344            1     24731       23124       35573       717           1        83553
jit1                               2         1          1           1            1              1                1             1            1         1           1           1         1           1            2
m3                                17         1         19           1            1              1                1             1            1        19          24           8        33           1           33
m6                               992       479        114         479         1076           1534             1587           479          479       114          14          39       763          14         1587
m7_ar25_1                        525      1318          1        1318         2635           3354             3309          2702         1318         1           1           1       125           1         3354
m7_ar2_1                       11860     23799       2011       23799        19022          19615            82357         20829        23799      2011        1864        1599      6485        1599        82357
m7_ar3_1                        7684      8163       3220        8163        12176          12639            50715         12468         8163      3220        4995        2306      5505        2306        50715
m7_ar4_1                        1617      5437        983        5437         1009           1389             1389          3954         5437       983         820        1181      4862         820         5437
m7_ar5_1                       27706     16504       1979       16504         6376           6308             9151         10408        16504      1979        5798        3978      4800        1979        27706
m7                              6137      2505       2958        2505         7614           4905             3697          2505         2505      2958        1187         570      6796         570         7614
meanvar-orl400_05_e_8         272040      2017     237156     1029955            1        3316927          5377784        236318      1029955         1           1           1         1           1      5377784
meanvarx                           1        10          1           1            1              1                1             1            1         1           1           1         1           1           10
no7_ar25_1                    377102    118698      31246      118698       114190         113515           213077        120840       118698     31246       23239       45383     45213       23239       377102
no7_ar2_1                     252998     50314      27522       50314        64934          69452            83148         82166        50314     27522         385       30672     13732         385       252998
no7_ar3_1                    1012413    275757      86099      275757       200852         336657           847517        387149       275757     86099       57777      191537     66233       57777      1012413
no7_ar4_1                     296923    249128      31933      249128       240969         220056           474648        168633       249128     31933      284425      120990     67908       31933       474648
