Absolute performance profile for SolverTime
Filter: no fail
            Scb2804m  Scp2804m  Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref  Scp2804s  Scp2804st1  Scp2804st4  Sgb2804s  virt. best  virt. worst
0.027546           0         1          0           0            0              0                0             0            0         0           0           0         0           1            0
0.128665          39       127        123          85           92             96              100            87           74       157         161         164       151         183           32
0.229784          77       167        185         136          141            145              147           138          129       198         196         201       204         224           60
0.330904         102       190        208         163          174            176              174           164          154       221         221         225       230         246           86
0.432023         108       213        228         192          196            199              185           190          183       245         231         244       239         258           97
0.533142         115       223        245         207          214            219              208           209          195       260         242         256       254         271          102
0.634262         118       236        250         216          225            225              219           220          203       264         246         263       261         284          105
0.735381         124       247        259         226          232            230              228           225          210       274         254         273       269         293          112
0.836500         129       250        266         227          242            232              232           229          213       283         262         281       278         302          117
0.937619         133       255        271         232          249            243              241           237          217       287         269         286       287         307          121
1.038739         138       261        274         238          252            252              250           243          222       291         272         294       291         312          126
1.139858         141       269        278         246          256            258              254           253          230       297         276         299       295         315          129
1.240977         145       277        284         254          257            262              258           257          240       301         280         301       298         317          134
1.342097         147       281        287         262          258            265              260           259          246       304         285         302       302         321          136
1.443216         153       283        289         264          261            266              261           260          248       305         289         307       306         323          142
1.544335         157       283        291         264          264            269              263           262          248       307         291         310       308         324          146
1.645454         161       284        294         267          268            270              264           263          250       309         293         313       312         326          150
1.746574         164       286        296         268          269            271              270           265          251       314         296         317       315         330          152
1.847693         168       289        299         270          272            273              272           267          252       316         299         319       318         332          156
1.948812         170       289        301         270          278            275              278           270          253       317         299         319       321         333          158
2.049932         174       291        302         272          282            280              279           273          255       318         301         322       321         334          160
2.151051         174       293        302         273          286            283              280           273          257       318         301         322       323         336          162
2.252170         177       294        302         274          290            286              282           277          259       320         303         323       323         337          166
2.353289         179       295        304         274          291            287              282           279          259       321         304         325       323         339          168
2.454409         182       297        305         278          292            291              284           281          263       323         305         326       324         339          171
2.555528         183       297        309         279          292            292              286           282          265       326         310         328       326         340          172
2.656647         184       301        311         284          292            294              287           283          271       326         311         329       327         342          173
2.757767         188       306        312         288          293            295              288           286          273       327         312         330       328         342          177
2.858886         190       308        312         289          295            296              290           288          274       328         316         331       329         343          179
2.960005         191       309        312         290          297            298              291           293          275       328         318         332       331         344          179
3.061124         191       309        313         290          298            299              291           294          275       329         319         332       332         344          179
3.162244         193       310        314         291          298            300              292           295          277       330         319         333       332         344          180
3.263363         195       312        317         295          299            303              293           297          280       333         319         334       333         345          182
3.364482         196       315        317         298          301            306              294           299          282       333         319         334       335         346          183
3.465602         196       316        317         298          302            307              297           300          284       333         319         335       336         346          183
3.566721         198       317        317         300          302            308              298           301          285       333         320         335       336         346          184
3.667840         199       319        318         301          302            308              302           301          286       333         320         335       336         346          185
3.768959         200       319        320         301          305            311              304           302          286       334         322         335       336         347          186
3.870079         200       320        321         302          306            313              305           303          288       334         323         336       336         348          186
3.971198         200       320        321         303          308            313              306           303          289       335         323         336       337         349          186
4.072317         200       321        322         303          309            314              306           304          289       336         323         336       337         349          186
4.173437         202       321        323         303          310            314              307           306          289       337         323         336       337         349          188
4.274556         202       323        325         304          311            314              307           306          290       338         323         336       338         349          188
4.375675         204       323        326         305          311            314              309           308          292       339         324         338       338         349          189
4.476794         205       326        326         308          312            314              309           309          293       339         324         339       340         351          190
4.577914         207       327        326         310          313            314              310           309          295       339         325         339       340         352          191
4.679033         209       327        326         310          313            314              311           309          295       341         325         340       340         352          193
4.780152         210       328        327         311          313            314              311           309          296       341         325         341       341         353          194
4.881272         211       328        328         311          313            314              311           310          297       341         327         341       341         353          196
4.982391         213       329        329         313          313            315              312           312          299       341         327         341       341         353          198
5.083510         214       331        329         313          313            315              312           312          300       341         327         342       341         354          199
5.184630         215       332        329         313          313            315              312           312          300       342         327         342       341         354          199
5.285749         215       332        329         314          313            315              314           313          301       342         327         342       341         354          199
5.386868         215       332        329         314          314            316              315           313          301       342         327         342       341         354          199
5.487987         216       332        329         314          314            317              316           313          301       342         327         343       341         354          200
5.589107         219       333        329         314          315            317              316           313          301       342         327         343       341         354          202
5.690226         219       333        329         314          315            317              316           313          301       342         327         344       341         355          202
5.791345         219       333        329         314          317            317              316           313          301       342         327         345       342         355          202
5.892465         220       333        329         315          317            318              317           313          302       342         327         345       343         355          203
5.993584         222       333        329         315          318            318              317           314          302       342         328         345       344         356          204
6.094703         223       333        329         315          318            319              317           315          302       342         328         345       344         356          205
6.195822         223       334        329         315          318            320              317           315          303       342         328         345       344         356          206
6.296942         223       334        330         316          319            320              317           315          303       342         328         345       344         356          206
6.398061         223       335        330         317          319            320              317           317          303       342         328         345       344         356          206
6.499180         225       335        330         317          320            320              317           317          303       342         328         346       344         356          208
6.600300         226       335        330         317          320            320              317           317          303       342         328         346       344         356          209
6.701419         227       335        330         317          320            320              317           317          303       343         328         346       344         356          210
6.802538         228       335        331         317          320            323              317           317          303       343         328         347       344         357          211
6.903657         228       335        331         317          320            324              317           317          304       343         328         347       344         359          211
7.004777         228       335        331         318          320            324              317           317          304       343         328         347       344         359          211
7.105896         228       338        331         320          320            324              317           317          305       344         328         347       345         361          211
7.207015         228       338        332         320          320            325              317           317          305       344         328         347       345         361          211
7.308135         229       338        332         320          320            325              317           317          305       344         329         347       345         361          212
7.409254         230       338        332         320          321            325              318           317          305       344         329         347       347         363          213
7.510373         231       338        332         320          322            326              319           318          305       344         329         347       348         363          214
7.611492         231       338        333         320          322            326              319           319          306       345         329         347       349         364          214
7.712612         231       338        333         321          322            326              319           319          306       345         329         347       349         364          214
7.813731         233       339        333         321          323            326              319           319          306       346         329         347       349         364          216
7.914850         234       339        334         321          323            326              319           319          306       346         329         347       349         364          217
8.015970         235       339        334         321          323            326              319           319          306       346         329         347       349         364          217
8.117089         236       339        334         321          323            326              320           319          306       346         329         347       349         364          218
8.218208         236       339        334         321          323            327              320           320          306       346         330         347       349         364          218
8.319327         237       339        334         322          324            327              320           320          306       346         330         347       349         364          218
8.420447         238       339        334         322          325            327              321           320          306       346         330         347       349         364          219
8.521566         238       339        334         322          325            327              321           320          306       346         330         347       350         365          219
8.622685         238       340        334         324          325            327              321           320          308       346         330         347       350         366          219
8.723805         238       340        334         324          325            327              321           320          308       346         330         348       350         366          219
8.824924         239       341        334         324          326            327              321           321          308       346         330         348       350         366          220
8.926043         239       342        334         325          327            328              321           321          309       348         330         348       350         366          220
9.027162         239       342        335         325          327            328              321           321          309       349         330         348       350         366          220
9.128282         239       342        337         325          327            329              321           321          310       349         330         348       350         366          221
9.229401         239       342        337         325          327            330              321           321          310       350         330         348       350         366          221
9.330520         239       342        338         325          327            330              321           321          310       350         330         348       350         366          221
9.431640         240       342        338         326          328            330              321           321          311       350         330         348       350         366          222
9.532759         240       343        339         326          328            330              322           321          311       350         331         348       350         366          222
9.633878         240       343        339         326          328            330              322           322          311       351         331         348       350         366          222
9.734997         242       343        340         326          328            330              322           322          311       351         331         348       350         366          224
9.836117         243       343        340         326          328            331              322           323          311       351         331         348       350         366          225
9.937236         243       343        340         326          328            331              322           324          311       351         331         349       350         366          225
10.038355        243       343        340         326          328            331              322           324          311       353         332         349       350         366          225
10.139475        243       343        341         327          328            333              323           325          311       353         332         349       350         366          225
10.240594        243       343        341         327          329            333              323           325          311       354         333         349       350         366          225
10.341713        243       343        341         327          329            333              323           325          311       354         333         349       350         366          225
10.442832        244       343        342         327          329            333              324           325          311       354         334         350       350         366          226
10.543952        244       343        342         327          329            333              325           325          312       354         334         350       350         366          227
10.645071        244       343        342         327          329            334              326           325          312       354         334         350       350         366          227
10.746190        245       343        342         328          330            334              326           326          312       354         334         350       350         366          228
10.847310        245       343        342         328          331            334              327           326          313       354         334         350       351         366          229
10.948429        245       343        342         328          331            334              327           327          313       354         334         350       352         367          229
11.049548        245       343        342         329          331            334              327           327          313       354         334         351       352         367          229
11.150667        245       343        342         329          331            334              327           327          313       354         334         351       352         367          229
11.251787        247       343        343         329          332            334              327           327          313       354         335         351       352         367          231
11.352906        247       343        343         329          332            334              327           327          313       354         335         351       352         367          231
11.454025        248       343        343         329          332            334              328           328          313       354         335         351       352         367          232
11.555145        248       343        343         329          333            334              328           330          314       354         335         351       352         367          232
11.656264        249       343        343         329          333            334              328           331          315       354         335         351       352         367          234
11.757383        250       343        343         329          333            334              329           332          316       354         335         352       352         368          234
11.858502        251       343        343         330          333            334              329           332          317       354         335         352       352         368          235
11.959622        252       344        343         330          334            334              329           332          317       355         335         352       352         368          236
12.060741        252       344        344         330          334            334              329           332          317       355         335         352       352         368          236
12.161860        252       344        344         330          334            334              329           332          317       355         335         352       352         368          236
12.262980        252       344        345         330          334            334              329           332          317       355         336         352       352         368          236
12.364099        252       344        345         330          335            334              329           332          317       356         336         352       352         368          236
12.465218        253       344        346         330          335            334              329           332          317       357         336         352       352         368          236
12.566337        253       344        347         330          335            334              329           332          317       357         336         352       352         368          236
12.667457        253       344        347         331          335            334              329           332          317       357         337         352       352         368          236
12.768576        253       344        347         332          335            334              329           333          318       358         338         352       352         368          236
12.869695        253       344        347         332          335            334              329           334          318       358         338         352       353         368          236
12.970815        253       345        348         332          336            334              329           334          318       358         338         352       353         369          236
13.071934        253       345        348         333          336            334              329           334          319       358         338         353       353         370          236
13.173053        254       345        349         333          336            334              329           334          319       359         338         353       354         370          236
13.274172        254       345        349         333          336            335              329           334          319       359         338         353       355         370          236
13.375292        254       345        349         333          337            335              330           334          319       359         338         353       355         370          236
13.476411        255       346        349         333          337            335              330           334          319       359         338         353       355         370          237
13.577530        255       346        349         333          337            335              330           335          319       359         338         353       356         371          237
13.678650        255       346        349         333          337            335              330           335          319       359         338         354       357         372          237
13.779769        256       347        349         333          337            335              330           335          319       359         338         354       357         372          238
13.880888        257       347        349         333          337            335              332           335          319       359         338         355       357         372          239
13.982007        257       347        349         334          337            335              332           335          319       359         338         355       357         372          239
14.083127        257       348        349         334          337            336              332           335          319       359         338         355       359         372          239
14.184246        258       348        349         335          337            336              332           335          319       359         338         355       359         372          240
14.285365        258       349        349         335          338            336              332           335          319       359         338         355       359         372          240
14.386485        259       349        349         335          338            337              332           335          320       360         338         356       359         372          241
14.487604        260       349        349         335          338            337              332           335          320       360         339         356       360         372          242
14.588723        260       349        349         335          338            337              332           335          320       360         339         356       360         372          242
14.689842        260       349        349         335          338            337              332           335          320       360         339         356       360         372          242
14.790962        261       349        349         335          339            337              332           335          320       361         339         356       360         372          243
14.892081        261       349        350         335          339            337              332           335          320       361         339         356       360         372          243
14.993200        261       349        350         335          339            337              332           335          320       361         339         356       360         372          243
15.094320        263       349        350         335          339            337              332           335          320       361         339         356       360         372          244
15.195439        263       349        350         335          339            337              332           335          320       361         339         357       360         372          244
15.296558        263       349        350         335          339            337              332           335          320       361         339         357       360         372          244
15.397677        263       349        350         335          339            337              332           335          320       361         339         357       360         372          244
15.498797        264       349        350         335          339            337              332           335          320       361         339         357       360         372          245
15.599916        264       349        350         335          339            337              332           335          320       361         339         357       360         372          245
15.701035        264       349        350         335          339            337              332           335          320       362         339         358       360         372          245
15.802155        264       349        350         335          339            337              332           335          320       362         339         358       360         372          245
15.903274        264       349        350         335          339            337              332           335          320       362         339         358       360         372          245
16.004393        264       349        350         335          339            337              332           335          320       362         339         358       360         372          245
16.105512        264       349        350         335          339            337              332           335          320       362         339         358       360         372          245
16.206632        264       350        350         335          339            337              332           335          320       362         340         358       360         372          245
16.307751        264       350        350         335          339            337              332           335          320       362         340         358       360         372          245
16.408870        264       350        350         335          339            337              332           335          320       362         340         358       360         372          245
16.509990        264       350        350         336          339            337              332           335          320       362         340         358       360         372          245
16.611109        264       350        350         336          339            337              332           337          320       362         340         358       360         372          245
16.712228        264       350        350         336          339            337              332           337          320       362         340         358       360         372          245
16.813347        264       350        350         336          339            337              332           337          320       362         340         358       360         372          245
16.914467        264       350        350         336          340            337              332           337          320       362         340         358       360         372          245
17.015586        264       350        350         338          340            337              333           337          322       362         340         358       360         372          245
17.116705        264       352        350         338          340            337              333           337          322       362         340         358       360         372          245
17.217825        264       352        350         338          340            337              333           337          322       362         340         358       360         372          245
17.318944        264       352        350         338          340            337              333           338          322       362         340         358       360         372          245
17.420063        265       352        350         338          340            337              333           338          322       362         340         358       360         372          245
17.521182        265       352        350         338          340            337              333           338          322       362         340         358       360         372          245
17.622302        265       352        350         338          340            337              333           338          322       362         340         358       360         372          245
17.723421        265       352        350         338          340            337              333           339          322       362         340         358       361         373          245
17.824540        265       352        350         338          341            338              333           339          322       362         340         358       361         373          245
17.925660        265       352        350         339          341            338              333           339          323       362         340         358       361         373          245
18.026779        265       353        350         339          341            338              333           339          323       362         340         358       361         373          245
18.127898        266       353        350         340          341            338              333           339          323       362         340         359       361         373          246
18.229017        266       353        350         340          341            338              333           339          324       362         341         359       361         373          246
18.330137        266       354        350         340          342            338              333           340          324       362         341         359       361         374          246
18.431256        266       354        350         340          342            338              333           340          324       362         341         359       361         374          246
18.532375        266       354        350         341          342            338              333           340          325       362         341         359       361         374          246
18.633495        266       355        350         341          342            338              333           340          325       362         341         359       361         374          246
18.734614        266       355        350         342          342            338              334           340          325       362         341         359       361         374          246
18.835733        266       355        350         342          342            338              334           340          325       362         341         359       361         374          246
18.936852        266       355        350         342          342            338              334           342          325       362         341         359       361         374          246
19.037972        266       355        350         343          342            338              334           342          325       362         341         359       361         374          246
19.139091        266       356        350         343          342            338              334           342          325       362         341         359       361         374          246
19.240210        266       356        350         343          342            338              334           342          326       362         341         359       361         374          246
19.341330        266       356        350         343          343            338              334           342          326       362         341         359       361         374          246
19.442449        266       356        350         343          343            338              334           342          326       362         341         359       361         374          246
19.543568        267       356        350         343          343            338              334           342          326       362         341         359       361         374          247
19.644687        268       356        350         343          343            338              334           342          326       362         341         359       361         374          248
19.745807        268       356        350         343          343            338              334           342          326       362         341         359       361         374          248
19.846926        269       356        350         343          343            338              334           342          326       362         341         359       361         374          248
19.948045        269       356        350         343          343            338              334           342          326       362         341         359       361         374          248
20.049165        269       356        350         344          343            338              334           342          326       362         341         360       362         375          248
20.150284        269       356        350         344          343            338              334           342          326       362         341         360       362         375          248
20.251403        269       356        350         344          343            338              334           342          326       362         341         360       362         375          248
20.352522        270       357        350         344          343            338              334           342          326       362         341         360       363         375          248
20.453642        271       357        350         344          343            338              334           342          326       362         341         360       363         375          248
20.554761        271       357        350         344          343            338              334           342          326       362         341         360       363         375          248
20.655880        271       357        350         344          343            338              334           342          327       362         341         360       363         375          248
20.757000        271       357        350         344          343            338              334           342          327       362         341         360       363         375          248
20.858119        272       357        350         344          343            339              334           342          327       362         341         360       363         375          249
20.959238        273       357        350         344          343            339              334           342          327       362         341         360       364         376          249
21.060357        273       357        350         344          343            339              334           342          327       362         341         360       364         376          249
21.161477        273       357        350         344          343            339              334           342          327       362         341         360       364         376          249
21.262596        273       357        350         344          343            339              334           342          327       362         341         360       364         376          249
21.363715        273       357        350         344          343            339              334           342          327       362         341         360       364         376          249
21.464835        273       357        350         344          343            339              334           342          327       362         341         360       364         376          249
21.565954        273       357        350         344          343            340              334           342          328       362         341         361       365         377          250
21.667073        273       357        350         344          343            340              334           342          328       362         341         361       365         377          250
21.768192        273       357        350         344          343            340              334           342          328       362         341         361       365         377          250
21.869312        273       357        350         344          343            340              334           342          328       362         341         361       365         377          250
21.970431        273       357        350         344          343            340              334           342          328       362         341         361       366         377          250
22.071550        273       357        350         344          343            340              334           342          328       362         342         361       366         377          250
22.172670        274       357        350         344          343            340              334           342          328       362         342         361       366         377          251
22.273789        274       357        350         344          343            340              334           342          328       362         342         361       366         377          251
22.374908        274       357        350         344          343            340              334           342          328       362         342         361       366         377          251
22.476027        274       357        350         344          343            340              334           342          328       362         342         361       366         377          251
22.577147        276       357        350         344          344            340              334           342          328       362         342         362       366         377          252
22.678266        276       357        350         344          344            340              334           342          328       362         342         362       366         377          252
22.779385        276       357        350         344          344            340              334           342          328       362         342         362       366         377          252
22.880505        276       357        350         344          344            340              334           342          328       362         342         362       366         377          252
22.981624        276       357        350         344          344            340              334           343          328       362         342         362       366         377          252
23.082743        276       357        350         344          344            340              334           343          328       362         342         362       366         377          252
23.183862        276       357        350         344          344            341              334           343          328       362         342         362       366         377          252
