Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            Scb2804m  Scp2804m  Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref  Scp2804s  Scp2804st1  Scp2804st4  Sgb2804s  virt. best  virt. worst
0.028725           0         0          0           0            0              0                0             0            0         0           1           0         0           1            0
0.129844           2        12          6           3            5              3                5             3            0        15          15          16         9          16            0
0.230963           5        16         10           7            8              8                7             7            3        19          17          20        18          25            0
0.332082           5        18         13           7           10              9                8             7            3        24          19          24        22          29            0
0.433201           5        22         17           8           12             10                8             7            4        30          20          28        24          36            0
0.534321           7        24         23          10           15             12               11            10            4        35          25          32        30          42            0
0.635440           7        28         27          12           15             16               15            12            5        39          26          37        33          49            0
0.736559           7        30         30          12           18             17               17            12            5        44          31          43        35          55            0
0.837678           7        32         35          12           20             18               18            13            5        49          33          47        42          63            0
0.938797           7        34         36          13           22             21               21            16            6        50          36          49        49          67            0
1.039916           7        36         37          15           23             26               26            19            6        52          37          55        52          69            0
1.141035           7        39         40          18           25             27               27            24           10        57          40          58        55          72            0
1.242155           7        43         44          22           26             28               29            26           15        59          41          59        58          74            0
1.343274           7        46         47          29           27             29               31            26           19        62          46          60        61          77            0
1.444393           7        47         49          30           30             30               32            27           20        63          50          64        65          79            0
1.545512           7        47         51          30           32             33               32            28           20        65          52          67        67          80            0
1.646631           7        48         54          31           34             34               33            29           21        67          54          70        71          82            0
1.747750           8        49         56          32           34             35               36            31           22        71          56          74        74          86            0
1.848870           8        52         59          34           38             37               38            33           23        73          58          76        77          88            0
1.949989           8        52         61          34           44             39               44            35           24        74          58          76        80          89            0
2.051108           9        54         62          36           46             44               45            38           26        75          59          79        80          90            0
2.152227           9        55         62          37           48             46               46            38           27        75          59          79        81          92            0
2.253346           9        56         62          38           52             49               46            40           28        77          61          80        81          93            0
2.354465           9        57         64          38           53             50               46            41           28        78          62          82        81          95            0
2.455584           9        59         65          42           53             54               48            43           32        80          63          83        82          95            0
2.556704           9        59         69          43           53             55               49            44           34        83          68          85        84          96            0
2.657823           9        64         71          49           53             56               50            45           40        83          69          86        84          97            0
2.758942           9        67         72          51           54             57               51            47           41        84          71          87        84          97            0
2.860061           9        69         72          52           56             57               52            49           42        85          74          88        85          98            0
2.961180           9        70         72          53           58             59               53            54           43        85          75          89        87          99            0
3.062299           9        70         73          53           59             60               53            55           43        86          76          89        88          99            0
3.163419          10        71         74          54           59             61               54            56           45        87          76          89        88          99            0
3.264538          10        72         77          58           60             64               55            58           48        89          76          90        89         100            0
3.365657          10        75         77          61           62             67               56            60           50        89          76          90        91         101            0
3.466776          10        76         77          61           63             68               59            61           52        89          76          91        92         101            0
3.567895          10        77         77          63           63             69               60            62           53        89          77          91        92         101            0
3.669014          10        79         78          64           64             69               63            62           54        89          77          91        92         102            0
3.770133          10        79         80          64           66             71               65            63           54        90          78          91        92         102            0
3.871253          10        80         81          65           67             73               65            64           55        90          79          92        92         103            0
3.972372          10        80         81          66           69             73               66            64           56        91          79          92        93         104            0
4.073491          10        81         82          66           70             74               66            65           56        92          79          92        93         104            0
4.174610          10        81         83          66           71             74               67            67           56        94          79          92        93         104            0
4.275729          10        82         85          66           72             74               67            67           56        94          79          92        94         104            0
4.376848          11        82         85          67           72             74               69            69           58        95          80          94        94         104            0
