Absolute performance profile for Gap
Filter: no fail
          Scb2804m  Scp2804m  Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref  Scp2804s  Scp2804st1  Scp2804st4  Sgb2804s  virt. best  virt. worst
0.000000       329       379        363         366          365            365              357           365          344       379         371         377       372         394          274
0.000222       329       379        363         366          365            365              357           365          344       379         371         377       372         394          274
0.000444       329       379        363         366          365            365              357           365          344       379         371         377       372         394          274
0.000667       329       379        363         366          365            365              357           365          344       379         371         377       372         394          274
0.000889       329       379        363         366          365            365              357           365          344       379         371         377       372         394          274
0.001111       329       379        363         366          365            365              357           365          345       379         371         377       373         394          276
0.001333       329       380        363         366          365            365              357           365          345       380         371         377       375         394          278
0.001556       329       380        363         366          367            365              357           365          345       380         371         377       375         394          278
0.001778       329       380        363         366          367            365              357           365          345       380         371         377       375         394          278
0.002000       329       381        363         367          367            365              357           365          346       380         371         377       375         394          278
0.002222       329       381        363         367          367            365              357           365          346       380         371         377       375         394          278
0.002445       329       381        364         368          367            365              358           366          347       381         371         377       375         394          278
0.002667       329       381        364         368          368            367              358           366          348       381         371         377       375         394          278
0.002889       329       381        364         370          369            367              358           367          348       381         372         377       375         394          279
0.003111       329       382        365         370          369            367              359           368          349       382         372         378       375         394          281
0.003334       329       383        366         370          369            367              359           368          349       382         372         379       376         394          283
0.003556       329       384        367         370          369            367              359           368          349       386         372         379       376         394          283
0.003778       329       385        367         370          369            367              359           368          349       386         372         381       376         394          283
0.004000       329       386        367         370          369            367              359           368          349       386         376         381       376         395          284
0.004223       329       386        367         370          369            367              359           368          349       386         376         381       376         395          284
0.004445       329       386        368         370          369            367              359           368          349       386         378         382       377         395          285
0.004667       329       386        368         370          369            367              359           368          350       386         379         382       377         395          286
0.004889       329       386        368         370          370            367              359           368          350       386         379         382       377         395          286
0.005112       329       386        368         370          370            367              359           368          350       386         379         382       378         395          287
0.005334       330       386        368         370          370            367              359           368          350       386         379         382       378         395          287
0.005556       330       386        368         370          370            367              360           368          350       386         380         382       378         395          288
0.005778       330       386        368         370          370            367              360           369          350       386         380         382       378         395          288
0.006001       330       386        368         370          370            367              360           369          350       386         380         383       378         396          288
0.006223       330       387        368         370          370            367              361           369          350       387         380         383       378         396          288
0.006445       330       387        368         370          370            367              361           369          350       387         380         383       378         396          288
0.006667       330       387        368         370          370            367              361           369          350       387         380         383       378         396          288
0.006890       330       387        369         370          370            367              361           369          350       387         380         383       378         396          288
0.007112       330       387        369         370          370            367              361           369          350       387         381         383       378         396          288
0.007334       330       387        369         370          370            367              361           369          350       387         381         383       378         396          288
0.007556       330       387        369         370          370            367              361           369          350       387         381         384       378         396          288
0.007779       330       388        369         370          370            368              361           369          350       388         381         384       378         396          288
0.008001       330       388        369         370          370            368              361           369          350       388         381         384       378         396          288
