Absolute performance profile for SolverTime
Filter: no fail
            SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
0.518297                   0             0        0              1           1            0
0.609254                   0             0        0              1           1            0
0.700211                   0             0        0              1           1            0
0.791169                   0             0        0              1           1            0
0.882126                   0             0        0              1           1            0
0.973083                   0             0        0              1           1            0
1.064040                   0             0        0              1           1            0
1.154998                   0             0        0              1           1            0
1.245955                   0             0        0              1           1            0
1.336912                   0             0        0              1           1            0
1.427870                   0             0        0              1           1            0
1.518827                   0             0        0              1           1            0
1.609784                   0             0        0              1           1            0
1.700741                   0             0        0              1           1            0
1.791699                   0             0        0              1           1            0
1.882656                   0             0        0              1           1            0
1.973613                   0             0        0              1           1            0
2.064570                   0             0        0              1           1            0
2.155528                   0             0        0              1           1            0
2.246485                   0             0        0              1           1            0
2.337442                   0             0        0              1           1            0
2.428399                   0             0        0              1           1            0
2.519357                   0             0        0              1           1            0
2.610314                   0             0        0              1           1            0
2.701271                   0             0        0              1           1            0
2.792229                   0             0        0              1           1            0
2.883186                   0             0        0              1           1            0
2.974143                   0             0        0              1           1            0
3.065100                   0             0        0              1           1            0
3.156058                   0             0        0              1           1            0
3.247015                   0             0        0              1           1            0
3.337972                   0             0        0              1           1            0
3.428929                   0             0        0              1           1            0
3.519887                   1             0        0              1           2            0
3.610844                   1             0        0              1           2            0
3.701801                   1             0        0              1           2            0
3.792758                   1             0        0              1           2            0
3.883716                   1             0        0              1           2            0
3.974673                   1             0        0              1           2            0
4.065630                   1             0        0              3           3            0
4.156588                   1             0        0              3           3            0
4.247545                   1             0        0              3           3            0
4.338502                   1             0        0              3           3            0
4.429459                   1             0        0              3           3            0
4.520417                   1             0        0              3           3            0
4.611374                   1             0        0              3           3            0
4.702331                   1             0        0              3           3            0
4.793288                   1             0        0              4           4            0
4.884246                   1             0        0              4           4            0
4.975203                   1             0        1              4           5            0
5.066160                   1             0        1              4           5            0
5.157117                   1             0        1              4           5            0
5.248075                   1             0        1              4           5            0
5.339032                   1             0        1              4           5            0
5.429989                   1             0        1              4           5            0
5.520946                   1             0        1              4           5            0
5.611904                   1             0        1              4           5            0
5.702861                   1             0        1              4           5            0
5.793818                   1             0        1              4           5            0
5.884776                   1             0        1              4           5            0
5.975733                   1             0        1              4           5            0
6.066690                   1             0        1              4           5            0
6.157647                   1             0        1              4           5            0
6.248605                   1             0        1              4           5            0
6.339562                   1             0        1              4           5            0
6.430519                   1             0        1              4           5            0
6.521476                   1             0        1              4           5            0
6.612434                   1             0        1              4           5            0
6.703391                   1             0        1              4           5            0
6.794348                   1             0        1              4           5            0
6.885305                   1             0        1              4           5            0
6.976263                   1             0        1              4           5            0
7.067220                   1             0        1              4           5            0
7.158177                   1             0        1              4           5            0
7.249135                   1             0        1              4           5            0
7.340092                   1             0        1              4           5            0
7.431049                   1             0        1              4           5            0
7.522006                   1             0        1              4           5            0
7.612964                   1             0        1              4           5            0
7.703921                   1             0        1              4           5            0
7.794878                   2             0        1              4           5            0
7.885835                   2             0        1              4           5            0
7.976793                   2             0        1              4           5            0
8.067750                   2             0        1              5           5            0
8.158707                   2             0        1              5           5            0
8.249664                   2             0        1              5           5            0
8.340622                   2             0        1              5           5            0
8.431579                   2             0        1              5           5            0
8.522536                   2             0        1              5           5            0
8.613494                   2             0        1              5           5            0
8.704451                   2             0        1              5           5            0
8.795408                   2             0        1              5           5            0
8.886365                   2             0        1              5           5            0
8.977323                   2             0        1              5           5            0
9.068280                   2             0        1              5           5            0
9.159237                   2             0        1              5           5            0
9.250194                   2             0        1              5           5            0
9.341152                   2             0        1              5           5            0
9.432109                   3             0        1              5           6            0
9.523066                   3             0        1              5           6            0
9.614023                   3             0        1              5           6            0
9.704981                   3             0        1              5           6            0
9.795938                   3             0        1              5           6            0
9.886895                   4             0        1              5           7            0
9.977853                   4             0        1              5           7            0
10.068810                  4             0        1              5           7            0
10.159767                  4             0        1              5           7            0
10.250724                  4             0        1              5           7            0
10.341682                  4             0        1              5           7            0
10.432639                  4             0        1              5           7            0
10.523596                  4             0        1              5           7            0
10.614553                  4             0        1              5           7            0
10.705511                  4             0        1              5           7            0
10.796468                  4             0        1              5           7            0
10.887425                  4             0        1              5           7            0
10.978382                  4             0        1              5           7            0
11.069340                  5             0        1              5           8            0
11.160297                  5             0        1              5           8            0
11.251254                  5             0        1              5           8            0
11.342212                  5             0        1              5           8            0
11.433169                  5             0        1              5           8            0
11.524126                  5             0        1              5           8            0
11.615083                  5             0        1              5           8            0
11.706041                  5             0        1              6           9            0
11.796998                  5             0        1              6           9            0
11.887955                  5             0        1              6           9            0
11.978912                  5             0        1              6           9            0
12.069870                  5             0        1              6           9            0
12.160827                  5             0        1              6           9            0
12.251784                  5             0        1              6           9            0
12.342741                  5             0        1              6           9            0
12.433699                  5             0        1              6           9            0
12.524656                  5             0        1              6           9            0
12.615613                  5             0        1              6           9            0
12.706571                  5             0        1              6           9            0
12.797528                  5             0        1              6           9            0
12.888485                  5             0        1              6           9            0
12.979442                  5             0        1              6           9            0
13.070400                  5             0        1              6           9            0
13.161357                  5             0        1              6           9            0
13.252314                  5             0        1              6           9            0
13.343271                  5             0        1              6           9            0
13.434229                  5             0        1              6           9            0
13.525186                  5             0        1              6           9            0
13.616143                  5             0        1              6           9            0
13.707100                  5             0        1              6           9            0
13.798058                  5             0        1              6           9            0
13.889015                  5             0        1              6           9            0
13.979972                  5             0        1              6           9            0
14.070929                  5             0        1              6           9            0
14.161887                  5             0        1              6           9            0
14.252844                  5             0        1              6           9            0
14.343801                  5             0        1              6           9            0
14.434759                  5             0        1              6           9            0
14.525716                  5             0        1              6           9            0
14.616673                  5             0        1              6           9            0
14.707630                  5             0        1              6           9            0
14.798588                  5             0        1              6           9            0
